precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
32,"SATU MARE","CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",73,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:16:31",1063,1063,0,425,420,0,5,1200,775,416,9,1,183,7,28,2,35,10,1,2,21,3,10,1,3,107,2
32,"SATU MARE","CENTRU SOCIAL NADISU HODODULUI",213,HODOD,137844,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:19:33",657,657,0,379,368,0,11,700,321,360,19,0,341,0,0,0,1,0,0,0,1,0,1,1,0,15,0
32,"SATU MARE","CLĂDIRE ADMINISTRATIVĂ",285,SĂCĂŞENI,138770,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:19:11",112,112,0,86,64,0,22,130,44,79,7,1,6,0,21,0,2,0,0,1,3,0,1,0,1,43,0
32,"SATU MARE","CLĂDIREA SCOLII",252,"ORAŞU NOU",138351,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:10:13",105,105,0,54,40,0,14,155,101,50,4,3,17,2,6,0,3,0,1,1,0,0,0,0,0,16,1
32,"SATU MARE","CLADIRE DISPENSAR TUR",111,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:43:00",1586,1586,0,475,468,0,7,1621,1146,455,20,1,8,5,32,2,25,4,2,6,17,1,5,0,2,343,2
32,"SATU MARE","CLĂDIRE MULTIFUNCȚIONALĂ",261,PETREŞTI,138501,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:37:35",311,311,0,117,106,0,11,389,272,108,9,6,74,1,4,0,1,0,2,1,7,0,0,0,1,11,0
32,"SATU MARE","CLADIRE PRIMARIE",174,CEHAL,137363,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:15:38",167,167,0,110,97,0,13,279,169,108,2,0,3,1,18,2,2,0,0,3,3,0,1,1,3,70,1
32,"SATU MARE","COLEGIUL ECONOMIC ” GHEORGHE DRAGOŞ ” (GRUP ŞC. ECONOMIC” GHEORGHE DRAGOŞ ”)",70,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:35:44",1587,1587,0,818,783,0,35,1800,982,807,11,5,304,25,95,2,71,30,4,11,31,5,18,3,8,193,2
32,"SATU MARE","COLEGIUL NAŢIONAL ” DOAMNA STANCA ”",65,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:51:02",823,823,0,389,369,0,20,1036,647,383,6,0,196,9,36,0,33,20,0,7,8,4,8,0,1,60,1
32,"SATU MARE","COLEGIUL NAŢIONAL” MIHAI EMINESCU ”",69,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:34:38",975,975,0,447,430,0,17,1100,653,439,8,4,169,11,42,2,39,12,6,0,11,2,11,1,3,124,2
32,"SATU MARE","COLEGIUL TEHNIC DE TRANSP. ŞI TELECOMUNICAŢII ” I.C. BRĂTIANU ”",61,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:41:45",1227,1225,2,604,583,0,21,1317,713,595,9,4,227,11,62,1,47,30,4,11,16,1,12,2,2,164,1
