precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NICOLAE BĂLCESCU",200,"MUNICIPIUL TECUCI",75203,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:42:22",1026,1026,0,484,473,0,11,1133,649,466,18,1,8,0,24,5,2,38,22,71,7,2,3,4,264,0,15
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1",405,ŞENDRENI,75114,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:42:44",1605,1605,0,813,793,0,20,1766,953,794,19,14,27,0,113,26,1,50,17,116,19,3,3,3,366,32,4
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1",406,ŞENDRENI,75114,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:16:43",1791,1791,0,978,954,0,24,1900,922,945,33,3,26,7,138,17,5,49,18,122,21,5,5,5,485,28,11
18,GALAŢI,"SCOALA GIMNAZIALA NR. 1",322,INDEPENDENŢA,76585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:06:57",1326,1326,0,750,727,0,23,1458,708,723,27,7,10,1,51,18,3,66,11,82,5,25,0,2,433,3,6
18,GALAŢI,"SCOALA GIMNAZIALA NR.1",290,DRĂGUŞENI,76175,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:25:44",552,552,0,245,240,0,5,611,366,225,20,0,0,0,1,0,4,8,0,57,0,2,0,0,147,4,2
18,GALAŢI,"SCOALA GIMNAZIALĂ NR. 1",382,PRIPONEŞTI,77028,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:02:33",728,728,0,415,380,0,35,798,383,397,18,1,11,2,9,2,1,11,5,51,4,0,0,0,299,0,1
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NR. 1",289,DRĂGUŞENI,76175,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:12:38",1454,1454,0,722,716,0,6,1602,886,656,60,5,0,0,6,3,2,30,4,95,2,3,0,1,502,2,1
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NR. 1",334,LIEŞTI,76674,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:43:38",1700,1700,0,747,730,0,17,1870,1123,703,44,8,15,1,6,15,5,35,10,93,5,9,8,2,484,4,3
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 1",274,COSMEŞTI,76040,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:34:04",1252,1252,0,563,547,0,16,1382,819,532,31,2,5,3,44,3,6,30,9,94,4,4,0,0,314,5,9
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 1",383,PRIPONEŞTI,77028,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:26:14",783,783,0,549,481,0,68,864,315,518,31,2,2,0,6,2,1,14,1,177,5,2,0,1,299,3,3
