precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL PATRIOȚILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA AUR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 1 SABARENI",203,SĂBĂRENI,179775,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:37:22",1124,1124,0,898,786,0,112,1230,332,852,46,0,0,0,3,0,1,65,12,9,10,0,0,729,8,10,5
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 1 SAT GĂISENI , COM GĂISENI ,",126,GĂISENI,103087,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:32:57",796,796,0,500,462,0,38,870,370,466,34,4,1,0,1,2,3,85,13,3,18,0,2,326,3,1,4
19,GIURGIU,"ȘCOALA GIMNAZIALA NR. 1 SAT GĂISENI , COM GĂISENI .",125,GĂISENI,103087,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:14:43",987,986,1,516,484,0,32,1082,566,489,27,1,6,1,4,1,5,85,5,7,33,1,0,328,5,0,7
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.1 SLOBOZIA",212,SLOBOZIA,100549,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:11:28",763,763,0,429,428,0,1,843,414,400,29,1,8,6,10,4,0,72,3,1,25,2,2,257,6,1,2
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 1 STĂNEȘTI",214,STĂNEŞTI,105295,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:01:11",992,992,0,781,675,0,106,1089,308,712,69,3,9,8,2,0,2,77,0,1,25,3,0,572,6,2,2
19,GIURGIU,"SCOALA GIMNAZIALA NR.1 VALEA DRAGULUI",231,"VALEA DRAGULUI",105776,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:43:57",1146,1146,0,992,992,0,0,1256,264,968,24,0,0,34,0,0,0,256,0,0,22,20,0,614,0,0,22
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 VÂNĂTORII MICI",237,"VÂNĂTORII MICI",105972,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:02:26",787,787,0,546,528,0,18,864,318,517,29,8,1,0,2,2,0,44,61,4,44,0,2,331,5,1,12
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.1 VĂRĂŞTI",234,VĂRĂŞTI,105874,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:23:43",836,835,1,681,672,0,9,915,234,642,39,1,2,6,6,1,0,53,3,11,19,3,1,523,8,2,3
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR.1 VĂRĂȘTI",233,VĂRĂŞTI,105874,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:36:54",928,928,0,718,692,0,26,1021,303,673,45,5,5,0,5,2,2,54,14,7,21,3,1,531,8,7,8
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 1 VLAD-TEPES, CORP B",104,COMANA,102106,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:53:25",1230,1230,0,946,755,0,191,1349,403,940,6,0,0,0,0,0,0,0,0,0,0,0,0,940,0,0,0
