precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA AUR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","GHEORGHE VLAD-DAN-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi"
39,VASLUI,"CENTRUL DE ZI GARA ROŞIEŞTI",455,ROŞIEŞTI,165817,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:35:57",309,309,0,179,169,0,10,400,221,164,15,1,24,0,0,2,3,4,1,64,44,1,4,13,0,3,0
39,VASLUI,"CENTRUL DE ZI TOMȘA",341,HOCENI,164197,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:29:55",96,96,0,68,60,0,8,100,32,66,2,0,7,1,0,0,0,0,0,56,0,0,0,2,0,0,0
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",4,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:32:05",1733,1733,0,13,7,0,6,1800,1787,10,3,1,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0
39,VASLUI,"CENTRUL JUDEȚEAN DE RESURSE ȘI ASISTENȚĂ EDUCAȚIONALĂ",3,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:29:13",1840,1839,1,143,135,0,8,2000,1857,138,5,0,25,1,0,1,0,1,3,72,17,0,2,9,0,3,4
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",28,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:12:42",944,944,0,260,252,0,8,1000,740,247,13,1,44,3,3,0,1,5,7,96,46,1,4,10,0,13,13
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",26,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:27:51",1766,1766,0,22,12,0,10,2000,1978,22,0,0,5,0,0,1,0,0,0,7,1,0,0,0,1,3,4
39,VASLUI,"CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",25,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:08:39",1853,1853,0,783,709,0,74,1853,1070,750,33,5,148,13,9,3,3,4,23,321,111,0,17,27,6,25,35
39,VASLUI,"CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ ”ELISABETA POLIHRONIADE”",27,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:47:48",1716,1716,0,50,40,0,10,1800,1750,46,4,1,5,1,0,0,0,0,1,20,8,0,1,3,0,3,3
39,VASLUI,"CENTRU SOCIAL BUMBĂTA",513,VETRIŞOAIA,166672,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:50:36",84,84,0,68,48,0,20,100,32,67,1,0,12,0,0,0,0,0,0,50,2,0,0,0,1,0,2
39,VASLUI,"CENTRU SOCIAL POIENEȘTI",415,POIENEŞTI,165336,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:25:55",737,737,0,463,422,0,41,800,337,430,33,5,71,3,3,4,3,1,10,308,7,0,2,11,0,2,0
39,VASLUI,"CLUBUL PENSIONARILOR",85,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:59:13",1858,1858,0,24,15,0,9,2000,1976,22,2,1,5,1,0,0,0,0,0,7,5,0,0,2,0,0,1
39,VASLUI,"CLUBUL PENSIONARILOR",84,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:20:05",1777,1777,0,36,24,0,12,2000,1964,34,2,1,6,0,1,1,3,2,1,10,5,0,0,3,0,0,1
39,VASLUI,"CLUBUL ”PRIETENIA”",83,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:07:03",1570,1570,0,12,2,0,10,1600,1588,12,0,1,3,0,0,0,0,0,0,5,1,0,0,1,1,0,0
39,VASLUI,"CLUBUL ”PRIETENIA”",82,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:43:52",1511,1511,0,42,33,0,9,1600,1558,41,1,1,8,0,0,0,0,0,1,20,6,0,0,1,0,4,0
39,VASLUI,"COLEGIUL AGRICOL ”DIMITRIE CANTEMIR”",139,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:49:52",1025,1025,0,371,371,0,0,1096,725,360,11,3,67,1,2,5,3,4,10,193,25,4,5,11,5,9,13
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",61,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:23:24",576,576,0,238,232,0,6,600,362,230,8,6,33,4,4,0,1,0,14,93,42,0,5,8,1,6,13
39,VASLUI,"COLEGIUL ECONOMIC ”ANGHEL RUGINĂ”",60,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:28:34",1723,1723,0,486,474,0,12,1800,1314,474,12,2,74,15,2,3,4,1,20,184,88,0,17,14,4,22,24
39,VASLUI,"COLEGIUL NAȚIONAL ”CUZA VODA”",137,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:36:56",1789,1788,1,354,344,0,10,2000,1646,348,6,6,69,0,0,4,1,1,11,193,18,1,7,17,8,1,11
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",93,"MUNICIPIUL BÂRLAD",161794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:28:50",941,941,0,353,337,0,16,1000,647,337,16,1,47,16,4,1,1,1,16,153,47,0,14,16,2,4,14
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",94,"MUNICIPIUL BÂRLAD",161794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:55:12",1463,1463,0,477,468,0,9,1600,1123,449,28,3,57,23,0,0,7,6,16,189,70,2,8,41,4,5,18
39,VASLUI,"COLEGIUL NAŢIONAL ”GHEORGHE ROŞCA CODREANU”",95,"MUNICIPIUL BÂRLAD",161794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:36:12",971,971,0,418,389,0,29,1000,582,399,19,2,58,8,3,4,6,6,11,185,57,1,12,29,2,9,6
39,VASLUI,"CONTAINER MODULAR",332,GHERGHEŞTI,163967,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:19:17",385,385,0,213,197,0,16,400,187,195,18,2,78,1,0,0,0,0,2,103,1,0,1,4,0,2,1
39,VASLUI,"CONTAINER MODULAR",531,VOINEŞTI,166869,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:19:29",141,141,0,82,77,0,5,200,118,80,2,2,5,1,0,1,0,1,1,63,4,0,0,2,0,0,0
39,VASLUI,"CONTAINER MODULAR TIP BIROU",537,VUTCANI,167035,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:57:15",114,114,0,63,49,0,14,200,137,63,0,0,4,0,0,0,0,2,1,48,0,0,0,5,1,2,0
39,VASLUI,"CREȘA FEDEȘTI",479,ŞULETEA,166137,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:51:15",456,456,0,270,242,0,28,500,240,235,25,4,55,2,0,1,1,5,3,147,3,1,0,7,3,1,2
39,VASLUI,"DIRECTIA AGRICOLA JUDETEANA VASLUI - UNITATEA FITOSANITARA HUSI",153,"MUNICIPIUL HUŞI",161829,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:02:03",2084,2080,4,723,677,1,45,2300,1577,672,51,6,140,2,5,4,2,10,15,339,28,1,12,66,7,17,18
39,VASLUI,"DISPENSAR UMAN, SAT CHILIENI",247,COROIEŞTI,163057,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:56:18",176,176,0,84,68,0,16,200,116,78,6,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV BOBEŞTI",296,DUDA-EPURENI,163681,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:27:07",93,93,0,62,50,0,12,100,38,62,0,0,7,1,0,0,0,0,0,44,5,0,2,2,0,1,0
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV BOUȘORI",461,SOLEŞTI,165899,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:57:45",188,188,0,107,91,0,16,201,94,101,6,1,29,1,0,0,0,0,0,58,6,0,0,5,0,0,1
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV, PUŢU OLARULUI",349,IBĂNEŞTI,167222,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:16:18",99,99,0,66,60,0,6,100,34,60,6,1,6,3,1,0,0,0,0,42,0,0,0,6,0,0,1
39,VASLUI,"FOSTA ŞCOALA CU CLASELE I-IV VALEA SILIȘTEI",466,SOLEŞTI,165899,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:07:42",212,212,0,133,119,0,14,300,167,124,9,1,52,2,0,0,1,0,2,53,6,2,0,1,3,1,0
39,VASLUI,"FOSTA ŞCOALA GENERALĂ ARMĂŞENI",235,BUNEŞTI-AVEREŞTI,162924,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:03:03",259,259,0,141,130,0,11,280,139,127,14,1,21,0,0,2,0,1,1,64,23,2,0,9,0,1,2
39,VASLUI,"GRĂDINIȚA CU 3 SĂLI DE GRUPĂ",379,MICLEŞTI,164892,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:22:28",738,738,0,362,349,0,13,800,438,334,28,3,63,2,0,2,1,1,2,220,11,0,2,16,1,1,9
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL",335,GRIVIŢA,164133,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:05:52",1125,1125,0,519,503,0,16,1200,681,486,33,1,73,8,1,4,4,11,4,283,27,0,8,31,1,11,19
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL",72,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:08:34",1884,1884,0,880,867,0,13,2000,1120,849,31,16,169,11,3,6,5,6,40,328,124,4,22,40,6,43,26
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL BARBOŞI",337,HOCENI,164197,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:55:18",521,521,0,278,252,0,26,600,322,255,23,4,18,0,0,2,0,0,2,214,1,0,0,12,1,0,1
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL, GURA VĂII",472,STĂNILEŞTI,165979,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:36:08",365,365,0,175,171,0,4,400,225,168,7,2,25,2,0,0,0,1,2,112,10,0,1,7,2,3,1
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL IAZ",462,SOLEŞTI,165899,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:56:31",308,308,0,180,173,0,7,400,220,163,17,1,42,1,3,0,1,0,2,96,12,0,1,4,0,0,0
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.1",482,TANACU,166182,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:16:49",1229,1229,0,719,665,0,54,1400,681,668,51,8,139,5,1,7,4,9,2,302,105,2,3,48,5,12,16
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.12",46,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:19:12",1241,1241,0,454,443,0,11,1300,846,440,14,4,85,9,0,2,4,0,14,177,82,2,11,17,5,10,18
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",79,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:23:18",1925,1925,0,46,41,0,5,2000,1954,45,1,1,12,3,0,1,1,0,0,14,7,0,0,3,0,1,2
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL NR. 22",80,"MUNICIPIUL VASLUI",161945,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:53:45",1902,1902,0,318,309,0,9,2000,1682,304,14,4,52,5,2,3,4,5,5,128,49,2,6,23,0,10,6
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 22",81,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:24:58",1864,1864,0,100,91,0,9,2000,1900,95,5,2,23,2,0,1,1,2,1,32,14,1,4,6,1,5,0
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 NEGREȘTI",165,"ORAŞ NEGREŞTI",161856,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:48:38",872,871,1,386,374,0,12,1000,614,356,30,2,61,2,3,1,2,3,6,221,20,0,2,23,3,5,2
39,VASLUI,"GRĂDINIŢA CU PROGRAM NORMAL, RAFAILA",445,RAFAILA,167240,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:52:48",1450,1449,1,860,856,1,3,1600,740,801,59,2,99,5,1,5,4,6,6,580,51,0,0,23,4,13,2
39,VASLUI,"GRADINITA CU PROGRAM NORMAL, SAT BULBOACA",269,DELENI,163324,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:04:27",440,440,0,262,245,0,17,500,238,236,26,1,52,0,2,0,1,3,2,129,24,1,2,7,1,9,2
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SAT PARPANIȚA",169,"ORAŞ NEGREŞTI",161856,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:43:47",464,464,0,251,238,0,13,500,249,226,25,1,34,4,0,3,5,8,4,122,17,0,4,12,1,3,8
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SATU NOU",463,SOLEŞTI,165899,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:16:55",326,326,0,180,169,0,11,400,220,161,19,1,25,2,0,1,1,2,0,93,17,1,1,10,0,2,5
39,VASLUI,"GRADINITA CU PROGRAM NORMAL SAT.URSOAIA",355,IVĂNEŞTI,164393,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:02:50",353,353,0,156,141,0,15,400,244,141,15,2,26,1,1,0,0,2,1,80,5,1,2,10,4,3,3
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL SAT URSOAIA",354,IVĂNEŞTI,164393,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:56:29",358,358,0,196,183,0,13,400,204,177,19,0,30,2,0,2,1,1,1,111,7,0,0,14,1,1,6
