precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL ROMÂNIA MARE-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA AUR-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL TIHĂU",282,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:16:37",847,847,0,702,607,0,95,900,198,619,83,3,7,1,16,6,2,0,447,32,14,4,7,5,2,1,72
33,SĂLAJ,"CĂMINUL CULTURAL TUSA",268,SÂG,142612,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:48:58",532,532,0,346,333,0,13,600,254,322,24,2,16,1,29,2,1,1,170,4,2,2,9,9,4,5,65
33,SĂLAJ,"CĂMINUL CULTURAL ZĂUAN",202,IP,141722,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:31:12",786,786,0,450,440,0,10,846,396,427,23,0,17,0,7,0,1,0,12,1,1,375,0,0,1,1,11
33,SĂLAJ,"CASA DE CULTURĂ",47,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:03",1695,1695,0,811,761,0,50,1800,989,794,17,2,63,8,34,22,3,1,401,45,8,40,11,17,6,3,130
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:21:58",1853,1853,0,962,929,0,33,1950,988,949,13,2,40,1,18,30,2,2,254,99,8,376,25,2,0,2,88
33,SĂLAJ,"CASĂ PAROHIALĂ REFORMATĂ NAIMON",143,DOBRIN,140958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:11:09",109,109,0,55,46,0,9,150,95,52,3,0,2,0,1,0,1,0,17,1,1,20,1,2,0,0,6
33,SĂLAJ,"CENTRU DE INFORMARE ȘI MARKETING TURISTIC",244,PERICEI,142284,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:44:10",128,128,0,59,54,0,5,150,91,57,2,1,1,0,4,0,0,0,35,0,0,2,0,0,1,4,9
33,SĂLAJ,"CENTRU DE INFORMARE TURISTICA",115,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:50:44",1843,1843,0,1280,1263,0,17,1950,670,1255,25,0,1,0,7,1,2,1,42,6,2,1169,2,2,0,1,19
33,SĂLAJ,"CENTRUL AFTER SCHOOL",226,"MESEŞENII DE JOS",142079,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:14:43",1257,1257,0,849,799,0,50,1350,501,804,45,1,13,2,20,12,3,0,158,34,7,240,1,18,0,8,287
33,SĂLAJ,"CENTRUL CULTURAL",58,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:49:21",1342,1342,0,703,686,0,17,1400,697,677,26,0,20,1,18,18,1,2,271,43,7,214,2,9,2,3,66
33,SĂLAJ,"CENTRUL CULTURAL CEACA",305,ZALHA,143067,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:24:42",159,159,0,139,113,0,26,200,61,130,9,0,9,0,0,1,0,0,82,3,1,8,0,2,1,1,22
33,SĂLAJ,"CENTRUL CULTURAL CHENDREA",80,BĂLAN,140146,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:08:39",623,623,0,484,419,0,65,700,216,467,17,5,24,0,13,3,3,5,285,10,5,7,2,5,0,1,99
33,SĂLAJ,"CENTRUL CULTURAL COMUNITAR ȘĂRMĂȘAG",286,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:53:49",941,941,0,651,612,0,39,1000,349,633,18,1,1,0,6,0,0,0,23,0,1,591,0,1,1,1,7
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:27:10",603,603,0,345,324,0,21,650,305,310,35,1,2,0,7,6,0,4,206,4,2,2,1,1,3,5,66
33,SĂLAJ,"CENTRUL DE CONSULTANȚĂ AGRICOLĂ BOCȘA",92,BOCŞA,140324,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:52:42",771,771,0,543,526,0,17,852,309,512,31,1,34,2,38,4,0,1,332,17,8,6,0,18,3,3,45
33,SĂLAJ,"CENTRUL DE INFORMARE ȘI MARKETING TURISTIC",250,ROMÂNAŞI,142426,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:45:26",799,799,0,486,446,0,40,850,364,445,41,0,18,0,38,2,3,1,276,4,4,2,3,2,2,4,86
33,SĂLAJ,"CENTRUL DE INFORMARE ŞI PROMOVARE TURISTICĂ VALEA POMILOR",285,ŞAMŞUD,142854,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:37:22",493,493,0,274,243,0,31,600,326,251,23,0,2,0,5,0,0,0,23,0,0,209,0,0,0,0,12
33,SĂLAJ,"CENTRUL DE INFORMARE TURISTICĂ",238,NUŞFALĂU,142239,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:10:52",1353,1353,0,750,736,0,14,1450,700,650,100,0,10,1,27,10,7,2,159,15,6,322,5,10,4,9,63
33,SĂLAJ,"CENTRUL DE ZI",228,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:59:25",686,686,0,432,392,0,40,750,318,408,24,2,9,2,20,3,1,0,238,8,1,2,0,7,2,2,111
33,SĂLAJ,"CENTRUL DE ZI DOBA",142,DOBRIN,140958,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:53:42",223,223,0,143,124,0,19,300,157,142,1,0,1,0,1,0,0,0,6,0,0,130,0,0,1,1,2
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",116,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:10:37",417,417,0,195,185,0,10,500,305,177,18,0,3,1,15,0,0,0,62,9,1,67,0,0,1,0,18
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",117,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:05:51",696,696,0,439,410,0,29,750,311,404,35,0,8,2,18,3,1,1,293,18,7,7,1,5,4,4,32
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",118,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:52:10",387,387,0,191,182,0,9,450,259,171,20,0,1,2,18,0,0,0,13,0,1,130,0,0,0,0,6
33,SĂLAJ,"CENTRUL DE ZI PETRINDU, NR.78",137,CUZĂPLAC,140869,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:01:45",321,321,0,281,234,0,47,408,127,264,17,0,16,1,5,7,0,0,116,4,4,28,1,0,1,4,77
