precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA AUR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"LICEUL SANITAR ”ANTIM IVIREANU”",3,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:15:00",1263,1244,19,529,510,0,19,1380,851,509,20,6,2,4,15,12,15,1,50,116,3,9,1,229,12,5,29
40,VÂLCEA,"LICEUL SANITAR ”ANTIM IVIREANU”",5,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:42:00",1134,1133,1,511,503,0,8,1260,749,494,17,6,5,6,19,25,15,6,40,109,1,6,4,194,15,3,40
40,VÂLCEA,"LICEUL SANITAR ”ANTIM IVIREANU”",4,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:57:39",1172,1172,0,440,431,0,9,1301,870,418,13,6,7,2,15,18,7,5,33,93,1,6,1,176,21,3,24
40,VÂLCEA,"LICEUL TEHNOLOGIC BĂILE GOVORA",116,"ORAŞ BĂILE GOVORA",167641,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:33:59",792,792,0,630,545,0,85,850,220,587,43,8,6,7,16,20,7,7,38,67,1,4,1,350,15,5,35
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",94,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:32:49",1315,1315,0,591,579,0,12,1450,859,554,37,7,2,5,21,4,9,8,29,157,6,2,2,259,12,5,26
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU",95,"MUNICIPIUL DRĂGĂŞANI",167981,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:54:09",1216,1216,0,504,494,0,10,1350,846,463,41,3,1,2,17,10,5,2,41,139,5,4,1,197,14,5,17
40,VÂLCEA,"LICEUL TEHNOLOGIC BRĂTIANU - ȘCOALA PROFESIONALĂ",101,"MUNICIPIUL DRĂGĂŞANI",167981,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:00:01",1192,1192,0,607,603,0,4,1320,713,530,77,5,1,7,16,8,11,3,30,181,8,9,4,195,6,14,32
40,VÂLCEA,"LICEUL TEHNOLOGIC ”CĂPITAN NICOLAE PLEŞOIANU”",40,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:50:19",1020,1020,0,435,420,0,15,1120,685,413,22,6,8,3,10,35,16,3,60,70,5,4,3,162,12,2,14
40,VÂLCEA,"LICEUL TEHNOLOGIC ”CĂPITAN NICOLAE PLEŞOIANU”",41,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:53:52",923,923,0,441,432,0,9,1010,569,423,18,7,3,2,9,41,11,2,54,82,2,7,0,180,10,2,11
40,VÂLCEA,"LICEUL TEHNOLOGIC ”CĂPITAN NICOLAE PLEŞOIANU”",42,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:16:30",1085,1083,2,551,540,1,10,1200,649,520,31,8,3,6,18,19,15,6,42,93,2,14,4,222,23,9,36
