precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","GHEORGHE VLAD-DAN-voturi"
1,ALBA,"CĂMIN CULTURAL LUNCA TÂRNAVEI",408,ŞONA,7865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:09:32",316,316,0,202,189,0,13,341,139,192,10,134,0,5,0,1,5,2,4,15,3,1,0,4,11,1,6
1,ALBA,"CĂMIN CULTURAL MĂTIȘEȘTI",274,HOREA,4767,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:29:35",337,337,0,240,228,0,12,357,117,227,13,123,0,2,0,1,1,0,4,75,0,2,0,1,16,0,2
1,ALBA,"CĂMIN CULTURAL OBREJA",318,MIHALŢ,5700,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:41:36",421,421,0,291,259,0,32,470,179,286,5,211,0,0,1,0,12,3,1,37,1,1,0,4,9,0,6
1,ALBA,"CĂMIN CULTURAL POIANA AIUDULUI",294,LIVEZILE,5167,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:01:46",258,258,0,156,148,0,8,280,124,149,7,114,4,1,1,0,3,1,2,9,1,1,1,2,9,0,0
1,ALBA,"CĂMIN CULTURAL SÂNBENEDIC",251,FĂRĂU,4302,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:41:44",186,181,5,134,115,5,14,200,66,124,10,93,0,2,0,0,2,1,1,6,9,0,0,1,7,0,2
1,ALBA,"CĂMIN CULTURAL, SAT IZVORUL AMPOIULUI",178,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:39",382,382,0,219,211,0,8,420,201,207,12,139,0,0,0,0,1,0,0,42,5,3,0,3,10,1,3
1,ALBA,"CĂMIN CULTURAL, SAT VÂLTORI",183,"ORAŞ ZLATNA",1936,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:18:21",155,155,0,95,86,0,9,169,74,91,4,63,0,0,0,1,5,1,2,14,2,0,0,0,2,0,1
1,ALBA,"CĂMIN CULTURAL ȘEUȘA",234,CIUGUD,1071,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:31:55",685,685,0,517,458,0,59,746,229,483,34,248,2,8,3,0,20,11,17,114,2,3,0,28,7,0,20
1,ALBA,"CĂMIN CULTURAL ȘIBOT",401,ŞIBOT,7810,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:18:53",1153,1153,0,743,686,0,57,1280,537,704,39,409,3,6,2,5,27,6,15,165,6,5,0,22,27,2,4
1,ALBA,"CĂMIN CULTURAL ȘILEA",252,FĂRĂU,4302,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:46:50",243,243,0,174,157,0,17,269,95,160,14,119,0,2,1,0,3,0,0,10,14,2,0,2,5,0,2
1,ALBA,"CĂMIN CULTURAL SILIVAŞ",267,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:11:49",242,242,0,161,153,0,8,275,114,124,37,106,1,1,0,0,1,0,0,7,2,0,0,0,4,0,2
1,ALBA,"CĂMIN CULTURAL ŞPĂLNACA",268,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:44:54",131,131,0,88,71,0,17,160,72,87,1,63,0,0,0,0,3,1,0,13,2,2,0,1,1,0,1
1,ALBA,"CĂMIN CULTURAL TĂUNI",430,"VALEA LUNGĂ",8354,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:13:44",227,227,0,139,123,0,16,245,106,128,11,59,0,1,0,0,0,0,0,58,1,0,1,1,7,0,0
1,ALBA,"CĂMIN CULTURAL TELEAC",235,CIUGUD,1071,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:08",360,347,13,266,248,13,5,410,144,248,18,150,3,3,1,4,5,7,9,41,2,0,0,8,7,2,6
1,ALBA,"CĂMIN CULTURAL TURDAŞ",269,HOPÂRTA,4703,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:19:42",138,138,0,83,72,0,11,160,77,77,6,51,0,4,0,0,0,0,0,16,1,1,0,0,3,1,0
1,ALBA,"CĂMIN CULTURAL VĂLIȘOARA",295,LIVEZILE,5167,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:07:16",129,129,0,96,78,0,18,140,44,91,5,62,2,0,0,1,4,1,0,13,1,0,0,0,7,0,0
1,ALBA,"CĂMIN CULTURAL VAMA SEACĂ",270,HOPÂRTA,4703,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:22",144,144,0,110,102,0,8,170,60,109,1,73,1,1,0,3,7,2,0,17,1,0,0,0,3,0,1
1,ALBA,"CĂMINUL CULTURAL",345,POŞAGA,6468,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:48:28",339,339,0,276,225,0,51,398,122,257,19,152,0,1,0,0,28,6,4,47,1,2,0,9,4,0,3
1,ALBA,"CĂMINUL CULTURAL",224,CERU-BĂCĂINŢI,3841,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:39",246,198,48,229,172,9,48,300,71,208,21,158,0,2,1,0,8,5,2,19,1,0,0,2,7,0,3
1,ALBA,"CĂMINUL CULTURAL ALBAC",184,ALBAC,2130,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:18:50",722,722,0,642,547,0,95,805,163,601,41,364,3,6,0,4,22,7,16,132,2,3,3,6,29,0,4
1,ALBA,"CĂMINUL CULTURAL ALECUŞ",406,ŞONA,7865,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:32",72,72,0,36,28,0,8,79,43,31,5,18,0,0,3,0,2,0,0,5,2,0,0,0,1,0,0
1,ALBA,"CĂMINUL CULTURAL ALMAȘU MARE - SUSENI",190,"ALMAŞU MARE",2309,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:25:39",203,203,0,153,142,0,11,223,70,141,12,79,1,1,0,0,12,3,1,25,0,1,1,4,11,1,1
1,ALBA,"CĂMINUL CULTURAL AVRAM IANCU",198,"AVRAM IANCU",2577,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:29:02",556,556,0,408,363,0,45,620,212,384,24,194,5,5,3,4,16,3,6,114,0,2,0,5,22,2,3
1,ALBA,"CĂMINUL CULTURAL BALOMIR",402,ŞIBOT,7810,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:07:44",486,486,0,309,285,0,24,530,221,297,12,191,3,4,1,3,8,3,1,58,4,2,1,5,9,1,3
1,ALBA,"CĂMINUL CULTURAL BOZ",247,DOŞTAT,4268,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:45:55",393,393,0,270,256,0,14,440,170,255,15,197,0,2,1,0,7,2,2,24,0,3,0,3,11,1,2
1,ALBA,"CĂMINUL CULTURAL BUCERDEA GRÂNOASĂ",212,"BUCERDEA GRÂNOASĂ",9026,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:58:58",1048,1048,0,763,730,0,33,1200,437,720,43,224,2,2,3,3,13,6,18,256,163,5,0,7,17,0,1
1,ALBA,"CĂMINUL CULTURAL CĂPÎLNA DE JOS",289,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:40:56",635,635,0,415,379,0,36,677,262,395,20,247,3,1,2,2,3,2,7,92,2,4,0,5,19,1,5
1,ALBA,"CĂMINUL CULTURAL CIOARA DE SUS",121,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:33:07",184,184,0,116,101,0,15,210,94,115,1,35,0,0,0,0,2,2,0,72,0,1,1,0,2,0,0
1,ALBA,"CĂMINUL CULTURAL CIUGUDU DE JOS",420,UNIREA,8158,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:41:48",267,267,0,165,156,0,9,301,136,152,13,98,1,6,1,2,5,4,1,13,3,1,1,1,7,0,8
1,ALBA,"CĂMINUL CULTURAL ”EUGEN CURTA” GALTIU",386,SÂNTIMBRU,7384,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:04:20",393,393,0,245,231,0,14,431,186,231,14,112,1,3,1,0,11,2,6,65,2,4,0,7,11,0,6
1,ALBA,"CĂMINUL CULTURAL FEISA",290,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:21:17",597,597,0,403,380,0,23,639,236,379,24,282,6,0,1,0,1,6,11,46,1,2,0,1,16,0,6
1,ALBA,"CĂMINUL CULTURAL GĂBUD",328,NOŞLAC,6048,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:41:47",233,233,0,123,113,0,10,245,122,112,11,75,0,1,0,0,4,1,1,19,6,0,0,0,2,1,2
1,ALBA,"CĂMINUL CULTURAL GALDA DE JOS",253,"GALDA DE JOS",4366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:48:13",1556,1556,0,1032,1003,0,29,1750,718,981,51,413,5,5,2,5,219,13,36,173,13,5,2,19,53,4,14
1,ALBA,"CAMINUL CULTURAL GEOGEL",344,PONOR,6397,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:18:56",181,181,0,167,121,0,46,235,68,153,14,93,3,2,0,1,2,3,1,33,2,2,2,2,5,0,2
1,ALBA,"CĂMINUL CULTURAL GEOMAL",400,STREMŢ,7767,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:14:26",230,230,0,183,158,0,25,250,67,171,12,123,1,0,1,0,2,2,3,27,2,1,0,0,9,0,0
1,ALBA,"CĂMINUL CULTURAL INOC",423,UNIREA,8158,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:40:00",158,158,0,90,80,0,10,180,90,86,3,40,3,2,0,0,5,1,2,21,1,1,0,0,8,0,2
1,ALBA,"CĂMINUL CULTURAL INURI",437,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:42:18",142,141,1,76,65,1,10,148,72,71,5,40,3,0,0,0,2,2,2,16,2,0,0,0,0,0,4
1,ALBA,"CĂMINUL CULTURAL JIDVEI",287,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:47:48",1112,1112,0,597,594,0,3,1154,557,566,31,383,1,5,5,3,15,7,10,89,15,0,0,10,11,1,11
1,ALBA,"CĂMINUL CULTURAL LUNCA AMPOIȚEI",311,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:56:31",195,195,0,132,128,0,4,230,98,120,12,71,6,0,0,0,4,0,4,26,1,2,0,0,5,0,1
1,ALBA,"CĂMINUL CULTURAL LUPȘA",305,LUPŞA,5336,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:34:17",619,619,0,493,476,0,17,710,217,474,19,296,0,6,0,3,14,5,10,102,5,0,1,2,24,3,3
1,ALBA,"CĂMINUL CULTURAL MĂHĂCENI",424,UNIREA,8158,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:08:01",200,200,0,122,100,0,22,226,104,113,9,80,0,1,0,0,3,2,0,14,1,1,0,0,10,0,1
1,ALBA,"CĂMINUL CULTURAL MERETEU",438,"VINŢU DE JOS",8826,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:41:33",180,180,0,122,113,0,9,189,67,121,1,77,0,0,0,1,1,1,3,27,0,2,0,0,6,0,3
1,ALBA,"CĂMINUL CULTURAL MUNCELU",122,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:01",279,279,0,182,175,0,7,300,118,178,4,82,1,0,1,0,10,1,2,64,3,0,1,3,9,0,1
1,ALBA,"CĂMINUL CULTURAL NECRILEȘTI",286,ÎNTREGALDE,4981,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:26:41",145,142,3,101,93,3,5,175,74,90,11,74,0,1,1,0,2,0,0,9,0,0,0,0,3,0,0
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:34:54",1279,1279,0,617,608,0,9,1400,783,597,20,286,1,4,7,7,39,8,20,139,7,5,2,15,28,5,24
1,ALBA,"CĂMINUL CULTURAL OIEJDEA",258,"GALDA DE JOS",4366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:28",660,660,0,431,417,0,14,750,319,402,29,125,2,0,1,2,67,13,5,44,118,2,0,1,15,2,5
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:19:46",90,90,0,55,46,0,9,101,46,54,1,28,2,0,0,0,3,2,2,11,2,1,0,0,2,0,1
1,ALBA,"CĂMINUL CULTURAL POIANA AMPOIULUI",312,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:36:01",203,202,1,138,127,0,11,239,101,126,12,83,4,3,1,1,2,1,0,22,1,0,0,1,7,0,0
1,ALBA,"CĂMINUL CULTURAL PRESACA AMPOIULUI",313,METEŞ,5577,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:58:28",284,277,7,222,209,7,6,270,48,211,11,115,1,4,0,0,6,0,0,69,1,2,0,2,7,0,4
1,ALBA,"CĂMINUL CULTURAL RĂZBOIENI-CETATE",165,"ORAŞ OCNA MUREŞ",1794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:30:26",1028,1028,0,459,452,0,7,1200,741,435,24,189,0,4,4,2,84,10,4,71,10,8,1,11,28,2,7
1,ALBA,"CĂMINUL CULTURAL SÂNCEL",379,SÂNCEL,7348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:32:45",1308,1308,0,823,810,0,13,1413,590,769,54,480,2,9,0,2,26,8,12,177,0,4,2,15,22,3,7
1,ALBA,"CĂMINUL CULTURAL SÂNTIMBRU",383,SÂNTIMBRU,7384,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:18:04",459,459,0,248,235,0,13,505,257,233,15,135,1,2,2,0,3,3,2,54,9,0,0,1,17,1,3
1,ALBA,"CĂMINUL CULTURAL SARTĂŞ",123,"ORAŞ BAIA DE ARIEŞ",2915,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:33:46",291,291,0,133,131,0,2,320,187,132,1,45,0,0,1,1,7,3,6,60,0,0,0,2,5,0,2
1,ALBA,"CĂMINUL CULTURAL SCĂRIȘOARA",388,SCĂRIŞOARA,7197,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:43:13",537,537,0,439,416,0,23,598,159,406,33,272,5,4,0,2,9,6,4,70,1,2,2,5,19,2,3
1,ALBA,"CĂMINUL CULTURAL SOHODOL",394,SOHODOL,7446,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:52:30",750,750,0,441,432,0,9,825,384,411,30,242,2,7,4,8,6,4,6,99,0,0,1,7,21,2,2
1,ALBA,"CĂMINUL CULTURAL STÂNA DE MUREȘ",329,NOŞLAC,6048,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:54:31",300,293,7,180,160,7,13,315,135,171,9,74,0,1,0,2,7,1,1,22,55,1,0,3,4,0,0
1,ALBA,"CĂMINUL CULTURAL VADU MOȚILOR",425,"VADU MOŢILOR",8229,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:41:04",1040,1040,0,882,772,0,110,1200,318,848,34,540,1,9,2,7,14,16,17,188,5,5,1,5,33,4,1
1,ALBA,"CĂMINUL CULTURAL VESEUŞ",291,JIDVEI,5103,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:33:31",736,736,0,494,449,0,45,775,281,356,138,300,3,4,1,2,3,1,0,16,14,2,1,0,5,3,1
1,ALBA,"CĂMINUL CULTURAL VINŢU DE JOS",434,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:22:19",1068,1068,0,660,637,0,23,1271,611,642,18,285,14,12,5,3,30,27,24,151,15,6,2,14,44,4,6
1,ALBA,"CĂMINUL CULTURAL VURPĂR",440,"VINŢU DE JOS",8826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:45:15",861,861,0,545,528,0,17,904,359,528,17,207,9,3,1,0,21,4,10,209,4,0,0,14,30,5,11
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:33:25",1243,1232,11,672,617,0,55,1400,728,654,18,292,4,2,9,3,85,27,18,96,15,3,5,43,23,2,27
1,ALBA,"CASA DE CULTURĂ A STUDENŢILOR",6,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:34:20",744,744,0,309,272,0,37,800,491,303,6,106,5,2,3,4,29,3,22,59,11,2,1,26,18,1,11
1,ALBA,"CASA DE CULTURĂ ”ION SÂNGEREANU”",157,"ORAŞ OCNA MUREŞ",1794,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:18:01",1182,1182,0,572,543,0,29,1302,730,543,29,312,3,4,2,1,37,14,13,79,39,0,0,18,10,2,9
1,ALBA,"CASA DE CULTURĂ TEIUŞ",166,"ORAŞ TEIUŞ",8096,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:37:57",1514,1514,0,820,802,0,18,1675,855,797,23,413,9,5,3,2,26,15,17,199,26,9,4,8,41,0,20
1,ALBA,"CASĂ PARTICULARĂ",428,"VALEA LUNGĂ",8354,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:32:24",163,163,0,125,116,0,9,170,45,121,4,64,4,1,0,0,0,0,3,36,1,2,0,2,1,0,7
1,ALBA,"CENTRU DE ZI PERSOANE VĂRSTNICE",385,SÂNTIMBRU,7384,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:39:37",71,71,0,52,45,0,7,76,24,51,1,35,1,0,1,0,4,0,0,5,0,0,0,2,2,0,1
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:11:08",782,782,0,442,418,0,24,800,358,437,5,243,4,3,1,1,43,13,14,48,25,1,3,12,14,3,9
1,ALBA,"CENTRUL CULTURAL ”VALENTIN URITESCU” AL ORAŞULUI CUGIR",145,"ORAŞ CUGIR",1696,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:12:55",1267,1266,1,565,549,0,16,1300,735,536,29,299,2,3,2,2,57,15,25,87,8,1,1,11,10,1,12
1,ALBA,"CENTRUL DE INFORMARE TURISTICĂ",324,MOGOŞ,5826,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:45:48",478,478,0,322,276,0,46,530,208,302,20,221,3,3,2,2,4,3,3,38,3,0,1,2,13,0,4
1,ALBA,"CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE",1,"MUNICIPIUL ALBA IULIA",1017,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:33:36",1747,1747,0,891,869,0,22,1998,1107,857,34,374,9,2,8,7,79,30,30,180,18,5,9,44,34,6,22
1,ALBA,"CLĂDIRE ADMINISTRATIVĂ COLIBI (FOSTA ŞCOALĂ GENERALĂ)",335,OHABA,6164,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:37:33",20,20,0,16,11,0,5,37,21,12,4,7,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
