precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi"
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”ÁRVÁCSKA”",25,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:22:44",1159,1159,0,392,378,0,14,1300,908,388,4,17,18,327,1,4,2,0,1,2,2,5,3,5,0,0,1
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”BENEDEK ELEK”",39,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:07:54",904,904,0,451,435,0,16,1000,549,446,5,19,39,345,8,3,0,0,0,0,0,19,6,2,3,2,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CIMBORA”",69,"ORAŞ BARAOLT",63447,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:59:47",1128,1128,0,576,566,0,10,1200,624,552,24,6,4,523,3,4,1,2,0,0,1,1,3,2,0,1,1
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” CSIPKERÓZSIKA”",57,"MUNICIPIUL TÂRGU SECUIESC",63740,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:48:02",1316,1316,0,519,509,0,10,1400,881,515,3,6,21,466,3,2,2,2,1,0,1,4,2,2,1,1,1
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",13,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:38",856,856,0,365,358,0,7,900,535,357,8,10,13,319,0,1,0,0,0,2,0,6,2,2,2,0,0
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",12,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:51:41",940,940,0,428,415,0,13,1000,572,421,7,4,5,391,5,1,1,2,0,0,0,5,2,1,2,0,2
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",10,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:04:10",1589,1589,0,795,774,0,21,1700,905,788,7,17,26,707,5,3,2,2,2,0,1,8,5,7,0,2,1
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”GULLIVER”",11,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:29:29",1414,1414,0,655,631,0,24,1595,940,648,7,15,24,585,0,0,1,1,1,1,2,11,4,2,0,0,1
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”GULLIVER”",14,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:53:39",943,943,0,410,397,0,13,1000,590,399,11,13,23,333,4,7,1,2,0,0,1,8,0,3,1,3,0
15,COVASNA,"GRADINIŢA CU PROGRAM PRELUNGIT ”HÓFEHÉRKE”",18,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:05:12",629,629,0,397,337,0,60,700,303,391,6,8,14,352,3,3,0,0,0,1,1,5,2,0,0,1,1
