precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"CĂMINUL CULTURAL",178,DEVESELU,126647,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:31:53",1354,1354,0,979,835,0,144,1495,520,901,74,9,3,185,587,8,13,1,9,4,1,13,1,1,0,26,40
30,OLT,"CĂMINUL CULTURAL BĂBICIU",125,BĂBICIU,125659,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:59:41",684,684,0,638,547,0,91,738,191,494,53,5,1,88,346,2,3,3,2,2,3,4,2,0,1,8,24
30,OLT,"CĂMINUL CULTURAL BĂBICIU",126,BĂBICIU,125659,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:46:13",997,997,0,835,693,0,142,1100,257,712,123,0,0,107,551,0,0,0,0,0,0,0,0,0,0,15,39
30,OLT,"CAMINUL CULTURAL BOBICESTI",133,BOBICEŞTI,125873,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:04:20",855,855,0,493,473,0,20,940,447,454,39,0,0,101,313,0,8,0,0,0,0,4,0,0,0,6,22
30,OLT,"CĂMINUL CULTURAL CURTIŞOARA",181,DOBREŢU,126674,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:32:51",599,599,0,495,417,0,78,660,165,474,21,4,2,41,365,7,6,6,1,0,2,3,0,2,0,8,27
30,OLT,"CĂMINUL CULTURAL ” DAMIAN STĂNOIU”",170,CURTIŞOARA,126433,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:06:25",1227,1227,0,760,713,0,47,1352,592,718,42,4,6,98,525,3,10,4,6,3,3,4,0,1,2,7,42
30,OLT,"CAMINUL CULTURAL FLORU",230,ICOANA,127322,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:36:32",336,336,0,283,257,0,26,372,89,270,13,1,4,39,189,2,1,2,1,0,3,2,1,1,0,3,21
30,OLT,"CĂMINUL CULTURAL HOREZU",182,DOBREŢU,126674,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:52:29",354,354,0,324,276,0,48,390,66,296,28,0,2,42,221,1,2,2,0,1,1,5,1,2,2,2,12
30,OLT,"CAMINUL CULTURAL ILIE MARTIN",155,COLONEŞTI,126228,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:19:01",518,518,0,344,289,0,55,568,224,344,0,2,0,6,331,1,0,0,0,0,1,0,0,0,0,2,1
30,OLT,"CĂMINUL CULTURAL OPORELU",264,OPORELU,127858,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:31:25",840,840,0,773,598,0,175,906,133,730,43,7,4,96,542,2,10,0,6,1,3,9,0,0,1,8,41
30,OLT,"CĂMINUL CULTURAL POGANU",362,VERGULEASA,129816,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:33:20",875,875,0,560,512,0,48,958,398,504,56,0,0,66,411,4,0,0,0,1,0,0,0,0,0,0,22
30,OLT,"CĂMINUL CULTURAL REDIŞOARA",289,REDEA,128524,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:56:24",376,376,0,311,247,0,64,411,100,295,16,0,0,40,239,0,0,0,0,0,0,0,0,0,0,0,16
30,OLT,"CĂMINUL CULTURAL SLĂVENI",214,GOSTAVĂŢU,127144,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:21:42",1031,1031,0,722,695,0,27,1137,415,658,64,3,4,106,472,1,4,2,8,2,0,8,1,0,3,10,34
30,OLT,"CAMINUL CULTURAL SPINENI",309,SPINENI,128962,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:49",474,474,0,326,224,0,102,474,148,326,0,0,0,40,261,0,0,0,0,0,0,0,0,0,0,9,16
30,OLT,"CĂMINUL CULTURAL STOENEŞTI",315,STOENEŞTI,129095,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:40:30",939,939,0,598,561,0,37,1035,437,555,43,5,2,91,425,0,3,2,5,2,0,4,2,0,2,2,10
30,OLT,"CĂMINUL CULTURAL ULMI",249,MILCOV,127563,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:13:57",546,546,0,405,374,0,31,607,202,384,21,1,0,47,277,1,3,3,2,1,0,4,2,1,0,17,25
30,OLT,"CAMINUL CULTURAL URSI",240,LELEASCA,127411,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:57:08",351,351,0,396,351,0,45,390,116,250,24,0,1,45,187,0,5,0,0,0,1,2,1,0,0,3,5
30,OLT,"CĂMINUL CULTURAL VALEA SOARELUI",290,REDEA,128524,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:52",210,210,0,175,162,0,13,231,56,163,12,2,0,13,119,0,1,2,1,0,1,3,0,0,0,8,13
30,OLT,"CAMINUL CULTURAL VIESPESTI",312,SPRÂNCENATA,129040,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:23:01",1010,1010,0,713,659,0,54,1114,401,616,97,0,4,98,475,1,1,2,3,2,2,1,1,1,3,4,18
30,OLT,"CASA ARMATEI",179,DEVESELU,126647,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:02:21",210,210,0,135,108,0,27,233,98,127,8,2,1,28,80,1,1,0,1,1,0,0,0,1,0,5,6
30,OLT,"CASA DE CULTURĂ",95,"ORAŞ DRĂGĂNEŞTI-OLT",125622,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:52:54",1178,1178,0,732,697,0,35,1288,556,651,81,11,4,95,479,0,3,4,5,9,2,6,0,2,1,0,30
30,OLT,"CASA DE CULTURĂ",96,"ORAŞ DRĂGĂNEŞTI-OLT",125622,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:24:23",855,855,0,445,418,0,27,939,494,381,64,4,1,46,308,1,3,1,0,0,0,1,0,0,0,9,7
30,OLT,"CASA SPECIALISTULUI",357,VĂLENI,129763,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:33:39",466,466,0,373,339,0,34,511,138,354,19,0,0,62,207,1,0,1,2,3,1,4,0,3,0,49,21
30,OLT,"CENTRU DE PROMOVARE A SĂNĂTĂŢII",273,"OSICA DE SUS",127983,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:24:13",466,466,0,371,354,0,17,511,116,347,24,3,1,43,269,2,3,3,1,0,2,3,1,0,0,6,10
30,OLT,"CENTRUL CULTURAL MUNICIPAL CARACAL",61,"MUNICIPIUL CARACAL",125472,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:27:25",1130,1130,0,678,646,0,32,1243,565,646,32,16,9,77,415,11,9,19,3,7,3,4,1,1,3,49,19
30,OLT,"CENTRUL DE ZI PENTRU COPII AFLAȚI ÎN SITUAȚII DE RISC",298,SÂRBII-MĂGURA,130366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:51:04",631,631,0,455,434,0,21,696,241,440,15,5,0,57,327,3,2,0,5,1,1,6,0,2,0,4,27
30,OLT,"CENTRUL SOCIAL",152,CEZIENI,126102,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:12:47",242,242,0,191,174,0,17,267,76,176,15,5,0,13,133,0,1,2,3,2,2,2,1,0,0,3,9
30,OLT,"CENTRUL SOCIAL DĂNEASA",173,DĂNEASA,126585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:08:25",1108,1108,0,699,639,0,60,1220,521,673,26,2,3,88,434,4,3,3,2,1,2,4,0,2,3,84,38
30,OLT,"CENTRU SOCIAL",218,GRĂDINILE,130320,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:37:24",1177,1177,0,836,805,0,31,1286,450,807,29,2,3,57,686,1,0,5,2,8,3,1,0,0,5,5,29
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",85,"ORAŞ CORABIA",125542,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:45:51",1112,1112,0,564,553,0,11,1222,658,536,28,12,23,61,326,9,16,13,9,10,1,3,3,3,2,30,15
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",84,"ORAŞ CORABIA",125542,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:13:44",860,860,0,404,389,0,15,951,547,385,19,12,4,57,233,6,9,5,3,2,2,1,3,0,2,36,10
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",8,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:56:32",1350,1350,0,770,749,0,21,1485,715,742,28,18,13,101,412,16,19,18,9,24,5,5,5,4,1,51,41
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",6,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:44",1331,1331,0,656,631,0,25,1471,815,634,22,20,7,78,363,15,12,29,7,4,6,3,2,5,3,48,32
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",9,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:00:18",1307,1307,0,712,702,0,10,1441,729,694,18,27,3,106,332,8,22,23,19,1,11,10,7,6,11,55,53
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",7,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:24:42",1464,1464,0,726,719,0,7,1618,932,665,21,30,4,97,380,9,24,0,0,6,6,6,7,0,3,56,37
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",2,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:51:24",1505,1505,0,764,748,0,16,1657,893,736,28,16,3,95,438,16,25,14,16,4,2,5,7,7,7,35,46
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",1,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:59:22",1269,1269,0,637,619,0,18,1406,769,617,20,22,5,75,353,13,12,18,8,14,1,0,3,7,6,44,36
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",3,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:10:55",1860,1860,0,909,898,0,11,2048,1139,867,42,2,11,59,718,2,8,0,2,4,13,3,2,2,0,6,35
30,OLT,"COLEGIUL TEHNIC",76,"ORAŞ BALŞ",125418,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:23:57",1324,1324,0,577,555,0,22,1462,907,534,21,14,1,101,324,6,16,11,5,2,1,3,4,7,3,21,15
30,OLT,"COLEGIUL TEHNIC",77,"ORAŞ BALŞ",125418,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:36:17",1327,1327,0,600,575,0,25,1463,863,569,31,8,8,85,333,6,14,13,1,1,4,8,4,2,7,36,39
30,OLT,"FOSTA SC. CU CLASELE I-IV PRISACA",377,VULPENI,130124,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:12:47",326,326,0,188,161,0,27,328,140,170,18,0,0,22,112,0,0,0,1,1,1,1,0,0,0,19,13
30,OLT,"GPN BIRSESTII DE SUS",313,SPRÂNCENATA,129040,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 01:04:49",330,330,0,293,225,0,68,363,70,259,34,3,0,26,210,2,0,2,0,0,0,0,0,0,1,3,12
30,OLT,GRADINITA,335,"TIA MARE",129460,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:48:14",1192,1192,0,763,741,0,22,1313,550,734,29,8,7,64,478,4,5,3,2,3,3,4,1,1,0,123,28
30,OLT,GRADINITA,337,"TIA MARE",129460,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:14:06",1187,1187,0,681,665,0,16,1309,628,634,47,2,5,61,464,2,4,0,4,6,3,5,1,0,1,45,31
30,OLT,GRADINITA,351,"VALEA MARE",129656,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:40:07",493,493,0,328,308,0,20,539,211,311,17,1,0,87,171,2,6,2,1,3,1,1,0,1,1,6,28
30,OLT,GRĂDINIŢĂ,124,BALDOVINEŞTI,125677,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:43:07",271,271,0,183,175,0,8,298,115,170,13,2,0,16,134,3,3,1,1,1,2,1,0,0,0,4,2
30,OLT,"GRADINITA CIOFLANU",175,DĂNEASA,126585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:51:52",496,496,0,309,266,0,43,549,240,299,10,0,0,34,224,2,0,0,2,2,0,7,0,0,0,19,9
30,OLT,"GRĂDINIȚA COMANI",99,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:23:50",1222,1222,0,831,814,0,17,1351,520,767,64,12,6,85,574,2,10,7,12,3,1,4,1,2,1,10,37
30,OLT,"GRĂDINIȚA COMANI",98,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:59:24",1159,1159,0,797,780,0,17,1276,479,742,55,9,1,95,523,4,11,10,11,4,2,6,0,0,0,20,46
30,OLT,"GRADINITA CONSTANTINESTI",115,"ORAŞ SCORNICEŞTI",128711,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:03:40",421,421,0,328,308,0,20,465,137,313,15,0,1,31,252,2,0,1,0,1,1,2,0,0,1,1,20
30,OLT,"GRADINITA CU PROGRAM NORMAL",104,"ORAŞ PIATRA-OLT",128105,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:24:40",259,259,0,202,175,0,27,286,84,195,7,3,0,20,149,0,2,1,1,0,1,1,1,0,0,1,15
30,OLT,"GRADINITA CU PROGRAM NORMAL",103,"ORAŞ PIATRA-OLT",128105,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:15:20",955,955,0,718,679,0,39,1058,340,695,23,11,1,66,526,4,12,7,1,0,4,3,4,3,2,16,35
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL",210,GHIMPEŢENI,130311,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:17:14",352,352,0,293,279,0,14,389,96,273,20,2,0,77,173,0,3,0,0,0,1,1,1,0,0,4,11
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",232,IPOTEŞTI,130348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:25",1210,1210,0,821,800,0,21,1330,509,750,71,2,4,79,585,2,2,1,16,4,5,10,0,2,1,5,32
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",219,GROJDIBODU,127224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:25",778,778,0,535,518,0,17,858,323,495,40,1,2,47,406,1,2,3,0,0,1,4,0,0,0,5,23
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",220,GROJDIBODU,127224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:08:56",800,800,0,518,518,0,0,884,366,478,40,7,2,43,368,3,4,3,0,1,1,10,0,1,0,2,33
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",46,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:21:16",1341,1341,0,752,747,0,5,1474,722,712,40,28,9,81,403,10,12,20,10,6,7,11,3,1,4,62,45
30,OLT,"GRADINITA CU PROGRAM NORMAL BATARENI",156,COLONEŞTI,126228,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:36:45",141,141,0,158,114,0,44,158,0,158,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,"GRADINITA CU PROGRAM NORMAL CÂMPU MARE",188,DOBROTEASA,126772,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:16:52",378,378,0,268,220,0,48,416,149,255,12,1,0,56,171,3,4,0,0,2,0,1,1,1,1,2,12
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL CORNĂȚELU",280,POBORU,128301,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:38:04",711,711,0,459,425,0,34,783,324,443,16,3,4,48,341,1,7,0,4,2,2,0,2,0,1,3,25
30,OLT,"GRADINITA CU PROGRAM NORMAL CUCUETI",360,VERGULEASA,129816,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:28:04",668,668,0,412,385,0,27,735,324,396,15,4,0,55,297,3,3,0,0,0,3,3,0,0,0,9,19
30,OLT,"GRADINITA CU PROGRAM NORMAL DEJESTI",368,VITOMIREŞTI,129914,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:56:21",510,510,0,398,353,0,45,600,230,352,18,2,0,50,253,0,3,0,1,0,0,3,0,0,0,8,32
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL DOMNIŢA BĂLAŞA",142,BRÂNCOVENI,126022,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:00",408,408,0,322,285,0,37,445,123,308,14,1,3,26,247,1,3,2,3,1,0,2,2,0,1,4,12
30,OLT,"GRADINITA CU PROGRAM NORMAL FRASINETU",184,DOBROSLOVENI,126718,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:32:27",370,370,0,251,229,0,22,407,156,240,11,11,1,71,135,1,0,3,0,1,1,1,0,0,0,3,12
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GĂVĂNEŞTI",204,GĂVĂNEŞTI,130302,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:07:25",556,556,0,376,365,0,11,613,237,365,11,1,0,37,301,1,4,0,0,0,0,0,1,1,2,3,14
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GÎRCOV",207,GÂRCOV,125588,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:55:10",1154,1154,0,816,759,0,57,1274,458,747,69,1,4,64,511,4,0,0,3,4,6,3,0,3,1,114,29
30,OLT,"GRADINITA CU PROGRAM NORMAL GURA CALUIU",147,CĂLUI,130295,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:33:30",442,442,0,277,268,0,9,489,212,239,38,2,0,7,211,0,0,3,0,2,1,1,1,0,0,4,7
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL HOTARU",221,GROJDIBODU,127224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:42:27",520,520,0,350,344,0,6,574,224,331,19,2,0,35,275,1,0,1,5,0,0,0,1,1,0,2,8
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL IZBICENI",234,IZBICENI,127368,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:50:47",1461,1461,0,996,993,0,3,1608,612,941,55,10,7,117,473,7,14,9,7,8,2,12,0,4,2,220,49
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",75,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:44:34",1114,1114,0,476,449,0,27,1232,756,455,21,6,8,78,282,6,11,5,1,0,3,2,18,2,2,1,30
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",74,"ORAŞ BALŞ",125418,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:38:11",1277,1277,0,595,573,0,22,1411,816,569,26,18,9,81,338,1,19,9,3,1,6,8,1,5,0,37,33
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",51,"MUNICIPIUL CARACAL",125472,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:53:18",1508,1508,0,738,708,0,30,1661,923,716,19,31,1,81,463,15,9,11,7,0,5,11,1,2,5,36,38
