precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"GHEORGHE VLAD-DAN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ALIANȚA AUR-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
24,IAŞI,"CAMINUL CULTURAL VINATORI",758,VÂNĂTORI,100086,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:52:37",881,881,0,497,465,0,32,1000,503,469,28,5,2,1,0,21,2,346,0,7,3,4,0,44,9,3,22
24,IAŞI,"CANTONUL PETREŞTI ADMINISTRAT DE CĂTRE ADMINISTRAŢIA BAZINALĂ DE APĂ PRUT-BÂRLAD",462,GOLĂIEŞTI,97090,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:44:57",236,236,0,130,122,0,8,300,170,118,12,1,1,0,1,7,2,89,0,2,0,0,4,4,0,0,7
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",316,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:43:35",1927,1927,0,804,799,0,5,2100,1296,752,52,16,2,3,2,63,15,419,6,15,2,12,10,146,21,1,19
24,IAŞI,"CASA DE CULTURA ”GARABET IBRAILEANU”",315,"ORAŞ TÂRGU FRUMOS",95471,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:03:23",1476,1476,0,648,633,0,15,1600,952,624,24,23,5,6,3,36,1,354,6,17,5,11,7,107,16,0,27
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",262,"MUNICIPIUL PAŞCANI",95391,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:03:31",1155,1155,0,501,479,0,22,1300,799,480,21,13,6,5,5,28,1,255,4,16,3,17,5,69,21,1,31
24,IAŞI,"CASA DE CULTURA MIHAIL SADOVEANU",263,"MUNICIPIUL PAŞCANI",95391,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:13:00",1242,1242,0,533,527,0,6,1400,867,502,31,14,12,2,8,23,1,262,5,27,3,12,4,84,19,0,26
24,IAŞI,"CASA DE PRAZNUIRE",493,HELEŞTENI,97465,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:05:47",160,160,0,107,93,0,14,200,93,101,6,2,0,0,0,12,0,70,0,2,1,1,0,12,0,0,1
24,IAŞI,"CASA DE PRĂZNUIRE A PAROHIEI ”SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” POIANA-ȘCHEII",686,ŞCHEIA,99290,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:40:24",407,407,0,214,211,0,3,500,286,193,21,3,0,0,0,11,1,141,0,1,0,0,1,18,3,1,13
24,IAŞI,"CASA DE PRAZNUIRE BAHLUI",406,COTNARI,96478,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:46:55",253,253,0,132,125,0,7,300,168,122,10,2,1,1,1,4,2,84,0,1,1,0,0,22,1,0,2
24,IAŞI,"CASA DE PRĂZNUIRE BAZGA",616,RĂDUCĂNENI,98685,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:40:41",1210,1210,0,536,526,0,10,1300,764,494,42,7,1,6,4,27,6,325,0,4,4,3,7,60,14,0,26
24,IAŞI,"CASA DE PRĂZNUIRE GRĂDINARI",461,GOLĂIEŞTI,97090,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:15:51",305,305,0,188,176,0,12,400,212,178,10,3,1,1,3,15,1,113,0,3,0,0,1,27,4,0,6
24,IAŞI,"CASA DE PRĂZNUIRE LUNCA RATEŞ",646,SCÂNTEIA,98916,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:19:53",300,300,0,124,117,0,7,400,276,112,12,3,15,0,1,4,1,54,0,0,0,0,0,22,2,0,10
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA ALBEȘTI-REDIU",360,BRĂEŞTI,96058,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:18:29",554,554,0,348,311,0,37,600,252,317,31,1,0,0,2,14,1,262,1,5,1,2,0,16,2,0,10
24,IAŞI,"CASA DE PRAZNUIRE PAROHIA BANU",445,DUMEŞTI,96940,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:45:06",322,322,0,193,184,0,9,402,209,180,13,3,1,0,0,13,0,77,6,2,2,0,2,53,6,1,14
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA IEPURENI",580,MOVILENI,98257,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:46:50",678,678,0,390,382,0,8,703,313,342,48,1,1,3,0,11,0,281,0,3,2,4,3,26,2,1,4
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA MOVILENI",579,MOVILENI,98257,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:30:25",423,423,0,242,236,0,6,500,258,228,14,4,1,0,1,10,1,165,0,7,1,2,0,20,2,2,12
24,IAŞI,"CASA DE PRĂZNUIRE PAROHIA SFÂNTUL PROOROC ILIE TESVITEANUL",463,GOLĂIEŞTI,97090,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:42:15",217,217,0,147,138,0,9,300,153,132,15,1,2,0,2,8,0,89,0,4,1,1,0,18,2,0,4
24,IAŞI,"CASA PAROHIALĂ MORENI",607,PRISĂCANI,98603,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:48:32",798,798,0,484,469,0,15,900,416,445,39,3,2,2,3,33,6,220,0,3,2,2,5,66,7,4,87
24,IAŞI,"CASA PAROHIALĂ ”SF. NICOLAE” CHIPEREȘTI",741,ŢUŢORA,99922,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:56:24",357,357,0,227,204,0,23,400,173,212,15,4,1,0,1,9,1,147,0,2,1,3,3,28,2,0,10
24,IAŞI,"CASA SOCIALA ION NECULCE",514,"ION NECULCE",95499,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:05:44",163,163,0,93,84,0,9,200,107,84,9,0,0,1,0,4,0,58,0,0,2,1,1,14,0,2,1
24,IAŞI,"CASA SOCIALĂ-PAROHIA ”SF.DUMITRU” COADA STÂNCII",745,UNGHENI,96003,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:27:07",534,534,0,234,230,0,4,600,366,218,16,5,4,3,0,17,1,111,0,4,1,1,1,51,5,0,14
24,IAŞI,"CASA SOCIALĂ ”SF. VOIEVOZI” OPRIȘENI",742,ŢUŢORA,99922,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:53:29",589,589,0,325,315,0,10,600,275,321,4,4,2,1,5,21,1,221,0,3,0,2,3,42,6,0,10
24,IAŞI,"CENTRU DE ORGANIZARE PENTRU INTEGRARE SI INFORMARE - C.O.P.I.I. PENTRU COMUNITATEA POIENILE",428,DAGÂŢA,96717,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:34:59",233,233,0,101,93,0,8,300,199,90,11,0,1,0,0,0,0,82,0,0,3,0,0,2,0,0,2
24,IAŞI,"CENTRU DE ZI AFTER SCHOOL RUSI",438,DOBROVĂŢ,96888,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:53:24",771,771,0,464,455,0,9,800,336,411,53,4,4,5,1,25,5,291,0,1,3,3,1,52,8,1,7
24,IAŞI,"CENTRU DE ZI NUMĂRUL 1 SAT CORNEȘTI",549,MIROSLAVA,97919,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:35:43",1332,1332,0,584,573,0,11,1492,907,539,45,11,2,4,1,49,0,259,3,25,1,4,8,98,16,1,57
24,IAŞI,"CENTRUL CULTURAL ”ALEXANDRU VASILIU-TATARUSI”",695,TĂTĂRUŞI,99478,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:08:23",1298,1298,0,762,712,0,50,1400,638,733,29,4,0,4,4,29,1,555,0,12,3,7,3,92,4,0,15
24,IAŞI,"CENTRUL DE CARTIER FRUMOASA",200,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:53:34",1278,1278,0,594,566,0,28,1400,806,575,19,17,12,6,3,31,3,167,1,79,3,14,2,89,44,0,104
24,IAŞI,"CENTRUL EDUCATIV PENTRU COPII SARACI HARMANEASA",492,HELEŞTENI,97465,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:33:08",565,565,0,365,346,0,19,600,235,336,29,5,5,2,1,21,3,221,1,1,0,1,6,54,4,0,11
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",260,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:17:01",1172,1172,0,534,494,0,40,1300,766,522,12,39,10,5,9,28,1,104,2,88,6,20,2,63,44,2,99
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",261,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:48:07",764,764,0,338,325,0,13,800,462,327,11,15,3,3,8,6,4,100,3,28,3,12,1,48,28,4,61
24,IAŞI,"CLĂDIRE SOCIALĂ BĂRBĂTEȘTI",421,CUCUTENI,96664,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:02:57",140,140,0,97,84,0,13,200,103,90,7,2,1,1,1,3,0,70,0,1,0,0,1,9,0,0,1
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",48,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:40:30",912,912,0,455,433,0,22,1000,545,443,12,12,7,0,4,20,4,148,4,55,0,5,1,71,35,2,75
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",47,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:02:16",882,882,0,381,343,0,38,1000,619,381,0,12,8,1,2,16,9,114,3,43,8,14,1,49,36,3,62
24,IAŞI,"COLEGIUL NAŢIONAL",25,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:03:01",917,917,0,475,393,0,82,1000,525,460,15,34,6,6,5,12,2,124,1,65,2,6,1,67,52,3,74
24,IAŞI,"COLEGIUL NAŢIONAL",26,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:54:11",782,782,0,359,288,0,71,800,441,345,14,15,8,4,5,17,0,112,0,35,0,10,2,58,35,6,38
24,IAŞI,"COLEGIUL NAŢIONAL",27,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:17:44",1238,1238,0,384,362,0,22,1400,1016,368,16,16,4,6,8,17,2,102,1,55,1,12,3,44,33,1,63
24,IAŞI,"COLEGIUL NAŢIONAL",28,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:27:46",1269,1269,0,547,511,0,36,1400,853,527,20,20,11,10,3,24,3,153,4,72,1,27,5,58,47,9,80
24,IAŞI,"COLEGIUL NAŢIONAL",24,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:04:39",1239,1239,0,683,510,0,173,1400,717,668,15,39,12,5,8,23,5,154,4,86,7,24,0,84,112,7,98
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",31,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:51:01",889,889,0,514,392,0,122,1000,486,506,8,16,6,5,1,20,0,146,1,97,8,14,0,60,45,5,82
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",32,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:30:46",788,788,0,771,375,0,396,900,129,754,17,54,8,5,10,14,9,180,0,100,1,15,1,50,201,3,103
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",54,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:23:01",593,593,0,290,247,0,43,700,410,282,8,10,6,1,4,12,3,115,1,28,4,6,0,37,15,0,40
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",53,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:02:41",570,570,0,262,243,0,19,600,338,258,4,8,9,0,3,9,1,87,1,37,1,8,0,28,20,0,46
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",52,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:06:18",719,719,0,316,270,0,46,800,484,308,8,15,3,0,4,17,1,117,2,39,0,5,1,33,21,1,49
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTAV BĂNCILĂ”",55,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:50:04",665,665,0,300,246,0,54,700,400,284,16,15,3,1,2,27,1,75,4,28,2,6,0,51,23,5,41
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",231,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:40:45",1440,1440,0,203,163,0,40,1600,1397,198,5,14,1,5,4,11,3,54,1,24,1,4,3,18,23,0,32
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",228,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:33:01",1711,1711,0,127,111,0,16,1900,1773,119,8,0,1,4,0,5,0,50,1,6,1,10,1,16,9,2,13
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",233,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:40:58",1460,1460,0,122,108,0,14,1600,1478,116,6,3,5,1,0,8,1,32,2,11,2,2,1,18,6,3,21
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",235,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:50:37",2031,2031,0,30,16,0,14,2200,2170,29,1,2,0,0,1,0,0,11,0,3,0,1,0,3,6,0,2
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",230,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:39",1593,1593,0,280,214,0,66,1800,1520,273,7,19,2,0,2,14,2,64,0,32,2,9,0,36,35,3,53
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",234,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:25:13",1015,1015,0,245,238,0,7,1100,855,231,14,8,2,3,2,19,0,70,3,27,1,4,1,24,11,4,52
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",227,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:10:21",1680,1680,0,110,92,0,18,1900,1790,109,1,7,2,1,1,4,1,38,3,6,5,0,3,9,9,0,20
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",229,"MUNICIPIUL IAŞI",95060,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:39:06",1483,1483,0,392,380,0,12,1600,1208,373,19,10,4,5,4,29,5,128,2,46,1,10,4,42,17,0,66
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",232,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:56:14",1604,1604,0,219,187,0,32,1800,1581,217,2,8,3,2,0,14,2,66,1,31,2,8,0,22,20,1,37
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",236,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:00:05",1591,1591,0,100,87,0,13,1800,1700,96,4,4,0,1,1,6,1,29,0,15,1,2,2,13,12,0,9
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",33,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:27:12",1032,1032,0,702,393,0,309,1100,398,682,20,31,12,3,1,28,2,190,2,84,2,10,9,150,76,4,78
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",35,"MUNICIPIUL IAŞI",95060,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:32:33",1046,1046,0,765,445,0,320,1100,335,752,13,27,10,5,5,38,4,259,4,83,5,10,8,67,110,7,110
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",36,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:02:33",1594,1594,0,428,100,0,328,1800,1372,407,21,29,4,3,4,16,0,138,1,24,3,3,7,53,84,3,35
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",34,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:42:26",1110,1110,0,773,518,0,255,1200,427,736,37,21,9,7,2,11,8,293,4,90,2,13,4,112,58,4,98
