precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA AUR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi"
17,DOLJ,"CĂMINUL CULTURAL",230,"AMĂRĂŞTII DE JOS",70637,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:25:53",1074,1074,0,888,725,0,163,1100,212,825,63,9,14,8,1,109,16,0,0,27,606,7,4,22,0,1,1
17,DOLJ,"CAMINUL CULTURAL BASARABI (DIN CADRUL CASEI DE CULTURA CALAFAT )",197,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:56:35",826,826,0,535,517,0,18,1000,465,511,24,2,1,2,1,53,3,0,1,13,397,7,6,19,3,2,1
17,DOLJ,"CĂMINUL CULTURAL BISTREȚ",244,BISTREŢ,70897,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:11:13",1010,1010,0,623,579,0,44,1133,510,548,75,1,3,0,4,57,10,1,2,26,431,0,2,4,6,0,1
17,DOLJ,"CAMINUL CULTURAL BOURENI",226,AFUMAŢI,70520,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:29:12",777,777,0,563,526,0,37,800,237,523,40,2,5,0,0,70,4,1,1,31,370,27,7,0,4,0,1
17,DOLJ,"CĂMINUL CULTURAL BRABOVA",249,BRABOVA,70986,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:24:45",428,428,0,379,323,0,56,544,165,336,43,0,3,2,0,46,5,0,0,6,266,4,0,4,0,0,0
17,DOLJ,"CĂMINUL CULTURAL CARPEN",284,CARPEN,71536,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:18:38",685,685,0,504,425,0,79,700,196,477,27,0,0,1,1,29,0,0,0,7,430,0,0,9,0,0,0
17,DOLJ,"CĂMINUL CULTURAL CERĂT",299,CERĂT,71698,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:43:50",1998,1998,0,1014,998,0,16,2200,1186,871,143,2,0,2,2,136,4,1,0,16,694,1,0,8,2,1,2
17,DOLJ,"CĂMINUL CULTURAL CETATE",306,CETATE,71787,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:28:29",1397,1397,0,741,608,0,133,1600,859,727,14,0,0,2,2,93,3,0,0,16,587,2,11,10,1,0,0
17,DOLJ,"CAMINUL CULTURAL CIUPERCENII VECHII ( DIN CADRUL CASEI DE CULTURA CALAFAT )",198,"MUNICIPIUL CALAFAT",70352,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:14:40",1725,1725,0,954,945,0,9,1900,946,889,65,7,2,2,4,100,7,1,1,19,702,10,6,19,5,2,2
17,DOLJ,"CĂMINUL CULTURAL CLEANOV",285,CARPEN,71536,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:11:35",990,990,0,574,544,0,30,1000,426,541,33,0,0,0,0,5,0,0,2,5,525,0,0,4,0,0,0
17,DOLJ,"CAMINUL CULTURAL COVEI",227,AFUMAŢI,70520,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:51:08",358,358,0,241,216,0,25,300,59,236,5,1,0,0,0,28,0,0,2,4,198,2,0,1,0,0,0
17,DOLJ,"CĂMINUL CULTURAL DAMIAN",475,SADOVA,73996,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:48:27",1337,1336,1,864,848,1,15,1500,636,756,108,0,0,6,8,116,11,0,0,47,542,2,4,20,0,0,0
17,DOLJ,"CĂMINUL CULTURAL DESA",328,DESA,72034,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:10:40",1510,1510,0,1103,1019,0,84,1700,597,1091,12,0,0,0,0,115,0,0,0,0,957,0,0,19,0,0,0
17,DOLJ,"CAMINUL CULTURAL DRANIC",343,DRĂNIC,72221,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 12:56:19",808,808,0,585,540,0,45,800,215,548,37,1,0,0,0,41,7,0,2,27,464,0,1,3,2,0,0
17,DOLJ,"CĂMINUL CULTURAL GIGHERA",360,GIGHERA,72463,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:15:50",949,949,0,530,498,0,32,1000,470,507,23,1,1,1,0,44,15,1,0,9,427,4,1,3,0,0,0
17,DOLJ,"CĂMINUL CULTURAL GOGOŞU",368,GOGOŞU,72604,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:42:59",154,154,0,132,109,0,23,140,8,119,13,0,0,0,0,11,2,0,0,3,100,0,0,3,0,0,0
17,DOLJ,"CĂMINUL CULTURAL ÎNTORSURA",385,ÎNTORSURA,74923,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 12:11:14",1180,1177,3,794,739,2,53,1200,406,703,91,4,1,2,2,51,4,0,1,18,604,4,2,4,2,2,2
17,DOLJ,"CĂMINUL CULTURAL MÂRZA",478,SĂLCUŢA,74028,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:10:44",431,431,0,160,151,0,9,400,240,140,20,0,0,0,1,9,0,0,0,3,122,0,0,5,0,0,0
17,DOLJ,"CĂMINUL CULTURAL MELINEŞTI",405,MELINEŞTI,73102,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:52:30",896,896,0,634,564,0,70,900,266,592,42,2,1,5,1,80,8,0,3,20,439,5,7,12,6,1,2
17,DOLJ,"CĂMINUL CULTURAL OSTROVENI",428,OSTROVENI,73567,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:03:01",1033,1033,0,683,636,0,47,1200,517,612,71,0,3,8,0,53,10,0,0,26,487,0,11,10,0,4,0
17,DOLJ,"CAMINUL CULTURAL PISCU VECHI",438,"PISCU VECHI",73665,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:43:38",932,932,0,584,524,0,60,1000,416,577,7,2,0,0,0,47,4,0,2,8,508,0,0,5,0,1,0
17,DOLJ,"CĂMINUL CULTURAL POPÂNZĂLEȘTI",341,DRĂGOTEŞTI,72150,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:17:24",461,461,0,389,330,0,59,500,111,370,19,2,0,3,0,44,5,2,1,20,248,1,1,39,3,1,0
17,DOLJ,"CĂMINUL CULTURAL RĂCHITA DE JOS",251,BRABOVA,70986,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:33:21",215,215,0,215,150,0,65,298,83,215,0,0,0,0,0,15,0,0,0,0,198,1,0,1,0,0,0
17,DOLJ,"CĂMINUL CULTURAL TEASC",502,TEASC,74322,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:11:20",1321,1321,0,974,950,0,24,1500,526,938,36,0,0,0,1,114,0,0,0,9,773,0,7,31,3,0,0
17,DOLJ,"CĂMINUL CULTURAL URDINIȚA",252,BRABOVA,70986,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:17:22",206,206,0,177,135,0,42,200,23,162,15,4,0,0,2,27,5,0,0,3,121,0,0,0,0,0,0
17,DOLJ,"CASA DE CULTURA A STUDENŢILOR",2,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:43:41",1326,1326,0,521,503,0,18,1400,879,507,14,2,9,14,8,99,7,3,2,41,163,12,45,82,9,6,5
17,DOLJ,"CENTRUL AFTER SCHOOL CERNĂTEȘTI",301,CERNĂTEŞTI,71723,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:05:54",347,347,0,249,228,0,21,300,51,227,22,1,0,2,0,41,5,0,0,7,166,3,1,1,0,0,0
17,DOLJ,"CENTRUL CULTURAL",292,CÂRCEA,74859,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:07:52",1945,1945,0,1383,1220,0,163,2200,817,1370,13,0,0,8,2,75,5,0,2,4,1161,5,11,93,4,0,0
17,DOLJ,"CENTRUL MULTIFUNCȚIONAL DESA",329,DESA,72034,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:23:30",1164,1164,0,524,497,0,27,1200,676,470,54,0,1,1,1,41,4,0,0,3,412,3,1,3,0,0,0
17,DOLJ,"CENTRUL SOCIAL",371,GOICEA,72640,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:51:18",1089,1089,0,750,651,0,99,1100,350,655,95,0,5,16,1,75,6,0,1,29,499,0,5,14,3,0,1
17,DOLJ,"CENTRUL SOCIAL CARAULA",283,CARAULA,71518,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:29:20",993,993,0,464,413,0,51,1100,636,421,43,1,0,1,0,72,8,0,0,5,330,0,0,1,0,3,0
17,DOLJ,"CLUB CAMIN CULTURAL DIOSTI",330,DIOŞTI,72052,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:40:38",903,903,0,569,551,0,18,900,331,480,89,2,3,2,2,58,3,2,2,22,348,8,2,18,5,2,1
17,DOLJ,"CLUBUL COPIILOR",224,"ORAŞ ŞEGARCEA",70502,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:23:52",1644,1644,0,1017,982,0,35,1900,883,902,115,2,0,9,0,89,4,0,1,34,725,16,9,12,0,0,1
17,DOLJ,"CLUBUL COPIILOR DABULENI",204,"ORAŞ DĂBULENI",72007,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:40:20",1393,1393,0,938,870,0,68,1600,662,890,48,5,5,11,1,115,13,2,4,18,667,11,5,24,5,2,2
17,DOLJ,"COLEGIUL NAŢIONAL ”CAROL I”",61,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:40:52",850,850,0,423,400,0,23,898,475,407,16,2,3,26,1,71,2,4,1,11,141,18,43,69,9,3,3
17,DOLJ,"COLEGIUL NAȚIONAL ”CAROL I”",62,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:12:12",1258,1258,0,458,444,0,14,1400,942,447,11,2,10,26,4,61,8,10,6,17,162,17,31,74,9,8,2
17,DOLJ,"COLEGIUL NAŢIONAL ECONOMIC ”GHEORGHE CHIŢU”",47,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:21:45",1443,1443,0,680,586,0,94,1600,920,662,18,9,8,23,3,99,10,4,1,38,307,14,27,102,9,6,2
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",46,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:21:17",1229,1229,0,551,440,0,111,1400,849,531,20,3,3,27,1,106,7,5,7,34,241,14,17,51,8,4,3
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",45,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:08:53",1341,1341,0,605,484,0,121,1400,795,591,14,1,5,28,3,107,11,3,4,28,269,13,27,75,12,3,2
17,DOLJ,"COLEGIUL NAŢIONAL ”ELENA CUZA”",1,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:26:55",1611,1611,0,484,452,0,32,1752,1268,470,14,5,4,26,1,72,6,3,4,18,171,9,38,82,9,16,6
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",53,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:26:05",1671,1671,0,699,663,0,36,1900,1201,685,14,5,4,30,0,122,9,5,7,32,307,13,53,82,5,9,2
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",52,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:23:56",1770,1770,0,713,697,0,16,2000,1287,702,11,1,7,28,3,115,17,4,5,28,272,22,55,107,18,12,8
17,DOLJ,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU”",125,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:18:33",1578,1578,0,710,681,0,29,1800,1090,688,22,3,2,36,3,115,7,5,8,25,281,19,40,118,16,8,2
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",115,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:03:38",1588,1588,0,674,659,0,15,1700,1026,651,23,7,6,31,2,101,10,6,4,31,269,21,45,98,9,7,4
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",114,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:20:50",1876,1876,0,640,625,0,15,2100,1460,619,21,2,3,32,5,122,10,2,10,38,219,21,41,90,17,5,2
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENITESCU”",103,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:19:30",1475,1475,0,587,574,0,13,1700,1113,576,11,1,6,32,1,111,13,5,7,28,254,19,7,71,9,5,7
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",106,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:50:26",1501,1501,0,587,573,0,14,1700,1113,563,24,5,3,19,6,91,9,5,3,31,243,20,33,83,8,4,0
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",104,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:00:38",1761,1761,0,657,643,0,14,2000,1343,657,0,6,3,35,5,116,13,0,9,30,264,20,32,91,24,5,4
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",107,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:51:39",1508,1508,0,530,515,0,15,1700,1170,512,18,1,5,15,3,98,4,2,6,17,223,15,33,70,11,7,2
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",105,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:18:54",1415,1415,0,532,516,0,16,1600,1068,505,27,3,4,13,1,91,6,0,2,29,259,16,15,55,7,1,3
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",69,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:37:52",1638,1638,0,615,597,0,18,1800,1185,591,24,9,3,21,3,114,3,2,6,39,248,19,21,79,12,10,2
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",68,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:19:07",1733,1733,0,586,573,0,13,2000,1414,561,25,5,0,18,1,133,6,5,3,42,266,28,11,32,4,1,6
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",67,"MUNICIPIUL CRAIOVA",69900,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:15:23",1724,1724,0,636,626,0,10,1900,1264,626,10,3,10,30,2,110,12,2,1,23,271,23,37,73,18,9,2
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",112,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:20:19",1512,1512,0,633,594,0,39,1670,1037,610,23,3,13,21,3,103,9,3,7,17,289,18,31,75,8,5,5
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",113,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:51:47",1224,1224,0,522,508,0,14,1250,728,511,11,1,2,8,8,94,9,4,4,15,208,27,24,84,13,9,1
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",111,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:48:04",1518,1518,0,672,658,0,14,1600,928,644,28,2,5,31,4,101,4,5,5,22,312,23,28,77,13,4,8
