precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi"
23,IALOMIŢA,"ŞCOALA GENERALĂ GHEORGHE LAZĂR",152,"GHEORGHE LAZĂR",93628,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:56:17",754,754,0,467,421,0,46,850,383,447,20,19,4,4,2,9,0,4,72,4,2,2,7,312,2,2,2
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",66,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:45:30",1401,1401,0,633,617,0,16,1550,917,608,25,48,16,14,4,7,7,19,78,5,7,1,58,311,9,3,21
23,IALOMIŢA,"ŞCOALA GENERALĂ ION HELIADE RADULESCU",67,"MUNICIPIUL URZICENI",100683,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:35:28",1170,1170,0,523,516,0,7,1300,777,500,23,40,17,14,2,8,7,14,55,5,5,4,45,266,5,3,10
23,IALOMIŢA,"ŞCOALA GENERALA LUCIU",160,"GURA IALOMIŢEI",180046,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:26:54",1061,1061,0,678,675,0,3,1150,472,622,56,33,3,3,6,7,4,4,184,2,3,0,16,355,0,0,2
23,IALOMIŢA,"ŞCOALA GENERALĂ MALU ROȘU",98,ARMĂŞEŞTI,100870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:04:39",1069,1069,0,590,566,0,24,1200,610,547,43,45,6,2,1,3,5,6,62,2,2,1,41,363,2,3,3
23,IALOMIŢA,"ŞCOALA GENERALĂ NICOLEŞTI",175,MILOŞEŞTI,94045,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:25",308,308,0,183,178,0,5,400,217,167,16,10,2,1,3,1,2,3,11,0,0,0,1,128,2,0,3
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 1",181,MUNTENI-BUZĂU,94107,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:35:26",1445,1445,0,894,862,0,32,1600,706,831,63,29,13,3,12,4,5,13,182,5,4,0,41,505,5,1,9
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 2",182,MUNTENI-BUZĂU,94107,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:11:26",1214,1214,0,662,641,0,21,1350,688,625,37,37,15,9,3,3,4,6,159,4,5,0,38,331,3,0,8
23,IALOMIŢA,"ŞCOALA GENERALA TOVĂRĂŞIA",176,MILOŞEŞTI,94045,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:23:35",275,275,0,137,122,0,15,300,163,122,15,10,4,0,1,0,0,0,5,1,1,2,9,89,0,0,0
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ",113,BORĂNEŞTI,179784,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:34:26",559,559,0,410,386,0,24,620,210,351,59,11,0,2,11,3,10,4,40,3,5,2,41,215,1,1,2
