precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"GHEORGHE VLAD-DAN-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA AUR-voturi","ROMÂNIA SOCIALISTĂ-voturi"
35,SUCEAVA,"CASA POLONĂ ”DOM POLSKI”",388,"MĂNĂSTIREA HUMORULUI",149370,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:32:24",151,151,0,73,63,0,10,200,127,67,6,6,1,0,1,0,0,0,0,0,0,3,42,2,2,10,0
35,SUCEAVA,"CASA SOCIALĂ ”ARHIM. ZENOVIE GHIDESCU”",99,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:30:20",827,827,0,428,418,0,10,900,472,407,21,19,1,11,2,0,4,5,1,1,5,5,215,39,20,74,5
35,SUCEAVA,"CASA TINERETULUI",470,STULPICANI,150356,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:40:07",1205,1205,0,711,703,0,8,1325,614,647,64,10,2,8,4,4,1,1,3,4,4,3,454,48,10,90,1
35,SUCEAVA,"CASA TRADIȚIILOR",501,UDEŞTI,150588,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:58:16",550,550,0,286,275,0,11,600,314,261,25,8,3,4,6,1,0,7,1,2,1,6,110,10,14,84,4
35,SUCEAVA,"CENTRALA TERMICĂ CU COGENERARE",68,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:50:00",1381,1381,0,663,644,0,19,1500,837,630,33,14,12,18,23,4,6,11,7,5,3,15,306,30,69,105,2
35,SUCEAVA,"CENTRU DE ASISTENTA DUPA PROGRAMUL SCOLAR TIP AFTER SCHOOL",241,BRODINA,147241,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:58:28",617,617,0,330,320,0,10,696,366,292,38,4,2,0,1,0,3,0,0,2,6,1,143,40,7,83,0
35,SUCEAVA,"CENTRU DE ASISTENȚĂ DUPĂ PROGRAMUL ȘCOLAR TIP ”AFTERSCHOOL”",349,HÂRTOP,151549,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:38:24",1048,1048,0,628,611,0,17,1100,472,582,46,11,1,20,11,4,3,3,5,3,5,9,273,50,67,117,0
35,SUCEAVA,"CENTRU DE ASISTENȚĂ DUPĂ PROGRAMUL ȘCOLAR TIP ”AFTERSCHOOL”",350,HÂRTOP,151549,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:29:59",1034,1034,0,578,570,0,8,1100,522,531,47,11,7,7,4,0,4,3,1,0,8,8,253,35,99,89,2
35,SUCEAVA,"CENTRU DE SERVICII SOCIALE INTEGRATE MĂNĂSTIOARA",189,"ORAŞ SIRET",146655,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:37:34",452,452,0,215,206,0,9,500,274,202,13,2,2,3,3,0,2,3,3,3,2,2,136,9,4,28,0
35,SUCEAVA,"CENTRU DE TINERET",184,"ORAŞ SIRET",146655,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:51:44",1239,1239,0,508,500,0,8,1400,892,487,21,16,4,13,9,2,2,2,2,7,5,6,297,30,10,80,2
35,SUCEAVA,"CENTRU DE ZI PENTRU COPII",523,"VATRA MOLDOVIŢEI",150980,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:37:38",627,627,0,383,365,0,18,700,317,354,29,4,5,6,4,0,5,2,4,5,4,2,231,8,2,72,0
35,SUCEAVA,"CENTRUL CULTURAL BUCOVINA",6,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:36:42",1537,1537,0,656,628,0,28,1700,1044,635,21,20,1,29,47,6,3,4,8,7,1,25,263,29,84,106,2
35,SUCEAVA,"CENTRUL CULTURAL- CASA DE CULTURĂ",156,"ORAŞ GURA HUMORULUI",146584,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:09:42",1797,1797,0,829,792,0,37,1900,1071,785,44,32,2,22,26,4,5,2,8,5,8,20,365,70,61,150,5
35,SUCEAVA,"CENTRUL CULTURAL EDUCAȚIONAL",428,"POIANA STAMPEI",149851,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:56:49",245,245,0,164,153,0,11,250,86,158,6,0,0,1,1,0,1,0,0,2,0,1,126,11,5,9,1
35,SUCEAVA,"CENTRUL CULTURAL FLORIN PIERSIC CORLATA",220,BERCHIŞEŞTI,151576,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:05",405,405,0,263,257,0,6,500,237,246,17,1,3,6,0,1,0,0,1,1,3,1,166,23,4,34,2
35,SUCEAVA,"CENTRUL CULTURAL ”MIHAI TELIMAN”",182,"ORAŞ SIRET",146655,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:35:45",1243,1243,0,642,600,0,42,1400,758,599,43,12,6,16,12,2,5,3,4,3,7,13,368,39,17,90,2
35,SUCEAVA,"CENTRUL PENTRU SUSŢINEREA TRADIŢIILOR BUCOVINENE",14,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:46:54",1322,1322,0,554,531,0,23,1400,846,533,21,16,5,19,40,2,4,7,4,11,7,12,223,30,64,88,1
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA, CORP A",52,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:27:00",1797,1797,0,710,699,0,11,2000,1290,684,26,29,2,22,28,3,7,6,6,5,3,18,300,55,70,125,5
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA- CORP B",53,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:38:35",1654,1654,0,611,602,0,9,1800,1189,600,11,26,2,31,22,2,4,7,13,5,3,12,295,41,45,88,4
35,SUCEAVA,"CENTRUL SOCIAL DE PRIMIRE, ASISTARE ȘI ÎNGRIJIRE A PERSOANELOR VÂRSTNICE",123,"MUNICIPIUL VATRA DORNEI",146744,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:05:20",499,499,0,302,294,0,8,628,326,292,10,8,1,7,6,1,2,1,4,0,4,5,172,18,8,51,4
35,SUCEAVA,"CENTRUL SOCIAL DE ZI PENTRU PERSOANE VÂRSTNICE, SAT BOBEICA",374,"IZVOARELE SUCEVEI",149183,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 01:26:30",337,337,0,215,207,0,8,393,178,188,27,10,3,2,0,0,1,1,2,0,3,5,96,12,20,33,0
