precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi"
33,SĂLAJ,"CAMIN CULTURAL BOGDANA",100,BUCIUMI,140379,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:42:22",370,370,0,296,247,0,49,450,154,252,44,1,4,0,1,3,0,1,2,5,50,9,3,1,166,2,4
33,SĂLAJ,"CAMIN CULTURAL BULGARI",260,SĂLĂŢIG,142550,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:24:05",169,169,0,120,103,0,17,200,80,112,8,0,2,1,1,1,0,1,0,0,28,3,0,0,75,0,0
33,SĂLAJ,"CĂMIN CULTURAL COSNICIU DE JOS",200,IP,141722,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:51:27",507,507,0,280,277,0,3,550,270,259,21,0,38,1,0,4,1,9,11,16,48,6,1,6,118,0,0
33,SĂLAJ,"CĂMIN CULTURAL CUCIULAT",206,LETCA,141786,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:20:26",127,127,0,96,77,0,19,150,54,91,5,0,16,0,0,1,0,0,0,3,16,0,0,1,52,1,1
33,SĂLAJ,"CAMIN CULTURAL HALMASD",167,HALMĂŞD,141312,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:53:28",826,826,0,547,517,0,30,900,353,499,48,6,25,0,1,6,2,3,13,30,47,9,1,9,343,1,3
33,SĂLAJ,"CAMIN CULTURAL HOROATU CRASNEI",185,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:26:35",770,770,0,544,479,0,65,850,306,507,37,4,18,3,1,11,3,144,5,8,37,13,2,5,249,1,3
33,SĂLAJ,"CAMIN CULTURAL MINEU",262,SĂLĂŢIG,142550,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:58:30",255,255,0,147,134,0,13,300,153,140,7,0,1,0,0,3,1,54,0,2,12,0,0,0,66,1,0
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:57:09",316,316,0,274,206,0,68,400,126,259,15,0,13,1,0,2,1,0,4,12,51,17,0,2,155,0,1
33,SĂLAJ,"CĂMIN CULTURAL ROMITA",255,ROMÂNAŞI,142426,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:20:46",245,245,0,122,96,0,26,300,178,118,4,1,3,0,0,1,0,0,1,5,28,5,0,0,74,0,0
33,SĂLAJ,"CAMIN CULTURAL SANGEORGIU DE MESES",102,BUCIUMI,140379,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:20:18",205,205,0,188,139,0,49,250,62,175,13,1,3,0,0,1,3,1,1,6,35,12,2,3,107,0,0
33,SĂLAJ,"CĂMIN CULTURAL VALEA LOZNEI",214,LOZNA,141884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:00:28",132,132,0,143,77,0,66,160,17,134,9,0,1,2,0,0,0,0,2,3,49,4,1,1,71,0,0
33,SĂLAJ,"CAMIN CULTURAL VAR",55,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:31",393,393,0,257,247,0,10,450,193,252,5,0,13,1,1,5,0,6,1,6,32,8,2,3,173,1,0
33,SĂLAJ,"CAMINUL CULTURAL",184,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:02:02",225,225,0,143,142,0,1,300,157,136,7,1,12,1,0,1,0,5,1,4,28,3,0,2,76,0,2
33,SĂLAJ,"CĂMINUL CULTURAL",179,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:33:52",14,14,0,42,5,0,37,50,8,40,2,1,2,1,0,0,0,1,1,2,5,3,1,1,22,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",188,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:17:43",185,185,0,164,110,0,54,250,86,159,5,1,3,1,1,0,2,1,1,6,29,8,0,0,101,4,1
33,SĂLAJ,"CĂMINUL CULTURAL",182,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:15:01",305,305,0,166,144,0,22,349,183,157,9,0,0,6,0,2,0,5,0,4,32,14,2,1,91,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",183,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:49:25",91,91,0,69,46,0,23,150,81,66,3,0,7,0,1,2,0,2,2,3,16,3,0,0,30,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",140,DOBRIN,140958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:29:28",364,364,0,216,187,0,29,468,252,204,12,0,6,0,0,1,0,93,0,5,21,6,1,1,67,0,3
33,SĂLAJ,"CĂMINUL CULTURAL",178,HIDA,141447,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:02:46",99,99,0,64,54,0,10,150,86,60,4,0,3,0,1,5,0,1,2,2,4,0,1,2,39,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:09:04",86,86,0,83,57,0,26,150,67,79,4,0,0,0,0,0,0,1,0,1,8,2,0,0,67,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",240,NUŞFALĂU,142239,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:47:48",309,309,0,214,209,0,5,350,136,195,19,0,0,1,1,1,0,177,0,0,7,0,1,1,6,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",201,IP,141722,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:07:03",206,206,0,124,122,0,2,250,126,118,6,0,13,0,0,3,2,1,4,3,13,2,2,1,74,0,0
33,SĂLAJ,"CĂMINUL CULTURAL",166,GÂRBOU,141232,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:23:02",261,261,0,200,179,0,21,300,100,180,20,0,7,0,2,1,2,2,1,4,27,7,4,0,122,0,1
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-09 23:31:03",58,58,0,58,39,0,19,100,42,51,7,1,6,0,0,0,0,16,1,0,9,1,0,1,16,0,0
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:09:35",206,206,0,139,132,0,7,250,111,132,7,0,1,0,1,0,0,122,0,0,2,0,0,0,6,0,0
33,SĂLAJ,"CĂMINUL CULTURAL BRÎGLEZ",278,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:58:39",215,215,0,213,150,0,63,300,87,207,6,1,9,0,0,1,0,0,1,4,20,15,0,4,152,0,0
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",163,GÂRBOU,141232,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:52:20",139,139,0,93,75,0,18,200,107,89,4,0,1,0,1,2,0,1,1,0,20,2,0,0,60,1,0
33,SĂLAJ,"CĂMINUL CULTURAL CRISTOLȚ",127,CRISTOLŢ,140770,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:36:11",444,444,0,396,339,0,57,550,154,368,28,1,22,3,3,3,4,4,0,30,33,13,0,8,241,0,3
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:06:15",429,429,0,294,274,0,20,500,206,287,7,0,4,0,0,2,0,223,1,4,15,1,0,3,29,0,5
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",225,"MESEŞENII DE JOS",142079,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:51:25",550,550,0,383,358,0,25,600,217,370,13,0,4,0,0,3,1,187,1,10,41,9,0,3,110,0,1
33,SĂLAJ,"CĂMINUL CULTURAL DOBA",141,DOBRIN,140958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:39:18",277,277,0,164,157,0,7,350,186,161,3,0,0,0,0,0,0,141,1,3,3,0,0,0,13,0,0
33,SĂLAJ,"CĂMINUL CULTURAL DOLU",310,ZIMBOR,143147,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:24:14",38,38,0,45,29,0,16,50,5,43,2,1,2,0,0,0,1,1,0,3,9,1,0,0,25,0,0
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:00:05",501,501,0,269,254,0,15,560,291,216,53,1,3,0,3,0,0,5,0,28,32,5,2,0,135,0,2
33,SĂLAJ,"CĂMINUL CULTURAL FIRMINIŞ",230,MIRŞID,142122,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:06:48",135,135,0,111,85,0,26,151,40,101,10,0,1,1,1,3,1,2,0,2,27,5,0,0,58,0,0
33,SĂLAJ,"CĂMINUL CULTURAL FIZEȘ",265,SÂG,142612,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:41:39",251,251,0,143,136,0,7,300,157,125,18,2,5,5,1,1,5,1,3,7,39,3,0,1,48,0,4
33,SĂLAJ,"CĂMINUL CULTURAL GĂLĂȘENI, NR.50",135,CUZĂPLAC,140869,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:18:26",83,83,0,83,60,0,23,100,17,79,4,0,3,0,0,0,0,1,2,1,6,0,2,1,62,1,0
33,SĂLAJ,"CĂMINUL CULTURAL HĂȘMAȘ",294,ŞIMIŞNA,179695,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:23:10",181,181,0,124,113,0,11,250,126,112,12,1,1,0,0,2,1,1,0,1,17,3,0,1,83,0,1
33,SĂLAJ,"CĂMINUL CULTURAL HERECLEAN",171,HERECLEAN,141376,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:47:13",515,515,0,351,328,0,23,550,199,330,21,2,19,0,1,14,3,27,7,8,44,50,2,8,143,1,1
33,SĂLAJ,"CĂMINUL CULTURAL INĂU",275,SOMEŞ-ODORHEI,142710,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:09:39",480,480,0,321,287,0,34,551,230,298,23,4,19,0,3,2,0,2,4,17,42,2,1,3,196,0,3
33,SĂLAJ,"CĂMINUL CULTURAL JEBUCU",68,ALMAŞU,139982,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:27:01",277,277,0,293,230,0,63,350,57,281,12,1,1,1,0,1,0,242,2,4,9,0,0,0,20,0,0
33,SĂLAJ,"CĂMINUL CULTURAL MIRŞID",229,MIRŞID,142122,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:37:15",566,566,0,421,390,0,31,600,179,394,27,2,13,0,1,4,1,26,1,13,52,18,0,2,260,1,0
33,SĂLAJ,"CĂMINUL CULTURAL MOIAD",292,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:58:54",169,169,0,101,95,0,6,200,99,99,2,0,5,0,1,0,0,3,2,6,15,3,0,3,58,1,2
33,SĂLAJ,"CĂMINUL CULTURAL, NR.20",147,DRAGU,141027,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:54:12",15,15,0,20,6,0,14,50,30,20,0,0,3,0,0,0,0,1,0,0,1,2,0,0,13,0,0
33,SĂLAJ,"CĂMINUL CULTURAL PANIC",176,HERECLEAN,141376,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:37:58",884,884,0,609,578,0,31,950,341,594,15,3,8,0,1,1,1,446,1,10,12,15,0,1,93,0,2
33,SĂLAJ,"CĂMINUL CULTURAL ”PETŐFI SÁNDOR”",114,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:20",1883,1883,0,1288,1194,0,94,2000,712,1265,23,1,9,2,3,0,1,1155,2,1,25,6,1,4,52,1,2
33,SĂLAJ,"CĂMINUL CULTURAL PETRINZEL",70,ALMAŞU,139982,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:19:49",85,85,0,77,58,0,19,150,73,75,2,0,1,0,1,1,0,52,0,2,7,1,0,0,10,0,0
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:46:54",791,791,0,514,488,0,26,854,340,452,62,0,18,1,2,2,4,2,8,34,71,18,9,4,249,26,4
33,SĂLAJ,"CĂMINUL CULTURAL POPENI",232,MIRŞID,142122,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:23:40",747,747,0,486,463,0,23,800,314,435,51,4,29,0,0,1,3,6,1,24,79,10,3,6,265,1,3
33,SĂLAJ,"CĂMINUL CULTURAL RECEA",303,VÂRŞOLŢ,143021,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:26:17",447,447,0,344,287,0,57,550,206,322,22,0,5,1,4,5,6,61,6,16,81,7,1,9,118,0,2
33,SĂLAJ,"CĂMINUL CULTURAL RUGINOASA, NR.22",138,CUZĂPLAC,140869,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 19:16:11",54,54,0,57,31,0,26,100,43,51,6,2,3,0,0,0,0,1,1,0,12,1,0,1,30,0,0
33,SĂLAJ,"CĂMINUL CULTURAL SÂNCRAIU ALMAȘULUI",311,ZIMBOR,143147,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:12:38",132,132,0,96,83,0,13,150,54,86,10,0,5,0,0,1,1,2,1,2,11,1,0,3,59,0,0
33,SĂLAJ,"CĂMINUL CULTURAL ȘOIMUȘ",276,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:37:35",287,287,0,169,142,0,27,350,181,153,16,0,4,0,2,2,0,1,1,4,16,3,1,4,114,0,1
33,SĂLAJ,"CĂMINUL CULTURAL SOLONA",280,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:04:39",178,178,0,160,119,0,41,250,90,150,10,0,0,0,1,1,0,3,2,5,7,2,0,2,126,1,0
33,SĂLAJ,"CĂMINUL CULTURAL SOMEȘ-ODORHEI",272,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:48:00",1135,1135,0,690,646,0,44,1200,510,642,48,5,112,1,4,4,2,10,14,29,179,19,5,10,246,0,2
33,SĂLAJ,"CĂMINUL CULTURAL STANA",71,ALMAŞU,139982,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:16:12",90,90,0,81,61,0,20,150,69,80,1,0,3,0,0,0,1,63,1,1,2,0,0,1,8,0,0
33,SĂLAJ,"CĂMINUL CULTURAL ŞUMAL",218,MARCA,141946,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:24:10",390,390,0,271,266,0,5,450,179,250,21,0,9,0,3,13,2,4,5,9,35,11,0,6,148,5,0
33,SĂLAJ,"CĂMINUL CULTURAL SURDUC",277,SURDUC,142774,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:09:05",1069,1069,0,905,730,0,175,1150,245,830,75,2,19,0,1,4,6,10,2,23,93,25,0,10,630,2,3
33,SĂLAJ,"CĂMINUL CULTURAL SUTORU",312,ZIMBOR,143147,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:52:33",98,98,0,75,66,0,9,150,75,69,6,1,2,0,0,3,0,1,1,1,12,1,0,1,46,0,0
33,SĂLAJ,"CĂMINUL CULTURAL TEȘTIOARA",281,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:16",60,60,0,60,34,0,26,100,40,59,1,0,0,0,0,0,0,0,0,1,5,3,0,0,50,0,0
33,SĂLAJ,"CĂMINUL CULTURAL TIHĂU",282,SURDUC,142774,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:16:37",847,847,0,702,607,0,95,900,198,619,83,3,7,1,2,6,2,4,14,16,72,32,7,5,447,0,1
33,SĂLAJ,"CĂMINUL CULTURAL TUSA",268,SÂG,142612,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:48:58",532,532,0,346,333,0,13,600,254,322,24,2,16,1,1,2,4,2,2,29,65,4,9,9,170,1,5
33,SĂLAJ,"CĂMINUL CULTURAL ZĂUAN",202,IP,141722,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:31:12",786,786,0,450,440,0,10,846,396,427,23,0,17,0,1,0,1,375,1,7,11,1,0,0,12,0,1
33,SĂLAJ,"CASA DE CULTURĂ",47,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:17:03",1695,1695,0,811,761,0,50,1800,989,794,17,2,63,8,3,22,6,40,8,34,130,45,11,17,401,1,3
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:21:58",1853,1853,0,962,929,0,33,1950,988,949,13,2,40,1,2,30,0,376,8,18,88,99,25,2,254,2,2
33,SĂLAJ,"CASĂ PAROHIALĂ REFORMATĂ NAIMON",143,DOBRIN,140958,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 00:11:09",109,109,0,55,46,0,9,150,95,52,3,0,2,0,1,0,0,20,1,1,6,1,1,2,17,0,0
33,SĂLAJ,"CENTRU DE INFORMARE ȘI MARKETING TURISTIC",244,PERICEI,142284,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:44:10",128,128,0,59,54,0,5,150,91,57,2,1,1,0,0,0,1,2,0,4,9,0,0,0,35,0,4
33,SĂLAJ,"CENTRU DE INFORMARE TURISTICA",115,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:50:44",1843,1843,0,1280,1263,0,17,1950,670,1255,25,0,1,0,2,1,0,1169,2,7,19,6,2,2,42,1,1
33,SĂLAJ,"CENTRUL AFTER SCHOOL",226,"MESEŞENII DE JOS",142079,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:14:43",1257,1257,0,849,799,0,50,1350,501,804,45,1,13,2,3,12,0,240,7,20,287,34,1,18,158,0,8
33,SĂLAJ,"CENTRUL CULTURAL",58,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:49:21",1342,1342,0,703,686,0,17,1400,697,677,26,0,20,1,1,18,2,214,7,18,66,43,2,9,271,2,3
33,SĂLAJ,"CENTRUL CULTURAL CEACA",305,ZALHA,143067,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:24:42",159,159,0,139,113,0,26,200,61,130,9,0,9,0,0,1,1,8,1,0,22,3,0,2,82,0,1
33,SĂLAJ,"CENTRUL CULTURAL CHENDREA",80,BĂLAN,140146,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:08:39",623,623,0,484,419,0,65,700,216,467,17,5,24,0,3,3,0,7,5,13,99,10,2,5,285,5,1
33,SĂLAJ,"CENTRUL CULTURAL COMUNITAR ȘĂRMĂȘAG",286,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:53:49",941,941,0,651,612,0,39,1000,349,633,18,1,1,0,0,0,1,591,1,6,7,0,0,1,23,0,1
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:27:10",603,603,0,345,324,0,21,650,305,310,35,1,2,0,0,6,3,2,2,7,66,4,1,1,206,4,5
33,SĂLAJ,"CENTRUL DE CONSULTANȚĂ AGRICOLĂ BOCȘA",92,BOCŞA,140324,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:52:42",771,771,0,543,526,0,17,852,309,512,31,1,34,2,0,4,3,6,8,38,45,17,0,18,332,1,3
33,SĂLAJ,"CENTRUL DE INFORMARE ȘI MARKETING TURISTIC",250,ROMÂNAŞI,142426,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:45:26",799,799,0,486,446,0,40,850,364,445,41,0,18,0,3,2,2,2,4,38,86,4,3,2,276,1,4
33,SĂLAJ,"CENTRUL DE INFORMARE ŞI PROMOVARE TURISTICĂ VALEA POMILOR",285,ŞAMŞUD,142854,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:37:22",493,493,0,274,243,0,31,600,326,251,23,0,2,0,0,0,0,209,0,5,12,0,0,0,23,0,0
33,SĂLAJ,"CENTRUL DE INFORMARE TURISTICĂ",238,NUŞFALĂU,142239,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:10:52",1353,1353,0,750,736,0,14,1450,700,650,100,0,10,1,7,10,4,322,6,27,63,15,5,10,159,2,9
33,SĂLAJ,"CENTRUL DE ZI",228,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:59:25",686,686,0,432,392,0,40,750,318,408,24,2,9,2,1,3,2,2,1,20,111,8,0,7,238,0,2
33,SĂLAJ,"CENTRUL DE ZI DOBA",142,DOBRIN,140958,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:53:42",223,223,0,143,124,0,19,300,157,142,1,0,1,0,0,0,1,130,0,1,2,0,0,0,6,0,1
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",116,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:10:37",417,417,0,195,185,0,10,500,305,177,18,0,3,1,0,0,1,67,1,15,18,9,0,0,62,0,0
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",117,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:05:51",696,696,0,439,410,0,29,750,311,404,35,0,8,2,1,3,4,7,7,18,32,18,1,5,293,1,4
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",118,CRASNA,140627,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:52:10",387,387,0,191,182,0,9,450,259,171,20,0,1,2,0,0,0,130,1,18,6,0,0,0,13,0,0
33,SĂLAJ,"CENTRUL DE ZI PETRINDU, NR.78",137,CUZĂPLAC,140869,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:01:45",321,321,0,281,234,0,47,408,127,264,17,0,16,1,0,7,1,28,4,5,77,4,1,0,116,0,4
