precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL DIASPORA UNITĂ-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA AUR-voturi"
10,BUZĂU,"ȘCOALA GIMNAZIALĂ PLAIUL NUCULUI",261,LOPĂTARI,47186,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:11:01",516,516,0,362,346,0,16,570,208,341,21,5,168,1,3,0,1,0,3,0,113,13,3,0,1,2,28
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PLEȘCOI",150,BERCA,45101,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:48:00",808,808,0,413,396,0,17,892,479,399,14,1,226,1,12,3,1,4,4,2,46,16,20,1,8,5,49
10,BUZĂU,"ȘCOALA GIMNAZIALĂ PLEȘCOI",151,BERCA,45101,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:31:27",721,721,0,392,372,0,20,800,408,371,21,2,224,0,3,4,2,0,3,2,47,17,12,1,9,11,34
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PLEVNA",253,GREBĂNU,47006,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:35:12",1119,1119,0,847,751,0,96,1230,383,795,52,0,646,2,5,2,3,8,3,5,11,34,3,0,3,3,67
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PODGORIA",313,PODGORIA,48682,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:20:35",1280,1280,0,800,753,0,47,1410,610,749,51,8,458,1,5,5,1,8,8,4,98,33,10,0,14,8,88
10,BUZĂU,"ŞCOALA GIMNAZIALĂ PUIEŞTII DE JOS",321,PUIEŞTI,48842,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:14:38",1007,1007,0,596,591,0,5,1111,515,532,64,2,391,0,2,2,2,1,5,2,31,17,10,1,4,6,56
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ROBEASCA",332,ROBEASCA,49019,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:33:30",543,543,0,378,365,0,13,600,222,337,41,2,269,0,1,3,2,1,2,1,3,21,1,1,2,7,21
10,BUZĂU,"ȘCOALA GIMNAZIALĂ SĂPOCA",348,SĂPOCA,49206,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:14:47",1461,1461,0,1026,966,0,60,1600,574,966,60,12,675,3,17,4,1,5,8,2,25,59,22,0,10,26,97
10,BUZĂU,"ŞCOALA GIMNAZIALĂ SAT AMARA",137,"BALTA ALBĂ",44934,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:26:36",1124,1123,1,876,800,1,75,1242,366,788,88,12,580,1,1,2,3,5,1,1,29,24,12,3,5,8,101
10,BUZĂU,"SCOALA GIMNAZIALĂ SAT BALTA TOCILA",352,SCORŢOASA,49313,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:22:55",238,238,0,168,152,0,16,271,103,165,3,1,123,1,0,1,3,0,2,2,2,9,0,0,1,1,19
