precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA AUR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
25,ILFOV,"GRADINITA NR.3",181,CIOLPANI,101902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:19:21",664,664,0,381,341,0,40,700,319,366,15,8,2,2,1,3,1,1,2,54,14,226,1,6,30,1,14
25,ILFOV,"GRĂDINIŢA NR.3 DUMBRĂVENI",141,BALOTEŞTI,100969,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:06:39",1060,1060,0,681,637,0,44,1150,469,660,21,22,9,5,1,11,2,8,4,65,55,269,7,26,133,9,34
25,ILFOV,"GRADINITA NR 3 VARTEJU",50,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:09:41",1640,1640,0,887,839,0,48,1694,807,855,32,17,12,4,12,19,4,12,8,136,48,382,2,33,101,6,59
25,ILFOV,"GRADINITA NR.4",180,CIOLPANI,101902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:09:01",1133,1133,0,687,637,0,50,1250,563,675,12,3,8,4,4,13,6,5,1,139,14,414,2,18,19,1,24
25,ILFOV,"GRĂDINIȚA NR.4",103,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:50:36",1189,1189,0,586,549,0,37,1892,1306,578,8,39,2,2,2,11,2,0,6,63,93,158,4,33,145,7,11
25,ILFOV,"GRĂDINIȚA NR.4",104,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:55:07",1001,1001,0,545,504,0,41,1100,555,536,9,23,3,4,3,10,3,11,2,117,49,147,3,26,105,10,20
25,ILFOV,"GRĂDINIŢA NR.5",159,CERNICA,101742,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:01:22",999,999,0,668,634,0,34,1100,432,656,12,18,3,3,3,4,1,1,1,72,10,449,4,19,22,5,41
25,ILFOV,"GRĂDINIȚA NR.5",83,"ORAŞ POPEŞTI-LEORDENI",179533,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:22:36",1751,1751,0,880,765,0,115,1900,1020,864,16,87,3,8,6,19,2,9,7,67,149,203,7,59,208,8,22
25,ILFOV,"GRĂDINIȚA NR.5",82,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:11:02",1801,1801,0,932,843,0,89,1951,1019,922,10,52,3,4,2,27,3,8,6,128,118,258,1,59,210,16,27
25,ILFOV,"GRĂDINIŢA ”PRICHINDEL”",41,"ORAŞ CHITILA",179285,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:05:20",1225,1225,0,577,560,0,17,1350,773,560,17,16,11,2,8,9,1,8,5,84,19,289,5,22,37,5,39
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:37:12",1397,1397,0,837,787,0,50,1500,663,806,31,38,2,3,1,14,2,93,3,87,78,268,5,37,138,12,25
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",188,CLINCENI,102035,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:19:17",1502,1502,0,895,861,0,34,1659,764,835,60,18,5,4,8,12,2,9,2,116,29,473,4,18,72,7,56
25,ILFOV,"LICEUL CU PROGRAM SPORTIV HELMUT DUCKADAM CLINCENI",187,CLINCENI,102035,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:10:31",1310,1310,0,789,746,0,43,1400,611,774,15,19,6,6,4,15,4,6,4,125,24,409,5,20,71,6,50
25,ILFOV,"LICEUL TEHNOLOGIC ” DOAMNA CHIAJNA”",176,CHIAJNA,179249,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:45:46",1809,1809,0,560,487,0,73,2000,1440,554,6,43,6,0,5,19,2,6,2,61,70,103,0,40,148,9,40
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",177,CHIAJNA,179249,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:25:55",1679,1679,0,480,438,0,42,1850,1370,471,9,39,4,4,8,13,2,6,1,55,38,108,4,40,124,5,20
25,ILFOV,"LICEUL TEHNOLOGIC DOAMNA CHIAJNA",178,CHIAJNA,179249,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:38:34",1443,1443,0,668,640,0,28,1600,933,652,15,41,7,9,8,15,6,14,5,56,73,180,2,48,161,7,20
25,ILFOV,"LICEUL TEHNOLOGIC” DOAMNA CHIAJNA”",171,CHIAJNA,179249,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:48:32",2013,2013,0,659,559,0,100,2200,1541,645,14,78,7,2,4,26,2,6,6,75,39,169,2,60,126,3,40
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",24,"ORAŞ BUFTEA",100576,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:23:08",1610,1610,0,1091,1073,0,18,1750,659,1003,88,23,14,9,22,18,5,7,5,122,26,596,6,12,62,5,71
25,ILFOV,"LICEUL TEHNOLOGIC ”DUMITRU DUMITRESCU” BUFTEA",23,"ORAŞ BUFTEA",100576,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:58:19",988,988,0,649,611,0,38,1055,406,610,39,18,2,6,14,17,5,4,3,91,29,327,7,20,33,5,29
25,ILFOV,"LICEUL TEHNOLOGIC ”VINTILĂ BRĂTIANU”",221,DRAGOMIREŞTI-VALE,102605,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:47:07",1504,1504,0,1295,914,0,381,1600,305,1254,41,38,10,6,5,17,4,6,2,112,20,798,7,44,97,4,84
25,ILFOV,"LICEUL TEORETIC ALEXANDRU ROSETTI VIDRA",286,VIDRA,105936,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 17:41:08",1225,1225,0,713,682,0,31,1350,637,674,39,12,5,6,6,5,4,7,0,91,5,454,0,14,25,2,38
25,ILFOV,"LICEUL TEORETIC ”HORIA HULUBEI”",44,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:50:32",1083,1083,0,697,660,0,37,1136,439,672,25,20,1,3,4,10,2,9,0,77,31,388,6,21,74,2,24
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:46:07",904,904,0,518,492,0,26,1000,482,492,26,41,4,3,1,3,2,14,2,62,30,217,4,31,63,2,13
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:08:45",1393,1393,0,764,698,0,66,1500,736,753,11,51,2,7,2,13,9,16,2,92,65,278,6,36,142,5,27
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:09:34",1351,1351,0,804,722,0,82,1500,696,775,29,46,9,3,4,25,5,9,3,79,55,327,2,43,119,5,41
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:50:53",1260,1260,0,715,694,0,21,1350,635,690,25,24,9,8,1,10,4,12,13,78,47,278,8,34,122,7,35
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 15:59:52",1139,1139,0,561,463,0,98,1250,689,545,16,30,1,8,4,24,2,5,3,66,36,199,6,29,101,4,27
25,ILFOV,"LICEUL TEORETIC NR.1 PERIŞ",258,PERIŞ,104546,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:47:02",1870,1870,0,1147,1097,0,50,2050,903,1075,72,22,18,14,18,18,10,7,2,194,28,518,4,33,105,10,74
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",96,"ORAŞ POPEŞTI-LEORDENI",179533,5,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 02:13:29",1820,1820,0,1247,1157,0,90,1950,698,1212,25,40,5,5,7,18,2,6,2,269,34,609,0,33,112,4,66
25,ILFOV,"LICEUL TEORETIC RADU POPESCU",95,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:51:12",1884,1884,0,1344,1286,0,58,2050,714,1291,45,44,10,5,7,17,4,6,4,367,44,614,5,27,97,3,37
25,ILFOV,"LICEUL TEORETIC RADU POPESCU CORP E",97,"ORAŞ POPEŞTI-LEORDENI",179533,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:38:07",1814,1814,0,1173,1122,0,51,2000,827,1143,30,28,2,10,4,15,1,8,3,392,31,446,5,33,101,3,61
25,ILFOV,"LICEUL TEORETIC ”TRAIAN LALESCU”",151,BRĂNEŞTI,101298,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 17:37:58",1873,1873,0,1103,1063,0,40,2050,947,1048,55,49,9,15,5,24,4,13,12,140,36,593,6,36,57,4,45
25,ILFOV,"POLICLINICA JILAVA",246,JILAVA,179383,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 02:21:37",1825,1825,0,1217,1177,0,40,2000,783,1117,100,10,10,6,11,12,4,8,3,167,10,732,2,21,42,2,77
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",45,"ORAŞ MĂGURELE",179409,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:21:32",2291,2290,1,1289,1223,0,66,2450,1161,1254,35,54,6,2,7,15,9,20,3,132,101,578,3,58,212,11,43
25,ILFOV,"PRIMĂRIA ORAŞULUI MĂGURELE",46,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:13:44",1319,1319,0,716,614,0,102,1400,684,687,29,45,3,1,6,15,5,18,5,79,33,310,2,28,89,2,46
25,ILFOV,"PRIMĂRIA ORAŞULUI OTOPENI",55,"ORAŞ OTOPENI",179481,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:31:56",1335,1335,0,815,734,0,81,1449,634,780,35,55,8,11,6,9,2,13,6,89,59,341,0,34,106,7,34
25,ILFOV,"PRIMĂRIA ORAŞULUI VOLUNTARI",126,"ORAŞ VOLUNTARI",179551,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:29:50",1505,1505,0,887,840,0,47,1650,763,846,41,27,6,7,5,13,5,17,1,96,19,510,8,20,45,1,66
25,ILFOV,"PROPRIETATE PRIVATĂ BACHAR DAVID-SAMUIL",241,JILAVA,179383,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 02:21:11",1629,1629,0,843,817,0,26,1801,958,794,49,19,10,7,5,11,3,8,3,103,11,468,2,26,28,2,88
25,ILFOV,"PROPRIETATE PRIVATĂ PUȘA HACK",102,"ORAŞ POPEŞTI-LEORDENI",179533,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 17:28:09",1547,1547,0,784,680,0,104,1694,910,784,0,38,6,8,2,25,3,11,3,151,58,247,5,57,146,7,17
25,ILFOV,"PROPRIETATE PRIVATĂ: TUTUNARU GHEORGHE",33,"ORAŞ BUFTEA",100576,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:15:48",495,495,0,268,252,0,16,550,282,257,11,7,6,0,3,2,2,1,0,42,5,158,0,4,10,1,16
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",175,CHIAJNA,179249,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:30:08",1668,1668,0,739,704,0,35,1800,1061,731,8,43,0,3,5,17,3,6,2,81,105,181,3,46,182,13,41
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",174,CHIAJNA,179249,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:57:04",1961,1961,0,828,761,0,67,2150,1322,798,30,39,6,9,3,21,6,12,11,99,57,303,0,44,115,10,63
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",172,CHIAJNA,179249,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 22:59:03",1725,1725,0,896,872,0,24,1900,1004,869,27,32,6,8,7,18,1,10,4,134,24,427,4,28,98,4,64
25,ILFOV,"SALA DE SPORT A LICEULUI TEHNOLOGIC ”DOAMNA CHIAJNA”",173,CHIAJNA,179249,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 18:14:36",1899,1899,0,958,918,0,40,2100,1142,933,25,31,5,9,6,28,8,18,5,121,56,374,3,47,158,6,58
