precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL S.O.S. ROMÂNIA-voturi","ROMÂNIA SOCIALISTĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","GHEORGHE VLAD-DAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA AUR-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CERVENIA",135,CERVENIA,152500,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:29:42",1205,1205,0,749,732,0,17,1330,581,683,66,41,0,334,3,10,8,6,3,3,2,263,0,3,1,4,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CERVENIA",136,CERVENIA,152500,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:00:26",1017,1017,0,612,575,0,37,2125,1513,554,58,29,1,267,1,7,4,3,2,2,6,221,1,1,3,4,2
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ COMUNA TALPA",299,TALPA,154521,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 08:27:42",656,656,0,554,467,0,87,720,166,497,57,21,1,405,1,3,7,2,0,3,1,41,2,4,4,1,1
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ COPĂCEANCA",126,CĂLINEŞTI,152350,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:50:08",670,670,0,560,471,0,89,735,175,514,46,14,0,417,0,9,9,2,0,1,6,38,1,4,4,6,3
36,TELEORMAN,"SCOALA GIMNAZIALĂ CU CLASELE I-VIII MERENII DE JOS",208,MERENI,153295,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:47:11",1178,1178,0,795,764,0,31,1295,500,744,51,13,0,622,1,5,6,4,0,3,3,71,2,4,1,5,4
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ CU CLASELE I-VIII, NR. 2",74,"ORAŞ VIDELE",151905,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:56:28",1632,1632,0,1109,1075,0,34,1795,686,1086,23,33,6,597,3,23,63,2,7,10,135,158,7,4,11,18,9
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”DAN BERINDEI”",37,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:39:53",1138,1100,38,457,421,30,6,1215,736,451,6,21,2,235,1,6,88,1,0,3,7,62,2,3,5,9,6
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ DRĂCŞANI",163,DRĂCŞENEI,152797,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:06:58",295,295,0,223,183,0,40,325,102,207,16,0,1,171,0,0,3,1,0,0,4,23,1,1,0,1,1
36,TELEORMAN,"ŞCOALA GİMNAZİALĂ DRĂGĂNEŞTİ DE VEDE",165,"DRĂGĂNEŞTI DE VEDE",152868,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:54:09",1087,1087,0,815,740,0,75,1195,380,742,73,27,2,563,2,10,25,2,4,10,4,71,4,9,3,4,2
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ DRĂGĂNEŞTI VLAŞCA",168,DRĂGĂNEŞTI-VLAŞCA,152902,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:52:31",981,981,0,567,438,0,129,1085,518,567,0,4,0,533,0,3,0,0,0,0,0,23,0,1,1,0,2
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ FÂNTÂNELE",171,FÂNTÂNELE,155118,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:25:58",1159,1157,2,990,891,0,99,1275,283,949,41,35,3,717,2,8,10,4,2,6,8,114,4,5,3,17,11
