precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"ALIANȚA AUR-voturi","PARTIDUL PATRIOȚILOR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi"
30,OLT,"CAMINUL CULTURAL",349,"VALEA MARE",129656,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:53:49",668,668,0,376,349,0,27,733,357,332,44,86,2,0,10,1,4,3,3,213,1,1,1,0,7,0,0
30,OLT,"CAMINUL CULTURAL",176,DĂNEASA,126585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:42:52",422,422,0,270,249,0,21,422,152,261,9,40,0,1,21,0,0,1,1,163,0,6,1,1,25,0,1
30,OLT,"CĂMINUL CULTURAL",285,RADOMIREŞTI,128472,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:51:09",488,488,0,273,255,0,18,540,268,250,22,30,0,0,16,3,0,1,1,190,0,2,0,0,7,0,0
30,OLT,"CĂMINUL CULTURAL",180,DEVESELU,126647,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:08:12",991,991,0,733,716,0,17,1089,356,685,48,180,4,3,43,3,9,7,6,404,2,3,4,3,12,1,1
30,OLT,"CĂMINUL CULTURAL",136,BOBICEŞTI,125873,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:06:48",1251,1251,0,703,672,0,31,1377,674,658,45,94,3,0,31,3,13,2,7,467,1,7,3,3,21,2,1
30,OLT,"CĂMINUL CULTURAL",266,ORLEA,127938,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:12:50",1224,1224,0,844,788,0,56,1346,502,789,55,112,2,0,32,1,8,5,2,591,9,7,4,2,11,0,3
30,OLT,"CĂMINUL CULTURAL",328,"ŞTEFAN CEL MARE",129282,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 12:27:41",849,849,0,682,583,0,99,939,257,637,45,53,4,0,27,5,6,3,3,523,0,5,3,1,1,1,2
30,OLT,"CĂMINUL CULTURAL",353,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:40:33",1067,1067,0,800,759,0,41,1171,371,652,148,131,10,0,43,1,3,3,6,348,4,13,2,4,82,1,1
30,OLT,"CĂMINUL CULTURAL",145,BUCINIŞU,126077,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 21:15:27",1566,1566,0,1377,1159,0,218,1724,347,1267,110,221,4,2,20,6,8,19,2,895,5,49,5,11,12,1,7
30,OLT,"CĂMINUL CULTURAL",354,VĂDĂSTRIŢA,129745,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:41:05",1447,1447,0,1041,1021,0,20,1595,554,907,134,138,2,0,73,0,7,8,3,518,5,10,2,9,126,6,0
30,OLT,"CĂMINUL CULTURAL",352,VĂDASTRA,129718,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 16:04:05",1051,1051,0,828,744,0,84,1158,330,772,56,64,4,4,34,1,3,8,5,619,3,9,2,0,13,2,1
30,OLT,"CĂMINUL CULTURAL",267,ORLEA,127938,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:36:42",518,518,0,381,360,0,21,570,177,369,12,33,1,0,15,5,0,2,4,297,2,0,2,1,7,0,0
30,OLT,"CĂMINUL CULTURAL",178,DEVESELU,126647,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:31:53",1354,1354,0,979,835,0,144,1495,520,901,74,185,3,0,40,1,9,13,8,587,9,13,1,4,26,1,1
30,OLT,"CĂMINUL CULTURAL BĂBICIU",125,BĂBICIU,125659,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:59:41",684,684,0,638,547,0,91,738,191,494,53,88,1,1,24,3,5,3,2,346,2,4,3,2,8,2,0
30,OLT,"CĂMINUL CULTURAL BĂBICIU",126,BĂBICIU,125659,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 13:46:13",997,997,0,835,693,0,142,1100,257,712,123,107,0,0,39,0,0,0,0,551,0,0,0,0,15,0,0
30,OLT,"CAMINUL CULTURAL BOBICESTI",133,BOBICEŞTI,125873,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:04:20",855,855,0,493,473,0,20,940,447,454,39,101,0,0,22,0,0,8,0,313,0,4,0,0,6,0,0
30,OLT,"CĂMINUL CULTURAL CURTIŞOARA",181,DOBREŢU,126674,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:32:51",599,599,0,495,417,0,78,660,165,474,21,41,2,0,27,6,4,6,7,365,1,3,2,0,8,0,2
30,OLT,"CĂMINUL CULTURAL ” DAMIAN STĂNOIU”",170,CURTIŞOARA,126433,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:06:25",1227,1227,0,760,713,0,47,1352,592,718,42,98,6,2,42,4,4,10,3,525,6,4,3,3,7,0,1
30,OLT,"CAMINUL CULTURAL FLORU",230,ICOANA,127322,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 12:36:32",336,336,0,283,257,0,26,372,89,270,13,39,4,0,21,2,1,1,2,189,1,2,3,0,3,1,1
30,OLT,"CĂMINUL CULTURAL HOREZU",182,DOBREŢU,126674,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:52:29",354,354,0,324,276,0,48,390,66,296,28,42,2,2,12,2,0,2,1,221,0,5,1,1,2,1,2
30,OLT,"CAMINUL CULTURAL ILIE MARTIN",155,COLONEŞTI,126228,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:19:01",518,518,0,344,289,0,55,568,224,344,0,6,0,0,1,0,2,0,1,331,0,0,1,0,2,0,0
30,OLT,"CĂMINUL CULTURAL OPORELU",264,OPORELU,127858,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:31:25",840,840,0,773,598,0,175,906,133,730,43,96,4,1,41,0,7,10,2,542,6,9,3,1,8,0,0
30,OLT,"CĂMINUL CULTURAL POGANU",362,VERGULEASA,129816,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:33:20",875,875,0,560,512,0,48,958,398,504,56,66,0,0,22,0,0,0,4,411,0,0,0,1,0,0,0
30,OLT,"CĂMINUL CULTURAL REDIŞOARA",289,REDEA,128524,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:56:24",376,376,0,311,247,0,64,411,100,295,16,40,0,0,16,0,0,0,0,239,0,0,0,0,0,0,0
30,OLT,"CĂMINUL CULTURAL SLĂVENI",214,GOSTAVĂŢU,127144,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:21:42",1031,1031,0,722,695,0,27,1137,415,658,64,106,4,3,34,2,3,4,1,472,8,8,0,2,10,1,0
30,OLT,"CAMINUL CULTURAL SPINENI",309,SPINENI,128962,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:49",474,474,0,326,224,0,102,474,148,326,0,40,0,0,16,0,0,0,0,261,0,0,0,0,9,0,0
30,OLT,"CĂMINUL CULTURAL STOENEŞTI",315,STOENEŞTI,129095,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:40:30",939,939,0,598,561,0,37,1035,437,555,43,91,2,2,10,2,5,3,0,425,5,4,0,2,2,2,0
30,OLT,"CĂMINUL CULTURAL ULMI",249,MILCOV,127563,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:13:57",546,546,0,405,374,0,31,607,202,384,21,47,0,0,25,3,1,3,1,277,2,4,0,1,17,2,1
30,OLT,"CAMINUL CULTURAL URSI",240,LELEASCA,127411,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 20:57:08",351,351,0,396,351,0,45,390,116,250,24,45,1,0,5,0,0,5,0,187,0,2,1,0,3,1,0
30,OLT,"CĂMINUL CULTURAL VALEA SOARELUI",290,REDEA,128524,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:52",210,210,0,175,162,0,13,231,56,163,12,13,0,0,13,2,2,1,0,119,1,3,1,0,8,0,0
30,OLT,"CAMINUL CULTURAL VIESPESTI",312,SPRÂNCENATA,129040,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 09:23:01",1010,1010,0,713,659,0,54,1114,401,616,97,98,4,3,18,2,0,1,1,475,3,1,2,2,4,1,1
30,OLT,"CASA ARMATEI",179,DEVESELU,126647,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:02:21",210,210,0,135,108,0,27,233,98,127,8,28,1,0,6,0,2,1,1,80,1,0,0,1,5,0,1
30,OLT,"CASA DE CULTURĂ",95,"ORAŞ DRĂGĂNEŞTI-OLT",125622,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:52:54",1178,1178,0,732,697,0,35,1288,556,651,81,95,4,1,30,4,11,3,0,479,5,6,2,9,0,0,2
30,OLT,"CASA DE CULTURĂ",96,"ORAŞ DRĂGĂNEŞTI-OLT",125622,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:24:23",855,855,0,445,418,0,27,939,494,381,64,46,1,0,7,1,4,3,1,308,0,1,0,0,9,0,0
30,OLT,"CASA SPECIALISTULUI",357,VĂLENI,129763,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 11:33:39",466,466,0,373,339,0,34,511,138,354,19,62,0,0,21,1,0,0,1,207,2,4,1,3,49,0,3
30,OLT,"CENTRU DE PROMOVARE A SĂNĂTĂŢII",273,"OSICA DE SUS",127983,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:24:13",466,466,0,371,354,0,17,511,116,347,24,43,1,0,10,3,3,3,2,269,1,3,2,0,6,1,0
30,OLT,"CENTRUL CULTURAL MUNICIPAL CARACAL",61,"MUNICIPIUL CARACAL",125472,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 22:27:25",1130,1130,0,678,646,0,32,1243,565,646,32,77,9,3,19,19,16,9,11,415,3,4,3,7,49,1,1
30,OLT,"CENTRUL DE ZI PENTRU COPII AFLAȚI ÎN SITUAȚII DE RISC",298,SÂRBII-MĂGURA,130366,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:51:04",631,631,0,455,434,0,21,696,241,440,15,57,0,0,27,0,5,2,3,327,5,6,1,1,4,0,2
30,OLT,"CENTRUL SOCIAL",152,CEZIENI,126102,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:12:47",242,242,0,191,174,0,17,267,76,176,15,13,0,0,9,2,5,1,0,133,3,2,2,2,3,1,0
30,OLT,"CENTRUL SOCIAL DĂNEASA",173,DĂNEASA,126585,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 18:08:25",1108,1108,0,699,639,0,60,1220,521,673,26,88,3,3,38,3,2,3,4,434,2,4,2,1,84,0,2
30,OLT,"CENTRU SOCIAL",218,GRĂDINILE,130320,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:37:24",1177,1177,0,836,805,0,31,1286,450,807,29,57,3,5,29,5,2,0,1,686,2,1,3,8,5,0,0
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",85,"ORAŞ CORABIA",125542,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 15:45:51",1112,1112,0,564,553,0,11,1222,658,536,28,61,23,2,15,13,12,16,9,326,9,3,1,10,30,3,3
30,OLT,"COLEGIUL NAŢIONALAL I.CUZA",84,"ORAŞ CORABIA",125542,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:13:44",860,860,0,404,389,0,15,951,547,385,19,57,4,2,10,5,12,9,6,233,3,1,2,2,36,3,0
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",8,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 10:56:32",1350,1350,0,770,749,0,21,1485,715,742,28,101,13,1,41,18,18,19,16,412,9,5,5,24,51,5,4
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",6,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:44",1331,1331,0,656,631,0,25,1471,815,634,22,78,7,3,32,29,20,12,15,363,7,3,6,4,48,2,5
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",9,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:00:18",1307,1307,0,712,702,0,10,1441,729,694,18,106,3,11,53,23,27,22,8,332,19,10,11,1,55,7,6
30,OLT,"COLEGIUL NAŢIONAL ION MINULESCU",7,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:24:42",1464,1464,0,726,719,0,7,1618,932,665,21,97,4,3,37,0,30,24,9,380,0,6,6,6,56,7,0
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",2,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:51:24",1505,1505,0,764,748,0,16,1657,893,736,28,95,3,7,46,14,16,25,16,438,16,5,2,4,35,7,7
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",1,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:59:22",1269,1269,0,637,619,0,18,1406,769,617,20,75,5,6,36,18,22,12,13,353,8,0,1,14,44,3,7
30,OLT,"COLEGIUL NAŢIONAL RADU GRECEANU",3,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:10:55",1860,1860,0,909,898,0,11,2048,1139,867,42,59,11,0,35,0,2,8,2,718,2,3,13,4,6,2,2
30,OLT,"COLEGIUL TEHNIC",76,"ORAŞ BALŞ",125418,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:23:57",1324,1324,0,577,555,0,22,1462,907,534,21,101,1,3,15,11,14,16,6,324,5,3,1,2,21,4,7
30,OLT,"COLEGIUL TEHNIC",77,"ORAŞ BALŞ",125418,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:36:17",1327,1327,0,600,575,0,25,1463,863,569,31,85,8,7,39,13,8,14,6,333,1,8,4,1,36,4,2
30,OLT,"FOSTA SC. CU CLASELE I-IV PRISACA",377,VULPENI,130124,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:12:47",326,326,0,188,161,0,27,328,140,170,18,22,0,0,13,0,0,0,0,112,1,1,1,1,19,0,0
30,OLT,"GPN BIRSESTII DE SUS",313,SPRÂNCENATA,129040,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 01:04:49",330,330,0,293,225,0,68,363,70,259,34,26,0,1,12,2,3,0,2,210,0,0,0,0,3,0,0
30,OLT,GRADINITA,335,"TIA MARE",129460,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 23:48:14",1192,1192,0,763,741,0,22,1313,550,734,29,64,7,0,28,3,8,5,4,478,2,4,3,3,123,1,1
30,OLT,GRADINITA,337,"TIA MARE",129460,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 00:14:06",1187,1187,0,681,665,0,16,1309,628,634,47,61,5,1,31,0,2,4,2,464,4,5,3,6,45,1,0
30,OLT,GRADINITA,351,"VALEA MARE",129656,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 21:40:07",493,493,0,328,308,0,20,539,211,311,17,87,0,1,28,2,1,6,2,171,1,1,1,3,6,0,1
30,OLT,GRĂDINIŢĂ,124,BALDOVINEŞTI,125677,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 01:43:07",271,271,0,183,175,0,8,298,115,170,13,16,0,0,2,1,2,3,3,134,1,1,2,1,4,0,0
30,OLT,"GRADINITA CIOFLANU",175,DĂNEASA,126585,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:51:52",496,496,0,309,266,0,43,549,240,299,10,34,0,0,9,0,0,0,2,224,2,7,0,2,19,0,0
30,OLT,"GRĂDINIȚA COMANI",99,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:23:50",1222,1222,0,831,814,0,17,1351,520,767,64,85,6,1,37,7,12,10,2,574,12,4,1,3,10,1,2
30,OLT,"GRĂDINIȚA COMANI",98,"ORAŞ DRĂGĂNEŞTI-OLT",125622,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 16:59:24",1159,1159,0,797,780,0,17,1276,479,742,55,95,1,0,46,10,9,11,4,523,11,6,2,4,20,0,0
30,OLT,"GRADINITA CONSTANTINESTI",115,"ORAŞ SCORNICEŞTI",128711,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:03:40",421,421,0,328,308,0,20,465,137,313,15,31,1,1,20,1,0,0,2,252,0,2,1,1,1,0,0
30,OLT,"GRADINITA CU PROGRAM NORMAL",104,"ORAŞ PIATRA-OLT",128105,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:24:40",259,259,0,202,175,0,27,286,84,195,7,20,0,0,15,1,3,2,0,149,1,1,1,0,1,1,0
30,OLT,"GRADINITA CU PROGRAM NORMAL",103,"ORAŞ PIATRA-OLT",128105,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 08:15:20",955,955,0,718,679,0,39,1058,340,695,23,66,1,2,35,7,11,12,4,526,1,3,4,0,16,4,3
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL",210,GHIMPEŢENI,130311,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:17:14",352,352,0,293,279,0,14,389,96,273,20,77,0,0,11,0,2,3,0,173,0,1,1,0,4,1,0
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",232,IPOTEŞTI,130348,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:57:25",1210,1210,0,821,800,0,21,1330,509,750,71,79,4,1,32,1,2,2,2,585,16,10,5,4,5,0,2
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",219,GROJDIBODU,127224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:03:25",778,778,0,535,518,0,17,858,323,495,40,47,2,0,23,3,1,2,1,406,0,4,1,0,5,0,0
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",220,GROJDIBODU,127224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 02:08:56",800,800,0,518,518,0,0,884,366,478,40,43,2,0,33,3,7,4,3,368,0,10,1,1,2,0,1
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL",46,"MUNICIPIUL SLATINA",125347,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 19:21:16",1341,1341,0,752,747,0,5,1474,722,712,40,81,9,4,45,20,28,12,10,403,10,11,7,6,62,3,1
30,OLT,"GRADINITA CU PROGRAM NORMAL BATARENI",156,COLONEŞTI,126228,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:36:45",141,141,0,158,114,0,44,158,0,158,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0
30,OLT,"GRADINITA CU PROGRAM NORMAL CÂMPU MARE",188,DOBROTEASA,126772,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:16:52",378,378,0,268,220,0,48,416,149,255,12,56,0,1,12,0,1,4,3,171,0,1,0,2,2,1,1
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL CORNĂȚELU",280,POBORU,128301,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:38:04",711,711,0,459,425,0,34,783,324,443,16,48,4,1,25,0,3,7,1,341,4,0,2,2,3,2,0
30,OLT,"GRADINITA CU PROGRAM NORMAL CUCUETI",360,VERGULEASA,129816,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 12:28:04",668,668,0,412,385,0,27,735,324,396,15,55,0,0,19,0,4,3,3,297,0,3,3,0,9,0,0
30,OLT,"GRADINITA CU PROGRAM NORMAL DEJESTI",368,VITOMIREŞTI,129914,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 09:56:21",510,510,0,398,353,0,45,600,230,352,18,50,0,0,32,0,2,3,0,253,1,3,0,0,8,0,0
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL DOMNIŢA BĂLAŞA",142,BRÂNCOVENI,126022,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:29:00",408,408,0,322,285,0,37,445,123,308,14,26,3,1,12,2,1,3,1,247,3,2,0,1,4,2,0
30,OLT,"GRADINITA CU PROGRAM NORMAL FRASINETU",184,DOBROSLOVENI,126718,4,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:32:27",370,370,0,251,229,0,22,407,156,240,11,71,1,0,12,3,11,0,1,135,0,1,1,1,3,0,0
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GĂVĂNEŞTI",204,GĂVĂNEŞTI,130302,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:07:25",556,556,0,376,365,0,11,613,237,365,11,37,0,2,14,0,1,4,1,301,0,0,0,0,3,1,1
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GÎRCOV",207,GÂRCOV,125588,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-12 14:55:10",1154,1154,0,816,759,0,57,1274,458,747,69,64,4,1,29,0,1,0,4,511,3,3,6,4,114,0,3
30,OLT,"GRADINITA CU PROGRAM NORMAL GURA CALUIU",147,CĂLUI,130295,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 17:33:30",442,442,0,277,268,0,9,489,212,239,38,7,0,0,7,3,2,0,0,211,0,1,1,2,4,1,0
30,OLT,"GRĂDINIȚA CU PROGRAM NORMAL HOTARU",221,GROJDIBODU,127224,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 04:42:27",520,520,0,350,344,0,6,574,224,331,19,35,0,0,8,1,2,0,1,275,5,0,0,0,2,1,1
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL IZBICENI",234,IZBICENI,127368,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 10:50:47",1461,1461,0,996,993,0,3,1608,612,941,55,117,7,2,49,9,10,14,7,473,7,12,2,8,220,0,4
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",75,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 03:44:34",1114,1114,0,476,449,0,27,1232,756,455,21,78,8,2,30,5,6,11,6,282,1,2,3,0,1,18,2
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",74,"ORAŞ BALŞ",125418,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 14:38:11",1277,1277,0,595,573,0,22,1411,816,569,26,81,9,0,33,9,18,19,1,338,3,8,6,1,37,1,5
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL NR.4",51,"MUNICIPIUL CARACAL",125472,3,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 23:53:18",1508,1508,0,738,708,0,30,1661,923,716,19,81,1,5,38,11,31,9,15,463,7,11,5,0,36,1,2
