precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,b,b1,b2,b3,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA AUR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHEORGHE VLAD-DAN-voturi","PARTIDUL PATRIOȚILOR-voturi","ȘOȘOACĂ DUMITRU-SILVESTRU-voturi","PÎRVĂNESCU PAULA-MARINELA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL DIASPORA UNITĂ-voturi","ȘTEFĂNUȚĂ NICOLAE-BOGDĂNEL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” B",64,"MUNICIPIUL ADJUD",174860,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:39:14",1166,1166,0,477,469,0,8,1287,810,453,24,4,29,87,4,0,35,10,5,2,2,1,2,230,9,17,16
41,VRANCEA,"SCOALĂ GIMNAZIALĂ ”PRINCIPELE RADU” C",65,"MUNICIPIUL ADJUD",174860,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:18:38",1168,1168,0,415,409,0,6,1289,874,391,24,3,15,63,4,1,22,17,3,6,6,5,10,198,4,12,22
41,VRANCEA,"SCOALA GIMNAZIALA PROFESOR DOCTOR GENERAL GHEORGHE V. ZAHARIA",252,POPEŞTI,178901,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 20:26:15",1098,1098,0,652,627,0,25,1214,562,609,43,1,43,118,4,2,7,6,3,10,4,1,4,368,7,12,19
41,VRANCEA,"ȘCOALA GIMNAZIALĂ ”PROFESOR GENERAL GHEORGHE GHEORGHIU” GOLOGANU",179,GOLOGANU,178938,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:19:59",1368,1368,0,854,827,0,27,1504,650,790,64,2,19,206,2,5,15,0,6,4,2,13,9,435,12,8,52
41,VRANCEA,"ŞCOALA GIMNAZIALĂ PUFEŞTI",255,PUFEŞTI,177352,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 07:53:30",1270,1270,0,668,665,0,3,1406,738,635,33,7,33,185,1,0,8,8,4,0,2,1,4,250,9,10,113
41,VRANCEA,"SCOALA GIMNAZIALA PUTNA",115,BOLOTEŞTI,175368,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 06:00:50",530,530,0,355,319,0,36,581,226,330,25,0,7,51,1,0,0,5,2,2,0,2,0,237,7,1,15
41,VRANCEA,"SCOALA GIMNAZIALA RIMNICENI",205,MĂICĂNEŞTI,176613,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:54:37",1124,1124,0,757,668,0,89,1239,482,692,65,1,17,45,0,0,1,3,9,3,1,13,4,578,6,4,7
41,VRANCEA,"SCOALA GIMNAZIALA ROTILESTII MICI",127,CÂMPURI,175670,1,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 05:09:57",512,512,0,313,277,0,36,567,254,284,29,1,16,17,0,0,2,1,1,1,0,1,2,233,4,2,3
41,VRANCEA,"ȘCOALA GIMNAZIALĂ RUGINEȘTI",269,RUGINEŞTI,177557,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 11:38:29",761,761,0,367,341,0,26,838,471,327,40,0,38,50,1,2,8,9,3,1,0,1,2,177,0,4,31
41,VRANCEA,"ȘCOALA GIMNAZIALĂ RUGINEȘTI",268,RUGINEŞTI,177557,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-10 13:06:29",784,784,0,371,356,0,15,863,492,349,22,1,17,37,0,0,13,4,1,8,0,2,2,240,0,4,20
41,VRANCEA,"ŞCOALA GIMNAZIALĂ SLOBOZIA BRADULUI SALA A",277,"SLOBOZIA BRADULUI",177655,2,PROV,PRCNCT,EUP,EUP_SV,"2024-06-11 14:00:54",818,818,0,571,564,0,7,896,325,495,76,0,21,34,0,0,1,0,0,1,0,0,1,417,0,0,20
