precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÂNTU CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂLAŞ RADU-FLORIN-PARTIDUL OAMENILOR LIBERI-voturi","PESCAR RADU-MIRCEA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SOÓS ZOLTÁN-voturi","BACIU RODICA-voturi","POP COSMIN-ADRIAN-voturi","FLOREA DORIN-voturi","SUCIU HORAŢIU-voturi"
28,MUREŞ,"LICEUL CU PROGRAM SPORTIV ”SZASZ ADALBERT”",23,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:52",1649,1508,60,13,68,808,724,3,13,68,793,15,1690,882,5,7,27,457,16,100,134,47
28,MUREŞ,"LICEUL TEHNOLOGIC ”AUREL PERȘU”",11,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:56",1183,1167,4,8,4,671,659,0,8,4,663,8,1330,659,12,12,12,239,16,74,247,51
28,MUREŞ,"LICEUL TEHNOLOGIC ”AUREL PERȘU”",10,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:07",1178,1175,0,3,0,495,492,0,3,0,478,17,1320,825,26,9,21,110,14,48,236,14
28,MUREŞ,"LICEUL TEHNOLOGIC ”AVRAM IANCU”",63,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:58:49",1473,1460,0,5,8,806,795,0,5,6,789,17,1650,844,11,8,18,453,19,65,156,59
28,MUREŞ,"LICEUL TEHNOLOGIC ”AVRAM IANCU”",64,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:10",1316,1290,9,15,2,629,611,1,15,2,612,17,1441,812,14,7,29,294,8,72,167,21
28,MUREŞ,"LICEUL TEHNOLOGIC ”AVRAM IANCU”",62,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:55",1267,1222,28,15,2,663,646,0,15,2,653,10,1380,717,8,7,15,368,10,87,110,48
28,MUREŞ,"LICEUL TEHNOLOGIC ”C-TIN BRÂNCUŞI”",26,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:16:41",1371,1256,78,27,10,760,723,0,27,10,705,16,1430,654,6,8,17,393,10,73,118,80
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",40,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:47",1549,1528,6,12,3,824,809,0,12,3,824,0,1710,886,13,11,28,257,21,118,326,50
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",39,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:31:44",1974,1899,55,17,3,1075,1052,3,17,3,1070,5,2120,1045,17,25,27,260,31,268,368,74
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",41,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:14:18",1445,1379,9,11,46,875,818,0,11,46,818,9,1556,729,17,13,25,284,23,106,302,48
28,MUREŞ,"LICEUL TEHNOLOGIC ELECTROMUREŞ",42,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:33",1403,1386,4,11,2,766,753,0,11,2,757,9,1580,814,3,18,21,235,21,84,321,54
28,MUREŞ,"LICEUL TEHNOLOGIC ”GH. ŞINCAI”",73,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:14:49",1345,1331,1,8,5,761,748,0,8,5,737,24,1480,719,14,9,20,384,16,67,195,32
28,MUREŞ,"LICEUL TEHNOLOGIC ”GH. ŞINCAI”",74,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:53",1448,1430,1,11,6,778,761,0,11,6,757,21,1600,822,11,9,18,422,11,55,201,30
28,MUREŞ,"LICEUL TEHNOLOGIC ”GH. ŞINCAI”",72,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:12",1477,1457,4,14,2,778,761,1,14,2,757,21,1620,842,7,10,12,409,15,98,167,39
28,MUREŞ,"LICEUL TEHNOLOGIC ”ION VLASIU”",30,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:17:34",1355,1287,0,40,28,712,644,0,40,28,700,12,1530,818,11,13,30,317,13,77,183,56
28,MUREŞ,"LICEUL TEHNOLOGIC ”TRAIAN VUIA”",82,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:54",1413,1397,6,8,2,600,588,2,8,2,570,30,1570,970,13,8,19,171,14,55,268,22
28,MUREŞ,"LICEUL TEHNOLOGIC ”TRAIAN VUIA”",83,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:34",1407,1398,3,5,1,728,722,0,5,1,712,16,1570,842,16,11,33,192,17,97,314,32
28,MUREŞ,"LICEUL TEHNOLOGIC ”TRAIAN VUIA”",81,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:14",1511,1503,2,6,0,725,719,0,6,0,703,22,1700,975,9,6,44,194,17,52,351,30
28,MUREŞ,"LICEUL TEORETIC ”BOLYAI FARKAS”",29,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:21:21",1431,1164,242,21,4,570,544,1,21,4,552,15,1310,743,10,4,15,292,7,60,126,38
28,MUREŞ,"LICEUL TEORETIC ”BOLYAI FARKAS”,",3,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:31:15",1385,1287,55,14,29,776,733,1,13,29,766,10,1440,664,15,16,11,443,6,115,106,54
28,MUREŞ,"LICEUL VOCAŢIONAL ”M. EMINESCU”",33,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:58:05",1542,1512,12,6,12,783,765,0,6,12,772,11,1700,917,15,4,19,353,11,75,216,79
28,MUREŞ,"LIEUL TEORETIC ”BOLYAI FARKAS”",28,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:39:00",1064,952,96,13,3,428,412,0,13,3,418,10,1080,652,8,6,16,197,14,53,101,23
28,MUREŞ,"PRIMĂRIA MUNICIPIULUI TG.MUREŞ",12,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:37",1341,1297,23,15,6,697,674,2,15,6,683,14,1450,753,16,11,14,398,11,68,129,36
28,MUREŞ,"PUNCT COLECTARE TAXE ŞI IMPOZITE",43,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:45:19",1075,1049,15,10,1,596,585,0,10,1,588,8,1170,573,9,4,21,164,23,121,193,53
28,MUREŞ,"ŞCOALA GEN. NR. 19 BEŞA",20,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:49",843,837,1,5,0,487,482,0,5,0,450,37,998,511,27,15,46,222,3,26,103,8
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AL.I.CUZA”",14,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 16:37:41",1855,1834,6,13,2,1030,1015,0,13,2,1030,0,2078,1048,12,22,29,208,45,223,420,71
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AL.I.CUZA”",16,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:58",1822,1801,6,13,2,1031,1015,1,13,2,1017,14,2010,979,22,6,29,302,34,177,373,74
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”AL.I.CUZA”",15,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 20:38:32",1864,1847,5,6,6,1069,1057,0,6,6,1040,29,2080,1011,20,8,48,339,25,191,343,66
28,MUREŞ,"ŞCOALA GIMNAZIALĂ”AL.I.CUZA”",19,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:39:20",1759,1741,6,8,4,976,964,0,8,4,963,13,1950,974,14,15,34,272,29,179,324,96
28,MUREŞ,"ŞCOALA GIMNAZIALĂ”AL.I.CUZA”",17,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:47:21",1739,1731,2,5,1,996,990,0,5,1,969,27,1943,947,24,18,25,193,41,157,448,63
28,MUREŞ,"ŞCOALA GIMNAZIALĂ”AL.I.CUZA”",18,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:25:17",2016,1989,6,16,5,1019,998,0,16,5,1000,18,2210,1192,34,15,43,316,31,192,305,64
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/A",59,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:31:25",1379,1365,0,11,3,757,743,0,11,3,738,19,1540,783,7,10,22,243,24,125,240,67
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/A",60,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:17:20",1343,1307,15,18,3,747,726,0,18,3,733,14,1460,713,9,7,20,324,19,123,152,79
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/A",61,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:14",952,939,5,7,1,489,480,1,7,1,475,14,1050,561,9,4,13,249,21,69,77,33
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/B",55,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:44:04",1427,1403,11,12,1,778,765,0,12,1,761,17,1580,802,10,13,16,346,8,143,166,59
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”DACIA”/B",56,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:09",1394,1371,6,15,2,691,674,0,15,2,672,19,1550,859,11,11,15,286,18,81,196,54
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”EUROPA”",24,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:16:15",1625,1302,128,189,6,862,667,0,189,6,841,21,1470,608,19,7,26,319,23,178,134,135
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”G.COŞBUC”",54,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:08:37",1476,1452,4,10,10,773,754,0,10,9,754,19,1620,847,8,6,21,438,17,95,133,36
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”G.COŞBUC”",53,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:35:56",1354,1333,5,12,4,680,664,0,12,4,651,7,1490,832,3,11,14,337,16,84,136,50
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",66,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:55:54",1255,1243,6,6,0,647,641,0,6,0,632,15,1420,773,20,4,17,329,19,51,168,24
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",68,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:40",1390,1365,3,17,5,706,683,1,17,5,683,23,1462,756,8,8,10,421,17,47,140,32
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",69,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:47:49",1404,1387,1,11,5,759,743,0,11,5,742,16,1545,787,8,3,20,404,21,66,164,56
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU”",67,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:54:45",1387,1374,3,9,1,807,797,0,9,1,783,24,1530,723,8,14,18,324,10,129,227,53
28,MUREŞ,"ŞCOALA GIMNAZIALĂ LIVIU REBREANU",75,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:34:18",1278,1257,5,10,6,729,713,0,10,6,701,27,1420,692,10,2,17,398,18,70,153,33
28,MUREŞ,"ŞCOALA GIMNAZIALĂ LIVIU REBREANU",76,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:05:18",1306,1291,3,10,2,672,660,0,10,2,653,19,1470,798,9,5,12,302,22,66,205,32
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",46,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:33:22",1535,1531,0,4,0,795,791,0,4,0,778,13,1700,896,12,9,15,239,31,133,280,59
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",45,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:59:27",1461,1444,7,9,1,816,806,0,9,1,778,38,1600,784,13,6,23,273,11,112,286,54
28,MUREŞ,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",47,"MUNICIPIUL TÂRGU MUREŞ",114319,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:37",1409,1396,7,5,1,722,716,0,5,1,696,26,1585,863,8,11,19,238,12,116,243,49
