precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢOLE MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GÂDEA ADRIAN-IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOREA GABRIEL-FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STĂVĂRACHE COSTEL-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MARDALE GEORGE-CĂTĂLIN-PARTIDUL S.O.S. ROMÂNIA-voturi"
36,TELEORMAN,"CLĂDIRE PRIMĂRIE FOSTA ŞCOALĂ CU CLASELE I-IV STEJARU",150,CRÂNGENI,152617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:17:11",178,171,0,6,1,120,113,0,6,1,114,0,190,70,31,50,10,12,11
36,TELEORMAN,"CLĂDIRE PRIMĂRIE -FOST SEDIU CAP BĂCĂLEȘTI",133,"CĂLMĂŢUIU DE SUS",152467,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:40:44",733,671,1,13,48,529,468,0,13,48,504,25,730,201,200,260,25,5,14
36,TELEORMAN,"CLUB SĂTESC",142,CIUPERCENI,151709,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:59",515,428,1,58,28,419,332,1,58,28,401,18,490,71,158,217,15,8,3
36,TELEORMAN,"CLUBUL COPIILOR",44,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:20:45",1253,1247,1,5,0,648,643,0,5,0,526,24,1370,820,45,242,50,177,12
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",9,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:55:27",1153,1142,1,9,1,583,573,0,9,1,563,20,1270,687,126,302,59,64,12
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. D. GHICA”",8,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:09",1414,1410,1,2,1,650,647,0,2,1,625,25,1550,900,167,347,58,32,21
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",24,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:07",962,951,0,10,1,380,369,0,10,1,375,5,1040,660,72,207,41,29,26
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",25,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:22",954,943,0,10,1,431,420,0,10,1,413,18,1080,648,78,234,50,35,16
36,TELEORMAN,"COLEGIUL NAȚIONAL ”AL. I. CUZA”",26,"MUNICIPIUL ALEXANDRIA",151790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:12:30",887,877,0,7,3,390,380,0,7,3,384,6,1000,604,81,198,57,34,14
36,TELEORMAN,"COLEGIUL NAŢIONAL ”ANASTASESCU”",52,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:26:59",1307,1306,0,1,0,523,522,0,1,0,506,15,1480,958,52,249,51,141,13
36,TELEORMAN,"COLEGIUL NAŢIONAL ”UNIREA”",65,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:42:46",1151,1115,2,6,28,514,480,0,6,28,497,17,1230,716,75,314,52,42,14
36,TELEORMAN,"COLEGIUL NAŢIONAL ”UNIREA”",64,"MUNICIPIUL TURNU MĂGURELE",151683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:13:39",1040,1029,3,8,0,442,432,2,8,0,416,16,1130,698,68,256,42,37,13
36,TELEORMAN,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”",38,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:32:41",991,980,0,9,2,426,415,0,9,2,395,31,1090,664,47,210,37,90,11
36,TELEORMAN,"DISPENSARUL BRᾸTᾸŞANI",309,TRIVALEA-MOŞTENI,154754,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:04:20",559,490,0,46,23,398,329,0,46,23,386,12,540,142,49,250,71,8,8
36,TELEORMAN,"DISPENSAR UMAN (HOL)",106,BOGDANA,152127,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:37:28",581,471,0,79,31,417,328,0,79,10,400,17,510,93,60,312,12,10,6
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL",122,BUZESCU,152332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:56:40",1237,1158,0,29,50,777,698,0,29,50,673,27,1280,580,102,520,40,4,7
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL",119,BUJORU,152314,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:14:54",737,674,0,37,26,613,550,0,37,26,528,22,740,190,192,304,21,7,4
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL",316,ŢIGĂNEŞTI,154834,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:54",1163,1134,0,2,27,700,671,0,2,27,672,28,1280,580,59,528,53,16,16
36,TELEORMAN,"GRĂDINIȚĂ CU PROGRAM NORMAL",329,VIIŞOARA,154914,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:29",563,525,0,6,32,444,406,0,6,32,429,15,615,171,219,151,46,5,8
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL BRAGADIRU",114,BRAGADIRU,152234,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:14",1078,1022,0,6,50,658,602,0,6,50,590,18,1120,512,11,470,94,8,7
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL CALOMFIREȘTI",252,POROSCHIA,151834,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:35",776,766,0,10,0,546,536,0,10,0,537,9,840,294,16,375,124,16,6
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL CONŢEŞTI",143,CONŢEŞTI,152564,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:40:38",1379,1300,0,24,55,863,784,0,24,55,811,52,1430,567,68,681,34,16,12
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL DRACEA",159,DRACEA,155109,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:32:26",1082,995,1,24,62,556,470,0,24,62,546,10,1090,534,434,54,41,7,10
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL ”DR.GHEORGHE FURTUNĂ”",107,BOTOROAGA,152172,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:07",1032,936,0,44,52,693,597,0,44,52,676,17,1020,327,252,278,118,12,16
36,TELEORMAN,"GRADINITA CU PROGRAM NORMAL NR.1",202,MĂLDĂENI,153277,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:59:23",908,878,0,11,19,527,497,0,11,19,508,19,980,453,85,243,127,27,26
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",182,GRATIA,153062,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:58:30",950,897,0,22,31,673,620,0,22,31,658,15,1020,347,109,453,65,12,19
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",209,MERENI,153295,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:19",770,745,0,2,23,427,402,0,2,23,422,5,820,382,309,50,55,2,6
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1 CREVENICU",153,CREVENICU,151932,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:50",733,636,0,48,49,561,464,0,48,49,537,18,700,145,24,334,146,17,16
