precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","OLĂRAŞU COSMIN-ALIN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
22,HUNEDOARA,"COLEGIUL ECONOMIC ”HERMES ”",150,"MUNICIPIUL PETROŞANI",86990,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:26:57",1502,1412,0,55,35,585,543,0,10,32,576,9,1600,1015,221,17,8,49,57,9,176,6,33
22,HUNEDOARA,"COLEGIUL NAŢIONAL ”DECEBAL”",17,"MUNICIPIUL DEVA",86687,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 23:54:51",1133,1113,7,11,2,531,518,0,11,2,505,25,1200,670,165,10,9,74,128,13,57,10,39
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ ”CARMEN SYLVA” (GRĂDINIȚA CU PROGRAM NORMAL NR.5)",152,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:45",1361,1347,0,14,0,496,482,0,14,0,456,40,1500,1004,192,25,3,42,50,5,92,7,40
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ ”CARMEN SYLVA” (GRĂDINIȚA CU PROGRAM NORMAL NR.5)",151,"MUNICIPIUL PETROŞANI",86990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:02",1360,1352,1,7,0,525,518,0,7,0,492,33,1500,975,197,26,6,57,43,7,108,11,37
22,HUNEDOARA,"COLEGIUL NAȚIONAL DE INFORMATICĂ CARMEN SYLVA (LICEUL DE INFORMATICĂ)",149,"MUNICIPIUL PETROŞANI",86990,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:46:56",1286,1280,0,6,0,576,570,0,6,0,538,29,1500,933,206,37,13,47,77,5,125,5,23
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",73,"MUNICIPIUL HUNEDOARA",86810,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:00:02",1150,1107,0,7,36,542,499,0,7,36,515,27,1200,658,237,8,2,61,57,10,75,20,45
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",74,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:51",1213,1190,0,5,18,447,426,0,5,16,419,28,1300,853,207,7,2,40,49,4,64,7,39
22,HUNEDOARA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”TRAIAN LALESCU” (CLĂDIREA NOUĂ)",72,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:46",1338,1297,2,4,35,634,597,0,4,33,609,25,1600,966,273,24,4,65,90,8,76,14,55
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR. 5)",77,"MUNICIPIUL HUNEDOARA",86810,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:57:04",1210,1201,1,7,1,529,520,1,7,1,503,24,1300,771,208,21,3,38,76,10,74,21,52
22,HUNEDOARA,"COLEGIUL NAȚIONAL ”IANCU DE HUNEDOARA” (FOSTA ȘCOALĂ GENERALĂ NR. 5)",76,"MUNICIPIUL HUNEDOARA",86810,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:48",1094,1086,0,8,0,364,356,0,8,0,349,15,1200,836,173,9,3,36,46,4,42,13,23
