precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROBU NICOLAE-ALIANȚA ELECTORALĂ PSD PNL-voturi","SÎRBU ILIE-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BAŞ ANA-MARCELA-PARTIDUL S.O.S. ROMÂNIA-voturi","CORAŞ DANIEL-MARIUS-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","MOROIANU DUMITRU-PARTIDUL ROMÂNIA MARE-voturi","OLAJOS JANI-RAUL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","FRITZ DOMINIC SAMUEL-ALIANȚA TIMIȘOARA UNITĂ USR - PMP - FORȚA DREPTEI - UDMR-voturi","JIANU FLORIN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","VASILE MARIAN-CONSTANTIN-voturi","MOŞ CRISTIAN-ALIN-voturi"
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” TIMIȘOARA",8,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:37:18",754,733,10,11,0,284,273,0,11,0,273,11,1200,916,73,12,5,1,3,6,163,1,8,1
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” TIMIȘOARA",9,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:11:52",1102,1088,9,5,0,472,466,1,5,0,463,9,1100,628,151,14,6,2,2,11,263,2,9,3
37,TIMIŞ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ A MUNICIPIULUI TIMIȘOARA, COMPLEXUL DE SERVICII SOCIALE PENTRU PERSOANE VÂRSTNICE „SF. ARH. MIHAIL ȘI GAVRIL”",179,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:11",1250,1230,11,9,0,525,516,0,9,0,515,10,1300,775,226,16,11,1,1,10,239,1,6,4
37,TIMIŞ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ A MUNICIPIULUI TIMIȘOARA, COMPLEXUL DE SERVICII SOCIALE PENTRU PERSOANE VÂRSTNICE „SF. ARH. MIHAIL ȘI GAVRIL”",180,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:45",1171,1151,13,6,1,463,456,0,6,1,456,7,1200,737,182,15,5,5,3,10,222,2,5,7
37,TIMIŞ,"FUNDAŢIA IOAN SLAVICI",13,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:06",1189,1156,24,9,0,502,493,0,9,0,486,16,1200,698,207,39,10,3,3,7,207,0,4,6
37,TIMIŞ,"FUNDAŢIA IOAN SLAVICI",14,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:03:34",1286,1264,8,14,0,567,552,1,14,0,561,6,1500,933,196,35,14,0,4,13,280,1,10,8
37,TIMIŞ,"FUNDAŢIA JUDEŢEANĂ PENTRU TINERET TIMIŞ (FOSTA CASA TINERETULUI)",112,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:14",1775,1676,63,26,10,781,745,0,26,10,769,12,2302,1521,271,20,8,3,0,8,442,0,13,4
37,TIMIŞ,"FUNDAŢIA JUDEŢEANĂ PENTRU TINERET TIMIŞ (FOSTA CASA TINERETULUI)",113,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:17",1022,1000,6,11,5,407,391,0,11,5,402,5,1300,893,185,21,7,1,0,11,160,2,10,5
37,TIMIŞ,"FUNDAŢIA JUDEŢEANĂ PENTRU TINERET TIMIŞ (FOSTA CASA TINERETULUI)",111,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:56",1146,1114,1,16,15,540,509,0,16,15,534,6,1200,660,258,15,4,0,1,9,231,1,14,1
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 11 ( GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12)",138,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:31:51",732,723,2,7,0,282,275,0,7,0,277,5,900,618,110,12,3,0,1,4,127,1,11,8
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.11 TIMIȘOARA",125,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:21",961,954,3,4,0,439,435,0,4,0,431,8,1200,761,192,23,8,0,2,8,181,0,13,4
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.11 TIMIȘOARA",124,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:43",1132,1122,0,10,0,485,475,0,10,0,471,14,1200,715,224,20,2,3,5,18,183,6,7,3
37,TIMIŞ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.13 TIMIȘOARA",207,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:39",452,447,0,5,0,225,220,0,5,0,221,4,500,275,73,16,13,1,3,15,89,0,9,2
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.20 (GRĂDINIŢA CU PROGRAM PRELUNGIT NR.9 ”CARLA PELZ”)",49,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:40",1294,1273,10,8,3,606,595,0,8,3,599,7,1300,694,214,19,8,1,1,7,325,3,13,8
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.20 (GRĂDINIŢA CU PROGRAM PRELUNGIT NR.9 ”CARLA PELZ”)",48,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:33",1348,1335,7,6,0,620,614,0,6,0,602,18,1400,780,227,25,8,2,7,4,304,5,16,4
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.20 TIMIȘOARA",177,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:58",1467,1449,11,7,0,606,599,0,7,0,597,9,1500,894,246,26,6,2,6,12,275,1,18,5
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.20 TIMIȘOARA",178,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:38:13",1300,1277,15,7,1,621,613,0,7,1,611,10,1300,679,253,25,9,0,0,10,286,3,18,7
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.20 TIMIȘOARA",176,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:07:12",1449,1420,19,10,0,590,580,0,10,0,585,5,1500,910,236,24,15,2,3,13,267,4,15,6
37,TIMIŞ,"GRADINIŢA CU PROGRAM PRELUNGIT NR.23",145,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:56",1126,1103,14,9,0,446,437,0,9,0,441,5,1400,954,151,12,11,3,4,11,226,5,12,6
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.26",46,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:32",1219,1204,0,15,0,532,517,0,15,0,527,5,1600,1068,133,12,11,1,1,33,327,0,8,1
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.26",47,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:59",1227,1203,10,13,1,524,510,0,13,1,509,15,1300,776,156,16,12,2,5,9,286,1,16,6
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2 (GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1)",106,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:17",1928,1895,18,15,0,959,943,1,15,0,941,18,2000,1041,350,17,4,4,1,15,517,5,24,4
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.2 (GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1)",107,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:15:43",1847,1814,18,15,0,880,864,1,15,0,868,12,1900,1020,351,32,11,7,1,17,425,2,17,5
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.36",41,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:32",1165,1152,3,10,0,470,460,0,10,0,458,12,1400,930,166,16,6,1,1,7,245,1,12,3
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 36 (FOSTA GRĂDINIŢĂ NR. 37)",19,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:49",1329,1310,11,8,0,525,516,1,8,0,517,8,1400,875,195,18,9,4,0,18,248,0,18,7
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 36 (FOSTA GRĂDINIŢĂ NR. 37)",18,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:55:16",1654,1599,41,14,0,703,689,0,14,0,698,5,2000,1297,266,21,10,5,5,11,365,1,6,8
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.38 ( GRĂDINIŢA CU PROGRAM PRELUNGIT NR.6 )",203,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:15",1294,1283,3,8,0,574,566,0,8,0,560,14,1300,726,210,41,16,2,6,7,248,1,22,7
37,TIMIŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.38 ( GRĂDINIŢA CU PROGRAM PRELUNGIT NR.6 )",204,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:00:53",1246,1230,10,6,0,526,520,0,6,0,519,7,1600,1074,215,42,8,2,4,9,218,5,11,5
37,TIMIŞ,"INSPECTORATUL TERITORIAL AL POLIŢIEI DE FRONTIERĂ TIMIȘOARA",11,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:46",1175,1159,6,10,0,432,422,0,10,0,427,5,1400,968,157,12,14,5,3,14,209,1,6,6
37,TIMIŞ,"INSPECTORATUL TERITORIAL AL POLIŢIEI DE FRONTIERĂ TIMIȘOARA",12,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:59:39",1320,1301,6,13,0,486,473,0,13,0,481,5,1600,1114,176,22,6,4,3,12,243,2,8,5
37,TIMIŞ,"LICEUL CU PROGRAM SPORTIV ”BANATUL”",109,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:55",1223,1192,21,8,2,509,499,0,8,2,502,7,1600,1091,169,23,6,2,0,10,271,1,17,3
37,TIMIŞ,"LICEUL DE ARTĂ ”ION VIDU” TIMIȘOARA",110,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:50",525,501,3,21,0,240,219,0,21,0,240,0,1000,760,87,4,3,1,0,3,129,0,7,6
37,TIMIŞ,"LICEUL DE ARTE PLASTICE TIMIȘOARA ( FOSTUL GRUP ȘCOLAR TUDOR TĂNĂSESCU)",165,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:30",872,848,4,15,5,285,271,0,10,4,280,5,1200,915,89,18,7,1,3,6,143,0,8,5
37,TIMIŞ,"LICEUL DE ARTE PLASTICE TIMIȘOARA ( FOSTUL GRUP ȘCOLAR TUDOR TĂNĂSESCU)",163,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:34",1567,1545,18,0,4,598,593,1,0,4,590,8,1600,1002,225,24,23,3,5,17,276,4,6,7
37,TIMIŞ,"LICEUL DE ARTE PLASTICE TIMIȘOARA ( FOSTUL GRUP ȘCOLAR TUDOR TĂNĂSESCU)",164,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:19:35",1284,1264,0,11,9,380,360,0,11,9,378,2,1300,920,150,23,17,0,2,5,173,1,7,0
37,TIMIŞ,"LICEUL TEHNOLOGIC ”AZUR” TIMIȘOARA",127,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:17",945,916,19,10,0,484,470,4,10,0,478,6,1400,916,175,11,8,1,4,9,255,0,9,6
37,TIMIŞ,"LICEUL TEHNOLOGIC ”AZUR” TIMIȘOARA",130,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:44:30",1304,1274,15,15,0,535,520,0,15,0,529,6,1300,765,229,20,8,0,2,9,240,5,13,3
37,TIMIŞ,"LICEUL TEHNOLOGIC ”AZUR” TIMIȘOARA",128,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:01",1063,1051,6,6,0,441,435,0,6,0,438,3,1100,659,159,19,7,0,1,6,214,2,23,7
37,TIMIŞ,"LICEUL TEHNOLOGIC ”AZUR” TIMIȘOARA",131,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:18:36",1030,1026,2,2,0,421,419,0,2,0,413,8,1100,679,156,15,3,3,2,10,207,0,14,3
37,TIMIŞ,"LICEUL TEHNOLOGIC ”AZUR” TIMIȘOARA",129,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:12:06",1132,1121,4,7,0,468,461,0,7,0,450,11,1200,739,183,14,6,2,1,11,215,1,13,4
37,TIMIŞ,"LICEUL TEHNOLOGIC ”AZUR” TIMIȘOARA",126,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:00",1220,1210,3,7,0,511,504,0,7,0,504,7,1300,789,201,19,19,1,1,16,233,2,8,4
37,TIMIŞ,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ",51,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:04:19",993,969,10,14,0,418,401,3,14,0,417,1,1200,782,171,18,7,0,2,7,196,1,15,0
37,TIMIŞ,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ",52,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:04",1133,1124,4,5,0,535,530,0,5,0,524,11,1200,665,173,18,9,3,3,14,283,3,13,5
37,TIMIŞ,"LICEUL TEHNOLOGIC DE VEST TIMIȘOARA",65,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:19:31",990,972,7,11,0,409,396,2,11,0,396,13,1200,791,119,9,9,8,5,5,223,4,8,6
37,TIMIŞ,"LICEUL TEHNOLOGIC DE VEST TIMIȘOARA",66,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:08",910,882,18,10,0,395,384,1,10,0,383,12,1000,605,126,22,2,0,1,8,207,0,14,3
37,TIMIŞ,"LICEUL TEHNOLOGIC DE VEST TIMIȘOARA",64,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:55",1211,1149,42,11,9,418,396,2,11,9,409,9,1200,782,132,21,3,2,3,6,232,0,7,3
37,TIMIŞ,"LICEUL TEHNOLOGIC ELECTROTIMIŞ TIMIȘOARA",152,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:45",1609,1589,13,7,0,708,701,0,7,0,701,7,1600,892,289,24,15,4,0,8,334,3,18,6
37,TIMIŞ,"LICEUL TEHNOLOGIC ELECTROTIMIŞ TIMIȘOARA",151,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:53:25",1638,1619,8,11,0,701,690,0,11,0,694,7,1800,1099,313,33,12,9,4,13,286,4,15,5
37,TIMIŞ,"LICEUL TEHNOLOGIC ELECTROTIMIŞ TIMIȘOARA",150,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:47",1591,1573,5,13,0,746,732,1,13,0,743,3,1600,854,319,40,9,7,4,12,318,2,23,9
37,TIMIŞ,"LICEUL TEHNOLOGIC ELECTROTIMIŞ TIMIȘOARA",153,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:22",1489,1478,1,10,0,508,498,0,10,0,500,8,1600,1092,261,29,13,2,5,15,163,1,8,3
37,TIMIŞ,"LICEUL TEHNOLOGIC ELECTROTIMIŞ TIMIȘOARA (ŞCOALA GIMNAZIALĂ NR.20 )",200,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:53",1868,1855,5,8,0,1028,1019,1,8,0,1012,16,2000,972,379,33,11,1,5,27,540,3,9,4
37,TIMIŞ,"LICEUL TEHNOLOGIC ENERGETIC ”REGELE FERDINAND I” TIMIȘOARA - CĂMIN NR.1 (FOST GRUP ŞCOLAR ”TUDOR TĂNĂSESCU”)",183,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:21:41",1324,1304,10,10,0,489,479,0,10,0,484,5,1400,911,167,25,10,2,3,11,247,6,7,6
37,TIMIŞ,"LICEUL TEHNOLOGIC ENERGETIC ”REGELE FERDINAND I” TIMIȘOARA - CĂMIN NR.1 (FOST GRUP ŞCOLAR ”TUDOR TĂNĂSESCU”)",184,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:53:41",1244,1231,3,10,0,430,420,0,10,0,423,7,1300,870,142,23,10,2,0,15,217,6,4,4
37,TIMIŞ,"LICEUL TEHNOLOGIC ENERGETIC ”REGELE FERDINAND I” TIMIȘOARA - CĂMIN NR.1 (FOST GRUP ŞCOLAR ”TUDOR TĂNĂSESCU”)",181,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:30",1323,1309,6,7,1,547,539,0,7,1,540,7,1600,1053,218,19,8,8,3,10,245,2,19,8
37,TIMIŞ,"LICEUL TEHNOLOGIC ENERGETIC ”REGELE FERDINAND I” TIMIȘOARA - CĂMIN NR.1 (FOST GRUP ŞCOLAR ”TUDOR TĂNĂSESCU”)",182,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:55:02",1133,1116,1,16,0,417,401,0,16,0,414,3,1200,783,126,22,7,2,0,11,212,4,25,5
37,TIMIŞ,"LICEUL TEHNOLOGIC TRANSPORTURI AUTO",93,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:06",1460,1449,3,8,0,647,639,0,8,0,635,12,1600,953,240,33,9,3,5,11,307,3,16,8
37,TIMIŞ,"LICEUL TEHNOLOGIC TRANSPORTURI AUTO",94,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:21:49",1677,1645,9,14,9,725,702,0,14,9,717,8,1700,975,262,40,12,3,3,21,356,1,17,2
37,TIMIŞ,"LICEUL TEHNOLOGIC TRANSPORTURI AUTO",95,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:19:18",1556,1530,7,19,0,621,602,0,19,0,607,14,1600,979,234,32,15,3,3,6,291,3,17,3
37,TIMIŞ,"LICEUL TEHNOLOGIC TRANSPORTURI AUTO (ŞCOALA GIMNAZIALĂ NR. 29)",96,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:49",1317,1308,0,9,0,506,497,0,9,0,502,4,1400,894,181,25,9,1,8,5,246,3,20,4
