precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"CĂMINUL CULTURAL RĂCOASA",258,RĂCOASA,177405,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:54:00",905,884,1,7,13,466,446,0,7,13,443,23,986,520,105,5,8,231,76,18
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE JOS",289,STRĂOANE,177799,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:54",1101,1097,2,2,0,555,553,0,2,0,531,24,1218,663,180,4,13,263,45,26
41,VRANCEA,"CAMINUL CULTURAL STRAOANE DE SUS",290,STRĂOANE,177799,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:29",710,702,1,7,0,364,356,1,7,0,349,15,777,413,63,2,8,174,79,23
41,VRANCEA,"CĂMINUL CULTURAL VASILE ȚIROIU BOLOTEȘTI",111,BOLOTEŞTI,175368,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:41",606,588,2,7,9,305,289,0,7,9,288,17,650,345,181,1,6,45,41,14
41,VRANCEA,"CASA OBŞTII TULNICI",310,TULNICI,178117,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:11:07",1165,1142,1,16,6,582,560,0,16,6,535,47,1260,678,383,4,12,89,39,8
41,VRANCEA,"CASA OBŞTII TULNICI",309,TULNICI,178117,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:36:29",1153,1140,0,9,4,595,582,0,9,4,553,42,1256,661,400,3,12,106,24,8
41,VRANCEA,"CASA PRAZNICALĂ CIOLĂNEȘTI",168,FITIONEŞTI,176150,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:34",140,129,1,10,0,80,70,0,10,0,79,1,141,61,26,0,1,28,7,17
41,VRANCEA,"CASA PRAZNICALĂ FITIONEȘTI",166,FITIONEŞTI,176150,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:05:19",653,641,1,8,3,358,347,0,8,3,336,22,705,346,63,7,10,154,36,66
41,VRANCEA,"CASA PRAZNICALĂ GHIMICEȘTI",169,FITIONEŞTI,176150,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:21",312,301,0,11,0,167,156,0,11,0,143,24,331,164,26,3,9,48,15,42
41,VRANCEA,"CENTRU COMUNITAR MULTIFUNCȚIONAL CORBIȚA",145,CORBIŢA,175787,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 23:00:47",257,255,0,2,0,147,145,0,2,0,138,9,279,132,49,3,5,71,6,4
41,VRANCEA,"CENTRU DE ZI, CANTINĂ SOCIALĂ ȘI ÎNGRIJIRE LA DOMICILIU PENTRU PERSOANE VÂRSTNICE",140,CIORĂŞTI,175590,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 09:42:56",274,265,0,4,5,176,167,0,4,5,158,18,296,120,113,1,3,10,29,2
41,VRANCEA,"CENTRUL DE RECUPERARE PENTRU PERSOANE CU HANDICAP",96,"ORAŞ PANCIU",175055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:14",410,398,1,10,1,249,238,0,10,1,244,5,442,193,84,1,15,54,45,45
41,VRANCEA,"CENTRU PENTRU EDUCAȚIE TIMPURIE ”LUMEA COPIILOR”",89,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:51",779,769,0,8,2,470,460,0,8,2,459,11,863,393,99,6,13,252,35,54
41,VRANCEA,"COLEGIUL NAŢIONAL ”AL. I. CUZA”",22,"MUNICIPIUL FOCŞANI",174744,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:55:57",848,833,2,8,5,354,341,0,8,5,344,10,927,573,125,9,15,99,34,62
41,VRANCEA,"COLEGIUL NAȚIONAL „EMIL BOTTA” - CORP B - SALA DE FESTIVITĂȚI",60,"MUNICIPIUL ADJUD",174860,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:30",866,856,1,9,0,357,348,0,9,0,347,10,958,601,117,18,11,149,41,11
41,VRANCEA,"COLEGIUL NAȚIONAL PEDAGOGIC „SPIRU HARET” FOCȘANI",41,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:36",1608,1601,1,6,0,757,751,0,6,0,737,20,1768,1011,234,21,34,269,72,107
41,VRANCEA,"COLEGIUL NAŢIONAL ”UNIREA”",30,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:24:29",1096,1083,3,8,2,419,409,0,8,2,403,16,1200,781,108,4,22,182,31,56
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",8,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:27:57",679,670,2,7,0,337,330,0,7,0,327,10,745,408,120,4,12,109,32,50
41,VRANCEA,"COLEGIUL TEHNIC AUTO „TRAIAN VUIA”",9,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:28:22",1044,1035,1,8,0,480,472,0,8,0,466,14,1139,659,175,14,19,163,40,55
41,VRANCEA,"COLEGIUL TEHNIC ”EDMOND NICOLAU”",34,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:37",1139,1131,0,8,0,491,483,0,8,0,475,16,1254,763,160,12,23,174,29,77
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",23,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:21",1314,1310,0,3,1,560,556,0,3,1,543,17,1472,912,156,8,26,201,54,98
41,VRANCEA,"COLEGIUL TEHNIC „GHEORGHE ASACHI” FOCȘANI",24,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:02",1573,1560,3,10,0,624,613,1,10,0,609,15,1750,1126,207,7,30,236,56,73
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” A",69,"MUNICIPIUL ADJUD",174860,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:01:13",1398,1392,0,6,0,660,654,0,6,0,628,32,1535,875,201,122,28,207,57,13
41,VRANCEA,"COLEGIUL TEHNIC ”GHEORGHE BALŞ” B",70,"MUNICIPIUL ADJUD",174860,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:22:26",1205,1197,0,7,1,506,498,0,7,1,488,18,1324,818,160,103,30,146,35,14
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",26,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:25:05",944,937,0,7,0,412,405,0,7,0,397,15,1041,629,161,7,14,124,31,60
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",27,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:07:34",861,853,1,7,0,359,352,0,7,0,343,16,943,584,109,4,22,101,59,48
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",25,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:43",994,984,0,8,2,392,382,0,8,2,381,11,1085,693,116,6,19,137,52,51
41,VRANCEA,"COLEGIUL TEHNIC ”VALERIU D. COTEA”",21,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:53:36",1265,1233,3,11,18,573,549,0,11,13,549,17,1371,801,174,12,30,213,51,69
41,VRANCEA,"CONSILIUL LOCAL TĂNĂSOAIA",296,TĂNĂSOAIA,177879,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:07:51",689,653,0,10,26,445,409,0,10,26,420,25,768,323,73,18,12,127,73,117
41,VRANCEA,"CONSILIUL LOCAL URECHEŞTI",318,URECHEŞTI,178279,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:23",1740,1727,1,12,0,866,853,1,12,0,831,35,1898,1032,579,2,20,149,60,21
41,VRANCEA,CREȘĂ,172,GAROAFA,176212,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:08",580,574,0,6,0,296,290,0,6,0,283,13,635,339,179,0,5,63,29,7
41,VRANCEA,"CᾸMIN CULTURAL SLOBOZIA BOTEṢTI",206,MĂICĂNEŞTI,176613,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:09:19",213,191,1,14,7,124,103,0,14,7,115,9,222,98,100,1,0,9,3,2
41,VRANCEA,"DIRECŢIA JUDEŢEANĂ A SPORTURILOR VRANCEA",37,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:32:29",1364,1350,1,13,0,564,551,0,13,0,546,18,1494,930,163,11,24,216,58,74
41,VRANCEA,"DIRECŢIA SANITAR-VETERINARĂ",55,"MUNICIPIUL FOCŞANI",174744,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:55:56",1826,1805,4,10,7,858,841,0,10,7,834,24,2002,1144,302,10,31,298,75,118
41,VRANCEA,"DIRECTIA SILVICĂ VRANCEA",1,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:31:21",1327,1313,1,13,0,590,577,0,13,0,561,28,1450,860,161,11,35,240,53,61
41,VRANCEA,"DISPENSARUL UMAN MIRCEŞTII VECHI",328,VÂNĂTORI,178607,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:47:59",279,272,1,6,0,143,136,1,6,0,139,4,299,156,43,3,2,55,22,14
41,VRANCEA,"FOSTA SCOALA GENERALA BORDEASCA NOUA",301,TĂTĂRANU,177986,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 08:51:35",336,307,0,16,13,170,141,0,16,13,158,12,366,196,24,2,1,115,8,8
41,VRANCEA,"FOSTA SCOALA GENERALA MARTINESTI",304,TĂTĂRANU,177986,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:59:45",510,492,2,4,12,259,241,2,4,12,244,14,579,321,48,2,9,172,8,5
41,VRANCEA,"FOSTA SCOALA GENERALA NR. 1 BORDEASCA VECHE",303,TĂTĂRANU,177986,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:00",839,829,0,1,9,412,402,0,1,9,392,20,922,510,102,6,6,247,18,13
41,VRANCEA,"FOSTA SCOALA PRIMARA VIJIITOAREA",305,TĂTĂRANU,177986,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:32:26",180,170,0,10,0,99,89,0,10,0,94,5,186,87,26,2,2,51,6,7
41,VRANCEA,GRĂDINIȚĂ,131,CÂRLIGELE,175732,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 20:24:55",552,524,0,7,21,336,308,0,7,21,325,11,599,261,28,3,9,257,18,10
41,VRANCEA,"GRĂDINIŢA CIORANI",256,PUFEŞTI,177352,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:20:35",811,802,1,8,0,435,427,0,8,0,403,32,882,447,59,13,11,123,175,22
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL CHIOJDENI",132,CHIOJDENI,175509,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:55:45",518,492,0,12,14,331,305,0,12,14,321,10,553,222,125,2,2,186,3,3
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL DUMBRAVA",97,"ORAŞ PANCIU",175055,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:44:56",405,400,1,4,0,188,184,0,4,0,179,9,438,250,64,1,3,59,26,26
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL GOLOGANU",178,GOLOGANU,178938,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:28:16",1136,1115,0,8,13,647,626,0,8,13,620,27,1239,592,104,14,16,293,130,63
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL JILIȘTE",284,"SLOBOZIA CIORĂŞTI",177726,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:43:47",581,568,1,6,6,314,301,1,6,6,290,24,633,319,24,6,7,205,36,12
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL JORĂŞTI",326,VÂNĂTORI,178607,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:35:00",1289,1280,1,6,2,656,648,0,6,2,611,45,1411,755,152,8,39,216,105,91
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL LĂMOTEȘTI",215,MILCOVUL,176748,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:22:37",878,869,0,2,7,486,477,0,2,7,452,34,965,479,118,7,13,210,34,70
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL MILCOVUL",213,MILCOVUL,176748,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:12:32",995,986,1,0,8,539,531,0,0,8,516,23,1094,555,106,7,6,291,39,67
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL MILCOVUL",214,MILCOVUL,176748,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:21",1047,1036,1,1,9,547,537,0,1,9,536,11,1148,601,114,3,12,271,40,96
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1",98,"ORAŞ PANCIU",175055,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-19 17:19:22",701,688,1,12,0,368,356,0,12,0,354,13,758,390,103,4,20,107,62,58
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 FITIONEȘTI",167,FITIONEŞTI,176150,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:48",511,505,0,4,2,294,288,0,4,2,276,18,558,264,69,14,12,105,30,46
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 NĂRUJA",225,NĂRUJA,176891,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:05:53",971,935,0,6,30,620,584,0,6,30,603,15,1062,444,51,0,6,493,46,7
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.2 POPEȘTI",253,POPEŞTI,178901,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:57",904,897,0,5,2,524,517,0,5,2,504,20,994,470,144,4,24,203,110,19
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 2 SURAIA",295,SURAIA,177842,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:42:08",1588,1556,2,14,16,799,768,1,14,16,752,47,1720,921,443,10,19,216,16,48
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 GUGEŞTI",182,GUGEŞTI,176301,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:42:08",877,858,2,8,9,403,386,0,8,9,384,19,955,552,71,6,17,236,34,20
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.3 (STRUCTURA CARAGEA)",88,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:47",914,899,0,13,2,458,443,0,13,2,440,18,1000,542,103,6,24,248,27,32
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 FOCȘANI",57,"MUNICIPIUL FOCŞANI",174744,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:41:27",1552,1543,3,6,0,672,666,0,6,0,640,32,1700,1028,228,17,22,244,58,71
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 (STRUCTURA UNIREA)",90,"ORAŞ ODOBEŞTI",175019,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:50:50",1622,1611,1,6,4,727,717,0,6,4,693,34,1786,1059,127,12,28,382,89,55
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL PALTIN",234,PALTIN,177101,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:48:49",1091,1056,0,6,29,759,724,0,6,29,728,31,1183,424,231,5,20,435,25,12
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL RĂDULEŞTI",330,VÂNĂTORI,178607,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:13",707,701,1,5,0,346,340,1,5,0,318,28,775,429,92,4,16,140,49,17
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL RUCĂRENI",286,SOVEJA,177762,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:04:41",698,665,1,10,22,413,381,0,10,22,393,20,747,334,261,8,3,95,12,14
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL SATU NOU",95,"ORAŞ PANCIU",175055,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:34:11",772,760,1,11,0,394,383,0,11,0,375,19,842,448,90,6,30,117,83,49
41,VRANCEA,"GRADINITA CU PROGRAM NORMAL STUPINA",208,MĂICĂNEŞTI,176613,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:35:43",270,253,0,11,6,201,184,0,11,6,190,11,285,84,161,2,0,20,3,4
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL VARNIȚA",261,RĂCOASA,177405,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:18:59",455,440,1,7,7,213,201,0,5,7,198,15,489,276,37,1,4,90,40,26
