precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”IONEL PERLEA” OGRADA",183,OGRADA,179819,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:19",1179,1160,1,0,18,565,547,0,0,18,532,33,1300,735,4,89,73,316,26,9,14,1
23,IALOMIŢA,"ŞCOALA GIMNAZIALA ION ROATA",161,"ION ROATĂ",103862,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:19",868,856,0,8,4,502,490,0,8,4,449,53,957,455,19,96,110,140,28,6,42,8
23,IALOMIŢA,"ŞCOALA GIMNAZIALA ION ROATA(STRUCTURA BROSTENI)",163,"ION ROATĂ",103862,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:33:54",1178,1175,0,0,3,660,657,0,0,3,547,113,1300,640,20,178,84,149,50,19,40,7
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ MIHAIL KOGĂLNICEANU",173,"MIHAIL KOGĂLNICEANU",93995,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 12:48:11",1233,1198,1,8,26,802,767,1,8,26,733,69,1550,748,65,74,127,359,30,10,58,10
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP A",35,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:27",1423,1418,0,5,0,521,516,0,5,0,491,30,1550,1029,12,83,62,276,41,1,14,2
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP B",37,"MUNICIPIUL FETEŞTI",92701,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:48:12",962,953,0,8,1,418,409,0,8,1,397,21,1050,632,5,57,79,218,29,1,7,1
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP B",36,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:58",974,966,0,8,0,367,359,0,8,0,336,31,1050,683,5,30,52,217,32,0,0,0
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP D",38,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:33:56",850,844,0,6,0,381,375,0,6,0,368,13,950,569,5,32,50,228,25,5,18,5
23,IALOMIŢA,"ŞCOALA GIMNAZIALA MILOŞEŞTI",174,MILOŞEŞTI,94045,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:11:15",1348,1277,0,0,71,862,791,0,0,71,790,72,1420,558,9,80,106,528,38,3,18,8
23,IALOMIŢA,"SCOALA GIMNAZIALA MOVILITA",179,MOVILIŢA,104270,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 11:19:34",1152,1125,4,19,4,803,779,1,19,4,749,54,1250,447,14,162,205,296,21,2,48,1
23,IALOMIŢA,"SCOALA GIMNAZIALA MOVILITA",180,MOVILIŢA,104270,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:47:31",823,809,1,12,1,557,544,0,12,1,512,45,890,333,2,111,156,205,13,0,24,1
