precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHALCEA SERGIU-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","THUMA HUBERT PETRU ŞTEFAN-ALIANȚA ELECTORALĂ PSD PNL-voturi","BOBEI VICTOR-HORIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DANCĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TĂNĂSESCU CLAUDIU-PARTIDUL ROMÂNIA MARE-voturi"
25,ILFOV,"SCOALA GIMNAZIALA” PETRU RARES”",169,CHIAJNA,179249,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:47",1991,1955,18,18,0,689,671,0,18,0,667,22,2150,1461,66,195,41,337,28
25,ILFOV,"ȘCOALA GIMNAZIALĂ ”PROF.ION IONIȚĂ ” BURIAȘ",262,PERIŞ,104546,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:03:12",1055,1036,0,18,1,765,746,0,18,1,716,49,1153,388,106,316,72,118,104
25,ILFOV,"ŞCOALA MOARA DOMNEASCĂ",227,GĂNEASA,103130,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:54:50",578,559,1,18,0,429,411,0,18,0,412,17,600,171,52,316,14,27,3
25,ILFOV,"ŞCOALA PITEASCA",228,GĂNEASA,103130,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 00:16:51",1159,1141,2,16,0,894,878,0,16,0,827,67,1250,356,77,696,29,18,7
25,ILFOV,"ȘCOALA PRIMARĂ NR. 1",224,DRAGOMIREŞTI-VALE,102605,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:54",1033,883,1,134,15,770,621,0,134,15,753,17,1024,254,48,612,23,60,10
25,ILFOV,"ŞCOALĂ PRIMARĂ NR.1 CLINCENI",186,CLINCENI,102035,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:50:21",1641,1613,0,21,7,1002,974,0,21,7,971,31,1800,798,120,659,81,89,22
25,ILFOV,"ŞCOALA PRIMARĂ NR. 1 SĂFTICA",142,BALOTEŞTI,100969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:13:34",1313,1296,11,4,2,682,675,1,4,2,657,24,1459,777,105,376,43,119,14
25,ILFOV,"ŞCOALA PRIMARĂ NR. 1 SITARU",236,GRĂDIŞTEA,103443,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:52",909,871,1,6,31,590,553,0,6,31,560,29,982,393,49,375,19,113,4
25,ILFOV,"SCOALA PRIMARA NR 1 VARTEJU",49,"ORAŞ MĂGURELE",179409,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:26:52",1102,1091,2,7,2,601,592,0,7,2,577,24,1200,599,71,377,32,84,13
25,ILFOV,"ŞCOALA PRIMARA NR. 1 VIDRA",285,VIDRA,105936,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:51",1412,1404,4,3,1,676,672,0,3,1,633,20,1550,878,60,437,30,84,22
25,ILFOV,"ŞCOALA PRIMARA NR. 1 VIDRA",284,VIDRA,105936,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:23",629,628,0,1,0,326,325,0,1,0,314,12,700,374,48,229,16,15,6
25,ILFOV,"SCOALA PRIMARA NR. 2",144,BERCENI,101145,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:52:41",1874,1711,0,140,23,1197,1034,0,140,23,1156,39,1900,703,108,673,62,275,38
25,ILFOV,"SCOALA PRIMARA NR. 2",145,BERCENI,101145,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:05:28",1900,1714,2,150,34,1506,1322,0,150,34,1357,49,1900,489,141,1002,49,135,30
