precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECHITA LUCIAN-CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PETCU TRAIAN-CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOROŞ DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","VINTILĂ ANA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MÎŢĂ JUSTIANA-MIHAELA-PARTIDUL NOUA DREAPTĂ-voturi","POGHIRC NICOLAE-PARTIDUL PRO ROMÂNIA-voturi","NECHITA TIBERIUS-DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","IAMANDI-RĂIANU MARIUS-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","SÂRBU BOGDAN-IOAN-voturi","VLAŞIN ORANIA-voturi"
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 10",90,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:16:06",1684,1646,0,6,32,668,630,0,6,32,655,13,2000,1332,35,71,379,70,0,3,27,42,24,4
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 10",88,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:33",1746,1743,0,3,0,623,620,0,3,0,605,18,1800,1177,34,58,370,52,4,8,29,38,6,6
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 2",122,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:48:38",961,953,0,8,0,363,355,0,8,0,352,11,1000,637,10,28,176,48,2,4,17,39,19,9
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 2",123,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:08",848,842,0,6,0,273,267,0,6,0,272,1,900,627,16,23,149,37,1,1,5,20,13,7
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 2",121,"MUNICIPIUL BÂRLAD",161794,3,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:26",618,613,0,5,0,220,215,0,5,0,215,5,800,580,17,18,106,15,1,2,9,32,12,3
39,VASLUI,"ŞCOALA GIMNAZIALĂ NR. 2",120,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:23",897,892,0,5,0,323,318,0,5,0,318,5,1000,677,15,26,152,39,2,2,11,41,15,15
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”PRINCIPESA ELENA BIBESCU”",119,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:37",1431,1425,0,6,0,492,486,0,6,0,484,8,1600,1108,27,53,257,52,3,3,16,50,9,14
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”PRINCIPESA ELENA BIBESCU”",118,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:34",1355,1349,0,5,1,507,501,0,5,1,496,11,1400,893,22,67,262,61,0,6,16,23,32,7
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”VICTOR IOAN POPA”",113,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:57",1210,1206,0,4,0,405,401,0,4,0,387,18,1300,895,39,37,223,27,3,2,23,22,8,3
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”VICTOR IOAN POPA”",115,"MUNICIPIUL BÂRLAD",161794,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:01",1425,1416,1,8,0,517,509,0,8,0,488,29,1600,1083,35,67,250,42,11,3,19,43,4,14
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”VICTOR IOAN POPA”",114,"MUNICIPIUL BÂRLAD",161794,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:42:52",1360,1354,0,6,0,529,523,0,6,0,479,50,1400,871,26,40,278,26,8,6,27,38,24,6
