county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL VOLT ROMANIA-voturi","PARTIDUL VOLT ROMANIA-mandate-faza-1","PARTIDUL VOLT ROMANIA-mandate-faza-2","ENACHE IONUŢ-VIOREL-voturi","ENACHE IONUŢ-VIOREL-mandate-faza-1","ENACHE IONUŢ-VIOREL-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","BLOCUL SUVERANIST ROMÂN-voturi","BLOCUL SUVERANIST ROMÂN-mandate-faza-1","BLOCUL SUVERANIST ROMÂN-mandate-faza-2","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-1","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-mandate-faza-2","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL PATRIOȚILOR-mandate-faza-1","PARTIDUL PATRIOȚILOR-mandate-faza-2","PINTILIE ADRIAN-GABRIEL-voturi","PINTILIE ADRIAN-GABRIEL-mandate-faza-1","PINTILIE ADRIAN-GABRIEL-mandate-faza-2","BRATU MARIAN-voturi","BRATU MARIAN-mandate-faza-1","BRATU MARIAN-mandate-faza-2","TRICĂ FLORIN-voturi","TRICĂ FLORIN-mandate-faza-1","TRICĂ FLORIN-mandate-faza-2"
19,GIURGIU,COSOBA,179748,2,FINAL,UAT,CL,CL_CE,"2024-06-11 21:22:23",2216,2178,0,17,21,1511,1473,0,17,21,1469,42,2406,895,73,102,117,133,465,3,1,129,0,1,444,3,0,0,0,0,0,0,0,0,0,0,431,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,"CREVEDIA MARE",102348,2,FINAL,UAT,CL,CL_CE,"2024-06-11 20:15:59",3804,3764,0,35,5,2584,2544,0,35,5,2492,92,4124,1540,124,174,199,185,855,4,0,83,0,0,138,0,1,0,0,0,0,0,0,0,0,0,1416,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,DAIA,102446,2,FINAL,UAT,CL,CL_CE,"2024-06-11 11:59:41",2056,1920,1,86,49,1410,1275,0,86,49,1343,66,2157,737,67,94,107,116,900,7,1,68,0,0,318,2,1,22,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,FLOREŞTI-STOENEŞTI,102794,4,FINAL,UAT,CL,CL_CE,"2024-06-13 17:12:37",7023,6959,2,39,23,3432,3370,0,39,23,3258,168,7687,4261,162,228,260,217,2549,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,FRĂTEŞTI,102909,3,FINAL,UAT,CL,CL_CE,"2024-06-13 14:32:35",4447,4131,10,189,117,2820,2514,0,189,117,2733,87,4578,1758,136,191,218,198,1839,9,0,154,0,1,582,2,1,78,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,GĂISENI,103087,2,FINAL,UAT,CL,CL_CE,"2024-06-11 21:31:15",4251,4116,1,51,83,2424,2290,0,51,83,2322,102,4614,2190,116,162,185,154,1500,9,1,276,1,1,546,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,GĂUJANI,103194,2,FINAL,UAT,CL,CL_CE,"2024-06-11 16:36:13",2004,1768,3,151,82,1456,1222,1,151,82,1357,99,1998,542,67,94,108,119,258,2,0,35,0,0,570,4,1,8,0,0,0,0,0,0,0,0,416,3,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,GHIMPAŢI,103238,3,FINAL,UAT,CL,CL_CE,"2024-06-13 16:09:15",4259,3828,4,112,315,2928,2499,2,112,315,2881,47,4542,1614,144,201,230,190,2547,13,0,164,0,1,149,0,1,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,GOGOŞARI,103309,2,FINAL,UAT,CL,CL_CE,"2024-06-13 14:36:23",1304,1229,0,35,40,908,833,0,35,40,890,18,1375,467,44,62,71,77,742,9,1,37,0,0,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GIURGIU,GOSTINARI,103372,3,FINAL,UAT,CL,CL_CE,"2024-06-20 12:03:35",1945,1766,1,109,69,1302,1123,1,109,69,1258,44,1949,647,62,88,100,114,203,1,1,0,0,0,1055,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
