precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL UNIUNEA PENTRU REFORMA STATULUI ȘI PROTECȚIA DREPTURILOR FUNDAMENTALE-voturi","ALIANȚA UNIȚI PENTRU BRAȘOV-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","GRIGORESCU OVIDIU-DAN-voturi"
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",128,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:05",1339,1336,1,2,0,535,533,0,2,0,514,21,1500,965,53,238,23,6,10,147,4,0,13,5,15
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",127,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:34",1550,1541,2,7,0,707,700,0,7,0,677,30,1700,993,49,278,47,6,8,239,3,3,17,6,21
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",125,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:56",1276,1269,3,3,1,572,568,0,3,1,540,32,1400,828,38,235,26,6,10,166,4,2,29,5,19
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",129,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:34",904,896,2,5,1,407,401,0,5,1,388,19,1000,593,33,177,14,5,1,131,2,0,7,0,18
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",131,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:54",1417,1413,1,3,0,625,622,0,3,0,606,19,1600,975,53,279,31,6,7,198,5,0,12,3,12
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",124,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:00",1350,1343,7,0,0,565,565,0,0,0,552,13,1500,935,34,249,28,8,9,185,5,3,16,2,13
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 1",130,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:20:34",986,974,2,10,0,432,422,0,10,0,365,67,1100,668,2,193,13,3,9,114,6,2,9,1,13
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",64,"MUNICIPIUL BRAŞOV",40198,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:49:54",1459,1452,0,6,1,696,689,0,6,1,657,29,1600,914,60,277,38,3,7,202,2,4,32,3,29
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",62,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:29",1111,1106,1,4,0,499,495,0,4,0,471,28,1200,701,40,242,10,3,4,131,5,0,21,3,12
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",65,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:25",1466,1459,3,4,0,638,634,0,4,0,616,22,1600,962,69,284,32,4,3,175,5,2,20,5,17
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",61,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:51",1232,1225,1,6,0,586,580,0,6,0,545,41,1400,814,32,224,18,2,12,202,5,1,30,7,12
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",60,"MUNICIPIUL BRAŞOV",40198,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:46",1123,1116,0,7,0,495,488,0,7,0,478,17,1200,705,32,228,21,4,11,149,3,1,9,5,15
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11",63,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:50",1178,1173,0,5,0,507,502,0,5,0,493,14,1300,793,48,216,27,7,5,150,2,1,20,1,16
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",54,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:59:59",1017,1011,0,6,0,438,432,0,6,0,416,22,1100,662,41,194,10,5,2,129,6,1,13,1,14
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",56,"MUNICIPIUL BRAŞOV",40198,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:18",1308,1299,1,8,0,541,533,0,8,0,526,15,1400,859,58,232,21,4,7,149,3,4,21,2,25
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",53,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:33",1387,1378,4,5,0,624,619,0,5,0,602,22,1500,876,44,262,22,3,7,218,4,4,14,2,22
8,BRAŞOV,"ŞCOALA GIMNAZIALĂ NR. 11 „ST.O.IOSIF”",57,"MUNICIPIUL BRAŞOV",40198,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:22",1281,1278,1,2,0,569,567,0,2,0,550,19,1400,831,52,231,21,3,9,184,2,2,22,4,20
