precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROŞCA NICUŞOR-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILE DORIN-COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","DĂMUREANU RINGO-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COSTACHE MARIN-PARTIDUL S.O.S. ROMÂNIA-voturi","POPA-INGINERU GHEORGHE-PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","DRĂGOESCU CEZAR-MIHAIL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
17,DOLJ,"CĂMINUL CULTURAL",489,"SILIŞTEA CRUCII",74224,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:48:07",1234,1097,1,63,73,881,744,1,63,73,820,61,1283,40,317,391,60,21,2,29
17,DOLJ,"CĂMINUL CULTURAL",337,DOBROTEŞTI,74883,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:57:02",1457,1298,0,70,89,1019,860,0,70,89,906,67,1420,447,342,529,0,0,0,35
17,DOLJ,"CĂMINUL CULTURAL",282,CARAULA,71518,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:28:27",979,876,0,62,41,718,615,0,62,41,657,21,1003,325,24,469,148,9,1,6
17,DOLJ,"CĂMINUL CULTURAL",248,BOTOŞEŞTI-PAIA,70968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:38:42",700,513,0,148,39,570,383,0,148,39,538,32,687,117,133,320,46,4,2,33
17,DOLJ,"CĂMINUL CULTURAL",317,"COŢOFENII DIN DOS",71910,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:04",883,811,0,46,26,665,594,0,46,25,636,29,867,202,135,413,57,11,0,20
17,DOLJ,"CĂMINUL CULTURAL",230,"AMĂRĂŞTII DE JOS",70637,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:24",1209,1073,1,93,42,870,735,0,93,42,842,28,1189,319,230,484,82,19,2,25
17,DOLJ,"CAMINUL CULTURAL BASARABI (DIN CADRUL CASEI DE CULTURA CALAFAT )",197,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:56:36",840,826,4,8,2,525,515,0,8,2,507,18,1000,475,155,308,29,1,1,13
17,DOLJ,"CĂMINUL CULTURAL BISTREȚ",244,BISTREŢ,70897,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:39:47",1054,1010,0,29,15,607,563,0,29,15,575,26,1133,529,242,279,33,18,1,2
17,DOLJ,"CAMINUL CULTURAL BOURENI",226,AFUMAŢI,70520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:21",824,777,0,29,18,559,512,0,29,18,529,30,900,341,259,197,38,22,1,12
17,DOLJ,"CĂMINUL CULTURAL BRABOVA",249,BRABOVA,70986,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:45",477,410,1,48,18,361,295,0,48,18,332,29,424,63,66,237,21,3,0,5
17,DOLJ,"CĂMINUL CULTURAL CARPEN",284,CARPEN,71536,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:57",685,613,0,54,18,499,427,0,54,18,495,4,745,246,86,389,8,0,0,12
17,DOLJ,"CĂMINUL CULTURAL CERĂT",299,CERĂT,71698,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:43:50",1992,1974,0,8,10,1004,986,0,8,10,885,119,2156,1152,182,569,111,11,0,12
17,DOLJ,"CĂMINUL CULTURAL CETATE",306,CETATE,71787,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:30",1412,1316,1,14,81,702,608,0,14,80,702,0,1600,898,19,652,28,3,0,0
17,DOLJ,"CAMINUL CULTURAL CIUPERCENII VECHII ( DIN CADRUL CASEI DE CULTURA CALAFAT )",198,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:20:25",1719,1712,1,3,3,948,942,0,3,3,919,29,1900,952,408,429,56,10,3,13
17,DOLJ,"CĂMINUL CULTURAL CLEANOV",285,CARPEN,71536,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:02:40",1005,945,1,28,31,628,568,1,28,31,569,30,1100,501,74,453,22,6,0,14
17,DOLJ,"CAMINUL CULTURAL COVEI",227,AFUMAŢI,70520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:17:52",382,358,0,18,6,241,217,0,18,6,236,5,400,159,61,160,13,2,0,0
17,DOLJ,"CĂMINUL CULTURAL DAMIAN",475,SADOVA,73996,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:26",1371,1337,1,18,15,864,830,1,18,15,826,38,1500,636,363,312,101,21,0,29
17,DOLJ,"CĂMINUL CULTURAL DESA",328,DESA,72034,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:23:56",1515,1433,1,4,77,1118,1037,0,4,77,1016,2,1700,582,370,563,74,7,0,2
17,DOLJ,"CAMINUL CULTURAL DRANIC",343,DRĂNIC,72221,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:18:53",828,789,0,30,9,582,543,0,30,9,550,32,908,326,30,466,27,20,0,7
17,DOLJ,"CĂMINUL CULTURAL GIGHERA",360,GIGHERA,72463,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:15:50",996,949,0,20,27,530,483,0,20,27,517,13,1023,493,29,448,25,7,0,8
17,DOLJ,"CĂMINUL CULTURAL GOGOŞU",368,GOGOŞU,72604,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:26",154,131,0,18,5,128,105,0,18,5,125,3,165,37,83,32,7,1,0,2
17,DOLJ,"CĂMINUL CULTURAL ÎNTORSURA",385,ÎNTORSURA,74923,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:29:06",1196,1148,2,17,29,789,741,2,17,29,743,46,1285,496,355,342,31,10,0,5
17,DOLJ,"CĂMINUL CULTURAL MÂRZA",478,SĂLCUŢA,74028,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:47",440,431,0,9,0,165,156,0,9,0,151,14,500,335,15,121,5,0,0,10
17,DOLJ,"CĂMINUL CULTURAL MELINEŞTI",405,MELINEŞTI,73102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:50:00",950,896,0,35,19,618,564,0,35,19,598,20,961,343,237,295,45,12,1,8
17,DOLJ,"CĂMINUL CULTURAL OSTROVENI",428,OSTROVENI,73567,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:03:00",1070,1017,2,35,16,671,620,0,35,16,633,38,1119,448,139,443,26,8,2,15
17,DOLJ,"CAMINUL CULTURAL PISCU VECHI",438,"PISCU VECHI",73665,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:38",937,882,0,12,43,579,524,0,12,43,578,1,1000,421,29,522,21,4,0,2
17,DOLJ,"CĂMINUL CULTURAL POPÂNZĂLEȘTI",341,DRĂGOTEŞTI,72150,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:05",494,436,0,38,20,388,330,0,38,20,377,11,500,112,92,201,19,12,1,52
17,DOLJ,"CĂMINUL CULTURAL RĂCHITA DE JOS",251,BRABOVA,70986,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:53",241,174,0,65,2,241,174,0,65,2,238,0,265,27,84,135,19,0,0,0
17,DOLJ,"CĂMINUL CULTURAL TEASC",502,TEASC,74322,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:11:20",1336,1297,0,15,24,974,935,0,15,24,926,48,1404,430,293,440,98,26,3,66
17,DOLJ,"CĂMINUL CULTURAL URDINIȚA",252,BRABOVA,70986,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:17:22",242,200,0,41,1,177,135,0,41,1,174,2,220,44,79,74,18,2,0,1
17,DOLJ,"CASA DE CULTURA A STUDENŢILOR",2,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:43:40",1380,1326,44,10,0,519,508,1,10,0,497,22,1400,81,57,220,73,25,10,112
17,DOLJ,"CENTRUL AFTER SCHOOL CERNĂTEȘTI",301,CERNĂTEŞTI,71723,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:05:41",362,347,0,4,11,246,231,0,4,11,227,18,385,140,13,169,36,5,0,4
17,DOLJ,"CENTRUL CULTURAL",292,CÂRCEA,74859,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:02:41",2105,1946,12,107,40,1369,1221,1,107,40,1340,29,2083,714,163,937,56,34,6,144
17,DOLJ,"CENTRUL MULTIFUNCȚIONAL DESA",329,DESA,72034,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:30",1171,1144,0,7,20,525,499,0,7,19,485,40,1300,775,206,259,18,1,0,1
17,DOLJ,"CENTRUL SOCIAL",371,GOICEA,72640,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:51:21",1176,1035,1,86,54,780,651,0,86,43,624,56,1189,499,253,306,37,19,0,9
17,DOLJ,"CENTRUL SOCIAL CARAULA",283,CARAULA,71518,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:57:46",1010,972,0,17,21,451,413,0,17,21,411,40,1100,649,18,334,59,0,0,0
17,DOLJ,"CLUB CAMIN CULTURAL DIOSTI",330,DIOŞTI,72052,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:15",938,903,0,6,29,550,515,0,6,29,481,58,960,421,100,290,48,15,4,24
17,DOLJ,"CLUBUL COPIILOR",224,"ORAŞ ŞEGARCEA",70502,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:15:43",1666,1641,0,22,3,1045,1020,0,22,3,1009,36,1800,755,498,432,40,15,3,21
17,DOLJ,"CLUBUL COPIILOR DABULENI",204,"ORAŞ DĂBULENI",72007,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:40:23",1405,1355,0,12,38,925,875,0,12,38,884,41,1500,575,417,361,60,10,5,31
17,DOLJ,"COLEGIUL NAŢIONAL ”CAROL I”",61,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:40:55",854,830,16,8,0,409,401,0,8,0,391,18,998,589,49,172,46,9,7,108
17,DOLJ,"COLEGIUL NAȚIONAL ”CAROL I”",62,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:34:55",1267,1238,20,9,0,459,450,0,9,0,438,21,1400,941,68,179,50,18,9,114
17,DOLJ,"COLEGIUL NAŢIONAL ECONOMIC ”GHEORGHE CHIŢU”",47,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:22:26",1505,1444,23,7,31,622,585,0,7,30,613,9,1700,1078,59,302,79,22,11,140
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",46,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:21:19",1271,1229,1,8,33,478,441,0,8,29,463,15,1400,922,62,214,88,27,4,68
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",45,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:08:54",1321,1282,7,10,22,519,489,0,10,20,503,16,1500,981,62,243,84,17,7,90
17,DOLJ,"COLEGIUL NAŢIONAL ”ELENA CUZA”",1,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:26:53",1598,1564,22,12,0,468,456,0,12,0,447,2,1644,1195,79,190,50,13,15,100
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",53,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:01:58",1635,1616,5,7,7,679,665,0,7,7,636,43,1900,1221,84,330,71,27,4,120
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",52,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:23:52",1778,1770,0,8,0,710,702,0,8,0,677,33,2000,1290,91,315,80,27,15,149
17,DOLJ,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU”",125,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:34",1558,1526,21,11,0,693,682,0,11,0,672,21,1700,1007,97,310,86,25,7,147
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",115,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:03:39",1552,1527,18,7,0,670,663,0,7,0,634,36,1700,1030,83,316,71,26,6,132
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",114,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:20:57",1886,1876,3,7,0,697,688,2,7,0,674,23,2000,1303,94,318,94,32,8,128
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENITESCU”",103,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:19:32",1440,1422,12,6,0,595,589,0,6,0,572,23,1700,1105,74,274,100,10,5,109
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",106,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:50:29",1512,1502,1,9,0,587,578,0,9,0,552,35,1700,1113,65,272,69,32,6,108
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",104,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:27:31",1773,1761,6,6,0,677,671,0,6,0,649,28,2000,1323,74,310,99,33,8,125
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",107,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:51:39",1514,1508,0,6,0,522,516,0,6,0,488,34,1700,1178,60,250,68,19,6,85
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",105,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:34",1423,1412,1,10,0,532,522,0,10,0,509,23,1600,1068,62,272,64,28,9,74
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",69,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:37:56",1645,1638,0,7,0,608,601,0,7,0,575,33,1800,1192,73,281,87,30,10,94
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",68,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:19:13",1738,1732,0,6,0,579,573,0,6,0,534,45,2000,1421,61,296,104,30,2,41
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",67,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:52",1724,1720,0,4,0,656,652,0,4,0,625,11,1900,1264,99,296,88,20,5,117
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",112,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:20:19",1537,1512,5,9,11,614,594,0,9,11,588,26,1600,986,61,315,83,11,12,106
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",113,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:51:48",1190,1181,2,7,0,516,509,0,7,0,475,41,1150,634,63,208,68,21,8,107
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",111,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:48:03",1525,1520,0,5,0,668,663,0,5,0,622,44,1600,929,75,326,82,18,5,116
17,DOLJ,"CONSILIUL LOCAL AFUMATI",225,AFUMAŢI,70520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:18:09",972,866,0,70,36,671,565,0,70,36,643,28,896,225,86,485,39,19,4,10
17,DOLJ,"CONTAINER MODULAR",304,CERNĂTEŞTI,71723,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:50:14",335,327,0,1,7,219,211,0,1,7,201,18,400,181,43,132,16,4,1,5
17,DOLJ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ CRAIOVA CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE ”CLUBUL SENIORILOR”",40,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:17:26",874,868,0,6,0,339,333,0,6,0,319,20,1000,661,30,161,63,11,4,50
17,DOLJ,"DISPENSAR UMAN",513,ŢUGLUI,74509,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:21:59",227,217,0,10,0,140,130,0,10,0,128,12,300,160,35,63,26,1,0,3
17,DOLJ,"FACULTATEA DE AGRONOMIE",64,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:55:36",1683,1663,13,6,1,720,713,0,6,1,674,46,1900,1180,128,272,82,23,8,161
17,DOLJ,"FACULTATEA DE AGRONOMIE",63,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:56:44",1978,1948,6,24,0,690,666,0,24,0,649,41,2200,1510,80,301,100,42,9,117
17,DOLJ,"FACULTATEA DE MECANICĂ",162,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:56:49",991,912,4,75,0,486,411,0,75,0,475,11,1000,514,72,208,62,14,7,112
17,DOLJ,"GRADINITA ”ALBA CA ZAPADA”",443,PLENIŢA,73709,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:15:57",1064,1012,0,13,39,620,568,0,13,39,592,28,1100,472,229,331,23,9,0,0
17,DOLJ,"GRĂDINIŢA BALOTA DE JOS",419,MURGAŞI,73371,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:22",748,695,1,29,23,492,440,0,29,23,478,14,769,277,66,356,37,14,2,3
17,DOLJ,"GRĂDINIȚA BISTRETU NOU",246,BISTREŢ,70897,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:34",628,594,0,28,6,304,270,0,28,6,278,26,700,396,57,185,16,15,0,5
17,DOLJ,"GRADINITA CU POGRAM NORMAL POTMELTU",319,"COŢOFENII DIN DOS",71910,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:34",424,398,0,8,18,312,286,0,8,18,298,14,500,188,58,198,23,13,0,6
