precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL MAKEDONARMÂNILOR DIN ROMÂNIA-voturi","OVANESIAN FELICIA-NADINA-voturi","POPESCU GEORGE-ANDREI-voturi","VOINEAGU EUGEN-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 33 ”ANGHEL SALIGNY”",62,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:21",1532,1528,0,4,0,657,653,0,4,0,634,23,1700,1043,126,182,137,8,27,13,9,7,93,3,3,12,11,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 33 ”ANGHEL SALIGNY”",61,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:54",1176,1168,0,8,0,486,478,0,8,0,467,19,1300,814,71,147,112,4,16,10,4,4,68,1,1,13,8,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 33 ”ANGHEL SALIGNY”",63,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:14:31",888,881,3,4,0,408,404,0,4,0,395,13,1000,592,54,96,98,3,15,5,3,3,81,5,0,20,6,6
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 37",66,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:32",1185,1171,3,11,0,534,520,3,11,0,513,18,1300,766,86,168,105,6,13,9,6,7,88,1,2,18,2,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 37",67,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:39",1166,1161,0,5,0,543,538,0,5,0,518,25,1300,757,82,153,99,8,21,14,8,2,97,2,7,20,3,2
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 37",65,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:47",1104,1100,0,4,0,485,481,0,4,0,465,20,1200,715,63,144,110,5,19,10,7,3,72,2,1,16,6,7
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 38 ”DIMITRIE CANTEMIR”",143,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:21:20",862,856,0,6,0,385,379,0,6,0,367,18,900,515,49,116,61,4,13,8,3,0,85,2,5,11,5,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 38 ”DIMITRIE CANTEMIR”",142,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:00:29",882,872,5,5,0,406,401,0,5,0,394,12,1000,594,41,109,77,1,13,7,9,10,97,2,2,22,3,1
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 39 ”NICOLAE TONITZA”",107,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:03",1719,1711,0,8,0,798,790,0,8,0,786,12,1900,1102,121,193,186,13,25,16,17,8,145,8,8,25,8,13
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 39 ”NICOLAE TONITZA”",104,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:38",1698,1689,1,8,0,790,782,0,8,0,771,19,1900,1110,121,209,141,11,17,21,0,12,168,9,6,35,13,8
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 39 ”NICOLAE TONITZA”",105,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:00",1422,1416,0,6,0,659,653,0,6,0,628,31,1600,941,95,158,143,6,26,10,9,5,111,2,12,34,10,7
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 39 ”NICOLAE TONITZA”",106,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:19",1608,1599,0,8,1,698,689,0,8,1,663,35,1800,1102,106,139,132,13,26,19,14,3,155,4,12,25,10,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 3 ”CIPRIAN PORUMBESCU”",189,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:32:09",1078,1049,19,10,0,516,506,0,10,0,491,15,1200,694,66,89,128,12,23,17,3,5,89,2,24,24,6,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALA NR. 3 ”CIPRIAN PORUMBESCU”",188,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:26",1181,1153,18,10,0,518,508,0,10,0,508,10,1300,782,69,110,134,10,10,9,2,8,103,4,21,19,5,4
