precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:47:32",590,584,1,3,2,254,248,1,3,2,224,30,599,345,31,53,7,116,2,1,3,2,1,2,6
37,TIMIŞ,"CAMIN CULTURAL UNIP",537,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:20",208,195,0,12,1,133,120,0,12,1,123,10,204,71,31,4,4,67,0,3,1,0,2,1,10
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:11",750,681,2,29,38,505,438,0,29,38,452,53,700,195,105,22,6,277,4,4,3,5,1,2,23
37,TIMIŞ,"CĂMINUL CULTURAL BALINŢ",298,BALINŢ,155546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:36",396,381,1,9,5,219,205,0,9,5,201,18,499,280,27,27,15,69,2,4,1,5,0,8,43
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:26:27",113,108,0,3,2,90,85,0,3,2,86,4,200,110,20,1,1,53,2,4,1,0,1,0,3
37,TIMIŞ,"CĂMINUL CULTURAL BÂRNA",310,BÂRNA,155957,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:38:22",420,411,0,6,3,283,274,0,6,3,249,34,700,417,32,17,1,178,3,8,0,1,0,0,9
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-17 10:28:36",540,515,0,25,0,385,360,0,25,0,373,12,800,415,27,12,13,231,2,11,2,0,2,3,70
37,TIMIŞ,"CĂMINUL CULTURAL BERECUŢA",332,BIRDA,159366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:53:44",166,163,0,0,3,92,89,0,0,3,91,1,300,208,7,6,2,70,0,1,0,0,0,1,4
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",548,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:01",1082,1027,0,51,4,666,611,0,51,4,643,23,1100,434,116,25,10,389,7,7,6,3,3,11,66
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",549,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:04",1110,1063,3,41,3,662,618,0,41,3,631,31,1100,438,142,24,15,352,3,3,2,7,5,7,71
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MIC",550,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:41",801,782,1,17,1,445,426,1,17,1,408,37,900,455,74,20,8,239,1,6,2,4,1,0,53
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:27",516,511,0,5,0,313,308,0,5,0,286,27,600,287,70,8,6,169,5,6,0,1,0,2,19
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:24:43",1991,1930,1,19,41,1040,980,0,19,41,962,78,2200,1160,88,80,29,492,10,126,7,1,2,6,121
37,TIMIŞ,"CĂMINUL CULTURAL BOTINEŞTI",311,BÂRNA,155957,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:41:16",157,145,0,11,1,121,109,0,11,1,91,30,200,79,11,5,3,64,0,0,1,1,0,0,6
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:33",404,398,0,3,3,263,257,0,3,3,245,18,400,137,33,1,5,196,0,3,0,0,2,0,5
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:27:38",210,203,1,5,1,140,133,1,5,1,134,6,500,360,26,10,5,67,1,5,1,1,0,3,15
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:44:09",1863,1785,6,58,14,1263,1189,2,58,14,1199,64,2000,737,102,46,34,526,8,75,4,7,5,20,372
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:16:46",1820,1801,2,12,5,765,747,1,12,5,677,88,1900,1135,127,52,7,312,6,9,1,2,1,4,156
37,TIMIŞ,"CĂMINUL CULTURAL CADAR",593,TORMAC,159035,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:51",230,219,0,9,2,127,116,0,9,2,112,15,300,173,12,8,9,66,1,2,2,0,0,0,12
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:02",1726,1704,2,13,7,813,793,0,13,7,780,33,1800,987,177,26,11,309,8,78,9,7,5,18,132
37,TIMIŞ,"CĂMINUL CULTURAL CĂRPINIŞ",347,CĂRPINIŞ,156213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:28",1765,1756,3,0,6,699,693,0,0,6,646,53,2000,1301,64,36,32,371,31,6,2,2,0,6,96
37,TIMIŞ,"CĂMINUL CULTURAL CHECEA",353,CHECEA,159375,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:15:00",1753,1737,0,2,14,881,865,0,2,14,814,67,2100,1219,145,49,26,531,4,10,1,4,3,0,41
37,TIMIŞ,"CĂMINUL CULTURAL CHEREŞTUR",316,"BEBA VECHE",155724,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:47",403,385,0,13,5,275,257,0,13,5,260,15,434,159,50,6,50,122,0,5,4,1,1,1,20
37,TIMIŞ,"CĂMINUL CULTURAL CIREŞU",368,CRICIOVA,156534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:59:13",294,274,1,15,4,221,201,1,15,4,217,4,400,179,46,11,4,146,1,0,1,2,0,0,6
37,TIMIŞ,"CĂMINUL CULTURAL CLICIOVA",325,BETHAUSEN,155840,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-15 13:41:41",354,342,0,9,3,226,214,0,9,3,187,39,405,179,31,12,3,74,12,13,1,2,0,2,37
37,TIMIŞ,"CĂMINUL CULTURAL COMLOŞU MARE",358,"COMLOŞU MARE",156437,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:04:11",1530,1521,1,6,2,710,702,0,6,2,626,84,1800,1090,69,43,19,447,9,10,4,1,1,1,22
37,TIMIŞ,"CĂMINUL CULTURAL COŞAVA",371,CURTEA,156589,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:33",487,450,0,19,18,388,351,0,19,18,361,27,600,212,33,15,1,282,3,6,3,1,1,3,13
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-15 17:07:11",673,638,2,20,13,424,391,0,20,13,406,16,900,476,56,32,1,221,4,9,4,2,1,4,72
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU DE SUS",464,MARGINA,157585,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:09",165,158,0,6,1,93,86,0,6,1,84,9,200,107,20,9,0,44,2,0,0,1,0,0,8
37,TIMIŞ,"CĂMINUL CULTURAL CRALOVĂŢ",588,"TOPOLOVĂŢU MARE",158966,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:52:04",98,88,0,10,0,49,39,0,10,0,48,1,100,51,9,3,1,19,0,2,2,0,1,1,10
37,TIMIŞ,"CĂMINUL CULTURAL CRICIOVA",367,CRICIOVA,156534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:30",644,591,3,35,15,505,455,0,35,15,492,13,900,395,107,7,3,333,6,5,3,3,0,0,25
37,TIMIŞ,"CĂMINUL CULTURAL CRIVOBARA",565,SECAŞ,158608,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:29:36",109,75,0,31,3,86,52,0,31,3,82,4,200,114,9,1,2,44,0,3,0,0,0,0,23
37,TIMIŞ,"CĂMINUL CULTURAL CURTEA",370,CURTEA,156589,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:06:16",555,544,3,3,5,429,418,3,3,5,400,29,700,271,43,17,4,232,2,5,1,2,1,1,92
37,TIMIŞ,"CĂMINUL CULTURAL DINIAȘ",508,"PECIU NOU",158065,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:47",971,955,2,2,12,541,527,0,2,12,528,13,1000,459,71,37,19,302,5,6,10,4,5,7,62
37,TIMIŞ,"CĂMINUL CULTURAL DRAGOMIREŞTI",573,ŞTIUCA,158804,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:11",333,329,0,2,2,171,167,0,2,2,160,11,400,229,53,11,1,81,0,4,1,1,0,4,4
37,TIMIŞ,"CĂMINUL CULTURAL DRĂGSINEŞTI",398,FÂRDEA,156927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:39",419,385,1,19,14,331,298,0,19,14,312,19,500,169,42,17,2,224,2,15,0,2,0,1,7
37,TIMIŞ,"CĂMINUL CULTURAL DRINOVA",312,BÂRNA,155957,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:45:50",144,142,0,0,2,108,106,0,0,2,94,14,200,92,5,4,5,69,0,2,1,0,0,1,7
37,TIMIŞ,"CĂMINUL CULTURAL DUBEŞTI",494,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:58",194,183,0,4,7,151,140,0,4,7,136,15,200,49,17,4,4,54,0,21,1,2,0,0,33
37,TIMIŞ,"CĂMINUL CULTURAL FÂRDEA",397,FÂRDEA,156927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:23",592,534,9,27,22,430,379,2,27,22,393,37,700,270,43,15,8,243,2,36,6,2,2,3,33
37,TIMIŞ,"CĂMINUL CULTURAL FIBIŞ",400,FIBIŞ,159393,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:47",1468,1409,6,11,42,1019,966,0,11,42,932,81,1500,481,98,62,37,535,4,33,6,10,10,3,134
37,TIMIŞ,"CĂMINUL CULTURAL GAD",408,GHILAD,159400,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:10:08",127,120,0,6,1,71,64,0,6,1,65,6,200,129,6,4,2,46,0,2,0,0,0,0,5
37,TIMIŞ,"CĂMINUL CULTURAL GĂVOJDIA",403,GAVOJDIA,157031,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:14",1115,1083,1,10,21,554,522,1,10,21,524,30,1200,646,50,25,7,377,18,8,1,3,0,1,34
37,TIMIŞ,"CĂMINUL CULTURAL GHERMAN",447,"JAMU MARE",157362,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:14",197,190,1,5,1,120,114,0,5,1,114,6,200,80,10,9,1,70,1,5,0,0,0,1,17
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:07",1718,1694,18,5,1,937,931,0,5,1,872,65,1800,863,85,23,35,412,6,29,4,5,11,30,232
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:12",2030,2002,12,14,2,1136,1118,2,14,2,1097,39,2100,964,123,36,20,446,15,48,9,5,15,64,316
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:55:28",1741,1693,24,21,3,817,792,1,21,3,778,39,1800,983,91,48,18,342,11,17,0,6,23,30,192
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:21:24",1681,1668,0,11,2,878,865,0,11,2,839,39,2000,1122,104,38,19,358,14,14,11,11,29,28,213
37,TIMIŞ,"CĂMINUL CULTURAL GLADNA ROMÂNĂ",399,FÂRDEA,156927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:27",449,425,0,7,17,343,319,0,7,17,322,21,600,256,22,11,6,248,0,13,0,1,2,1,18
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:21:51",1726,1700,0,11,15,776,750,0,11,15,708,68,1800,1024,108,42,26,400,3,8,8,5,5,4,99
37,TIMIŞ,"CĂMINUL CULTURAL GROŞI",465,MARGINA,157585,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:32",74,64,0,10,0,44,34,0,10,0,40,4,99,55,8,0,0,28,0,0,0,2,0,0,2
37,TIMIŞ,"CĂMINUL CULTURAL HERENDEŞTI",610,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:24",386,370,3,12,1,223,210,0,12,1,210,13,400,177,28,11,2,129,1,13,1,3,1,0,21
37,TIMIŞ,"CĂMINUL CULTURAL HONORICI",611,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:26",270,261,0,3,6,186,177,0,3,6,175,11,300,114,18,6,6,76,2,11,0,1,1,0,54
37,TIMIŞ,"CĂMINUL CULTURAL ICLODA",533,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:36:51",268,234,0,24,10,183,149,0,24,10,173,10,300,117,29,9,3,89,0,2,3,2,0,3,33
37,TIMIŞ,"CĂMINUL CULTURAL IECEA MICĂ",348,CĂRPINIŞ,156213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:00:45",1019,1006,2,11,0,360,349,0,11,0,337,23,1100,740,45,24,6,226,11,7,1,0,1,0,16
37,TIMIŞ,"CĂMINUL CULTURAL IERŞNIC",495,"OHABA LUNGĂ",157969,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:27:40",132,105,1,17,9,115,89,0,17,9,106,9,200,85,10,3,0,78,1,9,0,0,0,0,5
37,TIMIŞ,"CĂMINUL CULTURAL JDIOARA",369,CRICIOVA,156534,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:59",458,423,1,26,8,363,328,1,26,8,340,23,600,237,82,5,7,226,3,2,0,0,1,1,13
37,TIMIŞ,"CĂMINUL CULTURAL JENA",404,GAVOJDIA,157031,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:46:02",418,393,1,7,17,247,222,1,7,17,246,1,600,353,14,5,4,165,29,6,2,3,1,0,17
37,TIMIŞ,"CĂMINUL CULTURAL JUREŞTI",313,BÂRNA,155957,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 13:31:21",181,176,0,5,0,131,126,0,5,0,108,21,201,72,9,12,0,70,0,1,0,1,0,1,14
37,TIMIŞ,"CĂMINUL CULTURAL LĂPUŞNIC",308,BARA,155662,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:28",105,54,0,51,0,94,43,0,51,0,90,4,100,6,9,18,4,22,0,0,1,0,0,1,35
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:02:34",1595,1554,5,5,31,769,733,0,5,31,696,73,1800,1031,99,39,13,274,2,14,7,9,20,3,216
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:41:57",1514,1501,2,4,7,742,730,1,4,7,675,67,1676,934,196,33,16,283,2,9,11,11,22,3,89
37,TIMIŞ,"CĂMINUL CULTURAL LUNCANII DE JOS",583,TOMEŞTI,158895,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:00",268,258,0,6,4,210,200,0,6,4,201,9,300,90,26,8,2,149,1,3,0,0,1,3,8
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:18:09",784,776,1,6,1,208,201,0,6,1,192,16,1100,892,23,12,7,93,30,1,5,2,1,1,17
37,TIMIŞ,"CĂMINUL CULTURAL MÂNĂSTIRE",333,BIRDA,159366,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:04:25",170,160,0,2,8,101,91,0,2,8,95,6,200,99,8,2,0,84,0,0,0,0,0,0,1
37,TIMIŞ,"CĂMINUL CULTURAL MARGINA",462,MARGINA,157585,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:56:24",928,923,1,3,1,534,530,0,3,1,511,23,1200,666,75,29,10,312,10,15,8,5,4,2,41
37,TIMIŞ,"CĂMINUL CULTURAL NEVRINCEA",328,BETHAUSEN,155840,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:42",202,192,0,9,1,122,112,0,9,1,114,8,301,179,19,4,8,32,13,15,0,3,1,0,19
37,TIMIŞ,"CĂMINUL CULTURAL NIȚCHIDORF",490,NIŢCHIDORF,157923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:29",1143,1102,2,19,20,627,588,0,19,20,590,37,1200,573,40,15,9,396,1,20,3,4,3,3,96
37,TIMIŞ,"CAMINUL CULTURAL NR. 673, SARAVALE",539,SARAVALE,159455,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 21:14:34",861,833,0,3,25,565,537,0,3,25,489,73,1000,435,58,27,7,231,4,35,3,6,6,1,111
37,TIMIŞ,"CĂMINUL CULTURAL OHABA LUNGĂ",493,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:58",338,307,0,19,12,250,219,0,19,12,239,11,401,151,10,6,8,106,1,41,1,1,0,1,64
37,TIMIŞ,"CĂMINUL CULTURAL OHABA ROMÂNĂ",496,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:02",149,124,0,10,15,149,124,0,10,15,138,11,200,51,3,13,4,63,1,15,0,0,0,0,39
37,TIMIŞ,"CĂMINUL CULTURAL OLOŞAG",574,ŞTIUCA,158804,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:39",314,305,3,2,4,186,180,0,2,4,169,17,400,214,45,7,1,90,1,2,0,1,0,2,20
37,TIMIŞ,"CĂMINUL CULTURAL OPATIŢA",255,"ORAŞ DETA",155458,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:16:48",591,573,2,5,11,309,293,0,5,11,283,26,700,391,56,10,5,180,2,10,0,0,1,3,16
37,TIMIŞ,"CĂMINUL CULTURAL PĂDURENI",612,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:36",140,128,2,8,2,80,69,1,8,2,73,7,200,120,6,8,2,44,4,1,0,0,0,0,8
37,TIMIŞ,"CĂMINUL CULTURAL PANIOVA",414,GHIZELA,157193,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:26",265,181,0,66,18,218,134,0,66,18,194,24,300,82,6,8,6,135,0,2,3,0,0,0,34
37,TIMIŞ,"CĂMINUL CULTURAL PARŢA",504,PARŢA,159437,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:53:30",2105,2013,9,52,31,1461,1373,5,52,31,1367,94,2200,739,128,52,34,902,9,24,5,7,7,23,176
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:19:20",214,203,3,8,0,132,124,0,8,0,126,6,300,168,21,7,6,78,0,4,0,1,1,0,8
37,TIMIŞ,"CĂMINUL CULTURAL PECIU NOU",507,"PECIU NOU",158065,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:20:08",1598,1590,1,7,0,814,806,1,7,0,785,29,1600,786,102,51,14,458,8,13,4,6,7,13,109
37,TIMIŞ,"CĂMINUL CULTURAL PERCOSOVA",272,"ORAŞ GĂTAIA",157086,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:46:00",239,222,0,9,8,138,121,0,9,8,125,13,300,162,15,7,4,81,2,4,0,1,0,0,11
37,TIMIŞ,"CĂMINUL CULTURAL POGĂNEŞTI",314,BÂRNA,155957,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:37",279,270,2,7,0,190,182,1,7,0,169,21,302,112,31,19,6,95,2,2,2,1,3,1,7
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:06",130,121,0,9,0,78,69,0,9,0,74,4,200,122,12,11,2,47,0,1,0,0,0,0,1
37,TIMIŞ,"CĂMINUL CULTURAL PUSTINIŞ",601,UIVAR,159142,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:48",628,620,0,5,3,359,351,0,5,3,334,25,700,341,106,11,21,171,0,4,3,0,0,0,18
37,TIMIŞ,"CĂMINUL CULTURAL RĂDMĂNEŞTI",309,BARA,155662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:01:46",82,45,0,37,0,66,29,0,37,0,60,6,100,34,3,2,0,27,0,2,0,0,0,0,26
37,TIMIŞ,"CĂMINUL CULTURAL RĂUŢI",602,UIVAR,159142,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:01",491,488,0,1,2,240,237,0,1,2,220,20,500,260,63,7,43,79,0,7,0,1,1,0,19
37,TIMIŞ,"CĂMINUL CULTURAL REMETEA MICĂ",469,MAŞLOC,157683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:27",438,435,1,0,2,248,246,0,0,2,228,20,500,252,62,8,8,124,2,1,0,2,1,0,20
37,TIMIŞ,"CĂMINUL CULTURAL ROMÂNEŞTI",584,TOMEŞTI,158895,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:01",403,398,0,2,3,270,265,0,2,3,251,19,500,230,62,11,2,152,1,5,3,1,0,0,14
