precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"COLEGIU NAŢIONAL ”DIMITRIE CANTEMIR”",167,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:50",1152,1142,2,7,1,454,446,0,7,1,442,12,1300,846,51,106,225,36,11,13
4,BACĂU,"COLEGIU NAŢIONAL ”DIMITRIE CANTEMIR”",169,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:02",1168,1158,1,8,1,421,412,0,8,1,408,13,1300,879,39,99,196,32,23,19
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",164,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:18",1011,1003,0,6,2,433,425,0,6,2,426,7,1100,667,39,114,237,17,9,10
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",163,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:17",1241,1230,0,10,1,485,474,0,10,1,469,16,1400,915,61,96,224,31,24,33
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",166,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:07:42",1379,1361,2,12,4,497,481,0,12,4,490,7,1500,1003,44,131,232,53,15,15
4,BACĂU,"LICEUL CU PROGRAM SPORTIV ”NADIA COMĂNECI”",165,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:08:27",1084,1073,6,3,2,363,357,3,1,2,349,12,1202,841,39,101,158,23,8,20
4,BACĂU,"LICEUL TEHNOLOGIC ”DACIA” (FOSTA NR.7)",161,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:20",737,730,0,7,0,307,300,0,7,0,298,9,800,493,30,87,139,17,6,19
4,BACĂU,"LICEUL TEHNOLOGIC ”DACIA” (FOSTA NR.7)",160,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:40:08",1154,1147,0,4,3,476,469,0,4,3,466,10,1300,814,42,137,215,37,8,27
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",158,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:20",1125,1118,1,4,2,413,407,0,4,2,398,15,1200,787,40,81,211,33,18,15
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",157,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:10:16",1064,1053,2,8,1,397,388,0,8,1,382,15,1200,803,35,95,180,41,14,17
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",159,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:22",1102,1095,1,5,1,418,412,0,5,1,409,9,1200,782,27,83,233,35,16,15
4,BACĂU,"LICEUL TEHNOLOGIC (FOSTA NR.7)",156,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:29",1175,1164,4,7,0,394,387,0,7,0,383,11,1300,906,29,77,208,27,22,20
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU PONI”",171,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:20",954,946,1,5,2,322,315,0,5,2,310,12,996,674,24,77,164,26,9,10
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU PONI”",170,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:25",859,850,0,8,1,343,334,0,8,1,335,8,900,557,34,82,182,21,8,8
4,BACĂU,"LICEUL TEHNOLOGIC (TCR)",176,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:35",939,933,0,6,0,341,335,0,6,0,324,17,1000,659,38,108,123,30,15,10
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",154,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:07",1440,1424,1,12,3,597,582,0,12,3,577,20,1600,1003,60,130,283,52,19,33
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",151,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:25",1073,1062,4,7,0,386,379,0,7,0,377,9,1200,814,44,63,210,36,11,13
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",153,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:57",963,958,0,5,0,313,308,0,5,0,299,14,1100,787,25,63,160,22,19,10
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",152,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:43",1207,1201,0,4,2,457,451,0,4,2,448,9,1300,843,31,87,263,30,19,18
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”EMIL RACOVIȚĂ” (FOSTA NR.10)",155,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:24:45",1478,1473,0,4,1,553,548,0,4,1,536,17,1600,1047,39,124,303,38,15,17
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU” (FOSTĂ NR.8)",173,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:14:07",1278,1269,2,6,1,512,505,0,6,1,505,0,1400,890,33,122,268,42,18,22
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU” (FOSTĂ NR.8)",172,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:16",1444,1434,2,8,0,547,539,0,8,0,529,18,1500,953,57,133,280,38,9,12
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL VOIEVOD ȘTEFAN CEL MARE” (FOSTA NR.9)",148,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:35",1180,1176,0,4,0,422,418,0,4,0,410,12,1300,878,33,113,195,32,17,20
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL VOIEVOD ȘTEFAN CEL MARE”(FOSTA NR.9)",150,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:49:44",1335,1323,3,5,4,515,506,0,5,4,489,26,1500,985,38,137,226,48,16,24
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL VOIEVOD ȘTEFAN CEL MARE”(FOSTA NR.9)",149,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:24:35",1318,1308,0,7,3,513,503,0,7,3,496,14,1400,890,45,129,251,38,18,15
4,BACĂU,"SERA BORZEŞTI",177,"MUNICIPIUL ONEŞTI",20563,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:38:31",771,759,2,7,3,268,258,0,7,3,260,8,805,537,12,71,108,48,6,15
