precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚILOR-voturi","DINCĂ TUDOR-voturi"
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT PITICOT",125,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:07:33",1298,1282,0,8,8,627,611,0,8,8,585,42,1350,723,26,272,35,53,6,15,3,3,11,151,10
34,SIBIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT RAZĂ DE SOARE",121,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:13:10",1161,1139,10,8,4,479,467,0,8,4,467,12,1250,771,38,152,23,66,12,26,6,7,6,119,12
34,SIBIU,"LICEUL TEHNOLOGIC ”MEDIENSIS”",138,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:31:40",1337,1322,1,11,3,623,609,0,11,3,604,19,1515,892,29,205,18,78,6,50,7,2,7,190,12
34,SIBIU,"LICEUL TEORECTIC ”AXENTE SEVER”",135,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:48",1162,1147,4,11,0,534,523,0,11,0,520,14,1250,716,34,143,36,66,22,48,13,1,10,133,14
34,SIBIU,"LICEUL TEORETIC ”ROTH - OBERTH”",108,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:06:04",1045,1022,11,8,4,383,369,2,8,4,370,13,1150,767,23,80,11,42,21,27,5,6,8,125,22
34,SIBIU,"SC AUTOMECANICA SA",130,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:58:50",559,552,0,7,0,269,262,0,7,0,258,11,650,381,15,93,14,22,3,28,4,2,9,65,3
34,SIBIU,"SC HULA VECHE SRL",114,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:15:33",1223,1213,1,5,4,580,571,0,5,4,557,23,1300,720,47,145,41,67,11,40,17,3,4,165,17
34,SIBIU,"ŞCOALA GIMNAZIALĂ",149,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:34:15",1335,1325,1,7,2,525,517,0,7,1,496,29,1450,925,8,227,32,31,10,11,1,0,11,160,5
34,SIBIU,"ŞCOALA GIMNAZIALĂ CIREŞARII",139,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:24",1284,1271,2,11,0,541,529,1,11,0,535,6,1465,924,45,175,27,75,4,43,5,3,7,136,15
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",142,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:23:02",1284,1277,0,2,5,481,474,0,2,5,463,9,1448,967,22,180,12,70,5,38,0,1,5,121,9
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",144,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:04",1130,1116,3,10,1,463,452,0,10,1,453,10,1253,790,31,138,34,63,4,20,2,8,6,140,7
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",141,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:37:42",1161,1155,0,5,1,438,432,0,5,1,429,9,1350,912,23,151,29,47,10,32,4,1,11,113,8
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",143,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:09:21",1287,1281,2,3,1,482,478,0,3,1,479,3,1515,1033,18,158,33,68,10,41,8,2,7,117,17
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",146,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:08:48",1037,1032,0,5,0,444,439,0,5,0,425,0,1200,0,31,134,21,55,8,24,6,5,6,116,19
34,SIBIU,"ŞCOALA GIMNAZIALĂ CONSTANTIN IOAN MOTAŞ",145,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:14",1260,1254,1,5,0,505,500,0,5,0,494,11,1400,895,27,168,29,63,3,48,7,1,0,142,6
34,SIBIU,"ŞCOALA GIMNAZIALĂ GEORGE POPA",133,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:56:13",1377,1368,2,7,0,633,626,0,7,0,610,23,1450,817,34,240,37,55,14,43,4,3,6,154,20
34,SIBIU,"ŞCOALA GIMNAZIALĂ GEORGE POPA",132,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 16:26:51",937,932,1,4,0,428,424,0,4,0,419,9,1000,572,25,102,31,63,13,38,12,8,11,91,25
34,SIBIU,"ŞCOALA GIMNAZIALĂ GEORGE POPA",131,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:38:13",1257,1247,6,2,2,606,604,0,2,0,583,23,1350,744,28,149,31,70,14,69,6,6,3,188,19
34,SIBIU,"ŞCOALA GIMNAZIALĂ MIHAI EMINESCU",110,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:01",1243,1227,2,10,4,513,498,1,10,4,484,29,1300,787,56,126,31,73,18,42,3,10,13,100,12
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",128,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:13",1027,1011,7,8,1,460,450,1,8,1,454,6,1100,640,32,121,21,91,13,35,3,3,5,109,21
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.4",127,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:30:04",1006,994,1,7,4,479,468,0,7,4,474,5,1050,571,23,116,33,95,14,48,11,9,14,95,16
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",118,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:33",900,890,0,8,2,346,336,0,8,2,336,10,1000,654,27,108,23,43,10,17,4,3,8,88,5
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",117,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:15",1236,1225,1,6,4,541,531,0,6,4,531,10,1365,824,23,213,25,57,6,36,4,7,11,137,12
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",119,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:12:51",1073,1065,3,2,3,476,472,0,2,2,465,11,1215,739,29,138,24,68,6,38,5,3,9,131,14
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7",120,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:08:41",925,913,2,6,4,339,329,0,6,4,331,8,1000,661,26,87,18,60,6,10,5,1,6,107,5
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7 CORP A",122,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:21:37",918,901,1,7,9,411,396,0,7,8,400,11,1000,589,18,142,17,51,11,23,4,1,10,116,7
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7 CORP A",123,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:05:11",1067,1060,0,5,2,365,358,0,5,2,346,19,1150,785,22,65,27,37,4,24,2,2,3,150,10
34,SIBIU,"ŞCOALA GIMNAZIALĂ NR.7 CORP A",124,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:07:48",1047,1046,0,0,1,391,390,0,0,1,375,16,1150,759,15,100,25,57,9,27,6,4,3,117,12
34,SIBIU,"STADIONUL MUNICIPAL GAZ METAN",113,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:50",849,837,2,9,1,421,411,0,9,1,412,9,950,529,38,96,26,56,22,29,7,3,5,120,10
34,SIBIU,"UNIVERSITATEA LUCIAN BLAGA",148,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:00:04",1351,1345,1,5,0,570,564,1,5,0,557,13,1440,870,30,174,28,69,14,62,7,4,8,148,13
34,SIBIU,"UNIVERSITATEA LUCIAN BLAGA",147,"MUNICIPIUL MEDIAŞ",143619,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:16:18",1083,1077,1,3,2,460,455,0,3,2,444,13,1200,684,28,144,22,63,13,22,4,6,6,127,9
34,SIBIU,"VESTIAR SPARTA",112,"MUNICIPIUL MEDIAŞ",143619,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:31",743,714,22,6,1,347,340,0,6,1,337,10,915,568,51,64,19,32,10,31,4,0,6,108,12
