precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIKE GABRIELLA-PARTIDUL SOCIAL DEMOCRAT-voturi","FLOROIAN STELIAN-OLIMPIU-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA MARIUS-CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","POGORAN DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TAMÁS SÁNDOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FAZAKAS PÉTER-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","NAGY GÁBOR-LEVENTE-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”JANCSÓ BENEDEK” GHELINŢA",144,GHELINŢA,64318,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:18:20",1428,1391,1,2,34,627,591,0,2,34,533,94,1500,873,6,4,3,11,480,14,15
15,COVASNA,"ŞCOALA GIMNAZIALĂ LĂDĂUŢI",95,BARCANI,63633,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:24",554,548,0,5,1,351,345,0,5,1,313,38,600,249,41,220,16,32,4,0,0
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU” ÎNTORSURA BUZĂULUI",83,"ORAŞ ÎNTORSURA BUZĂULUI",63580,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 12:34:28",1077,1070,1,6,0,528,522,0,6,0,509,19,1224,696,73,159,178,87,11,1,0
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU” ÎNTORSURA BUZĂULUI",84,"ORAŞ ÎNTORSURA BUZĂULUI",63580,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 12:44:52",1212,1200,5,7,0,606,599,0,7,0,565,41,1287,681,75,158,181,134,12,4,1
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MOLNÁR JOZSIÁS” TÂRGU SECUIESC",62,"MUNICIPIUL TÂRGU SECUIESC",63740,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:57:22",1121,1109,4,6,2,556,548,0,6,2,545,11,1200,644,14,6,2,2,450,57,14
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",35,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:33",801,788,1,7,5,316,303,1,7,5,316,0,900,584,15,14,12,8,251,9,7
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",34,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:14",951,936,0,9,6,400,385,0,9,6,392,8,1000,600,30,20,23,12,289,10,8
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",36,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:27:13",690,678,2,7,3,252,242,0,7,3,237,15,802,550,11,4,5,12,197,3,5
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”NICOLAE COLAN”",33,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:53",1058,1043,1,8,6,466,452,0,8,6,452,14,1100,634,49,15,16,25,327,12,8
15,COVASNA,"ŞCOALA GIMNAZIALĂ NR.2 SITA BUZĂULUI",189,"SITA BUZĂULUI",63688,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:32:48",830,817,5,6,2,442,433,1,6,2,418,24,900,458,99,232,19,63,4,0,1
