precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
5,BIHOR,"CĂMIN CULTURAL",287,BUNTEŞTI,27971,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:30:09",242,235,0,5,2,198,191,0,5,2,196,2,255,57,0,43,16,130,7,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL",220,ABRAM,27070,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:55:17",243,230,2,7,4,122,110,1,7,4,113,9,256,134,2,19,7,81,3,0,0,0,1
5,BIHOR,"CĂMIN CULTURAL",325,CETARIU,28415,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:05",207,193,0,7,7,124,110,0,7,7,124,0,209,85,74,4,3,14,0,27,1,1,0
5,BIHOR,"CĂMIN CULTURAL",643,ŢEŢCHEA,31878,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:27:21",702,669,2,17,14,499,468,0,17,14,477,21,726,228,3,302,28,128,7,0,4,4,1
5,BIHOR,"CĂMIN CULTURAL",229,AŞTILEU,26742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:20",523,509,2,11,1,316,303,1,11,1,301,15,562,246,4,28,12,250,4,0,3,0,0
5,BIHOR,"CĂMIN CULTURAL",450,MĂGEŞTI,30069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:29",386,365,0,14,7,276,255,0,14,7,265,11,422,146,2,54,14,176,12,0,3,0,4
5,BIHOR,"CĂMIN CULTURAL",286,BUNTEŞTI,27971,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:49:00",545,521,0,14,10,440,416,0,14,10,434,5,593,154,0,113,30,284,5,0,2,0,0
5,BIHOR,"CĂMIN CULTURAL",426,"LAZURI DE BEIUŞ",29760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:01:35",538,515,0,8,15,433,410,0,8,15,422,11,553,120,1,37,30,345,1,0,6,0,2
5,BIHOR,"CĂMIN CULTURAL",432,LĂZĂRENI,29813,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:07:54",101,91,0,9,1,68,58,0,9,1,67,1,108,40,0,7,1,57,1,0,1,0,0
5,BIHOR,"CĂMIN CULTURAL",596,ŞOIMI,31422,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:09:48",238,225,1,11,1,184,172,0,11,1,178,6,252,68,3,52,4,113,1,0,1,4,0
5,BIHOR,"CĂMIN CULTURAL",511,RĂBĂGANI,30648,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:32:41",82,74,0,7,1,82,74,0,7,1,82,0,109,27,1,13,6,61,1,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL",628,TILEAGD,31716,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:27:04",667,660,1,3,3,333,327,0,3,3,316,17,725,392,2,44,26,218,7,0,11,3,5
5,BIHOR,"CĂMIN CULTURAL",408,HOLOD,29573,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:44:29",138,103,1,25,9,102,68,0,25,9,98,3,131,30,1,21,5,69,2,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL",291,BUNTEŞTI,27971,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:50:13",526,505,1,6,14,405,385,0,6,14,396,9,575,170,0,34,28,303,26,0,3,1,1
5,BIHOR,"CĂMIN CULTURAL",344,COPĂCEL,28816,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:24",249,209,6,30,4,173,139,0,30,4,166,7,234,61,3,72,4,64,3,0,5,1,14
5,BIHOR,"CĂMIN CULTURAL",354,CURĂŢELE,28941,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:44",346,342,0,1,3,250,246,0,1,3,241,9,380,130,4,31,11,191,1,0,1,0,2
5,BIHOR,"CĂMIN CULTURAL",187,"ORAŞ ALEŞD",26699,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:16",1068,1058,1,8,1,655,646,0,8,1,635,20,1171,516,10,182,47,369,14,0,11,0,2
5,BIHOR,"CĂMIN CULTURAL",433,LĂZĂRENI,29813,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:45:49",157,144,2,10,1,100,89,0,10,1,93,7,166,66,4,15,3,66,1,0,4,0,0
5,BIHOR,"CĂMIN CULTURAL",629,TILEAGD,31716,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:24",692,671,0,13,8,346,325,0,13,8,327,19,743,397,132,24,20,139,5,1,1,3,2
5,BIHOR,"CĂMIN CULTURAL",642,ŢEŢCHEA,31878,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:48",719,684,0,17,18,451,416,0,17,18,416,35,751,300,0,248,27,117,4,0,10,4,6
5,BIHOR,"CĂMIN CULTURAL",407,HOLOD,29573,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:41:49",791,585,1,17,188,548,343,0,17,188,480,65,622,77,1,24,24,428,0,0,3,0,0
5,BIHOR,"CĂMIN CULTURAL",533,SĂCĂDAT,30871,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:04",409,375,0,30,4,409,375,0,30,4,387,22,645,236,2,117,13,251,2,0,0,0,2
5,BIHOR,"CĂMIN CULTURAL",409,HOLOD,29573,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:39:56",124,107,0,16,1,84,67,0,16,1,80,4,121,37,1,6,12,61,0,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL",233,AUŞEU,27212,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:28",749,728,5,5,11,426,408,2,5,11,406,20,809,383,1,69,49,279,3,1,3,0,1
5,BIHOR,"CĂMIN CULTURAL",428,LĂZĂRENI,29813,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:14",531,504,2,9,16,382,357,0,9,16,373,9,549,167,1,39,13,310,2,0,6,1,1
5,BIHOR,"CĂMIN CULTURAL",645,ŢEŢCHEA,31878,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:36:00",693,671,0,11,11,451,429,0,11,11,340,11,734,283,107,109,27,79,4,2,8,2,2
5,BIHOR,"CĂMIN CULTURAL",644,ŢEŢCHEA,31878,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:27",465,453,1,8,3,270,259,0,8,3,251,19,494,224,3,125,8,97,6,0,1,11,0
5,BIHOR,"CĂMIN CULTURAL",224,ABRAM,27070,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:55:13",223,215,0,4,4,135,127,0,4,4,130,5,244,109,3,14,14,94,2,0,3,0,0
5,BIHOR,"CĂMIN CULTURAL",659,VIIŞOARA,32045,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:54:05",151,146,0,3,2,87,82,0,3,2,83,4,170,83,51,5,7,19,0,0,1,0,0
5,BIHOR,"CĂMIN CULTURAL",221,ABRAM,27070,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:18:26",230,219,0,4,7,141,130,0,4,7,133,8,251,110,2,7,9,115,0,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL",347,COPĂCEL,28816,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:45:04",391,303,1,71,16,302,214,1,71,16,293,6,329,30,5,192,10,80,1,0,4,0,1
5,BIHOR,"CĂMIN CULTURAL",314,CEFA,28246,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:17:42",702,688,0,4,10,457,443,0,4,10,443,14,770,313,2,70,22,337,0,0,9,2,1
5,BIHOR,"CĂMIN CULTURAL",431,LĂZĂRENI,29813,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:01",615,594,0,14,7,401,380,0,14,7,385,16,665,264,4,40,6,331,0,0,1,0,3
5,BIHOR,"CĂMIN CULTURAL BĂLENI",424,"LAZURI DE BEIUŞ",29760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:12",165,161,0,2,2,127,123,0,2,2,121,5,178,50,0,14,7,93,5,0,0,0,2
5,BIHOR,"CĂMIN CULTURAL BĂLNACA",603,ŞUNCUIUŞ,31510,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:27",782,766,1,6,9,474,459,0,6,9,445,26,844,373,4,33,46,348,4,0,8,0,2
5,BIHOR,"CĂMIN CULTURAL BICACI",397,GEPIU,32195,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:52",555,506,3,34,12,335,287,2,34,12,326,9,567,232,24,146,18,123,3,0,9,2,1
5,BIHOR,"CĂMIN CULTURAL BIRTIN",652,"VADU CRIŞULUI",31976,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:03:29",275,269,0,4,2,199,193,0,4,2,190,9,300,101,2,27,7,128,8,0,3,0,15
5,BIHOR,"CĂMIN CULTURAL BISTRA",501,POPEŞTI,30568,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:22",787,784,0,2,1,482,479,0,2,1,453,29,871,389,7,147,39,231,5,1,19,0,4
5,BIHOR,"CĂMIN CULTURAL BOROD",251,BOROD,27560,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:23",1258,1237,4,17,0,800,783,0,17,0,769,31,1385,585,6,417,48,260,4,0,23,8,3
5,BIHOR,"CĂMIN CULTURAL BULZ",282,BULZ,27935,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:19",648,635,0,3,10,507,494,0,3,10,499,8,708,201,3,170,36,245,25,2,11,0,7
5,BIHOR,"CĂMIN CULTURAL CĂLĂȚEA",227,AŞTILEU,26742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:37",251,244,0,6,1,172,165,0,6,1,167,5,280,108,1,24,7,127,0,0,4,3,1
5,BIHOR,"CĂMIN CULTURAL CĂLUGĂRI",304,CĂRPINET,28193,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:07",382,351,5,8,18,267,241,0,8,18,264,3,399,132,1,149,16,88,3,0,2,0,5
5,BIHOR,"CĂMIN CULTURAL CĂRĂNDENI",429,LĂZĂRENI,29813,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:48:32",371,332,1,21,17,245,207,0,21,17,239,6,371,126,2,33,11,180,2,0,11,0,0
5,BIHOR,"CAMIN CULTURAL CATUN CARMAZAN",605,ŞUNCUIUŞ,31510,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:02:49",114,109,0,5,0,70,65,0,5,0,65,5,125,55,1,10,4,46,3,0,0,0,1
5,BIHOR,"CAMIN CULTURAL CHERIU",469,OŞORHEI,30274,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:58",737,715,2,20,0,433,413,0,20,0,383,31,792,378,4,43,31,300,4,0,0,0,1
5,BIHOR,"CĂMIN CULTURAL CHEȘEREU",327,CHERECHIU,28497,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:59",815,790,1,1,23,550,525,1,1,23,526,24,895,345,431,12,1,42,3,36,1,0,0
5,BIHOR,"CĂMIN CULTURAL CORNET",228,AŞTILEU,26742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:07:50",215,209,0,6,0,157,151,0,6,0,149,8,230,73,1,21,4,112,5,0,5,1,0
5,BIHOR,"CĂMIN CULTURAL COȘDENI",493,POMEZEU,30470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:02:26",451,419,0,8,24,327,295,0,8,24,323,4,456,129,8,136,20,150,7,0,2,0,0
5,BIHOR,"CĂMIN CULTURAL DELANI",153,"MUNICIPIUL BEIUŞ",26804,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:29",272,260,0,8,4,194,182,0,8,4,186,8,300,106,3,36,5,135,2,0,3,1,1
5,BIHOR,"CĂMIN CULTURAL DOLEA",583,"SUPLACU DE BARCĂU",31262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:10:04",132,121,0,8,3,81,70,0,8,3,73,8,138,57,40,8,1,22,1,0,1,0,0
5,BIHOR,"CĂMIN CULTURAL”ELISABETA PAVEL” GIRIȘU NEGRU",634,TINCA,31789,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:48:21",580,539,0,11,30,364,323,0,11,30,333,31,593,229,2,121,21,186,0,0,2,0,1
5,BIHOR,"CĂMIN CULTURAL FELCHERIU",470,OŞORHEI,30274,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:45",286,263,1,22,0,211,188,1,22,0,205,6,288,77,3,14,7,170,4,0,2,4,1
5,BIHOR,"CĂMIN CULTURAL FUGHIU",471,OŞORHEI,30274,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:45",1096,1075,4,16,1,623,606,0,16,1,607,16,1192,569,143,36,23,386,9,0,9,1,0
5,BIHOR,"CĂMIN CULTURAL GEPIU",396,GEPIU,32195,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:13",1312,1110,5,148,49,975,775,3,148,49,942,33,1247,272,6,538,35,346,3,0,9,0,5
5,BIHOR,"CĂMIN CULTURAL GHIGHIȘENI",520,RIENI,30773,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:47:32",803,755,0,21,27,578,531,0,21,26,569,9,886,308,9,38,16,474,26,0,5,0,1
5,BIHOR,"CĂMIN CULTURAL GIRIŞU DE CRIŞ",398,"GIRIŞU DE CRIŞ",29467,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:24:03",1261,1224,1,24,12,854,818,0,24,12,801,53,1340,486,10,107,62,453,10,1,12,142,4
5,BIHOR,"CĂMIN CULTURAL HIDIȘ",494,POMEZEU,30470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:29:00",252,231,0,8,13,207,186,0,8,13,197,0,265,68,1,64,8,115,0,0,2,7,0
5,BIHOR,"CĂMIN CULTURAL HIDIȘELU DE SUS",401,"HIDIŞELU DE SUS",29519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:23:35",954,855,3,73,23,766,668,2,73,23,755,11,975,209,3,195,58,472,13,0,10,1,3
5,BIHOR,"CĂMIN CULTURAL HODIȘ",410,HOLOD,29573,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:23:17",135,117,0,14,4,96,78,0,14,4,91,5,130,34,2,22,6,61,0,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL IZBUC",305,CĂRPINET,28193,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:07",401,370,9,7,15,304,282,0,7,15,297,7,424,120,2,160,19,108,7,0,0,0,1
5,BIHOR,"CĂMIN CULTURAL LĂZĂRENI",427,LĂZĂRENI,29813,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:57",775,712,3,52,8,627,566,1,52,8,592,35,773,146,7,53,28,491,1,0,11,0,1
5,BIHOR,"CĂMIN CULTURAL LEHECENI",306,CĂRPINET,28193,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:02:43",299,269,1,16,13,234,205,0,16,13,226,8,326,92,6,117,19,77,3,0,4,0,0
5,BIHOR,"CĂMIN CULTURAL LELEȘTI",289,BUNTEŞTI,27971,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:38:35",316,302,0,4,10,263,249,0,4,10,260,3,350,87,0,48,28,176,5,0,3,0,0
5,BIHOR,"CĂMIN CULTURAL MIERLĂU",403,"HIDIŞELU DE SUS",29519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:20",620,556,0,49,15,470,406,0,49,15,455,15,615,145,0,42,7,394,3,0,6,1,2
5,BIHOR,"CĂMIN CULTURAL MIZIEȘ",381,DRĂGĂNEŞTI,29243,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:25:41",463,441,0,13,9,342,320,0,13,9,334,8,482,140,2,51,20,235,25,0,1,0,0
5,BIHOR,"CĂMIN CULTURAL NIMĂIEŞTI",355,CURĂŢELE,28941,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:10:39",652,647,1,2,2,494,490,0,2,2,478,16,720,226,3,97,18,334,5,0,2,1,18
5,BIHOR,"CAMIN CULTURAL PALOTA",568,SÂNTANDREI,26653,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:07",609,599,4,6,0,288,282,0,6,0,276,10,665,377,24,23,6,202,10,3,6,1,1
5,BIHOR,"CAMIN CULTURAL PETRANI",489,POCOLA,30416,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:27",285,268,0,6,11,218,201,0,6,11,207,11,291,73,0,61,10,130,4,0,1,0,1
5,BIHOR,"CĂMIN CULTURAL PETRILENI",521,RIENI,30773,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:38",477,452,1,7,17,281,258,0,7,16,277,4,499,218,5,15,12,234,11,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL ROHANI",300,CĂPÂLNA,28139,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:55",110,64,0,29,17,94,48,0,29,17,88,6,113,19,3,26,1,57,1,0,0,0,0
5,BIHOR,"CĂMIN CULTURAL SĂLACEA",534,SĂLACEA,30988,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:20",946,908,5,0,33,618,584,1,0,33,593,25,1041,423,534,15,2,4,3,30,1,2,2
5,BIHOR,"CAMIN CULTURAL SAT BALNACA GROSI",604,ŞUNCUIUŞ,31510,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:07",56,49,0,7,0,38,31,0,7,0,35,3,59,21,1,3,2,24,3,0,1,1,0
5,BIHOR,"CAMIN CULTURAL SINMARTIN DE BEIUȘ",490,POCOLA,30416,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:12",186,173,2,5,6,155,144,0,5,6,153,2,196,41,0,35,9,106,2,0,1,0,0
5,BIHOR,"CĂMIN CULTURAL ȘINTEU",592,ŞINTEU,31379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:50",928,912,2,13,1,407,392,1,13,1,347,59,1002,596,31,112,34,147,8,0,10,3,2
5,BIHOR,"CĂMIN CULTURAL SPINUȘ DE POMEZEU",497,POMEZEU,30470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:30",152,138,0,2,12,125,111,0,2,12,124,1,169,44,0,25,16,81,0,0,2,0,0
5,BIHOR,"CĂMIN CULTURAL SUDRIGIU",522,RIENI,30773,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:56:58",267,261,0,3,3,190,184,0,3,3,184,6,296,106,6,23,13,126,11,0,1,1,3
5,BIHOR,"CĂMIN CULTURAL ȘUMUGIU",405,"HIDIŞELU DE SUS",29519,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:04",410,325,6,73,6,300,218,3,73,6,294,6,363,63,0,122,16,144,3,0,8,1,0
5,BIHOR,"CĂMIN CULTURAL - TÂRGUȘOR",328,CHERECHIU,28497,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:56:57",257,242,0,3,12,257,242,0,3,12,236,21,489,232,188,7,3,6,0,31,1,0,0
5,BIHOR,"CĂMIN CULTURAL TĂRIAN",400,"GIRIŞU DE CRIŞ",29467,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:41:54",974,961,0,9,4,651,638,0,9,4,591,60,1055,385,27,48,45,262,9,0,12,187,1
5,BIHOR,"CĂMIN CULTURAL VADU CRIŞULUI",650,"VADU CRIŞULUI",31976,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:39:05",1477,1430,2,15,30,950,905,0,15,30,917,33,1574,624,260,125,32,469,11,3,8,4,5
5,BIHOR,"CĂMIN CULTURAL VĂLANI DE POMEZEU",498,POMEZEU,30470,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:15",462,425,2,11,24,328,293,0,11,24,317,11,469,141,1,78,83,134,11,0,1,2,7
5,BIHOR,"CĂMIN CULTURAL VĂLANII DE BEIUȘ",649,"UILEACU DE BEIUŞ",31921,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:00",196,186,0,7,3,180,170,0,7,3,165,5,205,35,0,78,10,76,0,0,1,0,0
5,BIHOR,"CĂMIN CULTURAL VARVIZ",504,POPEŞTI,30568,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:54",416,412,0,4,0,261,257,0,4,0,253,8,456,194,1,64,17,154,12,0,4,1,0
5,BIHOR,"CAMINUL CULTURAL",541,SÂMBĂTA,31057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:30",304,256,1,29,18,243,195,1,29,18,237,6,299,56,2,50,27,154,2,0,2,0,0
5,BIHOR,"CAMINUL CULTURAL",542,SÂMBĂTA,31057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:04:15",118,98,0,14,6,91,72,0,14,5,88,3,115,24,1,30,4,50,0,0,3,0,0
5,BIHOR,"CAMINUL CULTURAL",545,SÂMBĂTA,31057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:05",118,96,0,14,8,89,67,0,14,8,85,4,119,30,6,22,4,49,2,0,2,0,0
5,BIHOR,"CĂMINUL CULTURAL",512,RĂBĂGANI,30648,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:56:17",376,331,1,21,23,304,260,0,21,23,297,7,393,89,0,72,12,204,6,0,3,0,0
5,BIHOR,"CĂMINUL CULTURAL",388,DRĂGEŞTI,29341,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:57:05",245,221,1,16,7,187,164,0,16,7,181,6,250,63,1,13,18,144,0,0,3,1,1
5,BIHOR,"CĂMINUL CULTURAL",610,TĂMĂŞEU,32153,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:43",938,907,2,12,17,605,577,0,12,16,582,17,997,396,487,11,6,35,0,37,6,0,0
5,BIHOR,"CĂMINUL CULTURAL",340,"COCIUBA MARE",28763,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:05",477,415,1,40,21,336,275,0,40,21,331,5,459,123,3,66,24,231,2,0,3,0,2
5,BIHOR,"CĂMINUL CULTURAL",265,BRATCA,27686,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:21",342,315,0,16,11,264,237,0,16,11,247,13,379,119,1,98,27,111,2,0,7,0,1
5,BIHOR,"CĂMINUL CULTURAL",276,BUDUREASA,27846,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:59",319,310,0,4,5,240,231,0,4,5,211,12,341,108,5,83,17,100,4,0,2,0,0
5,BIHOR,"CĂMINUL CULTURAL",611,TĂMĂŞEU,32153,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:20:39",203,195,1,7,0,135,128,0,7,0,134,1,215,80,91,7,2,8,2,21,3,0,0
5,BIHOR,"CĂMINUL CULTURAL",235,"AVRAM IANCU",27285,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:18:15",180,172,0,7,1,76,68,0,7,1,74,2,189,113,19,13,2,39,0,0,1,0,0
5,BIHOR,"CĂMINUL CULTURAL",338,"COCIUBA MARE",28763,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:41",752,714,0,16,22,515,478,0,16,21,498,17,785,270,3,105,9,371,1,0,9,0,0
