precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „PALATUL FERMECAT” ARAD",51,"MUNICIPIUL ARAD",9262,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:19:16",1537,1527,4,6,0,594,588,0,6,0,578,16,1650,1056,89,152,135,55,13,105,29
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „PALATUL FERMECAT” ARAD (GRĂDINIȚA CU PROGRAM NORMAL NR. 8)",54,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:15:35",1958,1940,11,7,0,909,902,0,7,0,873,36,2120,1211,105,246,157,97,25,188,55
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „PALATUL FERMECAT” ARAD ( GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - ACTIVITATE SUSPENDATĂ)",43,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:36:41",720,683,1,9,27,322,287,0,9,26,304,17,1590,1268,42,90,87,14,3,50,18
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „PALATUL FERMECAT” ARAD (GRĂDINIŢA CU PROGRAM SĂPTĂMÂNAL NR. 2 ARAD)",44,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:13",1063,1036,3,7,17,385,361,0,7,17,377,8,1230,845,68,88,100,19,6,70,26
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „PITICOT” ARAD (GRĂDINIȚA CU PROGRAM NORMAL NR. 12)",77,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:06:49",1051,1042,0,9,0,313,304,0,9,0,305,8,1170,857,59,85,53,26,5,46,31
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „PITICOT” ARAD (GRĂDINIȚA CU PROGRAM NORMAL NR. 12)",76,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:45",1599,1592,2,5,0,474,469,0,5,0,468,6,1720,1246,78,99,119,43,14,75,40
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „PRICHINDEL” ARAD",21,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:22:47",1501,1490,2,9,0,650,641,0,9,0,626,22,1640,988,74,149,152,63,22,142,24
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „PRICHINDEL”ARAD",34,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:04",1445,1432,4,8,1,635,625,1,8,1,616,19,1580,945,75,170,123,69,19,129,31
2,ARAD,"GRĂDINIŢA PN BÂRSA",192,BÂRSA,10051,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:12",777,731,0,31,15,605,559,0,31,15,590,15,820,215,57,252,242,1,12,14,12
2,ARAD,"GRĂDINIŢA PN PÂNCOTA",148,"ORAŞ PÂNCOTA",9654,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:08:03",1369,1344,1,13,11,678,654,0,13,11,626,52,1490,812,68,94,427,9,4,5,19
