precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"ȘCOALA PRIMARĂ CRASNA",174,ALBEŞTI,162014,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:57:52",425,421,0,4,0,182,178,0,4,0,169,13,500,318,58,50,28,7,0,26
39,VASLUI,"ŞCOALA PRIMARĂ CURTENI",390,OLTENEŞTI,165069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:48:12",158,156,0,2,0,85,83,0,2,0,76,9,200,115,28,15,26,1,0,6
39,VASLUI,"ŞCOALA PRIMARA DAVIDEŞTI",399,PĂDURENI,165185,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:11:06",402,390,0,5,7,172,160,0,5,7,168,4,400,228,95,16,50,1,1,5
39,VASLUI,"ŞCOALA PRIMARĂ DELENI",338,HOCENI,164197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:45:00",334,317,0,4,13,212,195,0,4,13,202,10,400,188,104,71,22,3,2,0
39,VASLUI,"ŞCOALA PRIMARĂ DINGA",252,COSTEŞTI,163137,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:02",103,96,0,7,0,61,54,0,7,0,58,3,100,39,24,23,8,1,0,2
39,VASLUI,"ŞCOALA PRIMARA DOCANEASA",521,VINDEREI,166770,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:28:59",365,358,0,3,4,178,171,0,3,4,169,9,400,222,143,14,10,1,0,1
39,VASLUI,"ŞCOALA PRIMARĂ DUMASCA",485,TĂCUTA,166235,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:00:02",228,224,0,4,0,115,111,0,4,0,110,5,300,185,41,37,22,0,0,10
39,VASLUI,"ŞCOALA PRIMARĂ, DUMBRĂVENI",323,GÂRCENI,164062,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:09:36",172,167,0,5,0,81,76,0,5,0,72,9,200,119,57,12,1,1,1,0
39,VASLUI,"ŞCOALA PRIMARĂ ”DUMITRU BAHRIM”",480,ŞULETEA,166137,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:20:55",196,180,0,9,7,123,107,0,9,7,122,1,200,7,65,21,26,0,0,10
39,VASLUI,"ŞCOALA PRIMARA ”DUMITRU MARIN” PEICANI",320,GĂGEŞTI,163903,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:27",414,404,0,3,7,237,227,0,3,7,223,14,500,263,132,16,38,26,1,10
