precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IANCU-SĂLĂJANU DINU-PARTIDUL NAȚIONAL LIBERAL-voturi","SZILÁGYI RÓBERT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FLORIAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PERNEŞ AMBROZIU-FELICIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PÜSÖK FERENC-PARTIDUL S.O.S. ROMÂNIA-voturi","ARDELEAN COSMIN-VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
33,SĂLAJ,"CAMIN CULTURAL BOGDANA",100,BUCIUMI,140379,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:33:23",399,360,0,29,10,286,247,0,29,10,267,19,420,134,111,2,126,19,2,7
33,SĂLAJ,"CAMIN CULTURAL BULGARI",260,SĂLĂŢIG,142550,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:59:44",171,159,1,1,10,114,103,0,1,10,110,4,200,86,54,0,42,9,0,5
33,SĂLAJ,"CĂMIN CULTURAL COSNICIU DE JOS",200,IP,141722,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:10",507,505,0,0,2,282,280,0,0,2,266,16,560,278,97,6,89,25,10,39
33,SĂLAJ,"CĂMIN CULTURAL CUCIULAT",206,LETCA,141786,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:20:29",137,122,0,10,5,92,77,0,10,5,86,6,130,38,17,0,53,6,1,9
33,SĂLAJ,"CAMIN CULTURAL HALMASD",167,HALMĂŞD,141312,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:43:43",832,807,1,4,20,541,517,0,4,20,520,21,890,349,278,1,184,23,12,22
33,SĂLAJ,"CAMIN CULTURAL HOROATU CRASNEI",185,"HOROATU CRASNEI",141535,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:36",795,737,0,37,21,537,479,0,37,21,518,19,850,313,159,132,186,17,5,19
33,SĂLAJ,"CAMIN CULTURAL MINEU",262,SĂLĂŢIG,142550,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:57:08",256,243,1,0,12,147,134,1,0,12,145,2,293,146,62,57,17,6,2,1
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:46:53",374,310,0,58,6,275,211,0,58,6,269,6,382,107,46,2,181,15,6,19
33,SĂLAJ,"CĂMIN CULTURAL ROMITA",255,ROMÂNAŞI,142426,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:20:46",258,237,1,12,8,116,96,0,12,8,116,0,280,164,59,0,43,5,4,5
33,SĂLAJ,"CAMIN CULTURAL SANGEORGIU DE MESES",102,BUCIUMI,140379,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:08:19",231,197,0,26,8,173,139,0,26,8,162,11,250,77,62,0,81,16,2,1
33,SĂLAJ,"CĂMIN CULTURAL VALEA LOZNEI",214,LOZNA,141884,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:58:13",183,123,0,53,7,137,77,0,53,7,134,3,150,13,71,1,17,42,1,2
33,SĂLAJ,"CAMIN CULTURAL VAR",55,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:23:32",395,383,0,8,4,255,243,0,8,4,254,1,450,195,68,2,157,11,3,13
33,SĂLAJ,"CAMINUL CULTURAL",184,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:02:02",225,224,0,1,0,138,137,0,1,0,131,7,250,112,88,2,14,8,3,16
33,SĂLAJ,"CĂMINUL CULTURAL",179,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:33:54",40,14,0,26,0,31,5,0,26,0,31,0,40,9,18,1,4,3,2,3
33,SĂLAJ,"CĂMINUL CULTURAL",188,"HOROATU CRASNEI",141535,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:21:58",228,183,0,43,2,155,110,0,43,2,152,3,218,63,87,1,43,16,3,2
33,SĂLAJ,"CĂMINUL CULTURAL",182,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:15:03",305,299,0,6,0,150,144,0,6,0,146,4,330,180,84,1,32,18,3,8
33,SĂLAJ,"CĂMINUL CULTURAL",183,HIDA,141447,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:49:20",106,91,1,14,0,61,46,1,14,0,60,1,100,39,41,1,8,3,1,6
33,SĂLAJ,"CĂMINUL CULTURAL",140,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:29:28",382,364,0,5,13,204,186,0,5,13,195,9,401,197,47,89,37,19,2,1
33,SĂLAJ,"CĂMINUL CULTURAL",178,HIDA,141447,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:24:06",106,97,0,7,2,61,52,0,7,2,61,0,110,49,24,1,23,4,2,7
33,SĂLAJ,"CĂMINUL CULTURAL",161,GÂRBOU,141232,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:04:37",102,84,0,16,2,75,57,0,16,2,73,2,110,35,50,0,20,2,0,1
33,SĂLAJ,"CĂMINUL CULTURAL",240,NUŞFALĂU,142239,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:47:49",310,303,0,3,4,212,205,0,3,4,198,14,350,138,10,169,11,5,2,1
33,SĂLAJ,"CĂMINUL CULTURAL",201,IP,141722,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:07:03",204,204,0,0,0,122,122,0,0,0,118,4,250,128,42,1,52,8,2,13
33,SĂLAJ,"CĂMINUL CULTURAL",166,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:43",273,254,0,12,7,198,179,0,12,7,191,7,290,92,89,2,82,15,1,2
33,SĂLAJ,"CĂMINUL CULTURAL BOCȘIȚA",173,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:31:03",67,54,0,10,3,52,39,0,10,3,49,3,100,48,16,16,8,5,1,3
33,SĂLAJ,"CĂMINUL CULTURAL BOZIEŞ",97,BOGHIŞ,180037,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:09:34",208,202,0,2,4,138,132,0,2,4,129,9,250,112,7,120,2,0,0,0
33,SĂLAJ,"CĂMINUL CULTURAL BRÎGLEZ",278,SURDUC,142774,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:24:25",259,198,0,44,17,211,150,0,44,17,209,2,250,39,88,0,110,6,0,5
33,SĂLAJ,"CĂMINUL CULTURAL CERNUC",163,GÂRBOU,141232,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:52:20",149,137,0,10,2,87,75,0,10,2,78,9,150,63,32,2,36,7,0,1
33,SĂLAJ,"CĂMINUL CULTURAL CRISTOLȚ",127,CRISTOLŢ,140770,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:04:06",484,429,0,40,15,394,339,0,40,15,378,16,465,71,233,1,99,13,19,13
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:26:56",437,418,0,7,12,293,274,0,7,12,287,6,500,207,43,212,16,5,4,7
33,SĂLAJ,"CĂMINUL CULTURAL DIN MESEŞENII DE JOS",225,"MESEŞENII DE JOS",142079,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:25:19",559,535,0,16,8,382,358,0,16,8,371,11,600,218,12,171,140,34,7,7
33,SĂLAJ,"CĂMINUL CULTURAL DOBA",141,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:39:16",283,277,0,3,3,163,157,0,3,3,158,5,300,137,6,138,9,2,3,0
33,SĂLAJ,"CĂMINUL CULTURAL DOLU",310,ZIMBOR,143147,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:49:18",50,38,0,12,0,41,29,0,12,0,41,0,50,9,17,2,13,5,3,1
33,SĂLAJ,"CĂMINUL CULTURAL FĂGETU",246,PLOPIŞ,142337,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:20:03",524,494,17,6,7,267,254,0,6,7,240,27,560,293,134,2,60,22,20,2
33,SĂLAJ,"CĂMINUL CULTURAL FIRMINIŞ",230,MIRŞID,142122,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:01",151,130,1,18,2,105,85,0,18,2,101,4,151,46,18,1,70,9,0,3
33,SĂLAJ,"CĂMINUL CULTURAL FIZEȘ",265,SÂG,142612,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:00:05",253,248,0,4,1,140,135,0,4,1,129,11,280,140,55,1,42,17,7,7
33,SĂLAJ,"CĂMINUL CULTURAL GĂLĂȘENI, NR.50",135,CUZĂPLAC,140869,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:18:26",104,81,0,21,2,81,58,0,21,2,78,3,95,14,59,1,13,5,0,0
33,SĂLAJ,"CĂMINUL CULTURAL HĂȘMAȘ",294,ŞIMIŞNA,179695,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:56:22",182,173,0,1,8,115,106,0,1,8,107,8,200,85,33,2,64,6,0,2
33,SĂLAJ,"CĂMINUL CULTURAL HERECLEAN",171,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:47:16",516,495,1,8,12,348,328,0,8,12,332,16,558,210,133,22,120,20,4,33
33,SĂLAJ,"CĂMINUL CULTURAL INĂU",275,SOMEŞ-ODORHEI,142710,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:22",485,455,0,8,22,317,287,0,8,22,301,16,530,213,199,1,47,16,11,27
33,SĂLAJ,"CĂMINUL CULTURAL JEBUCU",68,ALMAŞU,139982,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:54:50",324,268,0,27,29,286,230,0,27,29,272,14,323,37,9,242,11,8,2,0
33,SĂLAJ,"CĂMINUL CULTURAL MIRŞID",229,MIRŞID,142122,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:37:15",577,548,0,22,7,419,390,0,22,7,409,10,613,194,115,23,230,14,3,24
33,SĂLAJ,"CĂMINUL CULTURAL MOIAD",292,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:58:53",172,169,0,3,0,98,95,0,3,0,97,1,200,102,51,3,32,4,2,5
33,SĂLAJ,"CĂMINUL CULTURAL, NR.20",147,DRAGU,141027,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:54:12",27,14,0,12,1,18,5,0,12,1,18,0,40,22,9,1,5,1,0,2
33,SĂLAJ,"CĂMINUL CULTURAL PANIC",176,HERECLEAN,141376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:13",885,853,2,3,27,608,578,0,3,27,591,17,950,342,119,407,40,5,7,13
33,SĂLAJ,"CĂMINUL CULTURAL ”PETŐFI SÁNDOR”",114,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:20",1908,1812,15,10,71,1281,1198,2,10,71,1264,17,2061,780,54,1137,45,9,9,10
33,SĂLAJ,"CĂMINUL CULTURAL PETRINZEL",70,ALMAŞU,139982,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:17",100,85,1,14,0,72,57,1,14,0,71,1,125,53,9,50,3,5,1,3
33,SĂLAJ,"CĂMINUL CULTURAL PLOPIȘ",245,PLOPIŞ,142337,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:15:03",816,787,3,21,5,512,491,0,16,5,479,33,870,358,291,1,105,42,16,24
33,SĂLAJ,"CĂMINUL CULTURAL POPENI",232,MIRŞID,142122,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:46:37",749,731,0,5,13,481,463,0,5,13,458,23,828,347,144,5,259,25,6,19
33,SĂLAJ,"CĂMINUL CULTURAL RECEA",303,VÂRŞOLŢ,143021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:20",466,416,0,20,30,337,287,0,20,30,317,20,500,163,56,48,131,59,9,14
33,SĂLAJ,"CĂMINUL CULTURAL RUGINOASA, NR.22",138,CUZĂPLAC,140869,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:38:32",71,52,0,19,0,51,32,0,19,0,45,6,66,15,27,2,4,10,1,1
33,SĂLAJ,"CĂMINUL CULTURAL SÂNCRAIU ALMAȘULUI",311,ZIMBOR,143147,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:45:23",145,132,0,11,2,94,81,0,11,2,88,6,145,51,49,1,27,4,3,4
33,SĂLAJ,"CĂMINUL CULTURAL ȘOIMUȘ",276,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:37:36",287,263,0,7,17,166,142,0,7,17,159,7,330,164,118,0,32,4,2,3
33,SĂLAJ,"CĂMINUL CULTURAL SOLONA",280,SURDUC,142774,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:19:53",205,169,0,27,9,155,119,0,27,9,146,9,200,45,72,1,68,1,2,2
33,SĂLAJ,"CĂMINUL CULTURAL SOMEȘ-ODORHEI",272,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:48:00",1106,1065,1,7,33,698,663,0,7,28,672,26,1194,496,214,12,196,94,10,146
33,SĂLAJ,"CĂMINUL CULTURAL STANA",71,ALMAŞU,139982,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:55",104,84,0,16,4,80,60,0,16,4,80,0,125,45,2,67,7,1,1,2
33,SĂLAJ,"CĂMINUL CULTURAL ŞUMAL",218,MARCA,141946,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:24:10",392,382,0,2,8,276,266,0,2,8,264,12,429,153,155,3,75,21,4,6
33,SĂLAJ,"CĂMINUL CULTURAL SURDUC",277,SURDUC,142774,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:56",1206,1039,2,135,30,896,730,1,135,30,855,41,1100,204,326,2,471,30,8,18
33,SĂLAJ,"CĂMINUL CULTURAL SUTORU",312,ZIMBOR,143147,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:24",105,96,1,7,1,75,66,1,7,1,69,6,110,35,50,1,12,5,0,1
33,SĂLAJ,"CĂMINUL CULTURAL TEȘTIOARA",281,SURDUC,142774,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:14:52",80,56,0,20,4,58,34,0,20,4,58,0,100,42,34,0,20,2,1,1
33,SĂLAJ,"CĂMINUL CULTURAL TIHĂU",282,SURDUC,142774,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:29:23",940,847,0,67,26,698,605,0,67,26,622,76,929,231,271,4,300,29,6,12
33,SĂLAJ,"CĂMINUL CULTURAL TUSA",268,SÂG,142612,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:06",536,532,0,4,0,339,335,0,4,0,320,19,600,261,150,4,109,34,14,9
33,SĂLAJ,"CĂMINUL CULTURAL ZĂUAN",202,IP,141722,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:36:22",792,782,3,3,4,448,441,0,3,4,439,9,868,420,6,387,5,9,6,26
33,SĂLAJ,"CASA DE CULTURĂ",47,"ORAŞ JIBOU",139811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:03",1746,1691,11,40,4,805,761,0,40,4,794,11,1888,1083,220,40,391,51,14,78
33,SĂLAJ,"CASA MUNICIPALĂ DE CULTURĂ",2,"MUNICIPIUL ZALĂU",139704,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:40:51",1875,1846,15,8,6,948,934,0,8,6,924,24,2050,1102,188,361,279,32,11,53
33,SĂLAJ,"CASĂ PAROHIALĂ REFORMATĂ NAIMON",143,DOBRIN,140958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:11:13",111,108,0,3,0,49,46,0,3,0,44,5,127,78,18,16,8,1,0,1
33,SĂLAJ,"CENTRU DE INFORMARE ȘI MARKETING TURISTIC",244,PERICEI,142284,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:34:11",128,124,0,4,0,58,54,0,4,0,56,2,150,92,13,1,32,9,1,0
33,SĂLAJ,"CENTRU DE INFORMARE TURISTICA",115,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:43",1857,1817,5,8,27,1271,1236,0,8,27,1251,20,2000,729,48,1161,21,12,4,5
33,SĂLAJ,"CENTRUL AFTER SCHOOL",226,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:30:23",1268,1225,0,30,13,842,799,0,30,13,811,31,1365,523,166,237,158,208,20,22
33,SĂLAJ,"CENTRUL CULTURAL",58,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:49:21",1342,1329,0,10,3,699,686,0,10,3,670,29,1499,800,317,192,105,22,6,28
33,SĂLAJ,"CENTRUL CULTURAL CEACA",305,ZALHA,143067,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:36:24",177,151,0,18,8,139,113,0,18,8,132,7,170,31,58,3,54,8,1,8
33,SĂLAJ,"CENTRUL CULTURAL CHENDREA",80,BĂLAN,140146,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:40",656,595,1,39,21,479,419,0,39,21,461,18,700,221,199,6,191,30,6,29
33,SĂLAJ,"CENTRUL CULTURAL COMUNITAR ȘĂRMĂȘAG",286,ŞĂRMĂŞAG,142881,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:21:00",946,909,3,2,32,647,612,1,2,32,629,18,1040,393,21,587,11,4,4,2
33,SĂLAJ,"CENTRUL CULTURAL IAZ",247,PLOPIŞ,142337,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:25:16",609,590,0,6,13,343,324,0,6,13,330,13,670,327,204,2,72,32,13,7
33,SĂLAJ,"CENTRUL DE CONSULTANȚĂ AGRICOLĂ BOCȘA",92,BOCŞA,140324,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:01",771,722,0,9,40,537,488,0,9,40,515,22,842,305,143,3,286,20,30,33
33,SĂLAJ,"CENTRUL DE INFORMARE ȘI MARKETING TURISTIC",250,ROMÂNAŞI,142426,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:45:28",802,768,3,10,21,478,447,0,10,21,457,21,850,372,270,7,107,34,21,18
33,SĂLAJ,"CENTRUL DE INFORMARE ŞI PROMOVARE TURISTICĂ VALEA POMILOR",285,ŞAMŞUD,142854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:33:59",514,493,1,3,17,264,243,1,3,17,250,14,550,286,14,213,10,9,4,0
33,SĂLAJ,"CENTRUL DE INFORMARE TURISTICĂ",238,NUŞFALĂU,142239,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:10:53",1367,1344,4,11,8,869,850,0,11,8,740,129,1490,621,151,357,123,50,33,26
33,SĂLAJ,"CENTRUL DE ZI",228,"MESEŞENII DE JOS",142079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:59:25",686,640,0,39,7,431,385,0,39,7,407,24,750,319,63,3,250,72,7,12
33,SĂLAJ,"CENTRUL DE ZI DOBA",142,DOBRIN,140958,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:10:54",238,223,0,6,9,139,124,0,6,9,139,0,251,112,4,126,4,2,1,2
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",116,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:38",422,415,0,5,2,192,185,0,5,2,179,13,500,308,43,71,41,6,9,9
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",117,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:05:50",711,687,2,13,9,431,409,0,13,9,429,2,750,319,338,6,66,9,7,3
33,SĂLAJ,"CENTRUL DE ZI PENTRU COPII",118,CRASNA,140627,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:52:09",395,383,0,8,4,190,178,0,8,4,176,14,450,260,10,143,7,8,7,1
33,SĂLAJ,"CENTRUL DE ZI PETRINDU, NR.78",137,CUZĂPLAC,140869,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:43",347,310,0,31,6,275,238,0,31,6,264,11,350,75,101,15,45,73,5,25
33,SĂLAJ,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",104,CARASTELEC,140477,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:44",804,780,2,3,19,503,481,0,3,19,490,13,851,348,23,451,3,9,2,2
33,SĂLAJ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",60,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:32",1814,1802,0,12,0,849,837,0,12,0,809,40,2000,1151,443,109,177,37,11,32
33,SĂLAJ,"CERCUL GOSPODARILOR",199,IP,141722,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:47:56",1384,1366,6,0,12,838,824,2,0,12,804,34,1500,662,116,386,97,37,8,160
33,SĂLAJ,"CLĂDIREA FOSTULUI CONSILIU CIULA",204,LETCA,141786,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:59:50",93,72,0,20,1,77,56,0,20,1,70,7,90,13,7,1,38,13,0,11
33,SĂLAJ,"CLĂDIREA TRANSILVANIA",10,"MUNICIPIUL ZALĂU",139704,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 22:06:47",1335,1311,13,10,1,638,627,0,10,1,621,17,1400,762,146,89,289,34,6,57
33,SĂLAJ,"CLĂDIRE MULTIFUNCŢIONALĂ",76,BĂBENI,140084,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:34:13",82,66,0,12,4,77,61,0,12,4,73,4,90,13,32,0,35,4,0,2
33,SĂLAJ,"CLUB S.C. COMPANIA DE APĂ SOMEŞ S.A. SUCURSALA MUNICIPIULUI ZALĂU",37,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:19",1206,1199,2,5,0,484,479,0,5,0,473,11,1350,866,123,60,200,30,8,52
33,SĂLAJ,"COLEGIUL NAŢIONAL ”SILVANIA”",1,"MUNICIPIUL ZALĂU",139704,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:32:05",1887,1857,19,9,2,982,970,1,9,2,968,14,2056,1074,271,234,346,24,7,86
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",33,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:47:32",1062,1056,0,6,0,401,395,0,6,0,384,17,1200,799,96,54,161,37,7,29
33,SĂLAJ,"COLEGIUL TEHNIC ”ALESANDRU PAPIU ILARIAN”",34,"MUNICIPIUL ZALĂU",139704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:32",881,874,0,7,0,365,358,0,7,0,359,6,1000,635,68,58,186,16,3,28
