precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",12,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:34",1394,1372,5,12,5,677,660,0,12,5,640,19,1600,941,38,10,34,455,1,12,90
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",14,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:12:09",1639,1627,3,7,2,665,656,0,7,2,655,10,1700,1035,43,26,40,484,1,10,51
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”JÓZSEF ATTILA” MIERCUREA-CIUC",13,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:54:40",1428,1411,5,8,4,605,592,1,8,4,589,16,1600,995,34,16,37,435,5,5,57
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”LIVIU REBREANU” MIERCUREA-CIUC",9,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:38",1498,1481,9,6,2,657,649,0,6,2,646,11,1600,943,69,12,0,475,2,9,79
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”NAGY IMRE”",6,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:47",1582,1561,8,13,0,717,703,1,13,0,708,9,1600,883,33,17,42,545,1,11,59
21,HARGHITA,"ŞCOALA GIMNAZIALĂ „NAGY IMRE” MIERCUREA-CIUC",5,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:47:53",1501,1487,1,12,1,710,697,0,12,1,695,15,1600,890,50,25,31,521,2,3,63
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”NAGY IMRE” MIERCUREA-CIUC",4,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:52:05",1510,1481,20,8,1,703,694,0,8,1,693,10,1600,897,43,21,34,520,2,5,68
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” MIERCUREA-CIUC",8,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:12",1342,1322,4,13,3,485,470,0,13,2,467,18,1600,1115,32,22,22,348,5,2,36
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” MIERCUREA-CIUC",7,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:34:58",1431,1377,17,11,26,612,574,1,11,26,591,13,1600,996,22,19,39,435,1,10,65
21,HARGHITA,"ȘCOALA GIMNAZIALĂ ”XÁNTUS JÁNOS” HARGHITA-BĂI MIERCUREA-CIUC",24,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:44:39",192,173,3,16,0,93,77,0,16,0,90,3,400,307,3,0,1,80,0,0,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”XANTUS JANOS” MIERCUREA-CIUC",20,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:40:41",1231,1213,7,11,0,589,578,0,11,0,574,15,1300,711,10,0,12,441,0,1,110
21,HARGHITA,"ȘCOALA PRIMARĂ DIN SUBPĂDURE",23,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:14:18",479,467,4,7,1,223,215,0,7,1,219,4,500,277,9,5,9,170,0,2,24
21,HARGHITA,"SEDIUL ASOCIAȚIEI ”CSÍKSOMLYÓ” MIERCUREA-CIUC",21,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:26",1849,1838,0,11,0,967,956,0,11,0,938,29,1900,933,5,4,24,804,5,5,91
21,HARGHITA,"TEATRUL MUNICIPAL ”CSIKI JÁTÉKSZÍN” MIERCUREA-CIUC",1,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:04",1778,1712,51,15,0,691,676,0,15,0,667,24,2000,1309,43,25,47,465,4,7,76
