precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOLDOVEANU IOAN-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","IORDACHE LORENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NISTOR IRINA-MIHAELA-PARTIDUL SOCIAL DEMOCRAT-voturi","IONIŢĂ DANIEL-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","CUCU AURAŞ-MIHĂIŢĂ-PARTIDUL S.O.S. ROMÂNIA-voturi","MITITELU MAGDALENA-PARTIDUL NAȚIONAL DE CENTRU-voturi","RAŢ COSMIN-GICU-PARTIDUL OAMENILOR LIBERI-voturi","ENE BOGDAN-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
31,PRAHOVA,"LICEUL TEHNOLOGIC ENERGETIC - (CORP A SALA DE CLASA NR.3-INTRAREA PRINCIPALA)",165,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:38",830,823,0,7,0,347,340,0,7,0,334,13,900,553,96,10,158,10,17,2,14,27
31,PRAHOVA,"LICEUL TEHNOLOGIC ENERGETIC -(CORP A-SALA DE CLASA NR.5-INTRAREA SECUNDARA)",164,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:34",1029,1018,3,7,1,503,495,0,7,1,486,17,1100,597,161,19,203,8,18,0,33,44
31,PRAHOVA,"LICEUL TEHNOLOGIC MECANIC - (CORP A SALA 2)",174,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:39",1214,1211,1,2,0,587,585,0,2,0,572,15,1300,713,223,25,241,10,12,4,22,35
31,PRAHOVA,"LICEUL TEHNOLOGIC MECANIC - (CORP A SALA 3)",175,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:53:12",1402,1398,1,3,0,625,622,0,3,0,603,21,1600,976,265,14,252,3,14,4,13,38
31,PRAHOVA,"LICEUL TEHNOLOGIC MECANIC - (SALA DE SPORT)",173,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:40:56",1445,1437,3,4,1,627,622,0,4,1,615,12,1600,973,207,27,276,15,16,4,29,41
31,PRAHOVA,"ȘCOALA GENERALĂ NR.3 - (SALA DE SPORT)",180,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:01",1753,1731,2,9,11,868,847,1,9,11,846,22,1900,1032,400,52,261,12,45,3,23,50
31,PRAHOVA,"ȘCOALA GENERALĂ NR.5 - (SALA DE CLASA)",172,"MUNICIPIUL CÂMPINA",131256,3,PART,PRCNCT,P,P_SV,"2024-06-10 16:36:36",1175,1164,0,9,2,595,584,0,9,2,584,11,1300,705,187,21,262,40,29,2,17,26
31,PRAHOVA,"ȘCOALA GENERALĂ NR.6 - (SALA DE CLASA)",176,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:16:23",1496,1482,0,14,0,715,701,0,14,0,683,32,1600,885,277,36,278,14,31,6,12,29
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” - (SALA DE CLASA-ETAJ 1)",177,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:57",1551,1543,3,4,1,727,721,1,4,1,712,15,1700,973,180,27,352,14,16,3,36,84
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” - (SALA DE SPORT)",178,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 21:52:52",1600,1587,3,7,3,810,799,1,7,3,790,19,1700,891,344,26,292,9,19,4,28,68
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”B.P.HASDEU” - (SALA DE SPORT)",166,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:45",1230,1220,1,9,0,492,483,0,9,0,475,17,1300,808,150,24,226,11,17,4,12,31
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ CENTRALĂ",162,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:53:52",1026,1017,1,6,2,426,418,0,6,2,422,4,1100,674,145,31,194,5,10,0,17,20
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ CENTRALĂ",163,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:51:51",1162,1149,3,8,2,530,520,0,8,2,512,18,1300,770,156,10,277,11,12,1,17,28
