precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN DANIEL-DRAGOŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVANCEA VALENTIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","ICHIM IULIAN-GABRIEL-ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","SECHELARIU SERGIU-PARTIDUL VERDE-voturi","STANCIU-VIZITEU LUCIAN-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BRĂILA ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MANOLACHE CRISTINEL-PARTIDUL ECOLOGIST ROMÂN-voturi","GHINGHEŞ CRISTIAN-PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","GĂZDARU ADRIAN-voturi","CHIRILESCU DORIN-voturi"
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",54,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:09:31",985,977,3,5,0,379,374,0,5,0,366,8,1100,721,15,96,2,42,122,13,40,18,10,8
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",7,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:59:25",1208,1196,6,6,0,438,432,0,6,0,430,8,1304,866,37,93,2,51,153,4,39,18,11,22
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",5,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:37",1416,1407,0,9,0,556,547,0,9,0,542,14,1500,943,34,115,3,57,241,3,52,25,0,12
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",8,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:59:05",1158,1153,0,5,0,460,455,0,5,0,453,7,1300,840,33,110,1,55,190,8,27,18,5,6
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",4,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:34:30",1593,1574,13,6,0,610,604,0,6,0,597,13,1700,1090,26,129,2,53,266,19,47,34,5,16
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",3,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:35:49",1633,1621,5,7,0,597,585,5,7,0,555,38,1800,1207,34,105,4,74,236,16,49,24,4,9
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",6,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:41",1423,1414,0,9,0,607,598,0,9,0,600,7,1600,993,21,122,0,62,273,14,66,24,5,13
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”ION CREANGĂ”",35,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:37",1366,1359,0,7,0,534,527,0,7,0,512,21,1500,965,22,100,3,47,233,11,50,25,6,15
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”ION CREANGĂ”",34,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:49",1297,1288,6,3,0,490,486,1,3,0,478,12,1400,910,34,119,5,57,164,20,39,30,4,6
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”ION CREANGĂ”",36,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:24",1240,1236,0,4,0,596,592,0,4,0,588,8,1400,804,31,117,4,78,219,17,75,25,10,12
