county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","GURGU MARIAN-voturi","GURGU MARIAN-mandate-faza-1","GURGU MARIAN-mandate-faza-2","ZEGOICEA CRISTIAN-voturi","ZEGOICEA CRISTIAN-mandate-faza-1","ZEGOICEA CRISTIAN-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-1","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","FORUMUL CEHILOR DIN ROMÂNIA-voturi","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-1","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","BĂRBULESCU CRISTIAN-VALENTIN-voturi","BĂRBULESCU CRISTIAN-VALENTIN-mandate-faza-1","BĂRBULESCU CRISTIAN-VALENTIN-mandate-faza-2","GOGAN MARINICĂ-voturi","GOGAN MARINICĂ-mandate-faza-1","GOGAN MARINICĂ-mandate-faza-2","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-voturi","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-2","BĂLOI CONSTANTIN-voturi","BĂLOI CONSTANTIN-mandate-faza-1","BĂLOI CONSTANTIN-mandate-faza-2","GUSTEA TITU-voturi","GUSTEA TITU-mandate-faza-1","GUSTEA TITU-mandate-faza-2","GUSTEA DANIEL-COSMIN-voturi","GUSTEA DANIEL-COSMIN-mandate-faza-1","GUSTEA DANIEL-COSMIN-mandate-faza-2"
27,MEHEDINŢI,"ORAŞ VÂNJU MARE",110232,1,FINAL,UAT,CL,CL_CE,"2024-06-10 17:38:10",4881,4659,9,113,100,2727,2535,5,113,74,2633,94,5150,2423,131,184,210,175,914,5,0,1719,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PĂDINA,112806,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:51:00",1094,768,0,243,83,909,583,0,243,83,887,15,989,81,44,62,70,95,334,3,1,329,3,0,194,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PĂTULELE,112879,2,FINAL,UAT,CL,CL_CE,"2024-06-15 15:44:04",2975,2763,0,100,112,1946,1734,0,100,112,1867,79,3122,1176,93,130,149,137,1148,8,0,645,4,1,53,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PODENI,112959,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:35:12",668,621,1,26,20,478,432,1,26,19,458,20,683,205,22,32,36,50,52,1,0,210,4,0,69,1,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PONOARELE,112995,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:00:42",2004,1894,4,88,18,1390,1284,0,88,18,1340,49,2098,709,67,93,107,117,404,3,1,583,4,1,155,1,0,145,1,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,"POROINA MARE",113153,2,FINAL,UAT,CL,CL_CE,"2024-06-16 10:34:58",1113,723,0,338,52,892,502,0,338,52,878,10,1088,195,43,61,70,91,186,2,0,636,6,1,30,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PRISTOL,113206,2,FINAL,UAT,CL,CL_CE,"2024-06-12 19:15:56",1363,1148,0,126,89,853,638,0,126,89,829,24,1268,415,41,58,66,87,90,1,0,475,5,0,221,2,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PRUNIŞOR,113233,2,FINAL,UAT,CL,CL_CE,"2024-06-12 00:13:46",1966,1511,1,417,37,1517,1063,0,417,37,1461,50,1774,263,73,102,116,129,389,3,0,949,7,0,90,0,1,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,PUNGHINA,113395,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:59:37",2134,2085,0,49,0,1100,1051,0,49,0,1066,34,2276,1176,53,74,85,80,26,0,0,1040,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,ROGOVA,113466,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:20:56",1364,1096,1,171,96,1012,745,0,171,96,971,41,1306,294,48,67,77,107,65,0,1,741,6,1,0,0,0,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
