precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ILIUŢĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","COARNĂ DUMITRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BELLANTONI AMALIA-PARTIDUL S.O.S. ROMÂNIA-voturi","DĂSCĂLESCU-TIRON CAMELIA-SANDA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA NR. 2 PERIŞORU",188,PERIŞORU,94223,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:34:24",633,617,0,7,9,384,368,0,7,9,374,10,628,244,74,179,42,61,7,11
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 2 STANCEA",208,SPANŢOV,105259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:09:43",1221,1203,0,10,8,685,667,0,10,8,652,33,1333,648,38,131,441,5,28,9
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 2 SULTANA",173,MÂNĂSTIREA,104181,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:53:37",743,722,0,13,8,418,397,0,13,8,406,12,810,392,25,347,11,6,8,9
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR.2 ULMENI",219,ULMENI,105605,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:21:45",1400,1380,2,9,9,678,660,0,9,9,657,21,1518,822,13,110,511,11,7,5
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 3 BORCEA",86,BORCEA,92961,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:45:56",1006,980,0,15,11,518,492,0,15,11,503,15,1113,595,35,113,318,12,21,4
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ NUCI",230,VASILAŢI,105829,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:04",304,277,0,19,8,195,168,0,19,8,184,11,308,113,6,99,18,3,7,51
12,CĂLĂRAŞI,"ȘCOALA GIMNAZIALĂ POPEȘTI",231,VASILAŢI,105829,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:25:09",279,259,0,15,5,159,139,0,15,5,157,2,276,117,3,89,9,2,13,41
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ SPECIALĂ NR. 1",5,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:31:43",1109,1086,12,11,0,521,510,0,11,0,507,14,1190,669,64,207,117,29,20,70
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ SPECIALĂ NR. 1",6,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:16",973,962,2,9,0,412,403,0,9,0,387,25,1058,646,80,181,50,12,30,34
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",33,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:46:03",1301,1297,0,4,0,585,581,0,4,0,565,20,1427,842,77,261,102,46,27,52
