precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL CALFA",192,TOPOLOG,161384,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:34:40",107,99,0,8,0,65,57,0,8,0,60,5,109,44,8,0,35,8,0,5,0,4
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL LĂSTUNI",154,"MIHAIL KOGĂLNICEANU",160877,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:31",373,355,1,6,11,307,290,0,6,11,296,11,407,100,160,1,100,19,2,8,1,5
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL LUMINIȚA",195,TOPOLOG,161384,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:57:07",197,189,0,7,1,109,101,0,7,1,101,8,214,105,11,1,60,15,1,9,1,3
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL MĂGURELE",196,TOPOLOG,161384,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:00:26",186,180,0,6,0,109,103,0,6,0,103,6,198,89,29,2,57,8,0,6,0,1
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL MINA ALTÂN-TEPE",188,STEJARU,161348,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:12",325,314,0,7,4,162,151,0,7,4,155,5,348,186,98,0,41,9,0,2,4,1
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL MIRCEA VODĂ",103,CERNA,160127,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:04:33",412,387,1,13,11,250,226,0,13,11,242,8,443,193,108,4,77,36,4,1,3,9
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL PARCHEȘ",186,SOMOVA,161302,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:01",631,627,2,2,0,314,311,1,2,0,297,17,694,380,119,6,93,33,18,13,6,9
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL RÂNDUNICA",155,"MIHAIL KOGĂLNICEANU",160877,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:51",499,484,0,5,10,346,331,0,5,10,337,9,542,196,170,0,109,40,2,2,1,13
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL REVĂRSAREA",63,"ORAŞ ISACCEA",159687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:41:11",386,375,0,9,2,205,194,0,9,2,195,10,415,210,38,4,76,58,0,6,0,13
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL SABANGIA",177,SARICHIOI,161179,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:59",447,438,0,8,1,200,191,0,8,1,190,10,484,284,54,1,98,25,2,3,0,7
