precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTEA AURELIA-PARTIDUL SOCIAL DEMOCRAT-voturi","COZMA CĂLIN-VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OLÁH EMESE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BOC EMIL-PARTIDUL NAȚIONAL LIBERAL-voturi","NAŞ SORIN-VALERIU-PARTIDUL S.O.S. ROMÂNIA-voturi","IACOB DAN-MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BĂLTĂREŢU VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","STRUGARIU RAMONA-VICTORIA-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SĂRMAŞ IOAN-SABIN-voturi","VAMOŞ SORIN-VIRGIL-voturi"
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",72,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:38:25",1623,1587,21,9,6,793,778,0,9,6,786,7,1770,977,46,39,43,313,13,4,46,27,250,5
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",73,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PART,PRCNCT,P,P_SV,"2024-06-10 15:02:16",1080,1065,3,12,0,590,578,0,12,0,585,5,1207,617,33,25,17,281,4,3,49,11,158,4
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",74,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:57:23",1398,1376,10,12,0,631,619,0,12,0,623,8,1526,895,42,20,17,277,2,5,29,20,204,7
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",70,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-11 13:15:12",1432,1401,24,7,0,670,662,1,7,0,668,2,1577,907,40,24,56,232,4,7,59,23,212,11
13,CLUJ,"COLEGIUL NAȚIONAL „GHEORGHE ȘINCAI”",71,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:11:59",1151,1131,1,16,3,601,581,1,16,3,596,5,1048,447,39,27,43,237,9,4,51,23,160,3
13,CLUJ,"COLEGIUL ORTODOX „MITROPOLITUL NICOLAE COLAN”",140,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:45:42",2029,1988,14,18,9,936,908,1,18,9,930,6,2210,1274,27,15,157,373,10,4,56,24,264,0
13,CLUJ,"COLEGIUL TEHNIC „ANA ASLAN”",160,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:11",1595,1550,28,13,4,575,530,28,13,4,569,6,1722,1147,22,22,77,245,7,2,30,14,146,4
13,CLUJ,"COLEGIUL TEHNIC „ANA ASLAN”",161,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:50:51",1475,1446,18,8,3,661,648,2,8,3,651,10,1639,978,34,24,93,249,6,1,39,20,181,4
13,CLUJ,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”",135,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:22:33",1529,1484,25,16,4,682,662,0,16,4,676,6,1675,993,24,24,75,264,5,3,36,18,224,3
13,CLUJ,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”,",134,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:48",1481,1452,3,11,15,707,681,0,11,15,694,13,1600,893,41,34,55,316,8,0,34,22,180,4
13,CLUJ,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”,",133,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:03",1170,1160,4,6,0,517,511,0,6,0,507,10,1286,769,39,20,54,224,6,3,27,18,115,1
13,CLUJ,"COLEGIUL TEHNIC ”ANGHEL SALIGNY”,",132,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:03",1343,1317,8,17,1,670,650,2,17,1,665,5,1478,808,46,31,73,295,7,0,28,7,176,2
13,CLUJ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",177,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:43:20",1946,1903,32,10,1,929,918,0,10,1,924,5,2141,1212,20,25,27,379,7,3,55,24,383,1
13,CLUJ,"COLEGIUL TEHNIC „ANGHEL SALIGNY”",176,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:14:23",1869,1859,3,7,0,595,588,0,7,0,591,4,2048,1453,16,20,53,275,8,1,17,11,187,3
13,CLUJ,"COLEGIUL TEHNIC DE TELECOMUNICATII ”AUGUSTIN MAIOR”,",3,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 16:55:28",1920,1458,401,16,45,645,592,0,16,37,633,12,2008,1363,26,23,86,245,6,1,45,20,178,3
13,CLUJ,"COLEGIUL TEHNIC DE TELECOMUNICATII ”AUGUSTIN MAIOR”,",4,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:19:33",1637,1360,225,45,7,723,672,0,45,6,712,11,1737,1014,17,21,133,246,2,2,62,19,206,4
13,CLUJ,"COLEGIUL TEHNIC DE TRANSPORTURI” TRANSILVANIA”",119,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:49",1437,1415,10,12,0,699,687,0,12,0,692,7,1596,897,43,17,122,242,7,3,49,33,174,2
13,CLUJ,"COLEGIUL TEHNIC DE TRANSPORTURI” TRANSILVANIA”",120,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:12",1777,1755,8,12,2,906,891,1,12,2,892,14,1973,1067,45,39,78,369,4,3,60,32,247,15
13,CLUJ,"COLEGIUL TEHNIC ”ENERGETIC”",121,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:33:04",1483,1455,10,15,3,749,732,0,14,3,739,10,1630,881,43,26,62,264,10,4,50,14,260,6
13,CLUJ,"COLEGIUL TEHNIC NAPOCA",19,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-11 10:12:53",1409,1390,10,9,0,622,613,0,9,0,612,10,1562,940,30,34,21,309,3,4,43,11,153,4
13,CLUJ,"CREŞA ”CASTELUL FERMECAT”, STR.SEPTIMIU ALBINI NR.91",107,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:40",1397,1385,5,7,0,653,646,0,7,0,641,12,1562,909,40,25,101,243,9,3,35,18,163,4
13,CLUJ,"CREŞA ”CASTELUL FERMECAT”, STR.SEPTIMIU ALBINI NR.91",108,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:19",1426,1407,9,7,3,697,686,1,7,3,683,14,1589,892,45,28,115,277,1,3,30,12,165,7
13,CLUJ,"CREȘA „URSULEȚUL”",94,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:48",1175,1164,4,7,0,607,598,2,7,0,600,7,1290,683,32,16,48,276,10,0,22,9,175,12
13,CLUJ,"CREȘA „URSULEȚUL”",93,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:56:19",1508,1484,9,15,0,640,625,0,15,0,619,21,1660,1020,30,29,57,327,3,1,16,9,144,3
13,CLUJ,"CREȘA „URSULEȚUL”",91,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:43",1302,1289,2,10,1,559,548,0,10,1,551,8,1450,891,26,33,54,277,2,3,17,22,111,6
13,CLUJ,"CREȘA „URSULEȚUL”",92,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:53",1520,1500,4,15,1,743,727,0,15,1,734,9,1444,701,28,27,93,326,7,8,34,14,187,10
13,CLUJ,"EPARHIA REFORMATĂ DIN ARDEAL , STR.HOREA NR.51",162,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:15",1260,1247,7,6,0,526,520,0,6,0,519,7,1398,872,18,21,73,213,9,2,29,13,140,1
13,CLUJ,"FACULTATEA DE ARHITECTURĂ ŞI URBANISM, STR.OBSERVATORULUI NR.72",62,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:14:34",1310,1249,48,10,3,619,606,0,10,3,609,10,1425,806,18,25,50,261,1,2,47,20,180,5
13,CLUJ,"FACULTATEA DE ARHITECTURĂ ŞI URBANISM, STR.OBSERVATORULUI NR.72",61,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:02:32",1012,930,61,17,4,432,411,0,17,4,427,5,1104,672,18,20,27,191,5,1,29,14,121,1
13,CLUJ,"FACULTATEA DE ARHITECTURĂ ŞI URBANISM, STR.OBSERVATORULUI NR.72",59,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:53:32",1435,1400,25,8,2,649,639,0,8,2,639,10,1606,957,36,25,54,288,5,4,41,23,159,4
13,CLUJ,"FACULTATEA DE ARHITECTURĂ ŞI URBANISM, STR.OBSERVATORULUI NR.72",60,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:22:03",1427,1284,107,36,0,624,588,0,36,0,617,7,1553,929,20,27,45,309,9,1,37,15,151,3
13,CLUJ,"GARAJE COMPANIA DE TRANSPORT PUBLIC CLUJ-NAPOCA S.A.",180,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:01:32",1676,1654,3,13,6,799,780,0,13,6,786,13,1823,1024,30,25,227,278,5,2,25,14,178,2
13,CLUJ,"GRADINIŢA ”ACADEMIA PITICILOR”(FOSTĂ NR. 72),",90,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:45",1370,1357,1,8,4,586,574,0,8,4,579,7,1496,910,39,17,62,264,7,1,39,11,136,3
13,CLUJ,"GRADINIŢA ”ACADEMIA PITICILOR”(FOSTĂ NR. 72),",89,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:04:33",1618,1605,5,6,2,722,714,0,6,2,721,1,1805,1083,46,27,69,336,8,1,16,14,201,3
13,CLUJ,"GRĂDINIŢA ”ALBINUŢA” (FOSTĂ CĂSUŢA POVEŞTILOR), STR. GRIGORE ALEXANDRESCU, NR.21/A",18,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:17:56",1546,1528,4,11,3,646,634,0,11,1,630,16,1693,1047,27,28,75,284,4,0,25,22,157,8
13,CLUJ,"GRADINIŢA” BUBURUZA” (FOSTĂ NR. 70),",87,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:34",1035,1028,3,4,0,402,398,0,4,0,400,2,1165,763,22,13,23,190,4,0,11,14,121,2
13,CLUJ,"GRADINIŢA” BUBURUZA” (FOSTĂ NR. 70),",88,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:19:47",1433,1409,8,13,3,619,603,0,13,3,610,9,1591,972,35,16,37,312,6,3,35,13,143,10
13,CLUJ,"GRĂDINIŢA ”DEGEŢICA” (FOSTĂ NR. 53),",151,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:05",1455,1445,5,5,0,673,668,0,5,0,667,6,1598,925,25,20,46,331,7,1,29,11,195,2
13,CLUJ,"GRĂDINIŢA ”DEGEŢICA” (FOSTĂ NR. 53),",150,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:01:57",1747,1693,37,17,0,821,804,0,17,0,807,14,1921,1100,34,19,44,364,5,2,45,44,249,1
13,CLUJ,"GRADINITA DUMBRAVA MINUNATA",8,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:40",1180,1164,6,10,0,489,479,0,10,0,480,9,1393,904,23,16,57,237,6,2,20,11,106,2
13,CLUJ,"GRADINITA ”DUMBRAVA MINUNATĂ”",9,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:49:45",1487,1470,5,10,2,724,712,0,10,2,709,15,1664,940,36,23,75,321,6,0,37,16,187,8
13,CLUJ,"GRĂDINIŢA ”DUMBRAVA MINUNATĂ” (FOSTA 66),",10,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:47",1462,1448,5,8,1,643,634,0,8,1,633,10,1599,956,30,28,69,286,4,1,30,21,150,14
13,CLUJ,"GRADINIŢA ”LICURICI” (FOSTA STELUŢA FERMECATĂ), STR.FÂNTÂNELE NR.46",43,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:23:50",1568,1557,2,9,0,811,802,0,9,0,798,13,1732,921,35,38,86,305,7,5,58,37,220,7
13,CLUJ,"GRADINIŢA ”LICURICI” (FOSTA STELUŢA FERMECATĂ), STR.FÂNTÂNELE NR.46",42,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:45:31",1285,1279,1,5,0,658,653,0,5,0,653,5,1430,772,44,21,90,274,0,3,32,17,171,1
13,CLUJ,"GRĂDINIŢA ” LUMEA COPIILOR” (FOSTĂ NR. 20),",109,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:24",1575,1562,4,6,3,672,663,0,6,3,662,10,1726,1054,32,27,85,250,9,4,31,18,198,8
13,CLUJ,"GRĂDINIŢA ” LUMEA COPIILOR” (FOSTĂ NR. 20),",110,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:30",1447,1435,2,10,0,657,647,0,10,0,633,24,1581,924,36,11,82,269,5,1,40,17,168,4
13,CLUJ,"GRĂDINIŢA ”LUMEA COPIILOR”, STR.SEPTIMIU ALBINI NR 53",106,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:33",966,941,12,13,0,521,508,0,13,0,517,4,1044,523,26,10,86,174,11,4,26,21,158,1
13,CLUJ,"GRADINIŢA” MICA SIRENA” (FOSTĂ 64),",41,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:43",1428,1410,4,13,1,765,751,0,13,1,755,10,1565,800,36,16,78,260,8,3,62,20,266,6
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",168,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:45:17",1747,1724,7,15,1,856,839,1,15,1,846,10,1932,1076,33,30,104,301,13,2,55,19,283,6
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",167,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:36:14",1861,1831,17,11,2,759,746,0,11,2,733,26,2036,1277,4,25,50,316,20,8,33,12,261,4
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",169,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:33:33",1811,1801,6,4,0,879,875,0,4,0,869,10,2019,1140,34,25,105,348,11,3,45,16,277,5
13,CLUJ,"GRĂDINIŢA ”NEGHINIŢĂ”",166,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:23",1760,1751,2,7,0,827,820,0,7,0,815,12,1952,1125,40,25,70,325,3,0,48,16,284,4
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",98,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:30:52",1620,1579,20,20,1,806,784,1,20,1,792,14,1758,952,39,32,81,280,4,3,80,30,232,11
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",99,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:03:27",1889,1847,32,10,0,1084,1070,4,10,0,1076,8,2075,991,34,18,47,366,4,2,103,50,444,8
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",100,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:05:08",1837,1810,16,9,2,943,932,0,9,2,933,10,2043,1100,31,27,86,368,11,1,65,41,295,8
13,CLUJ,"GRADINIŢA ”POIENIŢA”,",101,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-11 12:08:07",1955,1886,57,12,0,1050,1038,0,12,0,1042,8,2139,1089,30,28,56,399,4,2,98,44,375,6
13,CLUJ,"GRADINIŢA ”UNIVERSUL COPIILOR” (FOSTĂ NR.71)",82,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:29:41",1318,1311,2,3,2,591,586,0,3,2,583,8,1474,883,37,26,58,274,8,3,26,7,138,6
13,CLUJ,"GRADINIŢA ”ZÎNA ZORILOR”, STR.L.PASTEUR NR.12",58,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:13:47",1873,1582,244,12,35,751,704,0,12,35,746,5,2061,1310,53,31,64,314,6,1,51,32,191,3
13,CLUJ,"GRĂDINŢA ”MĂMARUŢA” (FOSTĂ NR. 42),",131,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:23",1595,1582,0,13,0,773,760,0,13,0,756,17,1741,968,34,22,56,325,9,2,45,19,239,5
13,CLUJ,"GRUP ŞCOLAR ”SAMUS”",159,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:29",1435,1422,3,10,0,688,678,0,10,0,681,7,1571,883,53,31,54,283,4,3,19,11,216,7
13,CLUJ,"GRUP ŞCOLAR ”SAMUS”",158,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:55:33",1525,1518,2,5,0,683,678,0,5,0,679,4,1715,1032,29,25,57,342,9,1,19,9,182,6
13,CLUJ,"GRUP ŞCOLAR ”SAMUS”",157,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:17:58",1590,1579,2,9,0,715,706,0,9,0,701,14,1738,1023,46,18,85,312,5,1,40,22,169,3
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE ”RALUCA RIPAN”",44,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:06:15",1545,1534,4,7,0,733,726,0,7,0,715,18,1690,957,37,16,81,318,6,3,36,22,193,3
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE ”RALUCA RIPAN”",45,"MUNICIPIUL CLUJ-NAPOCA",54975,3,PART,PRCNCT,P,P_SV,"2024-06-10 15:21:24",1397,1386,2,9,0,710,701,0,9,0,698,12,1551,841,34,11,100,256,6,1,39,17,231,3
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE” RALUCA RIPAN”,",47,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:49",1824,1790,10,21,3,864,839,1,21,3,849,15,1999,1135,52,25,122,340,15,2,58,21,209,5
13,CLUJ,"INSTITUTUL DE CERCETARI ÎN CHIMIE” RALUCA RIPAN”,",46,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:16",1516,1499,2,12,3,810,795,0,12,3,798,12,1652,842,38,30,123,291,5,2,53,29,224,3
13,CLUJ,"LICEUL CU PROGRAM SPORTIV (FOSTA SCOALA NR.20).",22,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:31:45",1465,1459,1,5,0,667,662,0,5,0,661,6,1608,941,32,43,39,301,9,1,28,19,186,3
13,CLUJ,"LICEUL CU PROGRAM SPORTIV (FOSTA SCOALA NR.20).",21,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:28",1514,1501,4,9,0,751,742,0,9,0,736,15,1684,933,36,27,52,345,6,3,42,29,192,4
13,CLUJ,"LICEUL CU PROGRAM SPORTIV (FOSTA SCOALA NR.20).",20,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:14",1534,1527,2,5,0,733,728,0,5,0,731,2,1700,967,45,28,43,339,6,3,49,16,201,1
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",54,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:08",1474,1429,27,18,0,780,762,0,18,0,770,10,1605,825,17,22,34,293,6,0,81,20,294,3
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",51,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:49:51",1416,1314,90,11,1,658,647,0,10,1,649,9,1533,875,22,18,60,297,2,3,38,14,191,4
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",53,"MUNICIPIUL CLUJ-NAPOCA",54975,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:20:32",2049,1939,88,22,0,971,949,0,22,0,964,7,2242,1271,28,28,40,410,5,1,68,43,334,7
13,CLUJ,"LICEUL DE INFORMATICĂ „TIBERIU POPOVICIU”",50,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:29:44",1534,1472,47,14,1,737,720,2,14,1,729,8,1697,960,48,22,44,370,4,5,49,27,158,2
