precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MISĂILĂ CRISTI-VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","RESMERIŢĂ VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ANGHENE DRAGOŞ-RĂZVAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NISTOROIU ALEXANDRU-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PLEŞA-PLUGARU DĂNUŢ-PARTIDUL S.O.S. ROMÂNIA-voturi","DIMITRIU-BUNGHEZ ANA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ZÎRNĂ CRISTIAN-voturi"
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",26,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:34:47",944,937,0,7,0,419,412,0,7,0,395,17,1041,620,186,107,22,11,5,50,14
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",27,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:20:19",860,853,0,7,0,359,352,0,7,0,347,12,943,584,153,72,54,6,9,43,10
41,VRANCEA,"COLEGIUL TEHNIC „ION MINCU” FOCȘANI",25,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:41",994,984,0,8,2,392,382,0,8,2,365,27,1085,693,173,81,35,10,14,39,13
41,VRANCEA,"COLEGIUL TEHNIC ”VALERIU D. COTEA”",21,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-11 19:36:19",1283,1251,3,11,18,573,549,0,11,13,554,19,1371,798,291,122,42,14,24,45,16
41,VRANCEA,"DIRECŢIA JUDEŢEANĂ A SPORTURILOR VRANCEA",37,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:50:25",1364,1350,1,13,0,564,551,0,13,0,543,21,1494,929,283,111,50,13,15,59,12
41,VRANCEA,"DIRECŢIA SANITAR-VETERINARĂ",55,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:35:30",1829,1812,0,10,7,858,841,0,10,7,840,18,2002,1144,472,149,55,14,26,105,19
41,VRANCEA,"DIRECTIA SILVICĂ VRANCEA",1,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:34:35",1326,1313,0,13,0,595,582,0,13,0,570,19,1450,855,312,116,38,10,24,58,12
41,VRANCEA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 FOCȘANI",57,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:35:46",1549,1543,0,6,0,672,666,0,6,0,645,27,1700,1028,340,154,45,17,14,53,22
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",54,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:59:46",897,885,2,10,0,362,352,0,10,0,351,11,976,614,202,50,33,4,8,38,16
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",52,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:26:17",1665,1655,0,10,0,709,699,0,10,0,691,18,1832,1123,372,150,45,12,25,66,21
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",53,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:15:55",1773,1753,1,17,2,802,783,0,17,2,783,17,1936,1136,441,145,58,19,14,79,27
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 15",16,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:08:41",1700,1692,0,8,0,754,746,0,8,0,715,35,1866,1116,354,163,45,22,23,84,24
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 15",15,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:34",884,879,1,4,0,398,393,1,4,0,368,30,963,565,185,83,32,11,14,31,12
41,VRANCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 15 FOCȘANI",14,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:02:42",1460,1454,0,6,0,598,592,0,6,0,577,21,1609,1011,298,107,47,13,26,59,27
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",28,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-11 12:30:15",1261,1249,0,12,0,461,449,0,12,0,449,12,1383,922,228,81,25,9,12,74,20
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",29,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:56:10",1550,1540,0,10,0,588,578,0,10,0,574,14,1708,1120,322,96,47,11,25,58,15
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 17",58,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:22:03",1014,1001,2,11,0,428,417,0,11,0,412,16,1106,678,204,85,26,10,14,53,20
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 18",43,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:18:10",983,976,0,7,0,524,517,0,7,0,431,18,1079,627,236,79,32,3,11,52,18
41,VRANCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 18 FOCȘANI",42,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:55:57",1369,1360,2,6,1,607,600,0,6,1,588,19,1535,926,285,140,47,20,9,67,20
41,VRANCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 8",56,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:12:17",897,885,1,11,0,400,389,0,11,0,379,21,980,559,183,80,33,6,14,52,11
41,VRANCEA,"INSPECTORATUL TERITORIAL DE MUNCĂ VRANCEA",36,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:38:36",1216,1203,0,13,0,579,566,0,13,0,558,21,1331,752,284,108,46,12,11,83,14
41,VRANCEA,"LICEUL TEHNOLOGIC ”G.G.LONGINESCU”",18,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:39",1406,1397,0,9,0,629,620,0,9,0,599,30,1536,907,253,171,63,13,27,54,18
41,VRANCEA,"LICEUL TEHNOLOGIC ”G.G.LONGINESCU”",17,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:13",730,720,2,8,0,358,350,0,8,0,348,10,795,437,162,95,23,13,9,37,9
41,VRANCEA,"SALA SPORTURILOR",35,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:24",1199,1190,2,7,0,492,485,0,7,0,476,16,1315,823,224,103,31,6,10,88,14
41,VRANCEA,"SC FREEDOM CAFE-BAR S.R.L.",59,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:50",1382,1361,1,7,13,580,560,0,7,13,567,13,1498,918,256,115,84,21,19,63,9
41,VRANCEA,"ȘCOALA GIMANZIALĂ „OANA-DIANA RENEA” FOCȘANI",32,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:03:39",652,648,0,4,0,263,259,0,4,0,256,7,724,461,125,62,23,2,8,29,7
41,VRANCEA,"ȘCOALA GIMANZIALĂ „OANA-DIANA RENEA” FOCȘANI",31,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:01",1142,1128,3,10,1,515,504,0,10,1,498,17,1271,756,246,123,48,9,8,43,21
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ADRIAN PĂUNESCU” FOCȘANI",13,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:23",1160,1153,1,6,0,486,480,0,6,0,470,16,1278,792,259,88,37,7,16,47,16
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ADRIAN PĂUNESCU” FOCȘANI",10,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:48:21",1591,1585,0,6,0,654,648,0,6,0,636,18,1755,1101,281,150,56,10,13,91,35
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ADRIAN PĂUNESCU” FOCȘANI",11,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:37",1612,1608,0,4,0,652,648,0,4,0,627,24,1780,1127,277,149,52,17,28,80,24
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ADRIAN PĂUNESCU” FOCȘANI",12,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:38:37",1559,1553,0,6,0,597,591,0,6,0,578,19,1711,1114,297,114,53,11,19,58,26
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU VLAHUŢĂ”",51,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:42:09",843,836,0,7,0,371,364,0,7,0,351,20,924,553,182,75,29,6,11,35,13
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU VLAHUŢĂ”",49,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:59:57",831,824,0,7,0,340,333,0,7,0,322,18,911,571,172,58,22,8,8,43,11
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU VLAHUŢĂ”",50,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:07",1367,1356,0,11,0,552,541,0,11,0,532,20,1499,947,278,100,47,11,17,51,28
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „DUILIU ZAMFIRESCU” FOCȘANI",39,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:56:30",1342,1332,1,9,0,592,583,0,9,0,577,12,1473,884,274,144,37,8,24,79,11
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „DUILIU ZAMFIRESCU” FOCȘANI",38,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:39:11",820,814,1,5,0,303,298,0,5,0,295,8,910,607,171,51,20,8,7,32,6
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „DUILIU ZAMFIRESCU” FOCȘANI",40,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:06",1621,1607,1,13,0,706,693,0,13,0,670,36,1779,1073,315,148,53,12,16,108,18
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ION BASGAN” FOCȘANI",20,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 19:40:05",1772,1733,7,12,20,845,813,0,12,20,825,20,1931,1086,439,167,62,19,14,90,34
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ION BASGAN” FOCȘANI",19,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:21:23",1633,1624,0,9,0,730,721,0,9,0,704,26,1798,1068,324,157,71,11,18,95,28
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",46,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:46:46",1436,1423,1,11,1,551,539,0,11,1,541,10,1578,1027,292,101,46,8,15,69,10
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",47,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:44:47",1215,1203,3,9,0,729,720,0,9,0,704,24,1325,597,353,154,53,13,20,84,27
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",44,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:46:57",1377,1368,1,8,0,540,532,0,8,0,523,17,1519,979,293,84,41,4,18,73,10
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",48,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:35:51",1552,1545,0,7,0,572,565,0,7,0,547,25,1705,1119,321,82,53,9,12,48,22
41,VRANCEA,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",45,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:44:41",1434,1419,2,13,0,584,571,0,13,0,546,38,1567,983,291,125,49,5,17,51,8
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",7,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:11:18",802,793,0,9,0,374,365,0,9,0,366,8,881,507,203,86,22,4,5,36,10
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",6,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:54:35",1115,1105,0,9,1,440,430,0,9,1,422,18,1223,783,243,89,20,6,11,42,11
41,VRANCEA,"ŞCOALA GIMNAZIALĂ „ŞTEFAN CEL MARE” FOCȘANI",5,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:09:06",1067,1059,1,7,0,449,442,0,7,0,439,10,1184,735,222,89,33,6,20,54,15
41,VRANCEA,"ȘCOALA GIMNAZIALĂ „ȘTEFAN CEL MARE” FOCȘANI",4,"MUNICIPIUL FOCŞANI",174744,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:05:39",1267,1248,8,11,0,522,511,0,11,0,505,17,1381,859,232,129,35,30,6,61,12
41,VRANCEA,"TEATRUL MUNICIPAL „MAIOR GHEORGHE PASTIA” FOCŞANI",2,"MUNICIPIUL FOCŞANI",174744,1,PART,PRCNCT,P,P_SV,"2024-06-11 18:22:03",1511,1501,4,6,0,700,694,0,6,0,671,29,1656,956,344,164,44,16,15,68,20
