precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXANDRU IONUŢ-CIPRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MINA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PETCU TOMA-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","CÂNDEA IOSIF-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUDURU CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COBZARU SILE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"CĂMINUL CULTURAL GOGOŞARI",139,GOGOŞARI,103309,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:18",605,574,0,13,18,399,368,0,13,18,387,12,633,234,2,44,322,17,1,1
19,GIURGIU,"CĂMINUL CULTURAL HULUBEŞTI",92,CĂLUGĂRENI,101662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:36:13",1248,1222,0,26,0,924,898,0,26,0,887,33,1342,422,4,257,575,37,11,3
19,GIURGIU,"CĂMINUL CULTURAL IEPUREŞTI",158,IEPUREŞTI,103693,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:26:54",1061,764,1,296,0,918,622,0,296,0,889,29,924,6,14,407,403,48,6,11
19,GIURGIU,"CĂMINUL CULTURAL LETCA NOUĂ",171,"LETCA NOUĂ",104047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:27",795,665,0,103,27,640,510,0,103,27,634,6,755,115,13,87,508,26,0,0
19,GIURGIU,"CĂMINUL CULTURAL LETCA VECHE",172,"LETCA NOUĂ",104047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:01:40",749,670,2,52,25,552,473,2,52,25,548,4,755,200,5,154,372,10,1,6
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:53:35",875,796,1,42,36,673,595,0,42,36,659,14,915,242,5,274,317,47,9,7
19,GIURGIU,"CĂMINUL CULTURAL MILCOVĂȚU",173,"LETCA NOUĂ",104047,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:45:20",1289,1109,0,148,32,1061,881,0,148,32,1023,37,1209,147,2,244,732,39,3,3
19,GIURGIU,"CĂMINUL CULTURAL OINACU",184,OINACU,104519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:28",1350,1207,2,20,121,900,759,0,20,121,872,28,1471,571,2,47,798,16,5,4
19,GIURGIU,"CĂMINUL CULTURAL REMUŞ",124,FRĂTEŞTI,102909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:35:53",1769,1632,6,91,40,1148,1017,0,91,40,1093,55,1789,641,23,173,775,76,24,22
19,GIURGIU,"CĂMINUL CULTURAL STOENEŞTI",218,STOENEŞTI,105348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:05:40",936,818,0,79,39,696,578,0,79,39,678,18,901,205,7,189,431,38,4,9
19,GIURGIU,"CANTINA DE AJUTOR SOCIAL",39,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:31:32",772,764,0,7,1,239,231,0,7,1,230,9,843,604,5,70,111,21,18,5
19,GIURGIU,"CANTINA SEMINARULUI TEOLOGIC TEOCTIST PATRIARHUL",7,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:10",839,835,0,3,1,337,333,0,3,1,326,11,925,588,19,91,148,55,7,6
19,GIURGIU,"CASA DE CULTURĂ PUTINEIU",190,PUTINEIU,104715,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:54:43",1011,900,0,98,13,814,703,0,98,13,790,24,989,175,10,255,487,19,5,14
19,GIURGIU,"CENTRUL DE ASISTENŢĂ DUPĂ PROGRAMUL ŞCOLAR, DĂRĂŞTI-VLAŞCA",66,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:04:06",1606,1589,0,16,1,867,850,0,16,1,838,29,1745,878,5,69,705,56,1,2
19,GIURGIU,"CLADIREA PRIMARIEI GHIMPATI",135,GHIMPAŢI,103238,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:11",583,481,1,45,56,424,322,1,45,56,413,11,591,167,21,27,337,24,4,0
19,GIURGIU,"CLĂDIRE DE INTERES PUBLIC",166,IZVOARELE,103899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:33:06",105,53,0,45,7,84,32,0,45,7,84,0,113,29,0,11,71,1,1,0
19,GIURGIU,"CLUBUL CADRELOR MILITARE ÎN RETRAGERE",24,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:07:01",1471,1463,0,7,1,593,585,0,7,1,571,22,1608,1015,42,160,256,52,48,13
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",45,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:43",1012,1000,6,6,0,440,433,1,6,0,421,19,1124,684,27,121,207,28,27,11
19,GIURGIU,"COLEGIUL NAŢIONAL ”ION MAIORESCU”",44,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:56:10",825,809,6,10,0,410,400,0,10,0,387,23,884,474,21,124,183,24,25,10
19,GIURGIU,"COLEGIUL TEHNIC VICEAMIRAL IOAN BĂLĂNESCU",8,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:25:19",983,974,1,8,0,393,385,0,8,0,383,10,1078,685,21,131,147,52,26,6
19,GIURGIU,"CREȘA DE COPII CU PROGRAM NORMAL",150,GREACA,103470,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:45:43",1300,1168,0,78,54,947,815,0,78,54,929,18,1353,406,25,628,39,220,5,12
19,GIURGIU,"DIRECŢIA PENTRU AGRICULTURĂ JUDEŢEANĂ",15,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:17:58",1145,1137,0,8,0,476,468,0,8,0,448,28,1264,788,25,114,240,49,16,4
19,GIURGIU,"DISPENSAR UMAN IZVORU",141,GOGOŞARI,103309,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:57",507,481,0,10,16,348,322,0,10,16,344,4,545,197,4,25,309,5,0,1
19,GIURGIU,"FOSTA PRIMĂRIE",140,GOGOŞARI,103309,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:07:42",92,83,0,6,3,75,66,0,6,3,74,1,90,15,0,24,45,3,2,0
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:34:28",124,118,0,3,3,89,83,0,3,3,88,1,130,41,2,13,62,11,0,0
19,GIURGIU,"FOSTA ŞCOALA RĂLEŞTI",142,GOGOŞARI,103309,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:08:14",129,120,0,6,3,86,77,0,6,3,85,1,131,45,1,22,55,7,0,0
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:45:03",883,874,1,7,1,433,425,0,7,1,416,17,995,562,43,128,179,30,29,7
19,GIURGIU,"GRADINITA BRĂNIŞTARI",91,CĂLUGĂRENI,101662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:11:05",563,538,2,23,0,369,346,0,23,0,326,17,590,247,6,106,168,35,3,8
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:23",930,920,1,8,1,352,343,0,8,1,331,21,1022,670,10,120,134,45,17,5
19,GIURGIU,"GRĂDINIŢA CRIVINA",54,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:17",738,724,0,6,8,368,354,0,6,8,352,16,793,425,11,72,234,32,0,3
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:10:51",1251,1142,1,60,48,1020,912,0,60,48,981,39,1294,274,2,42,903,32,0,2
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:50:08",1700,1693,0,6,1,804,797,0,6,1,778,26,1851,1047,31,211,407,69,45,15
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:00:23",888,878,1,8,1,297,287,1,8,1,274,12,971,678,19,97,94,35,17,12
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:58",968,955,0,11,2,337,324,0,11,2,319,18,1058,721,13,115,114,42,22,13
19,GIURGIU,"GRĂDINIŢĂ CU PROGRAM NORMAL",219,STOENEŞTI,105348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:18",375,295,0,55,25,326,246,0,55,25,314,11,354,29,0,28,271,10,1,4
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL CARTOJANI",198,"ROATA DE JOS",104831,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:47",743,737,0,6,0,403,397,0,6,0,387,16,810,407,8,88,253,29,8,1
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL CU 3 SĂLI DE GRUPĂ GHIMPAȚI",137,GHIMPAŢI,103238,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:03:47",1351,1202,1,35,113,828,680,0,35,113,826,2,1321,493,6,38,774,8,0,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL GRĂDIŞTEA",103,COMANA,102106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:23",1110,1043,0,19,48,693,626,0,19,48,671,22,1200,507,12,553,32,54,18,2
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 BUDENI",101,COMANA,102106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:58:26",623,577,0,28,18,380,334,0,28,18,354,11,649,269,0,286,17,45,5,1
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 PIETRIŞU",133,GĂUJANI,103194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:59:47",853,766,0,54,33,611,524,0,54,33,568,43,846,235,198,222,102,40,3,3
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 ROATA MICA",201,"ROATA DE JOS",104831,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:17",427,419,0,8,0,302,294,0,8,0,294,8,461,159,6,58,195,27,5,3
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2",155,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:29",567,515,0,49,3,435,383,0,49,3,423,12,569,134,12,155,193,41,19,3
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2 GORNENI",159,IEPUREŞTI,103693,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:47:59",458,388,0,65,5,458,388,0,65,5,427,31,466,8,6,182,187,26,8,18
19,GIURGIU,"GRADINIŢA CU PROGRAM NORMAL NR.2 PLOPŞORU",112,DAIA,102446,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:33:56",577,559,0,14,4,381,363,0,14,4,361,16,622,241,18,99,204,17,7,16
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 3",157,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:11:54",600,552,0,46,2,464,416,0,46,2,451,13,611,147,10,164,236,37,2,2
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR 3",60,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:51",1201,1137,0,64,0,906,842,0,64,0,881,25,1245,339,10,406,397,54,9,5
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 3 CETATEA",122,FRĂTEŞTI,102909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:46",439,391,1,24,23,247,200,0,24,23,238,9,427,180,5,51,152,23,2,5
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 ONCEŞTI",217,STĂNEŞTI,105295,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:23",332,279,2,29,22,219,168,0,29,22,202,17,303,84,7,38,130,17,8,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 PLOPŞORU",113,DAIA,102446,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:17:59",684,661,0,15,8,447,424,0,15,8,424,23,725,277,4,141,241,28,5,5
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 STEJARU",211,SINGURENI,105106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:05:05",587,542,0,28,17,468,423,0,28,17,450,18,600,120,3,286,108,51,2,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR.3 VALEA BUJORULUI",168,IZVOARELE,103899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:24",416,325,1,47,43,318,228,0,47,43,309,9,404,86,0,19,281,4,3,2
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 VARLAAM",68,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:47",478,465,0,13,0,236,223,0,13,0,228,8,511,275,10,23,173,19,0,3
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 BĂLANU",215,STĂNEŞTI,105295,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:50",475,443,0,23,9,296,264,0,23,9,292,4,489,193,15,49,206,18,4,0
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 4 CETATEA (BĂLĂNOAIA)",123,FRĂTEŞTI,102909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:26",248,220,0,21,7,154,126,0,21,7,148,6,240,85,0,33,95,14,4,2
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 MOGOŞEŞTI",67,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:23:43",375,366,0,9,0,220,211,0,9,0,211,9,401,181,9,36,133,28,2,3
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 POŞTA",89,BUTURUGENI,101617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:47",392,376,0,12,4,237,221,0,12,4,231,6,389,152,3,42,165,17,3,1
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 COPACIU",136,GHIMPAŢI,103238,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:15:59",720,659,1,9,51,441,380,1,9,51,438,3,724,283,3,10,419,6,0,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.6",25,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:21:59",1196,1188,2,5,1,498,492,0,5,1,477,20,2011,1514,49,143,179,70,28,8
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6",81,BUCŞANI,101378,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:56",391,357,0,30,4,311,277,0,30,4,301,10,397,86,7,54,232,6,2,0
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.8 GORNENI",14,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:36",1210,1201,0,8,1,406,397,0,8,1,371,35,1327,921,19,110,162,44,24,12
19,GIURGIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT",65,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:22",1157,1124,0,29,4,609,576,0,29,4,593,16,1230,621,19,57,470,37,4,6
19,GIURGIU,"GRĂDINIŢA DE COPII BOLINTIN - DEAL",77,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:24:13",965,947,5,8,5,488,473,2,8,5,456,32,1048,560,26,79,291,42,5,13
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:20",1106,1078,0,15,13,1106,1078,0,15,13,725,26,1191,440,186,218,224,86,7,4
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:27:22",1110,1100,0,2,8,758,748,0,2,8,738,20,1214,456,200,244,224,60,3,7
19,GIURGIU,"GRĂDINIŢA DE COPII SLOBOZIA",213,SLOBOZIA,100549,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:26:23",1105,1101,0,3,1,618,614,0,3,1,585,31,1206,590,10,420,95,35,23,2
19,GIURGIU,"GRĂDINIŢA ” IRIS” OGREZENI",182,OGREZENI,104485,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:18:39",822,784,0,24,14,564,526,0,24,14,550,14,860,296,58,140,315,29,5,3
19,GIURGIU,"GRĂDINIŢA ”MARIN MOGESCU”",225,ULMI,105623,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:54:27",458,442,0,16,0,458,442,0,16,0,441,17,715,257,41,230,32,44,87,7
19,GIURGIU,"GRADINITA NR. 2 BRANISTEA",185,OINACU,104519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:44",787,703,3,18,63,593,512,0,18,63,584,9,847,254,4,33,530,14,2,1
19,GIURGIU,"GRADINITA NR. 3 COMASCA",186,OINACU,104519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:22",549,510,0,4,35,380,341,0,4,35,330,15,560,215,1,27,289,10,1,2
19,GIURGIU,"GRADINITA NR.4 GHIONEA",226,ULMI,105623,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:04:23",464,458,0,6,0,308,302,0,6,0,296,12,505,197,38,106,29,20,95,8
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",10,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:07",1360,1349,1,10,0,522,512,0,10,0,505,17,1488,966,20,163,214,65,33,10
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",9,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:35:59",1172,1160,3,6,3,440,431,0,6,3,422,18,1280,813,17,149,185,39,23,9
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",57,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:00:59",1119,1051,3,62,3,882,817,0,62,3,867,10,1138,261,23,283,500,46,11,4
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",59,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:04:10",958,915,2,39,2,724,683,0,39,2,699,23,1009,257,17,268,346,50,7,11
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",58,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:25:37",895,842,0,52,1,700,647,0,52,1,683,17,927,124,14,245,350,20,47,7
19,GIURGIU,"LICEUL ”TUDOR VIANU”",4,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:48:27",1067,1058,0,7,2,430,421,0,7,2,410,20,1195,765,14,129,161,67,28,11
19,GIURGIU,"LICEUL ”UDRIŞTE NĂSTUREL”",156,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:15:32",621,552,0,63,6,424,355,0,63,6,404,20,610,186,14,143,205,30,9,3
19,GIURGIU,"LICEUL ”UDRISTE NASTUREL HOTARELE",154,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:44:40",1088,987,0,96,5,812,711,0,96,5,772,40,1089,277,20,392,298,46,10,6
19,GIURGIU,"LICEU TEHNOLOGIC ”DIMITRIE BOLINTINEANU”",52,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:15:03",898,886,0,9,3,507,495,0,9,3,484,23,980,473,23,85,343,24,3,6
19,GIURGIU,"PRIMĂRIA COMUNEI DAIA",111,DAIA,102446,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:14:59",250,223,0,10,17,180,153,0,10,17,173,7,264,84,1,37,122,9,3,1
19,GIURGIU,"PRIMARIA COMUNEI PRUNDU",187,PRUNDU,104680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:27",1630,1622,0,8,0,1010,1002,0,8,0,985,25,1786,776,11,79,767,111,16,1
19,GIURGIU,"PRIMĂRIA MUNICIPIULUI GIURGIU",3,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:06",1022,1014,1,7,0,394,387,0,7,0,372,22,1123,729,16,109,192,29,19,7
19,GIURGIU,"PRIMARIA SINGURENI",209,SINGURENI,105106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:00:41",1104,1021,4,47,32,783,705,0,46,32,770,13,1152,369,11,443,252,52,7,5
19,GIURGIU,PRIMĂRIE,53,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:01",1757,1727,1,10,19,828,799,0,10,19,789,39,1923,1095,53,161,509,51,10,5
19,GIURGIU,"PUNCTUL TERMIC NR. 35",34,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:10",1115,1108,1,5,1,440,434,0,5,1,425,15,1232,792,36,144,162,40,31,12
19,GIURGIU,"PUNCTUL TERMIC NR.35",35,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:32:29",856,847,0,9,0,332,323,0,9,0,322,10,847,515,10,119,140,30,17,6
19,GIURGIU,"ŞCOALA CU CLASELE I-IV IANCULEŞTI",220,STOENEŞTI,105348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:05:56",222,209,0,5,8,188,175,0,5,8,185,3,230,42,0,63,104,16,2,0
19,GIURGIU,"ŞCOALA CU CLASELE I-IV MIRĂU",221,STOENEŞTI,105348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:26:09",143,117,0,22,4,109,87,0,18,4,91,6,129,29,2,40,35,2,1,11
19,GIURGIU,"ŞCOALA DIN CETĂTUIA",132,GĂUJANI,103194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:58:28",177,132,2,30,13,138,94,1,30,13,130,8,158,20,35,53,22,15,2,3
