precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA NOI SUNTEM MANGALIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PATRIOȚILOR-voturi"
14,CONSTANŢA,"LICEUL CALLATIS",235,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:19:11",1002,979,0,11,12,471,448,0,11,12,453,18,1200,729,29,97,176,59,3,3,45,16,13,9,3
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”ION BĂNESCU”",216,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:36",1052,1040,1,6,5,520,509,0,6,5,507,13,1200,680,49,144,138,96,2,15,25,9,17,9,3
14,CONSTANŢA,"LICEUL TEHNOLOGIC ”ION BĂNESCU” MANGALIA",214,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:24",1046,1034,0,9,3,537,525,0,9,3,520,17,1100,563,39,118,146,117,2,15,31,26,13,12,1
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.1",220,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:07",1122,1107,2,10,3,585,572,0,10,3,547,38,1204,619,52,115,204,78,6,10,38,15,11,10,8
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.1",221,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:36:56",1348,1332,2,6,8,693,679,0,6,8,658,35,1500,807,51,147,263,99,6,5,40,22,10,12,3
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.2",222,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:25:09",1246,1232,0,11,3,625,611,0,11,3,585,40,1400,775,29,127,223,93,2,16,30,27,26,11,1
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.2",223,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:52",1604,1591,0,10,3,733,720,0,10,3,700,33,1600,867,49,147,255,117,10,6,59,26,20,5,6
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.3",217,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:49",1624,1601,2,8,13,835,813,1,8,13,798,26,1700,876,40,234,255,131,6,11,49,30,21,16,5
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.3",218,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:57:18",1515,1496,0,11,8,764,745,0,11,8,723,28,1500,747,43,177,262,100,9,8,58,28,19,13,6
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.5",227,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:06:18",1123,1118,0,5,0,596,591,0,5,0,577,19,1200,604,43,136,208,95,1,6,44,13,20,9,2
14,CONSTANŢA,"ȘCOALA GENERALĂ NR.5",228,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:18:39",1116,1111,1,3,1,607,603,0,3,1,592,15,1200,593,57,149,200,70,3,7,42,24,27,10,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ GALA GALACTION",229,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:16:53",1320,1308,3,8,1,731,722,0,8,1,714,17,1600,869,81,167,216,113,11,12,45,25,23,16,5
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 1",226,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:44:11",1183,1170,0,11,2,558,545,0,11,2,502,54,1300,742,15,166,196,63,3,7,17,9,19,3,4
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 1",225,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:42:42",1233,1221,2,8,2,671,661,0,8,2,652,19,1300,627,32,183,248,103,2,3,39,14,15,6,7
14,CONSTANŢA,"SEDIU S.C. ECO GOLD S.A.",224,"MUNICIPIUL MANGALIA",60482,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:00",1535,1520,1,11,3,837,822,1,11,3,814,23,1700,863,41,196,297,126,15,10,43,11,41,22,12
14,CONSTANŢA,"SPAŢIU DESTINAT ACTIVITĂŢILOR CULTURALE (FOSTA BIBLIOTECĂ FRANCEZĂ ARTHUR RIMBAUD)",231,"MUNICIPIUL MANGALIA",60482,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:11:06",1170,1155,3,9,3,624,612,0,9,3,608,16,1300,676,56,130,230,98,4,2,48,15,12,10,3
