precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ JIBLEA VECHE",144,"ORAŞ CĂLIMĂNEŞTI",167909,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:04:20",975,971,0,3,1,475,471,0,3,1,428,47,1070,595,82,267,11,27,21,7,4,0,1,8
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ JIBLEA VECHE",145,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:16:19",978,968,3,6,1,526,519,0,6,1,490,36,1052,526,130,279,8,29,20,3,4,1,4,12
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ LĂUNELE DE JOS",212,DĂNICEI,169404,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:24:34",352,322,0,25,5,276,246,0,25,5,258,18,370,94,70,159,0,11,13,1,1,0,1,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MALAIA",281,MALAIA,171021,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:23:32",945,861,0,62,22,704,620,0,62,22,681,23,950,246,185,360,1,33,28,44,3,2,4,21
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MATEEŞTI",284,MATEEŞTI,171067,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:14:01",1081,1003,2,37,39,743,667,0,37,39,698,45,1150,407,115,515,1,25,17,4,2,3,4,12
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",57,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:19:17",1347,1337,0,10,0,679,669,0,10,0,669,10,1530,851,100,345,3,104,61,19,12,3,4,18
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",58,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:48:42",1085,1075,1,9,0,456,447,0,9,0,438,18,1210,754,74,232,1,53,26,28,1,4,3,16
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",56,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 12:50:18",1180,1170,0,10,0,560,550,0,10,0,539,21,1300,740,105,266,1,55,54,29,4,4,3,18
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MOLOGEŞTI",263,LALOŞU,170612,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:45:30",538,496,1,36,5,379,337,1,36,5,363,16,552,173,30,208,1,40,8,71,0,0,0,5
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.1",397,ŞTEFĂNEŞTI,173748,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:51:21",553,473,0,41,39,419,339,0,41,39,400,19,560,141,59,273,1,23,30,0,1,0,3,10
