precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL OLTENILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
17,DOLJ,"CAMIN CULTURAL TÂRNAVA",462,RADOVAN,73852,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:13:31",192,152,1,32,7,127,87,1,32,7,118,9,200,73,37,71,6,1,1,1,1
17,DOLJ,"CAMINUL CULTURAL",286,CASTRANOVA,71572,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:20:34",1583,1493,1,46,43,1120,1030,1,46,43,1120,0,1601,481,583,420,46,0,0,0,71
17,DOLJ,"CAMINUL CULTURAL",401,"MĂCEŞU DE SUS",73013,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:40:45",1011,897,0,114,0,758,644,0,114,0,720,38,994,236,336,335,19,2,19,6,3
17,DOLJ,"CAMINUL CULTURAL",352,GALICIUICA,74891,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:30:32",1143,1099,2,6,36,785,741,2,6,36,739,46,1205,420,249,363,73,10,22,0,22
17,DOLJ,"CAMINUL CULTURAL",242,BÂRCA,70940,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:51:51",1732,1614,1,87,30,979,862,0,87,30,882,97,1834,855,429,395,19,3,25,3,8
17,DOLJ,"CĂMINUL CULTURAL",355,GHERCEŞTI,72409,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:19:16",1162,1041,0,111,10,886,765,0,111,10,857,29,1138,252,137,521,68,12,44,5,70
17,DOLJ,"CĂMINUL CULTURAL",276,BULZEŞTI,71340,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:19",601,575,0,4,22,395,369,0,4,22,347,25,644,229,67,228,30,1,5,4,12
17,DOLJ,"CĂMINUL CULTURAL",234,"AMĂRĂŞTII DE SUS",70673,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:06:43",1356,1194,0,104,58,1061,899,0,104,58,1055,6,1382,321,146,895,5,0,7,0,2
17,DOLJ,"CĂMINUL CULTURAL",358,GHIDICI,74907,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:34:45",1849,1728,1,8,112,884,763,1,8,112,852,32,2038,1154,38,782,24,0,0,2,6
17,DOLJ,"CĂMINUL CULTURAL",489,"SILIŞTEA CRUCII",74224,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:48:09",1234,1097,1,63,73,881,744,1,63,73,813,67,1283,403,332,384,52,0,17,10,18
17,DOLJ,"CĂMINUL CULTURAL",337,DOBROTEŞTI,74883,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:57:03",1457,1298,0,70,89,1019,860,0,70,89,960,58,1420,402,344,557,21,0,10,2,26
17,DOLJ,"CĂMINUL CULTURAL",282,CARAULA,71518,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:27",979,876,0,62,41,718,615,0,62,41,656,26,1003,321,35,501,108,0,10,0,2
17,DOLJ,"CĂMINUL CULTURAL",248,BOTOŞEŞTI-PAIA,70968,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:38:42",700,513,0,148,39,570,383,0,148,39,540,24,687,117,153,323,30,2,2,1,29
17,DOLJ,"CĂMINUL CULTURAL",317,"COŢOFENII DIN DOS",71910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:04",883,811,0,46,26,665,594,0,46,25,631,34,867,202,139,412,50,0,11,3,16
17,DOLJ,"CĂMINUL CULTURAL",230,"AMĂRĂŞTII DE JOS",70637,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:23",1209,1073,1,93,42,870,735,0,93,42,850,20,1189,319,243,494,62,9,19,2,21
17,DOLJ,"CAMINUL CULTURAL BASARABI (DIN CADRUL CASEI DE CULTURA CALAFAT )",197,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:56:35",840,826,4,8,2,525,515,0,8,2,510,15,1000,475,159,308,25,1,7,0,10
17,DOLJ,"CĂMINUL CULTURAL BISTREȚ",244,BISTREŢ,70897,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:39:47",1054,1010,0,29,15,607,563,0,29,15,578,29,1133,526,253,287,19,1,18,0,0
17,DOLJ,"CAMINUL CULTURAL BOURENI",226,AFUMAŢI,70520,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:20",824,777,0,29,18,559,512,0,29,18,532,27,900,341,261,215,22,5,16,1,12
17,DOLJ,"CĂMINUL CULTURAL BRABOVA",249,BRABOVA,70986,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:24:43",477,410,1,48,18,361,295,0,48,18,330,31,424,63,75,237,11,0,5,0,2
17,DOLJ,"CĂMINUL CULTURAL CARPEN",284,CARPEN,71536,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:57",685,613,0,54,18,499,427,0,54,18,478,21,745,246,59,403,1,0,0,0,15
17,DOLJ,"CĂMINUL CULTURAL CERĂT",299,CERĂT,71698,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:50",1992,1974,0,8,10,1004,986,0,8,10,922,82,2156,1152,205,622,77,0,9,0,9
17,DOLJ,"CĂMINUL CULTURAL CETATE",306,CETATE,71787,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:30",1412,1316,1,14,81,702,608,0,14,80,702,0,1600,898,4,677,14,0,7,0,0
17,DOLJ,"CAMINUL CULTURAL CIUPERCENII VECHII ( DIN CADRUL CASEI DE CULTURA CALAFAT )",198,"MUNICIPIUL CALAFAT",70352,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:20:24",1719,1712,1,3,3,948,942,0,3,3,932,16,1900,952,438,442,31,2,10,0,9
17,DOLJ,"CĂMINUL CULTURAL CLEANOV",285,CARPEN,71536,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:40",1005,945,1,28,31,628,568,1,28,31,563,36,1100,501,76,460,9,0,4,4,10
17,DOLJ,"CAMINUL CULTURAL COVEI",227,AFUMAŢI,70520,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:17:53",382,358,0,18,6,241,217,0,18,6,238,3,400,159,71,157,6,0,4,0,0
17,DOLJ,"CĂMINUL CULTURAL DAMIAN",475,SADOVA,73996,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:23",1371,1337,1,18,15,864,830,1,18,15,815,49,1500,636,368,331,79,0,16,0,21
17,DOLJ,"CĂMINUL CULTURAL DESA",328,DESA,72034,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:23:56",1515,1433,1,4,77,1118,1037,0,4,77,1117,1,1700,582,460,596,61,0,0,0,0
17,DOLJ,"CAMINUL CULTURAL DRANIC",343,DRĂNIC,72221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:18:53",828,789,0,30,9,582,543,0,30,9,559,23,908,326,28,478,34,1,13,1,4
17,DOLJ,"CĂMINUL CULTURAL GIGHERA",360,GIGHERA,72463,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:15:51",996,949,0,20,27,530,483,0,20,27,500,30,1023,493,37,440,12,0,6,1,4
17,DOLJ,"CĂMINUL CULTURAL GOGOŞU",368,GOGOŞU,72604,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:59:17",154,131,0,18,5,128,105,0,18,5,115,7,165,38,82,32,0,1,0,0,0
17,DOLJ,"CĂMINUL CULTURAL ÎNTORSURA",385,ÎNTORSURA,74923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:29:07",1196,1148,2,17,29,789,741,2,17,29,751,38,1285,496,358,367,11,1,13,0,1
17,DOLJ,"CĂMINUL CULTURAL MÂRZA",478,SĂLCUŢA,74028,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:10:47",440,431,0,9,0,165,156,0,9,0,148,17,500,335,16,116,5,1,1,0,9
17,DOLJ,"CĂMINUL CULTURAL MELINEŞTI",405,MELINEŞTI,73102,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:01",950,896,0,35,19,618,564,0,35,19,589,29,961,343,226,310,33,1,11,4,4
17,DOLJ,"CĂMINUL CULTURAL OSTROVENI",428,OSTROVENI,73567,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:03:02",1070,1017,2,35,16,671,620,0,35,16,621,50,1119,448,135,432,27,2,9,2,14
17,DOLJ,"CAMINUL CULTURAL PISCU VECHI",438,"PISCU VECHI",73665,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:38",937,882,0,12,43,579,524,0,12,43,570,9,1000,421,42,510,14,0,4,0,0
17,DOLJ,"CĂMINUL CULTURAL POPÂNZĂLEȘTI",341,DRĂGOTEŞTI,72150,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:05",494,436,0,38,20,388,330,0,38,20,373,15,500,112,103,192,20,2,14,5,37
17,DOLJ,"CĂMINUL CULTURAL RĂCHITA DE JOS",251,BRABOVA,70986,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:53",241,174,0,65,2,241,174,0,65,2,219,2,265,29,83,135,1,0,0,0,0
17,DOLJ,"CĂMINUL CULTURAL TEASC",502,TEASC,74322,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:11:20",1336,1297,0,15,24,974,935,0,15,24,931,43,1404,430,321,449,75,0,25,2,59
17,DOLJ,"CĂMINUL CULTURAL URDINIȚA",252,BRABOVA,70986,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:21",242,200,0,41,1,177,135,0,41,1,168,8,220,44,78,73,12,0,3,2,0
17,DOLJ,"CASA DE CULTURA A STUDENŢILOR",2,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:43:41",1380,1326,44,10,0,519,508,1,10,0,500,19,1400,881,64,198,77,19,23,8,111
17,DOLJ,"CENTRUL AFTER SCHOOL CERNĂTEȘTI",301,CERNĂTEŞTI,71723,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:05:40",362,347,0,4,11,246,231,0,4,11,222,22,385,141,19,170,24,1,4,0,4
17,DOLJ,"CENTRUL CULTURAL",292,CÂRCEA,74859,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:02:41",2105,1946,12,107,40,1369,1221,1,107,40,1345,24,2083,714,174,983,40,7,29,6,106
17,DOLJ,"CENTRUL MULTIFUNCȚIONAL DESA",329,DESA,72034,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:31",1171,1144,0,7,20,525,499,0,7,19,499,26,1300,775,206,270,20,1,1,0,1
17,DOLJ,"CENTRUL SOCIAL",371,GOICEA,72640,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:51:21",1176,1035,1,86,54,780,651,0,86,43,681,60,1189,448,288,339,26,2,13,0,13
17,DOLJ,"CENTRUL SOCIAL CARAULA",283,CARAULA,71518,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:57:47",1010,972,0,17,21,451,413,0,17,21,404,47,1100,649,13,334,49,1,4,0,3
17,DOLJ,"CLUB CAMIN CULTURAL DIOSTI",330,DIOŞTI,72052,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:14",938,903,0,6,29,550,515,0,6,29,487,52,960,421,104,310,34,2,16,5,16
17,DOLJ,"CLUBUL COPIILOR",224,"ORAŞ ŞEGARCEA",70502,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:15:43",1666,1641,0,22,3,1045,1020,0,22,3,965,80,1800,755,503,446,13,3,0,0,0
17,DOLJ,"CLUBUL COPIILOR DABULENI",204,"ORAŞ DĂBULENI",72007,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:40:23",1405,1355,0,12,38,925,875,0,12,38,901,24,1500,575,436,373,49,9,9,3,22
17,DOLJ,"COLEGIUL NAŢIONAL ”CAROL I”",61,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:40:55",854,830,16,8,0,409,401,0,8,0,396,13,1002,593,50,164,60,5,4,9,104
17,DOLJ,"COLEGIUL NAȚIONAL ”CAROL I”",62,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:34:54",1267,1238,20,9,0,459,450,0,9,0,436,23,1401,942,70,174,50,9,17,8,108
17,DOLJ,"COLEGIUL NAŢIONAL ECONOMIC ”GHEORGHE CHIŢU”",47,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:22:25",1505,1444,23,7,31,622,585,0,7,30,610,11,1600,979,69,287,81,9,25,14,125
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",46,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:21:19",1271,1229,1,8,33,478,441,0,8,29,445,20,1400,935,62,202,80,12,27,4,58
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",45,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:08:52",1321,1282,7,10,22,519,489,0,10,20,501,18,1500,981,65,244,70,9,21,6,86
17,DOLJ,"COLEGIUL NAŢIONAL ”ELENA CUZA”",1,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:26:54",1598,1564,22,12,0,468,456,0,12,0,445,23,1644,1176,86,180,49,11,11,14,94
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",53,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:01:56",1635,1616,5,7,7,679,665,0,7,7,667,12,1900,1221,99,341,78,16,22,3,108
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",52,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:23:50",1778,1770,0,8,0,710,702,0,8,0,698,12,2000,1290,88,329,78,16,27,10,150
17,DOLJ,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU”",125,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:18:34",1558,1526,21,11,0,693,682,0,11,0,671,22,1700,1007,97,298,91,8,28,9,140
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",115,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:03:39",1552,1527,18,7,0,670,663,0,7,0,646,24,1700,1030,95,321,65,6,24,9,126
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",114,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:20:58",1886,1876,3,7,0,697,688,2,7,0,638,59,2000,1303,98,272,96,13,33,8,118
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENITESCU”",103,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:32",1440,1422,12,6,0,595,589,0,6,0,584,11,1700,1105,84,269,98,9,18,1,105
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",106,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:50:26",1512,1502,1,9,0,587,578,0,9,0,560,27,1700,1113,67,269,69,11,34,6,104
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",104,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:27:31",1773,1761,6,6,0,677,671,0,6,0,652,25,2000,1323,73,305,104,19,26,5,120
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",107,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:51:39",1514,1508,0,6,0,522,516,0,6,0,505,17,1700,1178,72,250,71,8,20,13,71
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",105,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:33",1423,1412,1,10,0,532,522,0,10,0,509,23,1600,1068,65,277,66,10,25,10,56
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",69,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:55",1645,1638,0,7,0,608,601,0,7,0,583,25,1800,1192,79,288,76,6,32,16,86
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",68,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:14",1738,1732,0,6,0,579,573,0,6,0,574,5,2000,1421,66,329,102,11,31,1,34
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",67,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:18:54",1724,1720,0,4,0,656,652,0,4,0,627,9,1900,1264,97,303,87,9,22,3,106
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",112,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:20:19",1537,1512,5,9,11,614,594,0,9,11,595,19,1600,986,77,298,93,14,16,5,92
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",113,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:51:48",1190,1181,2,7,0,516,509,0,7,0,497,19,1150,634,48,240,74,10,18,6,101
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",111,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:48:02",1525,1520,0,5,0,668,663,0,5,0,624,31,1600,940,79,328,77,16,16,4,104
17,DOLJ,"CONSILIUL LOCAL AFUMATI",225,AFUMAŢI,70520,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:09",972,866,0,70,36,671,565,0,70,36,646,25,896,225,95,493,30,1,14,3,10
17,DOLJ,"CONTAINER MODULAR",304,CERNĂTEŞTI,71723,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:50:14",335,327,0,1,7,219,211,0,1,7,196,23,400,181,42,131,15,1,5,0,2
17,DOLJ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ CRAIOVA CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE ”CLUBUL SENIORILOR”",40,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:17:26",874,868,0,6,0,339,333,0,6,0,328,11,1000,661,42,159,63,7,10,2,45
17,DOLJ,"DISPENSAR UMAN",513,ŢUGLUI,74509,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:22:03",227,217,0,10,0,140,130,0,10,0,128,12,278,138,38,63,24,1,1,0,1
17,DOLJ,"FACULTATEA DE AGRONOMIE",64,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:55:37",1683,1663,13,6,1,720,713,0,6,1,690,30,1900,1180,119,284,81,15,17,9,165
17,DOLJ,"FACULTATEA DE AGRONOMIE",63,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:56:45",1978,1948,6,24,0,690,666,0,24,0,652,38,2200,1510,86,307,98,11,36,9,105
17,DOLJ,"FACULTATEA DE MECANICĂ",162,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:56:50",991,912,4,75,0,486,411,0,75,0,469,17,1000,514,81,192,54,12,21,3,106
17,DOLJ,"GRADINITA ”ALBA CA ZAPADA”",443,PLENIŢA,73709,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:15:57",1064,1012,0,13,39,620,568,0,13,39,590,30,1100,474,211,302,21,2,22,2,30
17,DOLJ,"GRĂDINIŢA BALOTA DE JOS",419,MURGAŞI,73371,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:22",748,695,1,29,23,492,440,0,29,23,484,8,769,277,76,360,28,5,10,0,5
17,DOLJ,"GRĂDINIȚA BISTRETU NOU",246,BISTREŢ,70897,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:34",628,594,0,28,6,304,270,0,28,6,283,21,700,396,60,198,10,1,13,0,1
17,DOLJ,"GRADINITA CU POGRAM NORMAL POTMELTU",319,"COŢOFENII DIN DOS",71910,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:00:34",424,398,0,8,18,312,286,0,8,18,302,10,500,188,69,202,10,2,14,1,4
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL",533,VERBIŢA,74705,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:42",385,367,0,7,11,256,238,0,7,11,212,28,400,160,47,124,36,1,0,0,4
