precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUNCACIU SORIN-TITUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOCANU ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMAŞCANU LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂDUROIU VIOREL-MIRCEA-PARTIDUL S.O.S. ROMÂNIA-voturi","BĂDULESCU DORIN-VALERIU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMINUL CULTURAL DIN SATUL ZĂRNEŞTI SLĂNIC",197,CERNĂTEŞTI,46019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:29:39",1053,1043,0,6,4,604,594,0,6,4,589,15,1200,596,38,44,453,35,19
10,BUZĂU,"CĂMINUL CULTURAL LANURILE",425,ZIDURI,50479,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:05",551,527,0,0,24,334,312,0,0,22,325,9,568,227,19,36,249,3,18
10,BUZĂU,"CĂMINUL CULTURAL LUCIU",264,LUCIU,47300,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:53",1529,1517,0,7,5,844,832,0,7,5,794,50,1600,756,56,35,639,37,27
10,BUZĂU,"CAMINUL CULTURAL LUNCA",135,AMARU,44863,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:00:01",285,274,0,9,2,156,145,0,9,2,151,5,300,144,10,25,112,1,3
10,BUZĂU,"CAMINUL CULTURAL MOŞEŞTI",333,ROBEASCA,49019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:26",247,211,0,8,28,161,125,0,8,28,155,6,264,103,9,10,132,2,2
10,BUZĂU,"CĂMINUL CULTURAL MURGEȘTI",292,MURGEŞTI,47818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:29",700,665,0,14,21,524,489,0,14,21,499,25,727,203,35,57,380,12,15
10,BUZĂU,"CĂMINUL CULTURAL MUSCELUL CĂRĂMĂNEŞTI",221,COLŢI,46439,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:02:22",62,54,0,8,0,42,34,0,8,0,39,3,65,23,1,5,28,0,5
10,BUZĂU,"CĂMINUL CULTURAL PADINA",299,PADINA,48138,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:49:42",801,794,1,0,6,416,410,0,0,6,395,21,881,465,25,170,151,7,42
10,BUZĂU,"CAMINUL CULTURAL PINU",170,BRĂEŞTI,45539,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:26:01",254,231,0,7,16,178,155,0,7,16,171,7,281,103,6,19,129,2,15
10,BUZĂU,"CĂMINUL CULTURAL PÎRSCOV",306,PÂRSCOV,48557,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:35",1185,1167,2,11,5,683,666,1,11,5,655,28,1270,587,51,206,321,22,55
10,BUZĂU,"CĂMINUL CULTURAL PÎRSCOV",305,PÂRSCOV,48557,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:37",1219,1207,1,8,3,634,622,1,8,3,603,31,1326,692,37,210,295,29,32
10,BUZĂU,"CĂMINUL CULTURAL SĂRULEŞTI",350,SĂRULEŞTI,49233,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:23",984,984,0,0,0,543,543,0,0,0,503,40,1079,536,29,42,369,22,41
10,BUZĂU,"CĂMINUL CULTURAL SAT FURTUNEŞTI",255,"GURA TEGHII",47079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:39",714,699,0,5,10,462,447,0,5,10,438,24,780,318,77,102,158,8,93
10,BUZĂU,"CAMINUL CULTURAL SAT GRAJDANA",373,TISĂU,49643,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:19",824,818,0,2,4,495,489,0,2,4,474,21,911,416,41,87,319,14,13
10,BUZĂU,"CAMINUL CULTURAL SATUL GURA TEGHII",254,"GURA TEGHII",47079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:33:28",1080,1050,2,11,17,741,713,0,11,17,736,5,1180,439,189,145,283,14,105
10,BUZĂU,"CĂMINUL CULTURAL SOREŞTI",160,BLĂJANI,45334,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:48",234,205,0,17,12,197,168,0,17,12,196,1,240,43,12,15,145,4,20
10,BUZĂU,"CĂMINUL CULTURAL TRESTIA",230,COZIENI,46554,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:01:34",300,282,0,16,2,200,182,0,16,2,194,6,310,110,13,61,100,9,11
10,BUZĂU,"CĂMINUL CULTURAL VALEA SALCIEI",401,"VALEA SALCIEI",50068,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:17",549,512,0,6,31,436,399,0,6,31,354,14,563,105,9,158,160,6,21
10,BUZĂU,"CĂMINUL CULTURAL VISPEȘTI",173,BREAZA,45619,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:57:08",542,541,0,0,1,277,276,0,0,1,264,13,593,316,27,43,144,15,35
10,BUZĂU,"CĂMINUL CULTURAL ZOIŢA",426,ZIDURI,50479,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:13:55",434,426,0,4,4,259,252,0,4,3,240,19,428,169,7,83,129,9,12
10,BUZĂU,"CĂMINUL DE NUNTI SMEENI",363,SMEENI,49545,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:37",1125,1121,0,4,0,582,578,0,4,0,545,37,1200,618,53,36,399,17,40
10,BUZĂU,"CAMPUS PENTRU COPII SF.SAVA - RECEA",157,BISOCA,45245,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:13:58",715,712,0,1,2,421,418,0,1,2,407,14,750,329,18,33,343,6,7
10,BUZĂU,"CANTINA DE AJUTOR SOCIAL",96,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:10",1200,1195,0,5,0,539,534,0,5,0,509,30,1300,761,57,65,311,39,37
10,BUZĂU,"CASA DE CULTURĂ AMARU",132,AMARU,44863,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:57:08",903,886,1,2,14,553,537,0,2,14,518,35,972,419,52,68,344,22,32
10,BUZĂU,"CASA DE CULTURĂ BERCA-PARTER",145,BERCA,45101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:18:38",1214,1206,0,7,1,652,644,0,7,1,629,23,1253,601,36,30,472,18,73
10,BUZĂU,"CASA DE CULTURĂ GEORGE BĂICULESCU NEHOIU",102,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:10",1088,1071,4,6,7,592,580,0,5,7,556,36,1200,608,48,51,350,23,84
10,BUZĂU,"CASA PRAZNICALĂ A PAROHIEI MIEREA",406,VERNEŞTI,50102,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:36",396,390,0,6,0,204,198,0,6,0,197,7,440,236,26,15,128,12,16
10,BUZĂU,"CENTRU CULTURAL CHIRLEȘTI",111,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:38",649,645,0,4,0,394,390,0,4,0,389,5,720,326,32,22,250,16,69
10,BUZĂU,"CENTRU CULTURAL LUNCA PRIPORULUI",113,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:48:04",569,553,0,4,12,366,350,0,4,12,347,19,630,264,46,40,186,16,59
10,BUZĂU,"CENTRU EDUCAȚIONAL MULTIFUNCȚIONAL ”ÎMPREUNĂ”",287,MIHĂILEŞTI,47578,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:31",947,894,0,8,45,591,538,0,8,45,561,30,1032,441,48,92,388,23,10
10,BUZĂU,"CENTRUL DE RECUPERARE PENTRU COPII CU DIZABILITĂŢI",81,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:27:50",1884,1874,5,5,0,842,837,0,5,0,808,34,2100,1258,77,138,494,38,61
10,BUZĂU,"CENTRUL DE ZI « DOAMNA NEAGA » PENTRU COPII CU VÂRSTE CUPRINSE ÎNTRE 3-6 ANI",209,CISLĂU,46313,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:45:10",620,604,0,8,8,389,373,0,8,8,375,14,666,277,11,158,191,5,10
10,BUZĂU,"CLĂDIREA FOSTA SECŢIE CONFECŢIONAT ÎNCĂLŢĂMINTE DÂMBOVIŢA (LÂNGĂ BISERICA ORTODOXĂ) STR. VALEA NEHOIULUI",106,"ORAŞ NEHOIU",47916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:23:00",514,490,1,5,18,312,289,0,5,18,298,14,560,248,19,24,217,9,29
10,BUZĂU,"CLĂDIREA GRĂDINIŢEI CU PROGRAM NORMAL",335,RUŞEŢU,49046,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:54:12",884,868,0,8,8,598,582,0,8,8,529,69,987,389,31,168,229,23,78
10,BUZĂU,"CLĂDIRE CĂMIN CULTURAL CLONDIRU",389,ULMENI,49894,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:19:16",1287,1241,2,10,34,845,803,0,10,32,787,58,1366,515,45,322,312,40,68
10,BUZĂU,"CLĂDIRE CĂMIN CULTURAL SAT LOPĂTARI",259,LOPĂTARI,47186,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:25:58",845,812,0,3,30,606,573,0,3,30,593,13,930,324,16,67,353,8,149
10,BUZĂU,"CLĂDIRE SALA DE EDUCAȚIE FIZICĂ ȘCOLARA ULMENI",388,ULMENI,49894,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:03:33",1240,1219,1,9,11,684,664,0,9,11,645,39,1286,602,54,187,343,32,29
10,BUZĂU,"CLĂDIRE SEDIUL ADMINISTRATIV",206,CILIBIA,46251,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:34:49",1230,1176,5,25,24,850,801,0,25,24,785,65,1313,463,94,267,259,13,152
10,BUZĂU,"CLUBUL COPIILOR POGOANELE",129,"ORAŞ POGOANELE",48744,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:36:59",1425,1374,0,14,37,914,863,0,14,37,887,27,1510,596,245,117,411,32,82
10,BUZĂU,"CLUBUL PRIMĂRIEI BOLDU",161,BOLDU,45361,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:29",932,911,0,5,16,595,574,0,5,16,573,22,947,352,24,98,386,25,40
10,BUZĂU,"COLEGIUL ECONOMIC ”REGELE MIHAI I”",57,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:21:19",1052,1042,5,5,0,443,438,0,5,0,423,20,1100,657,29,47,247,24,76
10,BUZĂU,"COLEGIUL NAŢIONAL ”ALEXANDRU VLAHUŢĂ”",89,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:18",1043,1033,0,9,1,432,422,0,9,1,406,26,1100,668,31,55,243,29,48
10,BUZĂU,"COLEGIUL NAŢIONAL ”ALEXANDRU VLAHUŢĂ”",90,"MUNICIPIUL RÂMNICU SĂRAT",44845,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:29:31",1220,1204,6,8,2,530,520,0,8,2,492,35,1300,773,38,90,282,37,45
10,BUZĂU,"COLEGIUL NAȚIONAL ”B. P. HASDEU”",34,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:20:37",1347,1338,4,0,5,608,599,4,0,5,574,34,1500,892,52,59,314,35,114
10,BUZĂU,"COLEGIUL NAȚIONAL ”MIHAI EMINESCU”",75,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:01",1742,1733,0,9,0,567,558,0,9,0,529,38,1900,1333,66,110,226,69,58
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",47,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:25:19",1535,1522,2,11,0,617,606,0,11,0,601,16,1700,1083,53,55,315,23,155
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",49,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:21:19",1227,1217,3,7,0,494,487,0,7,0,470,24,1400,906,28,30,296,32,84
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",48,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:30",1114,1110,2,2,0,495,493,0,2,0,477,18,1200,705,37,17,292,23,108
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",50,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:44:52",1544,1535,1,8,0,641,633,0,8,0,619,22,1700,1059,55,42,372,37,113
10,BUZĂU,"COLEGIUL UNIVERSITAR ECONOMIC",13,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:54:25",1555,1553,1,1,0,676,675,0,1,0,660,16,1800,1124,41,59,408,40,112
10,BUZĂU,"FOSTUL MAGAZIN TRESTIENI",310,PÂRSCOV,48557,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:23:32",33,23,0,10,0,17,7,0,10,0,17,0,50,33,1,3,10,0,3
10,BUZĂU,"GRĂDINIŢA CAŞOTA",246,GLODEANU-SILIŞTEA,46910,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:25:21",265,259,0,5,1,160,154,0,5,1,157,3,290,130,34,12,97,9,5
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL",123,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:26",363,361,0,2,0,194,192,0,2,0,187,7,397,203,23,44,99,7,14
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL",126,"ORAŞ PĂTÂRLAGELE",48325,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:32",520,515,0,5,0,323,318,0,5,0,310,13,566,243,30,63,198,8,11
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL",242,"GLODEANU SĂRAT",46867,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:40:19",474,463,1,7,3,344,333,1,7,3,322,22,510,166,28,117,156,12,9
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL BRĂGĂREASA",360,SCUTELNICI,49439,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:52:40",520,483,0,18,19,341,304,0,18,19,333,8,530,189,5,18,286,17,7
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL BUDA",174,BUDA,45673,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:34:58",831,789,0,4,38,569,527,0,4,38,552,17,910,341,27,114,313,17,81
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL BUDIȘTENI",223,COSTEŞTI,46484,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:32:54",379,376,0,3,0,219,216,0,3,0,214,5,410,191,26,32,147,4,5
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL CĂPĂŢÂNEŞTI",271,MĂRĂCINENI,47373,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:13:31",1633,1626,0,7,0,870,863,0,7,0,848,22,1790,920,73,73,595,35,72
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL CĂPĂȚÂNEȘTI",270,MĂRĂCINENI,47373,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:39",1549,1540,4,3,2,827,822,0,3,2,790,37,1710,883,63,55,584,25,63
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL CERNATESTI",194,CERNĂTEŞTI,46019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:27:43",875,865,0,2,8,459,449,0,2,8,448,10,926,468,35,54,314,12,33
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL CHIOJDU",200,CHIOJDU,46180,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:07:23",854,806,5,11,32,525,483,0,11,31,512,13,885,360,35,46,389,4,38
10,BUZĂU,"GRADINIŢĂ CU PROGRAM NORMAL COMUNA TISAU",378,TISĂU,49643,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:52:11",597,585,2,2,8,380,368,2,2,8,361,19,648,268,25,50,238,8,40
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL DÂMBROCA",342,SĂGEATA,49073,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:16",1016,966,0,7,43,675,625,0,7,43,662,13,1060,385,174,48,386,24,30
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL DEDULEŞTI",382,TOPLICENI,49769,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:54",756,729,1,16,10,474,447,1,16,10,423,31,790,316,42,43,283,27,28
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL DIN SATUL ŞARÎNGA",312,PIETROASELE,48487,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:37:10",1153,1100,4,17,32,634,584,1,17,32,610,24,1211,577,38,33,321,16,202
10,BUZĂU,"GRADINITA CU PROGRAM NORMAL ILEANA",243,"GLODEANU SĂRAT",46867,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:29:18",329,316,0,13,0,235,222,0,13,0,217,18,351,116,12,86,77,12,30
10,BUZĂU,"GRĂDINIŢA CU PROGRAM NORMAL LIMPEZIŞ",291,"MOVILA BANULUI",47774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:26:43",790,765,1,7,17,562,538,0,7,17,541,21,860,298,33,25,447,23,13
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL LIPIA",283,MEREI,47453,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:28",1594,1552,1,19,22,973,931,1,19,22,948,19,1730,763,65,64,732,38,49
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL MITROPOLIA",166,BRĂDEANU,45496,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:50:27",320,317,0,3,0,215,212,0,3,0,208,7,350,135,5,86,110,4,3
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL MOISICA",368,SMEENI,49545,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:26:46",284,279,0,4,1,148,143,0,4,1,141,7,300,152,9,13,102,9,8
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL MOVILA BANULUI",289,"MOVILA BANULUI",47774,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:18",979,970,0,0,9,635,626,0,0,9,617,18,1091,456,35,59,490,23,10
