precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"GRADINIŢA CU PROGRAM PRELUNGIT ”HÓFEHÉRKE”",18,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:27",659,629,0,9,21,369,339,0,9,21,364,5,700,331,5,9,5,324,7,7,7
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",45,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:31:54",1011,997,3,5,6,375,364,0,5,6,361,14,1100,725,20,18,18,263,29,11,2
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”NAPSUGÁR”",46,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 14:42:07",1093,1086,2,3,2,409,404,0,3,2,401,8,1200,791,27,33,25,247,58,8,3
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",37,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:58:14",777,771,0,5,1,317,311,0,5,1,312,5,800,483,11,10,7,264,11,1,8
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCCHIO”",38,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:52",1242,1230,1,8,3,504,493,0,8,3,498,6,1400,896,47,46,31,317,37,8,12
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",22,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:09:51",759,736,2,8,13,384,363,0,8,13,377,7,800,416,3,7,11,330,0,8,18
15,COVASNA,"LICEUL DE ARTE ”PLUGOR SÁNDOR”",21,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:32:28",1025,992,5,14,14,560,530,2,14,14,549,11,1100,540,11,20,10,455,13,14,26
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",6,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 14:53:25",816,797,4,12,3,353,338,0,12,3,336,17,900,547,21,25,19,249,8,8,6
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",8,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:18",1004,987,9,6,2,476,468,0,6,2,468,8,1100,624,19,40,25,350,13,8,13
15,COVASNA,"LICEUL TEHNOLOGIC ECONOMIC, ADMINISTRATIV ”BERDE ÁRON”",7,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:25",1006,992,4,9,1,469,459,0,9,1,462,7,1100,631,27,26,25,322,39,5,18
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",29,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:25:41",1436,1424,4,2,6,635,627,0,2,6,623,12,1600,965,24,46,21,464,46,13,9
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",31,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:41",1231,1216,5,5,5,540,529,1,5,5,532,8,1400,860,24,43,20,393,37,4,11
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",30,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:27",1126,1112,0,11,3,477,463,0,11,3,474,3,1200,723,20,18,15,381,25,8,7
15,COVASNA,"LICEUL TEHNOLOGIC ”PUSKÁS TIVADAR”",32,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:48",1424,1405,4,8,7,617,601,1,8,7,607,10,1500,883,28,30,40,419,59,17,14
15,COVASNA,"LICEUL TEORETIC ”MIKES KELEMEN”",9,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:22",1255,1228,7,10,10,517,497,0,10,10,512,5,1400,883,15,23,10,405,32,17,10
15,COVASNA,"MUZEUL NAȚIONAL SECUIESC",15,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:56",1221,1185,5,11,20,572,542,0,11,19,561,11,1300,728,15,23,2,474,11,13,23
15,COVASNA,"MUZEUL NAȚIONAL SECUIESC",16,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:14:17",973,948,5,10,10,428,406,2,10,10,419,9,1097,669,7,9,5,371,8,8,11
15,COVASNA,"PARCUL INDUSTRIAL",48,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:14:03",324,315,1,6,2,146,138,0,6,2,139,7,396,250,9,3,4,103,9,3,8
15,COVASNA,"SALA DE SPORT",17,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:37:52",1354,1301,19,11,23,844,811,1,11,21,827,17,1500,656,10,21,21,717,22,16,20
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",42,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:47:50",736,726,1,4,5,276,267,0,4,5,267,9,800,524,33,20,21,162,25,3,3
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",44,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:35",1312,1302,0,5,5,541,531,0,5,5,530,11,1500,959,35,40,17,392,26,5,15
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”ADY ENDRE”",43,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:26",859,841,2,8,8,300,292,0,0,8,293,7,900,600,7,33,27,185,34,0,7
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”GÖDRI FERENC”",26,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:12",1225,1204,2,13,6,426,407,0,13,6,416,10,1400,974,26,10,10,338,18,7,7
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",35,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:33",801,788,1,7,5,316,303,1,7,5,313,3,900,584,6,10,17,255,10,6,9
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",34,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:36:14",951,936,0,9,6,400,385,0,9,6,395,5,1000,600,15,25,23,293,21,11,7
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”NICOLAE COLAN”",36,"MUNICIPIUL SFÂNTU GHEORGHE",63394,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:27:12",690,678,2,7,3,252,242,0,7,3,237,15,802,550,13,11,8,185,13,1,6
15,COVASNA,"ȘCOALA GIMNAZIALĂ ”NICOLAE COLAN”",33,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:52:53",1058,1043,1,8,6,466,452,0,8,6,458,8,1100,634,25,16,13,335,52,17,0
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",20,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:10:59",1343,1289,6,7,41,748,699,1,7,41,685,63,1500,752,14,21,11,589,17,14,19
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”VÁRADI JÓZSEF”",19,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:31",1011,998,2,8,3,460,449,0,8,3,450,10,1107,647,14,18,11,363,14,8,22
15,COVASNA,"ŞTRAND MUNICIPAL SFÂNTU GHEORGHE",40,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:28:30",1309,1296,5,4,4,517,508,1,4,4,506,11,1400,883,24,31,16,383,30,8,14
15,COVASNA,"ŞTRAND MUNICIPAL SFÂNTU GHEORGHE",41,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:21",1594,1563,15,12,4,703,686,1,12,4,684,19,1700,997,33,27,31,522,41,16,14
15,COVASNA,"UNIVERSITATEA ”SAPIENTIA” SFANTU GHEORGHE",28,"MUNICIPIUL SFÂNTU GHEORGHE",63394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:25",863,842,2,6,13,373,354,0,6,13,365,8,900,527,15,21,13,293,8,7,8
15,COVASNA,"UNIVERSITATEA ”SAPIENTIA” SFANTU GHEORGHE",27,"MUNICIPIUL SFÂNTU GHEORGHE",63394,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 15:01:33",1481,1454,2,5,20,671,646,0,5,20,663,8,1600,929,15,18,20,568,17,12,13
