precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL DE CENTRU-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL CÂMPINA CURATĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","ANGHELESCU MARIUS-voturi"
31,PRAHOVA,"LICEUL TEHNOLOGIC ENERGETIC - (CORP A SALA DE CLASA NR.3-INTRAREA PRINCIPALA)",165,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:38",830,823,0,7,0,347,340,0,7,0,324,23,900,553,64,29,85,16,15,0,12,67,32,1,3
31,PRAHOVA,"LICEUL TEHNOLOGIC ENERGETIC -(CORP A-SALA DE CLASA NR.5-INTRAREA SECUNDARA)",164,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:34",1029,1018,3,7,1,503,495,0,7,1,485,18,1100,597,113,24,140,12,25,0,32,79,49,1,10
31,PRAHOVA,"LICEUL TEHNOLOGIC MECANIC - (CORP A SALA 2)",174,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:39",1214,1211,1,2,0,587,585,0,2,0,561,26,1300,713,149,39,167,15,7,0,26,90,48,3,17
31,PRAHOVA,"LICEUL TEHNOLOGIC MECANIC - (CORP A SALA 3)",175,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:53:11",1402,1398,1,3,0,625,622,0,3,0,588,35,1600,977,179,44,196,4,21,1,16,53,59,5,10
31,PRAHOVA,"LICEUL TEHNOLOGIC MECANIC - (SALA DE SPORT)",173,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:40:56",1445,1437,3,4,1,627,622,0,4,1,611,16,1600,973,150,45,216,19,22,0,25,86,37,1,10
31,PRAHOVA,"ȘCOALA GENERALĂ NR.3 - (SALA DE SPORT)",180,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:01",1753,1731,2,9,11,868,847,1,9,11,822,46,1900,1032,304,89,194,12,45,0,31,77,54,2,14
31,PRAHOVA,"ȘCOALA GENERALĂ NR.5 - (SALA DE CLASA)",172,"MUNICIPIUL CÂMPINA",131256,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:36:40",1175,1164,0,9,2,595,584,0,9,2,577,7,1300,705,133,35,170,31,21,0,21,108,36,11,11
31,PRAHOVA,"ȘCOALA GENERALĂ NR.6 - (SALA DE CLASA)",176,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:16:22",1496,1482,0,14,0,715,701,0,14,0,688,27,1600,885,227,65,207,17,35,1,15,70,27,3,21
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” - (SALA DE CLASA-ETAJ 1)",177,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:57",1551,1543,3,4,1,727,721,1,4,1,712,15,1700,973,137,47,210,11,15,1,40,142,90,2,17
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” - (SALA DE SPORT)",178,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 21:52:51",1600,1587,3,7,3,810,799,1,7,3,782,28,1700,890,260,51,183,12,16,0,35,115,77,7,26
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ ”B.P.HASDEU” - (SALA DE SPORT)",166,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:44",1230,1220,1,9,0,492,483,0,9,0,470,22,1300,808,110,38,149,11,20,1,14,73,29,3,22
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ CENTRALĂ",162,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:53:51",1026,1017,1,6,2,426,418,0,6,2,423,3,1100,674,101,42,150,6,15,2,15,53,28,2,9
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ CENTRALĂ",163,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:51:51",1162,1149,3,8,2,530,520,0,8,2,502,28,1300,770,105,24,182,13,17,0,19,91,43,3,5
