precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ARĂMESCU ADRIAN-voturi","MUNTEANU TEODORA-voturi"
35,SUCEAVA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ” SPIRU HARET”, SALA B",18,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:10:42",950,917,0,23,10,479,446,0,23,10,463,5,1000,521,201,39,103,5,14,20,65,9,7
35,SUCEAVA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",28,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:55:00",1635,1620,3,11,1,809,797,0,11,1,802,7,1800,991,336,78,184,9,29,9,124,16,17
35,SUCEAVA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",29,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:05:02",1782,1774,3,5,0,708,703,0,5,0,687,16,1900,1192,287,83,152,7,24,7,111,8,8
35,SUCEAVA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",27,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:53",1741,1733,0,7,1,316,308,0,7,1,305,11,1900,1584,82,49,90,8,19,6,39,10,2
35,SUCEAVA,"COLEGIUL NAȚIONAL ”MIHAI EMINESCU”",30,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:38:25",1473,1462,2,9,0,611,602,0,9,0,600,11,1600,989,234,63,159,5,12,6,95,13,13
35,SUCEAVA,"COLEGIUL NAŢIONAL ”PETRU RAREŞ” SALA A",2,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:45",1536,1498,13,25,0,738,713,0,25,0,710,20,1600,862,288,65,151,23,19,7,121,15,21
35,SUCEAVA,"COLEGIUL NAŢIONAL ”PETRU RAREŞ” SALA B",3,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:39",1518,1507,4,7,0,613,606,0,7,0,606,7,1600,987,270,49,114,14,23,4,110,11,11
35,SUCEAVA,"COLEGIUL NAŢIONAL ”ŞTEFAN CEL MARE”",4,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:04:45",1604,1586,2,16,0,695,678,1,16,0,668,26,1700,1005,253,72,189,7,17,0,92,24,14
35,SUCEAVA,"COLEGIUL NAȚIONAL ”ȘTEFAN CEL MARE”",5,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:25",821,814,0,7,0,280,273,0,7,0,269,11,900,620,103,22,65,5,7,3,52,4,8
35,SUCEAVA,"COLEGIUL TEHNIC ”A.I.CUZA” SALA A, CALEA UNIRII, NR.49",48,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:07",1747,1742,2,3,0,643,640,0,3,0,633,10,2000,1357,215,85,171,13,22,5,81,24,17
35,SUCEAVA,"COLEGIUL TEHNIC ”A.I.CUZA” SALA B, CALEA UNIRII, NR.49",49,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:03",1450,1441,0,9,0,668,659,0,9,0,654,14,1600,932,264,86,186,7,20,3,71,9,8
35,SUCEAVA,"COLEGIUL TEHNIC ”AL. I. CUZA” SALA C",50,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:56",1188,1183,0,5,0,539,534,0,5,0,533,6,1300,761,212,55,167,6,14,2,63,3,11
35,SUCEAVA,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ, SALA A",31,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:43:04",1751,1725,14,11,1,773,761,0,11,1,754,19,1900,1127,336,81,171,15,15,9,97,15,15
35,SUCEAVA,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ, SALA B",32,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:31:07",1804,1790,0,11,3,774,760,0,11,3,755,19,2000,1226,328,60,179,16,26,19,99,12,16
35,SUCEAVA,"COLEGIUL TEHNIC „PETRU MUŞAT”",33,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:10:37",1056,1048,0,8,0,293,285,0,8,0,268,17,1200,907,89,40,88,7,15,4,14,3,8
35,SUCEAVA,"COLEGIUL TEHNIC ”SAMUIL ISOPESCU”",8,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 13:59:04",1279,1196,0,62,21,671,609,0,41,21,613,58,1300,629,254,53,159,6,15,0,98,7,21
35,SUCEAVA,"DIRECŢIA SILVICĂ SUCEAVA",16,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:12:01",1046,1009,3,21,13,477,443,0,21,13,457,20,1300,823,175,45,127,11,14,13,52,8,12
35,SUCEAVA,"GARA BURDUJENI",44,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:55",1657,1649,1,7,0,250,243,0,7,0,242,8,2200,1950,93,39,68,3,13,1,15,4,6
35,SUCEAVA,"GARA BURDUJENI",45,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:33:59",1929,1919,2,8,0,632,624,0,8,0,619,13,2100,1468,201,84,191,4,24,3,91,12,9
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 12 ”ŢĂNDĂRICĂ”",54,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:09:45",1648,1642,3,3,0,709,706,0,3,0,691,16,1800,1091,252,95,186,15,23,6,84,18,12
35,SUCEAVA,"GRADINIŢA CU PROGRAM NORMAL NR. 5",23,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:21:14",1641,1635,0,6,0,681,675,0,6,0,665,16,1800,1119,278,82,149,4,22,12,87,12,19
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL NR.7",63,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:33:10",1320,1313,0,7,0,567,560,0,7,0,555,12,1519,952,198,60,100,11,45,4,110,11,16
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL NR.8",64,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:21:06",1699,1691,0,8,0,668,660,0,8,0,644,16,1800,1132,179,85,220,22,23,7,90,7,11
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 9 ”NOROCEL” SALA A",41,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:09:56",1947,1931,0,16,0,548,532,0,16,0,532,16,2100,1552,147,62,195,15,29,4,63,8,9
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL NR.9 ”NOROCEL” SALA B",42,"MUNICIPIUL SUCEAVA",146263,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:52:22",1968,1956,1,11,0,840,829,0,11,0,814,26,2100,1260,246,117,246,15,43,6,111,12,18
35,SUCEAVA,"GRADINIŢA CU PROGRAM PRELUNGIT NR.1 ”GULIVER”",24,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:49",1199,1188,2,9,0,549,540,0,9,0,534,15,1300,751,231,55,126,7,13,12,73,10,7
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.7 ”ABC ”",19,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:17",1496,1487,0,9,0,568,559,0,9,0,558,10,1600,1032,266,50,114,8,16,10,72,10,12
35,SUCEAVA,"LICEUL CU PROGRAM SPORTIV SALA A",25,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:05",1456,1452,0,4,0,618,614,0,4,0,596,22,1600,982,250,65,133,11,22,3,87,7,18
35,SUCEAVA,"LICEUL CU PROGRAM SPORTIV SALA B",26,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:26",1678,1669,0,9,0,693,684,0,9,0,675,18,1800,1107,323,66,136,15,24,13,70,11,17
35,SUCEAVA,"PRIMĂRIA BURDUJENI",60,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:25:23",1349,1335,0,13,1,606,592,0,13,1,584,22,1500,894,164,77,183,14,47,7,62,15,15
35,SUCEAVA,"PRIMĂRIA MUNICIPIULUI SUCEAVA",1,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:44:07",1755,1738,3,13,1,855,841,0,13,1,839,16,1900,1045,326,73,200,12,23,17,142,17,29
35,SUCEAVA,"ŞCOALA GENERALĂ NR. 7 ”GRIGORE GHICA VOIEVOD”",65,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:06",1853,1840,5,7,1,814,806,0,7,1,789,25,2000,1186,227,109,170,15,40,6,195,12,15
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR .1",7,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:54",1334,1324,2,8,0,614,606,0,8,0,612,2,1500,886,231,57,132,8,13,8,106,40,17
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 10, SALA A",46,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:09:48",1986,1980,1,5,0,913,908,0,5,0,895,18,2200,1287,316,97,256,8,43,7,129,19,20
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 10, SALA B",47,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:15:44",1996,1987,0,9,0,899,890,0,9,0,881,18,2199,1300,311,96,283,10,32,8,112,18,11
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.11, ”MIRON COSTIN”, SALA A",55,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:38:24",1952,1941,2,9,0,845,836,0,9,0,830,15,2100,1255,279,106,270,13,31,13,92,13,13
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.11, ”MIRON COSTIN”, SALA B",56,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:08:03",1667,1663,1,3,0,648,645,0,3,0,628,20,1800,1152,215,88,184,17,21,4,84,10,5
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.11, ”MIRON COSTIN”, SALA C",57,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:14:07",1621,1614,0,7,0,648,641,0,7,0,627,21,1800,1152,210,89,202,13,11,3,76,10,13
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.11, ”MIRON COSTIN”, SALA D",58,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:41",1834,1824,4,5,1,807,801,0,5,1,791,16,2000,1193,264,108,242,11,28,7,93,29,9
35,SUCEAVA,"SCOALA GIMNAZIALA NR.11 ”MIRON COSTIN”, SALA E",59,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:04:07",1536,1529,0,7,0,543,536,0,7,0,524,12,1700,1157,188,56,161,7,14,7,71,10,10
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.3 SALA A",11,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:01:02",973,964,0,9,0,471,462,0,9,0,456,15,1053,582,187,41,105,7,12,12,75,13,4
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR.3 SALA B",12,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:24:34",1116,1104,0,12,0,531,519,0,12,0,519,12,1200,669,197,58,118,10,13,14,85,11,13
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 4 SALA A",20,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:01:12",1358,1347,2,9,0,636,627,0,9,0,620,16,1500,864,273,60,146,8,22,9,82,4,16
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 4, SALA B",21,"MUNICIPIUL SUCEAVA",146263,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:13:06",1210,1197,1,12,0,596,584,0,12,0,538,46,1300,704,231,49,111,6,13,12,85,16,15
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 5 ”JEAN BART”",51,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:46",1465,1455,0,9,1,605,595,0,9,1,589,16,1600,995,203,71,173,12,16,6,69,16,23
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 6, SALA A",61,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:09:15",1436,1430,0,6,0,566,560,0,6,0,540,20,1600,1034,179,81,165,11,22,5,59,9,9
35,SUCEAVA,"SCOALA GIMNAZIALA NR.6 SALA B",62,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:52:45",1824,1816,1,7,0,510,503,0,7,0,491,19,2000,1490,160,66,131,8,29,4,78,9,6
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 8",22,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:07:04",1950,1938,2,10,0,863,853,0,10,0,839,24,2100,1237,405,92,171,6,26,7,103,20,9
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 9 ”ION CREANGĂ”, SALA A",37,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:25",1666,1660,0,4,2,804,798,0,4,2,777,27,1666,862,270,124,172,14,17,13,140,14,13
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 9 ”ION CREANGĂ”, SALA B",38,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:34:28",1771,1767,2,2,0,891,889,0,2,0,867,24,1900,1009,290,181,202,13,19,8,120,11,23
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 9 ”ION CREANGĂ”, SALA C",39,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:02",1750,1739,1,10,0,846,835,1,10,0,835,11,1900,1054,283,141,225,19,13,15,115,12,12
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 9 ”ION CREANGĂ”, SALA D",40,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:39",1747,1740,0,7,0,830,823,0,7,0,809,21,1900,1070,319,136,175,6,19,11,108,11,24
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 9 ”ION CREANGĂ”, SALA E",35,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:52:21",1840,1830,0,10,0,817,807,0,10,0,794,23,2000,1183,273,143,166,10,24,11,139,9,19
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ NR. 9 ”ION CREANGĂ”, SALA F",36,"MUNICIPIUL SUCEAVA",146263,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:03:17",1785,1779,0,5,1,778,772,0,5,1,750,22,1900,1122,288,110,176,11,13,17,107,15,13
35,SUCEAVA,"UNIVERSITATEA ”ŞTEFAN CEL MARE”",15,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:59",788,758,3,27,0,375,348,0,27,0,363,12,1000,625,162,31,86,4,14,2,53,4,7
