precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PACT PENTRU GALAȚI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","RUSU DĂNUŢ-voturi"
18,GALAŢI,"ȘCOALA GIMNAZIALĂ CONDREA",421,UMBRĂREŞTI,77402,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:49",579,574,0,4,1,282,277,0,4,1,271,11,630,348,0,57,121,65,10,0,0,0,16,2,0,0,0
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DAN BARBILIAN” (ȘCOALA GENERALĂ ”DAN BARBILIAN” - ȘCOALA GENERALĂ NR. 43)",79,"MUNICIPIUL GALAŢI",75098,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:06:36",1361,1357,0,4,0,549,545,0,4,0,536,13,1600,1051,6,48,301,33,3,29,1,6,13,24,2,52,18
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DAN BARBILIAN” (ȘCOALA GENERALĂ ”DAN BARBILIAN” - ȘCOALA GENERALĂ NR. 43)",76,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-18 16:52:23",1384,1378,0,6,0,508,502,0,6,0,496,9,1600,1092,4,59,266,35,5,32,2,5,11,17,6,45,9
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DAN BARBILIAN” (ȘCOALA GENERALĂ ”DAN BARBILIAN” - ȘCOALA GENERALĂ NR. 43)",80,"MUNICIPIUL GALAŢI",75098,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-18 17:08:08",1437,1427,0,10,0,553,543,0,10,0,518,26,1600,1045,3,42,303,49,4,34,1,5,14,14,3,36,10
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DAN BARBILIAN” (ȘCOALA GENERALĂ ”DAN BARBILIAN” - ȘCOALA GENERALĂ NR. 43)",75,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:44",1383,1370,0,5,8,548,535,0,5,8,536,12,1600,1052,7,40,348,31,4,30,4,2,13,12,4,34,7
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DAN BARBILIAN” (ȘCOALA GENERALĂ ”DAN BARBILIAN” - ȘCOALA GENERALĂ NR. 43)",74,"MUNICIPIUL GALAŢI",75098,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:25:34",1534,1528,0,6,0,574,568,0,6,0,558,16,1602,1027,5,41,333,30,3,28,3,7,11,27,7,51,12
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DAN BARBILIAN” (ȘCOALA GENERALĂ ”DAN BARBILIAN” - ȘCOALA GENERALĂ NR. 43)",77,"MUNICIPIUL GALAŢI",75098,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:54:08",1425,1419,1,5,0,564,559,0,5,0,551,11,1600,1036,5,51,313,38,4,47,4,3,11,22,5,27,21
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DAN BARBILIAN” (ȘCOALA GENERALĂ ”DAN BARBILIAN” - ȘCOALA GENERALĂ NR. 43)",78,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:16:54",1436,1430,1,5,0,540,535,0,5,0,528,12,1600,1060,0,41,317,41,5,42,3,2,11,18,4,30,14
18,GALAŢI,"SCOALA GIMNAZIALĂ ”DIMITRIE LUCHIAN ”CORP B , PISCU",377,PISCU,76996,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:01:45",889,864,0,10,15,468,443,0,10,15,451,17,1000,532,1,59,298,17,26,0,1,1,10,8,1,23,6
18,GALAŢI,"ŞCOALA GIMNAZIALĂ DIMITRIE STURDZA TECUCI",180,"MUNICIPIUL TECUCI",75203,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 20:16:10",923,915,2,6,0,417,411,0,6,0,394,15,1010,593,1,109,199,24,8,0,1,3,17,3,0,21,8
