precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi"
35,SUCEAVA,"CĂMIN CULTURAL",488,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:15:24",1664,1659,4,1,0,860,858,1,1,0,844,16,1820,956,224,343,79,24,140,23,11
35,SUCEAVA,"CĂMIN CULTURAL BOTOŞANA",238,BOTOŞANA,147161,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:37:49",1067,1048,2,2,15,657,640,0,2,15,631,26,1508,851,369,186,17,5,49,2,3
35,SUCEAVA,"CAMIN CULTURAL BRASCA",367,ILIŞEŞTI,147660,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:19:30",331,320,0,11,0,180,169,0,11,0,172,8,537,357,76,50,34,3,8,0,1
35,SUCEAVA,"CĂMIN CULTURAL CAJVANA",137,"ORAŞ CAJVANA",147633,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:37",1906,1899,1,2,4,808,802,0,2,4,758,50,2155,1347,124,535,46,14,29,8,2
35,SUCEAVA,"CĂMIN CULTURAL COȘNA",271,COŞNA,151497,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:33",1230,1196,1,6,27,907,873,1,6,27,879,28,1348,441,245,529,46,19,30,7,3
35,SUCEAVA,"CĂMIN CULTURAL COSTIŞA",323,"FRĂTĂUŢII NOI",148667,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:40",816,808,0,4,4,354,346,0,4,4,346,8,900,546,204,87,28,5,17,3,2
35,SUCEAVA,"CĂMIN CULTURAL COZĂNEŞTI",283,DORNA-ARINI,148131,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:47",1214,1206,1,5,2,759,752,0,5,2,734,25,1278,519,441,193,40,12,31,11,6
35,SUCEAVA,"CĂMIN CULTURAL DRAGOȘA",330,FRUMOSU,148729,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:10:31",351,348,0,3,0,216,213,0,3,0,207,9,400,184,132,54,12,2,3,3,1
35,SUCEAVA,"CAMIN CULTURAL FRATAUTII VECHI",325,"FRĂTĂUŢII VECHI",148694,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:51:48",1576,1560,2,7,7,694,678,2,7,7,606,88,1796,1102,300,219,45,6,24,7,5
35,SUCEAVA,"CĂMIN CULTURAL GĂLĂNEŞTI",335,GĂLĂNEŞTI,148872,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:10:20",1019,1017,0,0,2,422,420,0,0,2,397,25,1288,866,88,181,17,7,83,10,11
35,SUCEAVA,"CAMIN CULTURAL GLODU",416,PANACI,149682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:04:34",260,253,0,7,0,118,111,0,7,0,112,6,303,185,58,42,9,1,1,0,1
35,SUCEAVA,"CĂMIN CULTURAL HOLDA",136,"ORAŞ BROŞTENI",147358,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:21",1029,1021,1,3,4,578,571,0,3,4,562,16,1200,622,205,185,43,19,12,23,75
35,SUCEAVA,"CĂMIN CULTURAL JAHALIA",450,RÂŞCA,150114,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:20:39",298,272,0,26,0,153,127,0,26,0,141,12,293,140,40,64,0,15,18,0,4
35,SUCEAVA,"CĂMIN CULTURAL LITENI",398,MOARA,149414,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:05",771,754,2,4,11,426,411,0,4,11,410,16,800,374,253,67,44,16,25,3,2
35,SUCEAVA,"CĂMIN CULTURAL LUCĂCEȘTI",293,DRĂGOIEŞTI,148328,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:56",227,219,0,8,0,155,147,0,8,0,147,8,300,145,50,44,23,8,18,2,2
35,SUCEAVA,"CĂMIN CULTURAL MIHAI BOLEAC",226,BOROAIA,147072,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:05",802,796,0,0,6,386,380,0,0,6,375,11,800,414,38,276,24,13,23,0,1
35,SUCEAVA,"CĂMIN CULTURAL PĂRHĂUȚI",493,TODIREŞTI,150524,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:39:47",966,956,0,2,8,610,600,0,2,8,585,25,1100,490,393,164,11,7,8,0,2
35,SUCEAVA,"CAMIN CULTURAL PLOPENI",179,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:31:58",1989,1981,5,2,1,1131,1128,0,2,1,1082,49,2048,917,642,249,70,26,68,6,21
35,SUCEAVA,"CĂMIN CULTURAL PLUTONIŢA",155,"ORAŞ FRASIN",148612,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:13:02",939,930,0,7,2,499,490,0,7,2,479,20,1000,501,251,129,51,20,19,7,2
35,SUCEAVA,"CĂMIN CULTURAL RÎŞCA",446,RÂŞCA,150114,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:35:26",1501,1494,0,5,2,839,832,0,5,2,769,70,1700,861,241,223,173,32,58,20,22
35,SUCEAVA,"CAMIN CULTURAL SERBAUTI",489,ŞERBĂUŢI,151460,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:21:04",1647,1605,1,6,35,822,781,0,6,35,743,79,1820,998,203,191,249,22,72,0,6
35,SUCEAVA,"CĂMIN CULTURAL VAMA",517,VAMA,150935,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:51:28",1001,993,1,6,1,556,549,0,6,1,524,32,1093,537,284,146,45,8,27,12,2
35,SUCEAVA,"CĂMINUL CULTURAL",539,VOLOVĂŢ,151120,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:26",1700,1696,0,1,3,776,772,0,1,3,733,43,1800,1024,174,434,61,40,19,3,2
35,SUCEAVA,"CĂMINUL CULTURAL",540,VOLOVĂŢ,151120,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:18",1738,1728,2,4,4,821,812,1,4,4,776,45,1900,1079,169,475,70,41,16,5,0
35,SUCEAVA,"CAMINUL CULTURAL AL COMUNEI MITOCU DRAGOMIRNEI",391,"MITOCU DRAGOMIRNEI",146325,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:10:45",1331,1292,2,29,8,801,763,1,29,8,750,51,1429,628,154,409,104,16,61,3,3
35,SUCEAVA,"CĂMINUL CULTURAL BAINEŢ",407,MUŞENIŢA,149584,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:45:37",232,219,0,6,7,116,103,0,6,7,110,6,300,184,60,24,6,3,16,1,0
35,SUCEAVA,"CĂMINUL CULTURAL BĂNEŞTI",306,FÂNTÂNELE,148453,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:22:20",918,913,0,3,2,475,470,0,3,2,449,26,1000,525,140,182,44,8,40,20,15
35,SUCEAVA,"CAMINUL CULTURAL BOSANCI",232,BOSANCI,147134,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:59",1178,1172,1,4,1,503,497,1,4,1,481,22,1300,797,92,129,212,20,23,3,2
35,SUCEAVA,"CĂMINUL CULTURAL BOSANCI",233,BOSANCI,147134,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:38",1384,1376,4,3,1,608,604,0,3,1,562,46,1500,892,162,156,206,10,22,4,2
35,SUCEAVA,"CĂMINUL CULTURAL BOTUȘ",332,"FUNDU MOLDOVEI",148765,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:05:19",969,955,2,10,2,542,530,0,10,2,512,30,1115,573,346,80,38,7,33,1,7
35,SUCEAVA,"CAMINUL CULTURAL BURLA - SALA MARE",247,BURLA,151521,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:29:19",1728,1711,0,0,17,928,911,0,0,17,869,59,1900,972,590,153,87,25,10,2,2
35,SUCEAVA,"CĂMINUL CULTURAL CAPU CODRULUI",420,PĂLTINOASA,149753,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:11:22",918,897,0,6,15,508,487,0,6,15,494,14,1010,502,140,291,18,7,32,0,6
35,SUCEAVA,"CĂMINUL CULTURAL CHILIŞENI",496,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:08",670,665,0,5,0,421,416,0,5,0,383,38,732,311,33,285,32,12,12,5,4
35,SUCEAVA,"CĂMINUL CULTURAL CHIRIL",273,CRUCEA,147884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:22:48",476,465,0,3,8,296,285,0,3,8,284,12,519,223,63,181,22,4,7,2,5
35,SUCEAVA,"CĂMINUL CULTURAL CIUMULEȘTI",509,"VADU MOLDOVEI",150766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:45",750,740,0,7,3,457,447,0,7,3,428,16,830,373,45,320,33,7,17,5,1
35,SUCEAVA,"CĂMINUL CULTURAL CLIMĂUŢI",408,MUŞENIŢA,149584,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:21",269,246,0,7,16,132,109,0,7,16,114,18,300,168,63,19,10,14,6,2,0
35,SUCEAVA,"CAMINUL CULTURAL COROCAIESTI",530,VEREŞTI,151022,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:51",1287,1287,0,0,0,538,538,0,0,0,511,27,1336,798,140,295,43,15,15,1,2
35,SUCEAVA,"CĂMINUL CULTURAL GURA PUTNEI",441,PUTNA,150043,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:47",1103,1101,0,0,2,534,532,0,0,2,512,22,1200,666,275,154,43,22,9,3,6
35,SUCEAVA,"CĂMINUL CULTURAL HĂNŢEŞTI",346,HĂNŢEŞTI,151512,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:31:17",1506,1478,0,4,24,842,814,0,4,24,784,57,1650,809,140,567,30,24,9,10,4
35,SUCEAVA,"CĂMINUL CULTURAL HERLA",462,SLATINA,150258,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:24:08",1187,1158,0,7,22,680,651,0,7,22,667,13,1396,716,16,619,17,10,4,1,0
35,SUCEAVA,"CĂMINUL CULTURAL HORODNIC DE JOS",351,"HORODNIC DE JOS",149101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:38",1389,1384,1,4,0,747,743,0,4,0,707,40,1415,668,159,479,37,10,17,5,0
35,SUCEAVA,"CĂMINUL CULTURAL MILIŞĂUŢI",174,"ORAŞ MILIŞĂUŢI",146931,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:20:45",1679,1670,1,5,3,888,880,0,5,3,856,32,1840,952,143,275,51,15,362,3,7
35,SUCEAVA,"CĂMINUL CULTURAL NEAGRA ȘARULUI",478,"ŞARU DORNEI",150445,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:43",1564,1544,3,6,11,1012,994,1,6,11,958,54,1700,688,519,349,22,24,40,2,2
35,SUCEAVA,"CĂMINUL CULTURAL NOU",412,OSTRA,149655,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:56:19",1741,1730,0,1,10,809,798,0,1,10,755,54,1838,1029,435,141,123,32,12,6,6
35,SUCEAVA,"CĂMINUL CULTURAL PĂLTINOASA",418,PĂLTINOASA,149753,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:55:34",1231,1213,1,1,16,711,694,0,1,16,688,23,1342,631,221,396,38,14,13,4,2
35,SUCEAVA,"CĂMINUL CULTURAL PALTINU",525,"VATRA MOLDOVIŢEI",150980,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:13",684,678,1,2,3,366,361,0,2,3,342,24,800,434,196,58,60,11,7,4,6
35,SUCEAVA,"CĂMINUL CULTURAL PĂTRĂUȚI",422,PĂTRĂUŢI,149833,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:41:28",2037,2026,1,3,7,1071,1061,0,3,7,1014,57,2246,1175,250,594,87,27,46,5,5
35,SUCEAVA,"CĂMINUL CULTURAL POIANA NEGRII",287,"DORNA CANDRENILOR",148202,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:21:29",776,756,2,5,13,563,544,1,5,13,539,24,800,237,165,280,45,28,12,6,3
35,SUCEAVA,"CĂMINUL CULTURAL POIENI - SUCEAVA",499,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:12:27",541,534,0,7,0,279,272,0,7,0,263,16,590,311,84,115,38,15,10,1,0
35,SUCEAVA,"CĂMINUL CULTURAL POJORÂTA",431,POJORÂTA,149931,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:55",1348,1334,0,3,11,896,882,0,3,11,870,26,1463,567,443,319,42,18,35,4,9
35,SUCEAVA,"CĂMINUL CULTURAL - PRELIPCA",181,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:00",1103,1100,0,2,1,600,597,0,2,1,556,44,1300,700,354,129,40,14,0,19,0
35,SUCEAVA,"CĂMINUL CULTURAL PREUTEŞTI",433,PREUTEŞTI,149968,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:53:28",1518,1511,0,7,0,920,913,0,7,0,874,46,1638,718,321,426,77,19,22,4,5
35,SUCEAVA,"CĂMINUL CULTURAL RACOVA",500,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:53",233,230,0,3,0,140,137,0,3,0,128,12,253,113,24,78,10,6,6,2,2
35,SUCEAVA,"CĂMINUL CULTURAL SADOVA",452,SADOVA,150178,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:02",1171,1162,1,5,3,766,758,0,5,3,742,24,1300,534,464,129,72,15,47,8,7
35,SUCEAVA,"CĂMINUL CULTURAL SALCEA",177,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:39",1418,1415,0,2,1,728,725,0,2,1,689,39,1600,872,346,196,57,35,44,4,7
35,SUCEAVA,"CĂMINUL CULTURAL SALCEA",176,"ORAŞ SALCEA",146370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:52",1239,1238,0,0,1,651,650,0,0,1,604,47,1300,49,317,156,59,16,40,9,7
35,SUCEAVA,"CAMINUL CULTURAL SAT BREAZA",239,BREAZA,147205,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:19",1234,1208,0,1,25,615,589,0,1,25,591,24,1356,741,78,448,27,15,11,6,6
35,SUCEAVA,"CĂMINUL CULTURAL SIMINICEA",457,SIMINICEA,150221,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:15",1202,1201,0,1,0,558,557,0,1,0,529,29,1300,742,148,305,22,24,22,6,2
35,SUCEAVA,"CĂMINUL CULTURAL ŞTIRBĂŢ",503,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:29:31",432,428,1,3,0,249,246,0,3,0,231,14,471,226,57,103,25,13,30,3,0
35,SUCEAVA,"CĂMINUL CULTURAL ULMA",504,ULMA,150702,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:38",528,526,0,0,2,297,295,0,0,2,279,18,600,303,141,107,16,7,5,3,0
35,SUCEAVA,"CĂMINUL CULTURAL VALEA MOLDOVEI",515,"VALEA MOLDOVEI",150891,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:36:58",1434,1375,2,18,39,955,898,0,18,39,916,39,1600,645,207,586,75,27,11,2,8
35,SUCEAVA,"CĂMINUL CULTURAL VALEA PUTNEI",432,POJORÂTA,149931,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:24",280,275,0,4,1,151,146,0,4,1,139,12,308,157,58,52,16,0,10,1,2
35,SUCEAVA,"CĂMINUL CULTURAL VĂŞCĂUŢI",410,MUŞENIŢA,149584,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:38:27",505,482,1,8,14,280,258,0,8,14,263,17,536,256,150,53,36,13,8,1,2
35,SUCEAVA,"CĂMINUL CULTURAL VATRA MOLDOVIȚEI",522,"VATRA MOLDOVIŢEI",150980,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:45:17",1181,1158,0,9,14,695,672,0,9,14,660,35,1300,605,405,154,53,21,17,7,3
35,SUCEAVA,"CAMINUL CULTURAL VECHI PATRAUTI",423,PĂTRĂUŢI,149833,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:12:03",2049,2048,0,1,0,1043,1042,0,1,0,909,134,2249,1206,300,525,37,23,17,5,2
35,SUCEAVA,"CAMINUL CULTURAL VERESTI",527,VEREŞTI,151022,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:50",1244,1243,1,0,0,605,605,0,0,0,589,16,1300,695,171,251,113,17,29,4,4
35,SUCEAVA,"CĂMINUL CULTURAL VICOVU DE SUS-EST",192,"ORAŞ VICOVU DE SUS",151095,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:11",1328,1326,1,0,1,545,544,0,0,1,522,23,1400,855,286,138,65,14,12,3,4
35,SUCEAVA,"CĂMINUL CULTURAL VOIEVODEASA",477,SUCEVIŢA,150418,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:29:13",1137,1100,0,19,18,681,644,0,19,18,648,33,1214,533,419,107,26,25,16,5,50
35,SUCEAVA,"CĂMINUL CULTURAL VOITINEL",537,VOITINEL,151558,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:24",1881,1853,0,0,28,820,792,0,0,28,764,56,2000,1180,85,620,49,5,2,2,1
35,SUCEAVA,"CĂMINUL CULTURAL ZAMOSTEA",549,ZAMOSTEA,151246,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:55:43",1254,1216,0,11,27,691,653,0,11,27,660,31,1300,609,136,439,41,15,27,2,0
35,SUCEAVA,"CASA DE CULTURA",101,"MUNICIPIUL RĂDĂUŢI",146628,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 20:44:12",1741,1723,5,9,4,695,682,0,9,4,674,21,2000,1305,278,254,53,27,45,8,9
35,SUCEAVA,"CASA DE CULTURĂ",354,"HORODNIC DE SUS",151479,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:16",1780,1779,0,1,0,931,930,0,1,0,891,40,2000,1069,579,131,98,31,40,4,8
35,SUCEAVA,"CASA DE CULTURĂ CIOCĂNEȘTI",257,CIOCĂNEŞTI,151451,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:47:33",930,916,0,2,12,570,556,0,2,12,566,4,1000,430,275,193,54,15,18,4,7
35,SUCEAVA,"CASA DE CULTURĂ ”ELISEI TODAȘCĂ”",427,"POIANA STAMPEI",149851,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:04",1607,1559,0,8,40,1098,1050,0,8,40,1018,32,1788,738,134,796,32,17,26,8,5
35,SUCEAVA,"CASA DE CULTURĂ LITENI",165,"ORAŞ LITENI",149227,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:12",1756,1741,0,10,5,794,779,0,10,5,772,22,1920,1126,503,148,55,17,49,0,0
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",116,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:56:56",1187,1171,3,10,3,575,562,0,10,3,552,23,1200,625,219,228,36,24,35,4,6
35,SUCEAVA,"CASA DE CULTURĂ ”PLATON PARDĂU”",117,"MUNICIPIUL VATRA DORNEI",146744,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:10",893,884,1,8,0,493,485,0,8,0,481,12,996,503,167,220,34,15,34,4,7
35,SUCEAVA,"CASA DE CULTURĂ VICOVU DE SUS - LAURA",197,"ORAŞ VICOVU DE SUS",151095,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:38",1753,1750,2,1,0,735,734,0,1,0,700,35,1900,1165,267,369,36,17,9,0,2
35,SUCEAVA,"CASĂ DE PRĂZNUIRE A PAROFIEI SFINŢII ÎMPĂRAŢI MIHAIL ŞI GAVRIL PE STIL VECHI",135,"ORAŞ BROŞTENI",147358,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:33:57",408,400,0,6,2,249,241,0,6,2,239,10,400,151,93,100,16,13,6,8,3
35,SUCEAVA,"CASA DE PRĂZNUIRE A PAROHIEI ORTODOXE STÂNCUȚA",560,ZVORIŞTEA,151344,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:08",149,140,0,9,0,88,79,0,9,0,83,5,200,112,33,37,3,6,4,0,0
35,SUCEAVA,"CASA DE TIP FAMILIAL ”CIREŞARII”",413,OSTRA,149655,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:02:25",1021,1016,0,3,2,529,524,0,3,2,507,22,1200,671,315,111,50,21,7,1,2
35,SUCEAVA,"CASA NAȚIONALĂ",361,IACOBENI,149138,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:24",854,841,0,3,10,501,488,0,3,10,487,14,927,426,133,277,32,20,14,3,8
35,SUCEAVA,"CASA POLONĂ ”DOM POLSKI”",388,"MĂNĂSTIREA HUMORULUI",149370,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:25",158,151,0,7,0,70,63,0,7,0,69,1,200,130,45,11,8,0,3,1,1
35,SUCEAVA,"CASA SOCIALĂ ”ARHIM. ZENOVIE GHIDESCU”",99,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:21",837,823,1,8,5,435,422,0,8,5,415,11,1000,574,66,247,43,25,27,6,1
35,SUCEAVA,"CASA TINERETULUI",470,STULPICANI,150356,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:07",1210,1205,1,4,0,705,701,0,4,0,678,27,1325,620,467,149,33,19,10,0,0
35,SUCEAVA,"CASA TRADIȚIILOR",501,UDEŞTI,150588,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:16",560,550,0,10,0,285,275,0,10,0,259,24,610,327,61,115,48,10,17,5,3
35,SUCEAVA,"CENTRALA TERMICĂ CU COGENERARE",68,"MUNICIPIUL CÂMPULUNG MOLDOVENESC",146502,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:41",1381,1373,2,5,1,649,643,0,5,1,621,28,1500,851,299,127,52,22,108,10,3
35,SUCEAVA,"CENTRU DE ASISTENTA DUPA PROGRAMUL SCOLAR TIP AFTER SCHOOL",241,BRODINA,147241,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:49:16",627,617,1,6,3,329,320,0,6,3,303,26,700,371,127,106,47,11,10,1,1
35,SUCEAVA,"CENTRU DE ASISTENȚĂ DUPĂ PROGRAMUL ȘCOLAR TIP ”AFTERSCHOOL”",349,HÂRTOP,151549,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:25",1064,1048,1,7,8,626,611,0,7,8,593,33,1152,526,221,210,49,22,81,5,5
35,SUCEAVA,"CENTRU DE ASISTENȚĂ DUPĂ PROGRAMUL ȘCOLAR TIP ”AFTERSCHOOL”",350,HÂRTOP,151549,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:29:58",1069,1035,2,8,24,578,545,1,8,24,540,38,1143,565,213,136,41,15,127,4,4
35,SUCEAVA,"CENTRU DE SERVICII SOCIALE INTEGRATE MĂNĂSTIOARA",189,"ORAŞ SIRET",146655,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:16:07",456,447,0,7,2,213,204,0,7,2,203,10,500,287,113,70,0,8,6,0,6
