precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONAŞCU GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUS LUCIAN-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","OANCEA NICOLAE-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","AMITITELOAIE ALIN-FORȚA DREPTEI-voturi","GAVRILĂ ANAMARIA-PARTIDUL OAMENILOR TINERI-voturi","MARA LUCIAN-MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","MUNTEAN CONSTANTIN-DANIEL-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",34,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:49",1416,1411,0,5,0,520,515,0,5,0,488,32,1500,980,54,190,89,34,94,24,3
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",27,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:16",1245,1235,4,6,0,519,513,0,6,0,509,10,1300,781,47,185,126,28,82,33,8
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",28,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:01:22",1547,1534,4,8,1,623,614,0,8,1,587,20,1600,992,54,245,118,47,87,25,11
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ŞCOALĂ GENERALĂ)",26,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:27:26",1414,1402,2,9,1,637,627,0,9,1,622,15,1500,863,40,233,146,46,108,35,14
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ȘCOALĂ GENERALĂ)",29,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:17",1344,1333,1,10,0,541,531,0,10,0,531,10,1499,858,44,188,158,31,69,35,6
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ȘCOALĂ GENERALĂ)",24,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:45",865,855,1,9,0,331,322,0,9,0,322,9,1100,769,22,117,106,18,39,16,4
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA (FOSTA ȘCOALĂ GENERALĂ)",25,"MUNICIPIUL DEVA",86687,4,PART,PRCNCT,P,P_SV,"2024-06-10 12:06:11",743,732,2,9,0,306,297,0,9,0,292,5,1000,703,12,112,68,40,35,22,3
22,HUNEDOARA,"COLEGIUL TEHNIC TRANSILVANIA(FOSTA ȘCOALĂ GENERALĂ)",30,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:07",1462,1448,1,13,0,619,606,0,13,0,603,16,1600,981,41,225,119,57,119,28,14
22,HUNEDOARA,"DIRECȚIA GENERALĂ DE ASISTENȚĂ SOCIALĂ ȘI PROTECȚIA COPILULUI",21,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:00",1034,1026,0,8,0,480,472,0,8,0,470,10,1100,620,17,199,96,46,69,34,9
22,HUNEDOARA,"DIRECŢIA SILVICĂ DEVA",22,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:22",1115,1102,0,12,1,467,454,0,12,1,449,18,1300,833,29,188,95,25,67,34,11
22,HUNEDOARA,"GALERIA FORMA",16,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:53:45",1226,1206,8,12,0,599,587,0,12,0,582,17,1299,700,31,219,143,55,94,29,11
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",40,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:28:51",1129,1115,1,12,1,495,482,0,12,1,481,14,1300,805,42,174,97,23,94,29,22
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",42,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:10",840,833,0,6,1,352,345,0,6,1,344,8,1100,748,26,132,77,19,63,20,7
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",41,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:31",898,886,1,10,1,383,373,0,9,1,373,10,1100,717,19,112,108,23,88,18,5
22,HUNEDOARA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR 7",12,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:05",1197,1151,32,14,0,537,523,0,14,0,518,19,1300,758,28,188,128,50,73,38,13
22,HUNEDOARA,"GRADINIŢA P.N. NR.3",38,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:12",1458,1449,1,8,0,561,553,0,8,0,540,21,1500,939,53,225,100,30,109,16,7
22,HUNEDOARA,"GRADINIŢA P.N. NR.3",37,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:45",1441,1432,4,5,0,544,539,0,5,0,532,12,1500,956,55,185,100,37,126,24,5
22,HUNEDOARA,"LICEUL DE ARTE SIGISMUND TODUŢĂ",10,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:56",1162,1120,5,5,32,572,535,0,5,32,559,7,1300,734,40,204,149,46,73,37,10
22,HUNEDOARA,"LICEUL DE ARTE SIGISMUND TODUŢĂ",11,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:16",1389,1374,4,11,0,584,573,0,11,0,581,3,1500,904,38,226,115,32,127,36,7
22,HUNEDOARA,"LICEUL DE ARTE SIGISMUND TODUȚĂ",9,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:56",1222,1204,6,10,2,551,539,0,10,2,541,10,1300,749,34,206,112,53,92,36,8
22,HUNEDOARA,"LICEUL DE ARTE SIGISMUND TODUȚĂ",8,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:24",1251,1241,0,10,0,478,468,0,10,0,462,16,1400,922,40,157,115,44,66,25,15
22,HUNEDOARA,"LICEUL DE ARTE SIGISMUND TODUȚĂ (FOSTA ŞCOALĂ GENERALĂ LUCIAN BLAGA NR. 2)",14,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:58",1148,1132,6,10,0,518,508,0,10,0,508,10,1200,682,41,222,122,32,64,24,3
22,HUNEDOARA,"LICEUL DE ARTE SIGISMUND TODUȚĂ (FOSTA ŞCOALĂ GENERALĂ LUCIAN BLAGA NR. 2)",15,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:25",1181,1173,1,7,0,565,557,1,7,0,546,19,1300,735,27,196,152,64,62,33,12
22,HUNEDOARA,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”(FOSTUL LICEU MINIER)",39,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:21:42",829,812,2,9,6,412,397,0,9,6,380,17,1100,703,27,170,86,29,48,18,2
22,HUNEDOARA,"OFICIUL DE CADASTRU ȘI PUBLICITATE IMOBILIARĂ HUNEDOARA",4,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:41:09",1281,1275,0,6,0,577,571,0,6,0,560,17,1400,823,32,203,137,43,97,41,7
22,HUNEDOARA,"OFICIUL DE CADASTRU ȘI PUBLICITATE IMOBILIARĂ HUNEDOARA",5,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:12",1331,1324,0,7,0,545,538,0,7,0,532,13,1400,855,42,171,127,46,98,40,8
22,HUNEDOARA,"SALA SPORTURILOR",7,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:04",1218,1205,4,7,2,541,532,0,7,2,524,17,1300,759,47,221,119,23,79,24,11
22,HUNEDOARA,"SALA SPORTURILOR",6,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:12",1229,1212,1,16,0,540,524,0,16,0,528,12,1400,860,40,195,131,44,78,33,7
22,HUNEDOARA,"ȘCOALA PRIMARĂ CRISTUR",45,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:24",1413,1403,0,8,2,673,663,0,8,2,651,12,1700,1037,32,281,239,19,53,21,6
22,HUNEDOARA,"ŞCOALĂ PRIMARĂ VIILE NOI",20,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:23",817,806,2,9,0,372,363,0,9,0,360,12,1000,628,22,159,102,16,45,14,2
22,HUNEDOARA,"ŞCOALĂ PRIMARĂ VIILE NOI",19,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:01",860,844,6,10,0,386,376,0,10,0,372,14,1000,614,37,142,117,17,48,9,2
22,HUNEDOARA,"SPAŢIUL ADMINISTRATIV AL PRIMĂRIEI MUNICIPIULUI DEVA",23,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,P,P_SV,"2024-06-10 15:18:29",1265,1254,0,11,0,548,537,0,11,0,543,5,1394,842,25,243,113,52,69,37,4
