precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ICHIM CARMEN-ADRIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","STÎLPEANU LAURENŢIU-PARTIDUL S.O.S. ROMÂNIA-voturi","EPURESCU NICOLAE-GEORGE-PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-voturi","BARCHIZEANU DĂNUŢ-VIOREL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DRĂGULIN FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CRĂIŢĂ HARITINA-voturi"
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.4",62,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:11",1215,1208,0,7,0,521,514,0,7,0,507,14,1300,779,315,71,9,29,4,56,23
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.8",44,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:23:16",944,932,5,7,0,433,426,0,7,0,428,5,1000,567,289,58,16,4,3,40,18
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.8",45,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:03:47",760,752,0,8,0,335,327,0,8,0,331,4,850,515,231,43,8,6,0,30,13
10,BUZĂU,"GRADINIȚA CU PROGRAM PRELUNGIT NR.8",46,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:09:30",1562,1553,0,9,0,703,694,0,9,0,703,0,1700,996,442,113,13,17,4,80,34
10,BUZĂU,"LICEUL AGRICOL ”DR. CONSTANTIN ANGELESCU”",40,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:59:05",1240,1232,2,5,1,594,588,0,5,1,586,8,1400,806,356,84,22,15,9,68,32
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”IOLANDA BALAŞ SÖTER”",70,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:21:01",1202,1194,0,8,0,532,524,0,8,0,521,11,1300,768,356,62,12,34,5,32,20
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”IOLANDA BALAŞ SÖTER”",69,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:35",315,308,0,7,0,315,308,0,7,0,312,3,900,585,217,44,7,4,3,25,12
10,BUZĂU,"LICEUL CU PROGRAM SPORTIV ”IOLANDA BALAŞ SÖTER”",71,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:17",1024,1013,0,11,0,423,412,0,11,0,418,5,1100,677,302,47,13,12,31,4,9
10,BUZĂU,"LICEUL DE ARTE ”MARGARETA STERIAN”",33,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:53",1389,1379,1,6,3,628,619,0,6,3,615,13,1500,872,429,98,13,20,2,40,13
10,BUZĂU,"LICEUL TEHNIC BUZĂU",31,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:39:23",784,779,0,5,0,360,355,0,5,0,355,5,900,540,278,30,11,6,5,18,7
10,BUZĂU,"LICEUL TEHNIC BUZĂU",32,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 18:25:01",817,802,2,10,3,369,356,0,10,3,362,7,900,531,281,36,5,5,8,13,14
10,BUZĂU,"LICEUL TEHNOLOGIC ”DIMITRIE FILIPESCU”",38,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:26:56",1337,1331,2,4,0,563,559,0,4,0,550,13,1500,937,418,49,24,10,4,31,14
10,BUZĂU,"LICEUL TEHNOLOGIC ”DIMITRIE FILIPESCU”",39,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:50",1409,1403,0,6,0,477,471,0,6,0,464,13,1500,1023,362,38,12,6,8,24,14
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",11,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:18",1185,1181,0,4,0,502,498,0,4,0,495,7,1300,798,348,59,14,6,4,48,16
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",10,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:49",1325,1320,0,4,1,542,537,0,4,1,537,5,1500,958,383,57,15,13,2,52,15
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",9,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:21:30",1518,1514,0,4,0,612,608,0,4,0,606,6,1700,1088,468,69,17,13,3,31,5
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”",12,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:32:36",1333,1326,1,6,0,534,528,0,6,0,524,10,1500,966,385,50,17,13,5,33,21
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”– SALĂ DE SPORT",8,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:42",1082,1075,2,5,0,465,460,0,5,0,454,11,1200,735,313,49,17,13,3,43,16
10,BUZĂU,"LICEUL TEHNOLOGIC ”GRIGORE C. MOISIL”– SALĂ DE SPORT",7,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:48",976,964,2,10,0,421,411,0,10,0,404,17,1100,679,244,60,16,11,1,51,21
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",24,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:24",1262,1257,0,5,0,357,352,0,5,0,336,21,1400,1043,246,37,32,5,3,9,4
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",25,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:35",1104,1097,0,7,0,478,471,0,7,0,465,13,1200,722,343,50,21,3,1,27,20
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",26,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:28",1264,1259,0,5,0,517,512,0,5,0,506,11,1400,883,392,45,9,14,3,27,16
10,BUZĂU,"LICEUL TEHNOLOGIC ”HENRI COANDĂ”",23,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:49",1372,1351,0,9,12,471,451,0,9,11,457,14,1500,1029,354,44,19,3,3,22,12
10,BUZĂU,"LICEUL TEHNOLOGIC MESERII ŞI SERVICII",76,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:48:24",974,963,0,11,0,353,342,0,11,0,343,10,1100,747,229,62,16,12,4,13,7
10,BUZĂU,"LICEUL TEHNOLOGIC MESERII ŞI SERVICII",77,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:06:14",1432,1422,2,8,0,508,500,0,8,0,480,28,1600,1092,300,105,23,9,6,26,11
10,BUZĂU,"LICEUL TEORETIC DE INFORMATICĂ ”ALEXANDRU MARGHILOMAN”",22,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:47:26",1304,1298,0,6,0,562,556,0,6,0,550,11,1400,839,379,65,19,15,7,44,21
10,BUZĂU,"LICEUL TEORETIC DE INFORMATICĂ ”ALEXANDRU MARGHILOMAN”",20,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:04",1267,1258,0,9,0,571,562,0,9,0,559,12,1400,829,412,62,20,10,2,35,18
10,BUZĂU,"LICEUL TEORETIC DE INFORMATICĂ ”ALEXANDRU MARGHILOMAN”",21,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:27:48",1217,1215,0,2,0,515,513,0,2,0,504,11,1400,885,373,54,9,14,4,38,12
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”CAPITAN AVIATOR MIRCEA T. BĂDULESCU”",60,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:46:56",1234,1225,5,4,0,501,497,0,4,0,473,28,1300,799,285,76,10,10,1,56,35
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”CAPITAN AVIATOR MIRCEA T. BĂDULESCU”",61,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:53",1113,1104,1,8,0,506,498,0,8,0,498,8,1200,694,327,68,10,13,2,51,27
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”CĂPITAN AVIATOR MIRCEA T. BĂDULESCU”",59,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:02:30",1365,1346,3,16,0,640,624,0,16,0,627,13,1500,640,389,95,13,19,5,68,38
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”CĂPITAN AVIATOR MIRCEA T. BĂDULESCU”",58,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:07:50",1244,1239,1,4,0,614,610,0,4,0,602,12,1400,786,389,71,20,15,9,74,24
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”EPISCOP DIONISIE ROMANO”",2,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:22",1415,1399,3,13,0,637,624,0,13,0,626,11,1500,863,368,107,12,16,9,82,32
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”EPISCOP DIONISIE ROMANO”",1,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:16:15",1502,1491,2,8,1,667,658,0,8,1,643,24,1600,933,396,98,22,21,10,50,46
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”GENERAL GRIGORE BAŞTAN”",18,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:21:52",1187,1179,1,7,0,481,474,0,7,0,473,8,1300,819,307,62,14,9,8,47,26
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”GENERAL GRIGORE BAŞTAN”",16,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:11",1040,1033,0,7,0,420,413,0,7,0,411,9,1100,680,312,40,0,5,3,31,20
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”GENERAL GRIGORE BAŞTAN”",17,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:48:53",1150,1141,0,9,0,532,523,0,9,0,513,19,1300,768,378,64,10,8,3,36,14
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”GENERAL GRIGORE BAŞTAN”",19,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:19:21",1133,1128,0,5,0,464,459,0,5,0,372,92,1200,736,260,46,14,5,6,23,18
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE EMIL PALADE”",53,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:00",1117,1111,1,5,0,447,442,0,5,0,438,9,1200,753,326,45,5,15,2,37,8
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE EMIL PALADE”",54,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:10",1243,1234,1,8,0,590,582,0,8,0,574,16,1400,810,378,93,8,12,3,53,27
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE EMIL PALADE”",55,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:19",1098,1091,0,7,0,484,477,0,7,0,470,14,1200,716,316,56,6,16,3,49,24
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE EMIL PALADE”",56,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 17:18:14",1403,1399,0,4,0,629,625,0,4,0,608,21,1600,971,347,111,11,30,5,71,33
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE EMIL PALADE”",52,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:29",1401,1388,1,12,0,614,602,0,12,0,604,10,1600,986,383,76,13,25,6,64,37
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",27,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:22:54",1431,1427,1,3,0,597,594,0,3,0,590,7,1600,1003,434,69,10,8,8,43,18
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",29,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:30",1532,1528,1,3,0,658,655,0,3,0,650,8,1700,1042,475,70,13,6,22,43,21
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",30,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:16:24",1262,1261,1,0,0,604,604,0,0,0,592,12,1400,796,453,46,18,11,4,34,26
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”ION CREANGĂ”",28,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:07:41",1310,1302,1,7,0,602,595,0,7,0,593,9,1400,798,437,65,16,8,6,42,19
10,BUZĂU,"ȘCOALA GIMNAZIALA ”MIHAI L KOGĂLNICEANU”",79,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:19:32",1626,1626,0,0,0,603,603,0,0,0,551,52,1800,1197,246,239,36,4,9,14,3
10,BUZĂU,"ȘCOALA GIMNAZIALA ”MIHAI L KOGĂLNICEANU”",78,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:54:28",1526,1522,0,4,0,516,512,0,4,0,496,20,1700,1179,312,82,20,9,7,45,21
10,BUZĂU,"ȘCOALA GIMNAZIALA ”MIHAI L KOGĂLNICEANU”",80,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:02:09",1668,1668,0,0,0,609,609,0,0,0,485,124,1800,1188,228,190,32,7,13,12,3
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICOLAE TITULESCU„",63,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:45",1270,1257,3,10,0,542,532,0,10,0,535,7,1400,858,296,87,20,16,2,83,31
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICOLAE TITULESCU„",64,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:01",1385,1379,0,6,0,590,584,0,6,0,579,11,1500,910,338,69,31,25,5,76,35
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICU CONSTANTINESCU”",41,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:06",1029,1020,0,9,0,444,435,0,9,0,435,9,1100,656,292,40,15,12,5,58,13
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICU CONSTANTINESCU”",43,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:45:04",1589,1579,2,7,1,699,691,0,7,1,685,14,1700,999,418,131,21,21,5,52,37
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”NICU CONSTANTINESCU”",42,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:06:26",914,909,2,3,0,412,409,0,3,0,404,8,1000,588,271,51,7,7,1,36,31
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",4,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:55:12",1499,1485,0,14,0,718,704,0,14,0,691,13,1600,882,487,77,15,16,3,73,20
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",3,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:42",1241,1239,0,2,0,492,490,0,2,0,486,6,1400,908,322,63,11,23,4,49,14
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",5,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:41",1484,1478,0,6,0,704,698,0,6,0,682,22,1700,996,483,98,20,11,3,36,31
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR.11",6,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:01",1311,1308,0,3,0,566,563,0,3,0,551,15,1400,834,389,63,14,12,1,48,24
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 7",15,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:07",1604,1597,1,6,0,718,712,0,6,0,712,6,1800,1082,530,74,18,9,3,50,28
10,BUZĂU,"ŞCOALA GIMNAZIALĂ NR. 7",14,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:43:04",1648,1640,0,6,2,688,680,0,6,2,670,10,1800,1112,494,83,24,5,5,45,14
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",36,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:31",1132,1132,0,0,0,486,486,0,0,0,478,8,1300,814,364,47,17,8,5,20,17
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",35,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:54",893,890,2,0,1,355,352,2,0,1,348,7,1000,645,256,26,21,2,4,25,14
10,BUZĂU,"ŞCOALA GIMNAZIALĂ ”P.H. ZANGOPOL”",37,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:19:41",1464,1454,1,9,0,603,594,0,9,0,595,8,1600,989,452,47,19,32,11,19,15
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",67,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:06",1394,1387,0,6,1,588,581,0,6,1,572,16,1500,912,398,61,31,15,4,43,20
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",65,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:15",1216,1182,0,9,25,499,465,0,9,25,496,3,1700,1201,344,85,6,14,2,30,15
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",68,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:49:09",1586,1575,1,10,0,694,684,0,10,0,672,22,1700,1006,442,91,18,27,5,52,37
10,BUZĂU,"ȘCOALA GIMNAZIALĂ ”SFÂNTUL APOSTOL ANDREI”",66,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:57:22",1317,1311,1,5,0,508,503,0,5,0,493,14,1500,993,336,68,16,17,18,6,32
10,BUZĂU,"SEMINARUL TEOLOGIC ORTODOX ”CHESARIE EPISCOPUL”",73,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:22:45",1314,1304,0,8,2,621,611,0,8,2,613,8,1500,879,369,115,11,14,5,62,37
10,BUZĂU,"SEMINARUL TEOLOGIC ORTODOX ”CHESARIE EPISCOPUL”",74,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:01:19",1593,1584,0,8,1,612,603,0,8,1,600,12,1700,1088,377,95,16,24,7,63,18
