precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PURCARU GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BEJAN RĂZVAN-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","STATE TUDORICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂICOIANU CIPRIAN-MIHAIL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",74,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:55",698,695,1,2,0,341,339,0,2,0,332,9,770,429,176,46,16,94
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",76,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:31",928,917,0,6,5,428,417,0,6,5,417,11,1020,592,187,66,21,143
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",72,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:57",1234,1231,1,1,1,624,622,0,1,1,613,11,1360,736,305,122,24,162
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",75,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:18",926,918,0,6,2,442,434,0,6,2,418,24,1010,568,181,67,43,127
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.3",73,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:34",718,712,0,5,1,347,341,0,5,1,335,12,790,443,153,79,17,86
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",79,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:56",829,820,0,7,2,390,381,0,7,2,371,19,910,520,166,60,18,127
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",77,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:03",908,897,1,7,3,402,392,0,7,3,391,11,990,588,162,61,25,143
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",80,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:54:37",877,869,0,6,2,426,418,0,6,2,417,9,960,534,151,82,30,154
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",78,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:27",619,613,0,5,1,271,265,0,5,1,264,7,670,399,110,45,20,89
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.4",81,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:39:35",802,792,0,8,2,400,390,0,8,2,389,7,870,470,189,61,20,119
