precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OLTENILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","DAN AURELIAN-LEONARD-voturi"
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",115,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:03:38",1552,1527,18,7,0,670,663,0,7,0,646,24,1700,1030,92,81,289,3,2,4,6,10,3,5,103,22,17,9
17,DOLJ,"COLEGIUL NAŢIONAL PEDAGOGIC ”ŞTEFAN VELOVAN”",114,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:20:58",1886,1876,3,7,0,697,688,2,7,0,686,11,2000,1303,92,112,295,0,1,5,0,4,5,2,110,25,23,12
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENITESCU”",103,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:31",1440,1422,12,6,0,595,589,0,6,0,577,18,1700,1105,79,110,261,2,0,3,4,1,1,1,80,17,14,4
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",106,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:50:23",1512,1502,1,9,0,587,578,0,9,0,564,23,1700,1113,67,79,264,4,3,9,2,7,2,1,76,22,14,14
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",104,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:27:31",1773,1761,6,6,0,677,671,0,6,0,650,27,2000,1323,69,117,279,3,1,9,3,10,9,2,86,24,23,15
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",107,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:51:39",1514,1508,0,6,0,522,516,0,6,0,504,18,1700,1178,63,77,231,1,4,4,9,5,5,7,57,15,21,5
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",105,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:39:34",1423,1412,1,10,0,532,522,0,10,0,512,20,1600,1068,72,77,259,0,1,2,1,6,5,1,52,21,12,3
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",69,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:37:56",1645,1638,0,7,0,608,601,0,7,0,584,24,1800,1192,80,125,229,0,3,5,2,6,7,9,77,17,11,13
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",68,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:19:05",1738,1732,0,6,0,579,573,0,6,0,561,18,2000,1421,68,136,271,2,1,1,5,0,5,1,34,27,6,4
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",67,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:18:55",1724,1720,0,4,0,656,652,0,4,0,624,12,1900,1264,102,84,275,1,0,5,2,6,6,4,90,17,17,15
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",112,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:20:19",1537,1512,5,9,11,614,594,0,9,11,597,17,1600,986,83,95,278,0,8,2,5,9,6,1,78,6,19,7
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",113,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:51:48",1190,1181,2,7,0,516,509,0,7,0,495,21,1300,784,52,84,223,3,3,7,6,4,3,2,79,7,14,8
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",111,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:48:02",1525,1520,0,5,0,668,663,0,5,0,631,32,1600,932,78,90,308,1,2,4,4,12,10,1,91,15,10,5
17,DOLJ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ CRAIOVA CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE ”CLUBUL SENIORILOR”",40,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:24",874,868,0,6,0,339,333,0,6,0,323,16,1000,661,50,71,138,0,0,2,3,3,1,2,31,9,5,8
17,DOLJ,"FACULTATEA DE AGRONOMIE",64,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:55:36",1683,1663,13,6,1,720,713,0,6,1,697,23,1900,1180,124,103,239,5,3,5,6,6,3,6,136,16,27,18
17,DOLJ,"FACULTATEA DE AGRONOMIE",63,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:56:44",1978,1948,6,24,0,690,666,0,24,0,667,23,2200,1510,81,121,303,2,4,4,4,5,2,2,83,24,16,16
17,DOLJ,"FACULTATEA DE MECANICĂ",162,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:49",991,912,4,75,0,486,411,0,75,0,471,15,1000,514,74,69,185,0,1,4,3,12,5,0,86,7,14,11
17,DOLJ,"GRĂDINITA CU PROGRAM NORMAL ”CASA CU PITICI” (FOSTA NR. 15) – STRUCTURĂ A ŞCOLII GIMNAZIALE ”ION CREANGA” (FOSTĂ NR.16)",73,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:29:21",1664,1655,0,9,0,606,597,0,9,0,576,10,1900,1303,64,163,251,0,5,11,1,4,5,2,36,30,2,2
17,DOLJ,"GRĂDINIȚA CU PROGRAM NORMAL ”ÎNGERAȘII” ( FOSTA NR. 5)",139,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:10:30",1901,1894,1,6,0,807,801,0,6,0,789,18,2000,1193,90,165,348,4,0,4,2,10,8,8,101,25,13,11
17,DOLJ,"GRĂDINIȚA CU PROGRAM NORMAL” ÎNGERAȘII” (FOSTĂ NR.5)",136,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:02:45",1642,1632,0,10,0,677,667,0,10,0,655,22,1800,1123,77,110,320,3,2,7,5,8,7,3,79,22,5,7
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR.14 ”LUCEAFĂRUL” – STRUCTURĂ A ŞCOLII GIMNAZIALE ”NICOLAE BĂLCESCU” (FOSTA NR.39)",161,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:42:45",1314,1305,1,8,0,569,561,0,8,0,547,22,1400,831,88,90,207,1,3,6,3,5,7,1,101,9,18,8
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR.16-STRUCTURĂ A ŞCOLII GIMNAZIALE ”ION ŢUCULESCU” (FOSTA NR.14)",138,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:59:23",1724,1716,0,6,2,766,758,0,6,2,754,12,1800,1034,103,153,314,5,4,3,4,4,5,8,92,34,16,9
17,DOLJ,"GRADINITA CU PROGRAM NORMAL NR.35 – STRUCTURĂ A SCOLII GIMNAZIALE ”ION ŢUCULESCU” (FOSTĂ NR.14)",137,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:43:14",1327,1282,1,26,18,642,598,0,26,18,619,23,1400,758,65,116,290,1,2,10,1,10,6,6,58,40,7,7
17,DOLJ,"GRADINIŢA CU PROGRAM NORMAL ”PRICHINDEL”(FOSTA NR. 55) – STRUCTURĂ A ŞCOLII GIMNAZIALE ”MIHAI EMINESCU” (FOSTA NR.37)",19,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:30",1264,1247,2,15,0,451,436,0,15,0,440,11,1400,949,60,92,168,0,8,4,1,8,4,4,64,19,5,3
17,DOLJ,"GRADINIŢA CU PROGRAM NORMAL ”PRICHINDEL”(FOSTA NR. 55) – STRUCTURĂ A ŞCOLII GIMNAZIALE ”MIHAI EMINESCU” (FOSTA NR.37))",18,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:14",957,947,1,9,0,356,347,0,9,0,346,10,1326,970,39,60,176,1,0,2,1,4,3,3,38,6,4,9
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL ROVINE 2 – STRUCTURĂ A ŞCOLII GIMNAZIALE ”ION CREANGA” (FOSTĂ NR.16)",172,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:43:30",567,561,0,6,0,241,235,0,6,0,232,9,700,459,16,61,123,0,0,2,0,1,1,1,17,9,0,1
17,DOLJ,"GRADINITA CU PROGRAM PRELUNGIT ”CASUTA CU POVESTI” (FOSTA NR. 43)",117,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:20:32",1381,1358,15,8,0,579,571,0,8,0,562,17,1400,821,101,89,242,2,1,4,4,2,8,0,75,11,16,7
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA CU POVESTI” (FOSTA NR.43)",116,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:44:42",1568,1552,7,9,0,585,576,0,9,0,568,17,1700,1115,62,86,254,1,3,5,3,10,7,7,88,20,14,8
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATA” ( FOSTĂ NR.37)",13,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:36:05",1670,1661,0,9,0,723,714,0,9,0,684,23,1900,1193,88,80,296,2,2,2,4,14,4,14,118,23,26,11
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATA”(FOSTĂ NR.37)",14,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:26:31",1594,1523,3,23,45,562,494,0,23,45,533,29,1700,1138,65,110,235,0,0,5,3,4,5,2,70,20,7,7
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE ALBASTRA” (FOSTA NR.40)",92,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:09",1186,1178,1,7,0,418,411,0,7,0,409,9,1400,982,44,82,183,0,1,5,3,4,5,2,54,16,8,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE ALBASTRA” (FOSTA NR.40)",93,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:26",1397,1384,4,8,1,452,443,0,8,1,439,13,1600,1148,52,78,214,3,5,2,2,8,2,3,47,12,7,4
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”FLOAREA SOARELUI” (FOSTA NR.51)",85,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:56",1190,1181,2,7,0,493,486,0,7,0,486,7,1300,807,55,71,226,0,1,4,6,9,1,0,70,24,13,6
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”FLOAREA SOARELUI” (FOSTA NR.51)",87,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:51:25",1180,1175,0,5,0,450,445,0,5,0,435,15,1400,950,47,64,222,3,1,4,4,2,10,3,52,13,6,4
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”FLOAREA SOARELUI” (FOSTA NR.51)",86,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:20:37",1224,1216,1,7,0,456,449,0,7,0,432,24,1400,943,45,71,197,4,1,4,1,2,5,1,64,16,11,10
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”ION CREANGA” (FOSTA NR. 42)",29,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:55:18",1221,1216,1,4,0,536,532,0,4,0,521,15,1400,864,72,66,237,2,3,8,3,4,1,3,79,14,18,11
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PARADISUL COPIILOR” (FOSTA NR. 24)",65,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:25:40",1186,1178,0,8,0,419,411,0,8,0,403,16,1300,881,42,75,143,0,2,6,6,3,4,7,54,11,13,37
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PARADISUL COPIILOR”, (FOSTA NR. 24)",66,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:12",903,890,1,12,0,386,374,0,12,0,373,13,1000,614,48,56,141,2,5,6,0,4,4,3,84,7,9,4
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PETRACHE POENARU” (FOSTA SCOALA CU CLASELE I VIII NR.9 PETRACHE POENARU)",144,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:47:20",1581,1531,0,7,43,750,700,0,7,43,712,38,2000,1250,93,104,293,3,0,6,2,8,6,10,123,14,34,16
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PETRACHE POENARU” (FOSTA SCOALA CU CLASELE I VIII NR.9 PETRACHE POENARU)",145,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:02:47",1166,1092,2,9,63,539,467,0,9,63,503,36,1600,1061,58,71,205,5,3,8,2,9,4,3,98,4,20,13
17,DOLJ,"GRADINITA CU PROGRAM PRELUNGIT ”PHOENIX” (FOSTA NR. 52)",102,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:30:33",1077,1069,0,8,0,401,393,0,8,0,399,2,1200,799,60,55,193,0,6,4,2,5,1,1,43,13,13,3
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PHOENIX” (FOSTA NR.52)",101,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:29:22",1087,1081,1,5,0,387,382,0,5,0,382,5,1300,913,42,68,188,1,1,9,0,4,9,2,42,9,5,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCHIO”",148,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:01",1096,1084,6,6,0,482,476,0,6,0,471,11,1100,618,55,55,205,0,2,3,11,5,3,4,101,10,10,7
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PITICOT” (FOSTA NR.45)",84,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:01",894,886,1,7,0,357,350,0,7,0,350,7,1100,743,26,66,173,0,1,7,1,3,2,1,39,14,7,10
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PITICOT” (FOSTA NR.45)",82,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:24:24",1465,1456,1,8,0,571,563,0,8,0,563,8,1700,1129,64,78,309,4,3,5,0,13,5,2,51,11,14,4
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PITICOT” (FOSTA NR.45)",83,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:56:42",1137,1130,0,7,0,435,428,0,7,0,424,11,1300,865,56,64,208,0,2,8,1,4,1,3,48,13,7,9
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SF. LUCIA” (FOSTA NR.50)",143,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:18:56",818,813,0,5,0,405,400,0,5,0,387,15,900,498,50,76,151,2,1,0,7,6,1,2,62,8,16,5
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SF. LUCIA” (FOSTA NR.50)",142,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:39:10",894,883,1,10,0,397,387,0,10,0,390,7,900,503,51,56,178,1,0,6,2,3,0,5,52,11,20,5
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TUDOR VLADIMIRESCU” (FOSTA NR.21)",128,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:23:08",1683,1621,56,6,0,720,711,3,6,0,708,12,1700,980,110,120,253,2,0,7,4,7,7,3,141,17,24,13
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEII” (FOSTA NR.32)",119,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:45",1269,1256,7,6,0,503,497,0,6,0,495,8,1300,797,67,77,220,1,2,0,4,7,7,1,72,19,13,5
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEII” (FOSTA NR.32)",118,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:43",1288,1279,2,7,0,544,537,0,7,0,520,24,1400,856,83,60,215,2,1,5,13,8,3,0,76,28,17,9
17,DOLJ,"GRADINIŢA DE COPII CU PROGRAM PRELUNGIT ”ELENA FARAGO”(FOSTA NR. 41)",27,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:57:30",1180,1169,2,9,0,436,427,0,9,0,413,23,1400,964,42,91,187,1,1,6,3,5,3,3,50,9,6,6
17,DOLJ,"GRADINIŢA DE COPII CU PROGRAM PRELUNGIT ”ELENA FARAGO”(FOSTA NR.41)",26,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:44:32",762,752,0,10,0,274,264,0,10,0,262,12,900,626,28,50,116,1,3,2,0,1,0,1,30,12,5,9
17,DOLJ,"LICEUL CU PROGRAM SPORTIV ”PETRACHE TRIŞCU”",4,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:47:15",1686,1654,14,17,1,758,739,1,17,1,734,24,1700,942,111,125,270,2,4,11,12,3,4,3,130,16,35,8
17,DOLJ,"LICEUL CU PROGRAM SPORTIV ”PETRACHE TRIȘCU”",5,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:25:43",1694,1652,26,16,0,733,717,0,16,0,707,26,1900,965,99,115,267,4,1,6,6,10,5,6,119,25,30,14
17,DOLJ,"LICEUL DE ARTE ”MARIN SORESCU”",51,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 12:08:21",1501,1342,42,13,104,662,553,0,13,96,640,11,1500,838,100,96,296,3,2,9,8,4,2,6,88,17,0,9
17,DOLJ,"LICEUL DE ARTE ”MARIN SORESCU”",50,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:26:22",1332,1266,16,9,41,613,563,0,9,41,597,16,1500,887,82,93,269,2,2,2,1,7,4,2,93,12,15,13
17,DOLJ,"LICEUL ”MATEI BASARAB”",152,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:45:58",949,938,2,9,0,394,385,0,9,0,372,22,1000,606,36,50,163,1,4,2,3,4,2,3,71,19,10,4
17,DOLJ,"LICEUL ”MATEI BASARAB”",153,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:54",822,813,0,9,0,312,303,0,9,0,307,5,900,588,36,51,140,0,3,3,2,8,1,0,38,14,10,1
17,DOLJ,"LICEUL TEHNOLOGIC AUTO",164,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:29:55",1223,1194,21,8,0,464,456,0,8,0,455,9,1300,836,58,57,197,0,0,3,4,7,7,3,78,7,28,6
17,DOLJ,"LICEUL TEHNOLOGIC AUTO",163,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:32:50",1488,1472,6,10,0,612,602,0,10,0,606,6,1700,1088,66,70,285,2,2,6,5,5,9,2,103,18,22,11
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",36,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:03",1831,1823,2,6,0,704,698,0,6,0,667,37,2100,1396,66,106,301,5,2,11,4,4,2,8,98,23,25,12
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",38,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:27",1778,1765,0,7,6,652,639,0,7,6,623,29,2000,1348,73,136,298,3,1,7,1,2,0,13,54,11,18,6
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",37,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:45:47",1841,1827,4,10,0,657,646,1,10,0,632,25,2200,1543,87,121,290,0,0,11,3,9,2,10,55,25,14,5
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",35,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:18:33",1875,1868,1,6,0,619,613,0,6,0,578,41,2200,1581,68,122,264,0,3,6,5,5,2,7,57,19,14,6
