precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","SIMÓ ZOLTÁN-voturi"
21,HARGHITA,"CĂMINUL CULTURAL",277,TUŞNAD,86188,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:50:01",165,156,0,4,5,122,113,0,4,5,109,13,200,78,4,2,1,0,100,2,0
21,HARGHITA,"CĂMINUL CULTURAL",205,OCLAND,85243,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:46",390,390,0,0,0,221,221,0,0,0,192,29,450,229,3,6,18,3,154,6,2
21,HARGHITA,"CĂMINUL CULTURAL",245,SÂNSIMION,85840,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:57",1205,1167,4,3,31,741,707,0,3,31,707,34,1300,559,7,11,18,4,646,18,3
21,HARGHITA,"CĂMINUL CULTURAL",244,SÂNSIMION,85840,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:48",741,721,0,5,15,426,406,0,5,15,405,21,800,374,6,6,7,4,366,12,4
21,HARGHITA,"CĂMINUL CULTURAL ARMĂŞENI",109,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:15:22",717,709,0,2,6,346,338,0,2,6,332,14,346,0,5,5,4,4,306,6,2
21,HARGHITA,"CĂMINUL CULTURAL ARMĂŞENI-NOI",110,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:53:07",264,258,1,4,1,166,161,0,4,1,152,14,300,134,1,3,4,4,134,5,1
21,HARGHITA,"CĂMINUL CULTURAL ATIA",122,CORUND,84175,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:50:19",178,172,1,1,4,91,85,1,1,4,88,3,200,109,2,1,0,3,82,0,0
21,HARGHITA,"CÃMINUL CULTURAL ATID",88,ATID,83785,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:54:40",1086,1081,0,5,0,433,428,0,5,0,375,58,1000,567,17,9,37,16,280,7,9
21,HARGHITA,"CĂMINUL CULTURAL BECAŞ",217,PRAID,85341,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:43:54",99,94,0,5,0,56,51,0,5,0,52,4,300,244,0,5,3,2,36,5,1
21,HARGHITA,"CĂMINUL CULTURAL BETA",198,MUGENI,85127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:35",274,270,0,4,0,172,168,0,4,0,166,6,300,128,2,1,3,2,152,6,0
21,HARGHITA,"CĂMINUL CULTURAL BETEŞTI",81,"ORAŞ CRISTURU SECUIESC",83525,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:44",720,704,6,9,1,312,302,0,9,1,271,41,1000,688,7,13,12,8,154,75,2
21,HARGHITA,"CÃMINUL CULTURAL CEHEŢEL",262,ŞIMONEŞTI,85984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:03",101,93,1,7,0,47,39,1,7,0,44,3,200,153,2,2,2,0,34,4,0
21,HARGHITA,"CĂMINUL CULTURAL CHINUȘU",184,MĂRTINIŞ,84923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:46:45",120,113,2,5,0,70,64,1,5,0,70,0,200,130,5,0,0,1,59,5,0
21,HARGHITA,"CÃMINUL CULTURAL COBĂTEŞTI",263,ŞIMONEŞTI,85984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:05:19",445,414,0,5,26,302,271,0,5,26,285,17,400,98,4,2,13,0,264,2,0
21,HARGHITA,"CÃMINUL CULTURAL CRISENI",89,ATID,83785,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:34:13",567,563,1,3,0,231,227,1,3,0,187,44,600,369,19,2,24,12,122,5,3
21,HARGHITA,"CÃMINUL CULTURAL CUSMED",90,ATID,83785,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:54:07",356,352,2,2,0,150,148,0,2,0,127,23,400,250,4,8,17,10,76,6,6
21,HARGHITA,"CĂMINUL CULTURAL DĂNEȘTI",128,DĂNEŞTI,84237,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:33",972,935,2,0,35,599,564,0,0,35,572,27,1000,401,9,2,8,9,531,13,0
21,HARGHITA,"CĂMINUL CULTURAL DĂNEȘTI",127,DĂNEŞTI,84237,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:26",897,873,0,0,24,529,505,0,0,24,502,27,1000,471,2,3,7,1,475,12,2
21,HARGHITA,"CĂMINUL CULTURAL DEJUŢIU",199,MUGENI,85127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:24:18",172,168,0,4,0,90,86,0,4,0,89,1,200,110,2,0,3,1,79,4,0
21,HARGHITA,"CĂMINUL CULTURAL EGHERSEC",113,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:23:14",91,86,0,4,1,45,40,0,4,1,42,3,200,155,1,0,2,1,36,1,1
21,HARGHITA,"CĂMINUL CULTURAL EGHERSEC-CINOD",112,CIUCSÂNGEORGIU,83981,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:15:46",149,144,3,2,0,79,77,0,2,0,68,11,200,121,0,1,4,0,59,3,1
21,HARGHITA,"CĂMINUL CULTURAL „FERENCZI LÁSZLÓ”",138,DITRĂU,84344,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:35:35",512,497,1,1,13,277,262,1,1,13,257,20,600,323,3,4,7,0,239,4,0
21,HARGHITA,"CĂMINUL CULTURAL IGHIU",280,ULIEŞ,86222,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:47:12",57,51,0,6,0,24,18,0,6,0,21,3,150,126,0,2,3,1,15,0,0
21,HARGHITA,"CĂMINUL CULTURAL LUTIŢA",201,MUGENI,85127,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:13",615,602,2,2,9,377,366,0,2,9,363,14,600,223,6,7,7,6,325,12,0
21,HARGHITA,"CĂMINUL CULTURAL MĂRTINIȘ",181,MĂRTINIŞ,84923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:17:33",554,514,5,0,35,284,265,1,0,18,273,11,500,216,2,4,12,2,243,9,1
21,HARGHITA,"CĂMINUL CULTURAL MĂTIŞENI",202,MUGENI,85127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:14:35",113,109,0,4,0,66,62,0,4,0,66,0,200,134,0,0,2,1,59,4,0
21,HARGHITA,"CÃMINUL CULTURAL MIHĂILENI",265,ŞIMONEŞTI,85984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:43:42",431,415,0,2,14,287,271,0,2,14,277,10,400,113,5,7,14,4,212,35,0
21,HARGHITA,"CĂMINUL CULTURAL MUGENI",196,MUGENI,85127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:56",979,961,2,1,15,469,453,0,1,15,427,42,1000,531,10,12,19,11,320,51,4
21,HARGHITA,"CĂMINUL CULTURAL NICOLEȘTI",281,ULIEŞ,86222,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:55:14",185,180,0,5,0,96,91,0,5,0,89,7,150,54,1,2,4,1,77,4,0
21,HARGHITA,"CĂMINUL CULTURAL PĂULENI-CIUC",206,PĂULENI-CIUC,83375,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:16:30",565,560,2,2,1,353,349,1,2,1,339,14,600,247,14,5,12,7,253,45,3
21,HARGHITA,"CĂMINUL CULTURAL PETECU",282,ULIEŞ,86222,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:40:03",177,174,0,3,0,60,57,0,3,0,51,9,200,140,1,7,8,1,31,3,0
21,HARGHITA,"CAMINUL CULTURAL PRAID",216,PRAID,85341,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:59:47",1575,1551,8,4,12,705,689,0,4,12,622,83,1600,895,18,24,46,12,471,47,4
21,HARGHITA,"CÃMINUL CULTURAL RUGĂNEŞTI",266,ŞIMONEŞTI,85984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:31:18",698,676,1,4,17,376,355,0,4,17,345,31,700,324,11,25,30,16,205,58,0
21,HARGHITA,"CAMINUL CULTURAL SATU MARE",227,"SATU MARE",86501,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:38:54",867,864,1,2,0,325,323,0,2,0,288,37,1000,675,2,9,11,3,256,7,0
21,HARGHITA,"CÃMINUL CULTURAL SICLOD",92,ATID,83785,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:25",142,138,3,1,0,62,61,0,1,0,58,4,251,189,2,1,2,0,52,1,0
21,HARGHITA,"CÃMINUL CULTURAL TĂRCEŞTI",267,ŞIMONEŞTI,85984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:34:35",190,183,0,6,1,115,108,0,6,1,104,11,200,85,2,7,3,8,70,14,0
21,HARGHITA,"CÃMINUL CULTURAL TURDENI",268,ŞIMONEŞTI,85984,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:34:51",74,64,1,8,1,46,36,1,8,1,40,6,200,154,0,1,1,1,34,3,0
21,HARGHITA,"CĂMINUL CULTURAL TUȘNAD",275,TUŞNAD,86188,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:04",733,711,1,4,17,393,372,0,4,17,352,41,800,407,1,8,9,10,317,6,1
21,HARGHITA,"CĂMINUL CULTURAL ULIEȘ",278,ULIEŞ,86222,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:05:35",276,274,0,2,0,154,152,0,2,0,150,4,250,96,4,12,7,1,115,10,1
21,HARGHITA,"CĂMINUL CULTURAL VALEA RECE",167,"LUNCA DE JOS",84656,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:06",1230,1220,2,5,3,675,667,0,5,3,614,61,1300,625,9,12,29,8,518,37,1
21,HARGHITA,"CASĂ COMUNALĂ",133,DEALU,84264,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:06:24",592,585,2,5,0,295,290,0,5,0,295,0,700,405,4,2,5,3,269,11,1
21,HARGHITA,"CASA COMUNITARĂ",158,LĂZAREA,84594,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:32:37",157,150,2,5,0,82,77,0,5,0,78,4,300,218,1,2,7,0,61,7,0
21,HARGHITA,"CASĂ DE CULTURĂ",40,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:12",1283,1264,3,10,6,646,630,0,10,6,622,24,1600,954,8,6,21,9,527,49,2
21,HARGHITA,"CASA DE CULTURĂ A SINDICATELOR MIERCUREA-CIUC",3,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:13:59",1490,1476,5,9,0,635,626,0,9,0,616,19,1600,965,16,22,40,11,454,67,6
21,HARGHITA,"CASA DE CULTURĂ BĂLAN",69,"ORAŞ BĂLAN",83464,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:29:36",1270,1258,0,2,10,475,463,0,2,10,454,21,1400,925,34,58,80,49,220,6,7
21,HARGHITA,"CASA DE CULTURĂ MORĂRENI",176,LUPENI,84825,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:54",668,655,2,3,8,434,423,0,3,8,425,9,700,266,3,1,3,2,406,7,3
21,HARGHITA,"CASA DE CULTURĂ PĂLTINIŞ",177,LUPENI,84825,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:01",459,448,0,1,10,303,292,0,1,10,289,14,500,197,1,1,1,0,286,0,0
21,HARGHITA,"CASA DE CULTURĂ PLĂIEȘII DE JOS",209,"PLĂIEŞII DE JOS",85289,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:57",636,630,2,4,0,315,310,1,4,0,288,27,700,385,5,7,13,4,257,2,0
21,HARGHITA,"CASA DE CULTURĂ RACU",220,RACU,86495,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:20",909,872,1,0,36,541,505,0,0,36,526,15,1000,459,8,2,8,1,502,4,1
21,HARGHITA,"CASA DE CULTURĂ TOPLIȚA MIERCUREA-CIUC",22,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:37",1671,1660,5,6,0,878,871,1,6,0,853,25,1800,922,13,7,18,5,710,90,10
21,HARGHITA,"CASA DE RUGĂCIUNI DOBENI",200,MUGENI,85127,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:01",482,472,1,4,5,291,282,0,4,5,276,15,500,209,2,2,4,7,246,15,0
21,HARGHITA,"CASA SOCIALĂ",131,DEALU,84264,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:35",1554,975,0,579,0,975,975,0,0,0,960,15,1600,625,14,27,28,17,866,8,0
21,HARGHITA,"CENTRUL DE INFORMARE TURISTICĂ",226,"SATU MARE",86501,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:16",763,760,3,0,0,464,463,1,0,0,437,27,800,336,9,8,4,5,404,4,3
21,HARGHITA,"CENTRUL DE PLANIFICARE A FAMILIEI FILIAŞ",82,"ORAŞ CRISTURU SECUIESC",83525,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:32",926,915,0,8,3,491,480,0,8,3,416,75,1200,709,10,24,27,10,236,108,1
21,HARGHITA,"CLĂDIREA CĂMINULUI CULTURAL TOMEȘTI",270,TOMEŞTI,86453,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:05:51",996,981,1,0,14,540,526,0,0,14,531,9,1100,560,8,3,9,5,492,12,2
21,HARGHITA,"CLĂDIREA CĂMINULUI CULTURAL TOMEȘTI",269,TOMEŞTI,86453,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:04",1157,1137,3,0,17,623,606,0,0,17,613,10,1250,627,3,3,7,4,590,5,1
21,HARGHITA,"CLĂDIREA PRIMĂRIEI",164,"LUNCA DE JOS",84656,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:44:43",606,604,0,2,0,264,262,0,2,0,258,6,700,436,4,1,15,5,184,47,2
21,HARGHITA,"CLÃDIREA PRIMÃRIEI ŞIMONEŞTI",261,ŞIMONEŞTI,85984,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:34",1127,1095,1,6,25,586,554,1,6,25,523,63,1100,514,12,20,19,15,370,87,0
21,HARGHITA,"CLUBUL ELEVILOR BĂLAN",73,"ORAŞ BĂLAN",83464,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:40:19",1283,1277,0,5,1,417,411,0,5,1,376,41,1400,983,39,41,141,57,84,4,10
21,HARGHITA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU” TOPLIŢA",62,"MUNICIPIUL TOPLIŢA",83632,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:55:25",969,960,0,8,1,433,424,0,8,1,420,13,1000,567,29,131,133,22,98,3,4
21,HARGHITA,"COLEGIUL REFORMAT ”BACZKAMADARASI KIS GERGELY”",38,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:53:35",1707,1670,10,10,17,979,952,0,10,17,961,18,1800,821,6,9,14,4,866,60,2
21,HARGHITA,"COLEGIUL REFORMAT ”BACZKAMADARASI KIS GERGELY”",39,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:00:25",1043,1009,2,9,23,397,365,0,9,23,390,7,1100,703,9,7,15,4,331,21,3
21,HARGHITA,"COLEGIUL TEHNIC ”BATTHYÁNY IGNÁC”",33,"MUNICIPIUL GHEORGHENI",83561,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:31:17",1919,1897,8,7,7,820,806,0,7,7,793,20,2000,1180,13,43,22,9,629,74,3
21,HARGHITA,COMPOSESORAT,104,CÂRŢA,84102,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:40:22",1389,1367,4,0,18,741,723,0,0,18,739,2,1500,759,6,8,6,6,701,10,2
21,HARGHITA,"COMUNA COZMENI",126,COZMENI,86446,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:40",458,456,1,0,1,229,228,0,0,1,219,10,500,271,2,1,12,4,197,3,0
21,HARGHITA,"COMUNA COZMENI",125,COZMENI,86446,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:35:12",1183,1165,3,7,8,588,572,1,7,8,517,71,1300,712,8,3,23,10,462,7,4
21,HARGHITA,"CORP DE CLĂDIRE CU 20 DE APARTAMENTE",34,"MUNICIPIUL GHEORGHENI",83561,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:53:17",84,76,0,8,0,42,34,0,8,0,41,1,500,458,2,8,14,2,13,2,0
21,HARGHITA,"GRĂDINIŢA ”ARANYALMA” MIERCUREA-CIUC",17,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:03",1562,1534,7,19,2,528,506,1,19,2,511,17,1600,1072,14,38,44,27,344,37,7
21,HARGHITA,"GRĂDINIŢA CU PROGRAM NORMAL ALSZEG ZETEA",287,ZETEA,86366,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 10:43:31",1233,1224,5,4,0,600,596,0,4,0,562,38,1250,650,6,7,15,13,499,14,8
21,HARGHITA,"GRADINITA CU PROGRAM NORMAL ”CSIGABIGA” DITRĂU",135,DITRĂU,84344,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:36:49",847,835,1,3,8,424,413,0,3,8,396,28,900,476,6,3,7,2,364,13,1
21,HARGHITA,"GRĂDINIȚA CU PROGRAM NORMAL ORĂȘENI",187,MĂRTINIŞ,84923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:12:42",214,209,0,5,0,131,126,0,5,0,126,5,200,69,1,0,2,3,114,5,1
21,HARGHITA,"GRĂDINIŢĂ DE COPII",119,CORUND,84175,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:36",1366,1314,3,2,47,627,578,0,2,47,606,21,1500,873,6,7,16,5,565,7,0
21,HARGHITA,"GRĂDINITA DE COPII ALSZEG",223,REMETEA,85412,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:41",1380,1343,3,0,34,801,766,1,0,34,766,35,1600,799,0,2,9,4,733,16,2
21,HARGHITA,"GRADINIȚA DE COPII TULAMAROS",225,REMETEA,85412,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:21",1232,1185,4,1,42,724,681,0,1,42,719,5,1300,576,2,5,4,2,693,13,0
21,HARGHITA,"GRĂDINIȚA „KIPI-KOPI” STRUCTURA BETHLENFALVI",56,"MUNICIPIUL ODORHEIU SECUIESC",83133,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:30:58",1704,1683,9,10,2,1017,1004,1,10,2,982,35,1800,783,16,9,17,7,897,33,3
21,HARGHITA,"GRĂDINIŢA „NAPRAFORGÓ” MIERCUREA-CIUC",10,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:55:50",1421,1418,2,1,0,661,660,0,1,0,642,16,1600,942,12,29,45,16,479,56,5
21,HARGHITA,"GRĂDINIȚA „VILLANYTELEP”",43,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:59:30",1245,1197,4,8,36,578,535,0,8,35,563,15,1300,722,10,6,6,5,507,23,6
21,HARGHITA,"GRĂDINIŢA VOINICEL NR.1 TOPLIŢA",60,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:19:49",1025,1021,2,2,0,445,443,0,2,0,414,31,1100,655,32,161,118,59,41,0,3
21,HARGHITA,"GRĂDINIŢA ”ZSIBONGÓ”",37,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:41",1200,1195,2,3,0,530,527,0,3,0,512,18,1300,770,10,8,26,7,430,24,7
21,HARGHITA,"LICEUL DE ARTE ”NAGY ISTVÁN” MIERCUREA-CIUC",2,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:21",1477,1462,2,11,2,670,658,0,10,2,655,15,1800,1130,26,37,49,13,451,71,8
21,HARGHITA,"LICEUL „MARIN PREDA” ODORHEIU SECUIESC",36,"MUNICIPIUL ODORHEIU SECUIESC",83133,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:02:03",1739,1725,7,7,0,946,937,2,7,0,914,32,1900,954,15,14,39,13,775,52,6
21,HARGHITA,"LICEUL MIRON CRISTEA SUBCETATE",254,SUBCETATE,85877,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:29:27",1419,1387,1,5,26,800,769,0,5,26,756,44,1550,750,135,191,338,66,18,1,7
21,HARGHITA,"LICEUL ”O.C.TĂSLĂUANU” TOPLIŢA",64,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:13:41",1206,1203,2,1,0,458,457,0,1,0,442,16,1300,842,23,162,121,55,71,3,7
21,HARGHITA,"LICEUL TEHNOLIGIC ”SZÉKELY KÁROLY” MIERCUREA-CIUC",19,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:19:16",1405,1384,10,10,1,632,621,0,10,1,620,12,1500,868,6,28,28,11,487,55,5
21,HARGHITA,"LICEUL TEHNOLIGIC ”SZÉKELY KÁROLY” MIERCUREA-CIUC",18,"MUNICIPIUL MIERCUREA-CIUC",83320,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:32:53",1451,1433,0,14,4,621,603,0,14,4,605,16,1600,979,12,22,22,16,478,48,7
