precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",50,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:23:02",1114,1107,2,4,1,423,418,0,4,1,408,15,1220,797,53,37,273,45
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",46,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:43",1105,1090,7,8,0,543,535,0,8,0,532,11,1200,657,45,64,319,104
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",48,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:23",736,726,1,8,1,292,283,0,8,1,286,6,800,508,29,20,190,47
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",47,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:48",765,758,2,5,0,294,289,0,5,0,283,11,840,546,27,33,190,33
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",45,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:45:06",1220,1213,0,7,0,408,401,0,7,0,391,17,1350,942,43,33,280,35
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”SPIRU HARET”",8,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:42",1103,1097,0,6,0,464,458,0,6,0,456,8,1210,746,34,48,319,55
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”SPIRU HARET”",9,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:16",926,919,2,5,0,372,367,0,5,0,357,15,1040,668,38,52,220,47
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”SPIRU HARET”",10,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:32",1183,1175,0,8,0,513,505,0,8,0,497,16,1300,787,54,66,305,72
16,DÂMBOVIŢA,"LICEUL TEORETIC ”ION HELIADE RĂDULESCU”",28,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:16",1031,1025,2,3,1,433,429,0,3,1,424,9,1150,717,40,63,279,42
16,DÂMBOVIŢA,"LICEUL TEORETIC ”ION HELIADE RĂDULESCU”",27,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:46",834,827,0,6,1,356,349,0,6,1,339,17,920,564,47,48,211,33
16,DÂMBOVIŢA,"LICEUL TEORETIC ”PETRU CERCEL”",12,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:48:04",1871,1830,28,10,3,839,825,1,10,3,787,52,2030,1191,97,99,497,94
16,DÂMBOVIŢA,"LICEUL ”VOIEVODUL MIRCEA”",38,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:14",1448,1429,4,10,5,544,529,0,10,5,516,28,1580,1036,42,72,319,83
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”CORESI”",39,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:56:52",1061,1053,0,8,0,482,474,0,8,0,466,16,1170,688,36,62,290,78
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",55,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:22",1306,1299,0,6,1,487,480,0,6,1,472,15,1450,963,43,42,344,43
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",57,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:09",748,738,1,7,2,323,314,0,7,2,316,7,830,507,24,31,224,37
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",56,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:19",1223,1212,1,10,0,480,470,0,10,0,456,24,1340,860,50,61,309,36
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”GRIGORE ALEXANDRESCU”",58,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:49",721,717,0,4,0,294,290,0,4,0,283,11,790,496,33,26,208,16
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",37,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:12:41",843,836,0,7,0,251,244,0,7,0,228,23,930,679,41,20,150,17
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",35,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:37",1038,1030,4,4,0,443,439,0,4,0,427,16,1140,697,34,48,297,48
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”IOAN ALEXANDRU BRĂTESCU-VOINEȘTI”",36,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:21",833,824,3,6,0,377,371,0,6,0,365,12,910,533,42,39,220,64
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MATEI BASARAB”",16,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:33:29",1390,1380,0,10,0,649,639,0,10,0,626,23,1540,891,64,110,383,69
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MATEI BASARAB”",14,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:04",901,891,2,8,0,423,415,0,8,0,412,11,980,557,27,56,269,60
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”MATEI BASARAB”",15,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:00",867,862,0,5,0,412,407,0,5,0,399,13,950,538,30,64,256,49
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”PROF. PAUL BANICĂ”",26,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:10",1014,991,1,6,16,387,365,0,6,16,379,8,1090,703,30,59,251,39
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”PROF. PAUL BANICĂ”",25,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:06",1079,1063,0,6,10,444,428,0,6,10,425,19,1170,726,46,55,280,44
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",5,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:13:15",1201,1193,0,7,1,495,487,0,7,1,478,17,1340,845,53,58,305,62
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",4,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:48:32",1066,1060,0,6,0,441,435,0,6,0,423,18,1190,749,30,82,272,39
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",6,"MUNICIPIUL TÂRGOVIŞTE",65342,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:02:26",1248,1235,3,10,0,512,502,0,10,0,494,18,1370,858,41,67,341,45
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”RADU CEL MARE”",7,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:18",1253,1244,0,9,0,549,540,0,9,0,528,21,1390,841,52,63,350,63
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",62,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:42",1464,1457,0,7,0,629,622,0,7,0,609,20,1640,1011,62,49,437,61
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",63,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:20:05",1664,1656,0,6,2,682,674,0,6,2,649,33,1840,1158,91,61,443,54
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",60,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:57",1463,1450,3,10,0,626,616,0,10,0,613,13,1600,974,59,70,416,68
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”SMARANDA GHEORGHIU”",61,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:56",1246,1239,3,4,0,545,541,0,4,0,517,28,1370,825,64,48,360,45
