precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂDULESCU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NUICĂ IONUŢ-EDUARD-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHEORGHIU ANDREI-FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","NIŢU MARIANA-FORȚA DREPTEI-voturi","CĂLINOIU ANDREI-IONUŢ-PARTIDUL ROMÂNIA MARE-voturi","NICOLAE ION-PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL BOGDĂNEȘTI",413,TOMŞANI,173935,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:20:26",567,558,0,5,4,383,374,0,5,4,348,35,620,237,173,128,20,8,10,3,6
40,VÂLCEA,"CĂMINUL CULTURAL CĂLINEŞTI",135,"ORAŞ BREZOI",167794,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:21:51",538,529,0,9,0,304,295,0,9,0,289,5,580,286,35,208,27,6,4,4,5
40,VÂLCEA,"CĂMINUL CULTURAL CREMENARI",238,GALICEA,169994,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:45:45",320,315,0,4,1,224,219,0,4,1,218,6,350,126,26,161,13,9,3,0,6
40,VÂLCEA,"CAMINUL CULTURAL DĂEŞTI",209,DĂEŞTI,169351,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:13:31",743,732,4,7,0,437,427,3,7,0,419,18,800,363,224,141,33,8,2,2,9
40,VÂLCEA,"CAMINUL CULTURAL DIANU",388,STROEŞTI,173533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:40:04",396,378,0,7,11,252,234,0,7,11,237,15,430,178,30,134,46,3,13,2,9
40,VÂLCEA,"CĂMINUL CULTURAL DÎNGEŞTI",168,BERISLĂVEŞTI,168675,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:13:27",256,248,0,5,3,171,163,0,5,3,160,11,235,64,13,125,16,5,0,0,1
40,VÂLCEA,"CĂMINUL CULTURAL DOBRICENI",379,STOENEŞTI,173230,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:50:58",989,984,0,5,0,614,609,0,5,0,599,15,1080,466,30,484,46,12,6,3,18
40,VÂLCEA,"CĂMINUL CULTURAL DRĂGANI",423,"VALEA MARE",174085,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:58",428,407,0,16,5,265,244,0,16,5,261,4,450,185,80,158,13,6,0,1,3
40,VÂLCEA,"CĂMINUL CULTURAL FOLEȘTII DE JOS",414,TOMŞANI,173935,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:06",640,630,0,8,2,412,402,0,8,2,386,26,690,278,94,174,53,13,25,17,10
40,VÂLCEA,"CĂMINUL CULTURAL FUMURENI",279,LUNGEŞTI,170952,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:27:25",491,467,0,16,8,313,289,0,16,8,301,12,540,227,114,154,23,4,3,1,2
40,VÂLCEA,"CĂMINUL CULTURAL GALICEA",234,GALICEA,169994,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:04",913,904,0,6,3,558,549,0,6,3,528,30,990,432,101,336,69,11,3,2,6
40,VÂLCEA,"CĂMINUL CULTURAL GHIOROIU",241,GHIOROIU,170097,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:54",458,416,0,16,26,292,250,0,16,26,270,22,490,198,97,145,19,4,1,0,4
40,VÂLCEA,"CĂMINUL CULTURAL GURA VĂII",182,BUJORENI,168880,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:24:19",1154,1128,1,19,6,653,628,0,19,6,635,18,1264,611,143,404,44,11,14,3,16
40,VÂLCEA,"CĂMINUL CULTURAL GUŞOIANCA",255,GUŞOENI,170444,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:58",431,399,0,15,17,278,246,0,15,17,267,11,440,162,24,216,20,3,2,1,1
40,VÂLCEA,"CĂMINUL CULTURAL IZVORU RECE",418,VAIDEENI,174021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:02:54",597,579,0,9,9,372,354,0,9,9,361,11,650,278,57,219,54,11,3,8,9
40,VÂLCEA,"CĂMINUL CULTURAL MĂGURA",299,MIHĂEŞTI,171325,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:09:18",776,746,0,17,13,511,481,0,17,13,492,19,820,309,115,297,44,21,7,1,7
40,VÂLCEA,"CĂMINUL CULTURAL MARIŢA",419,VAIDEENI,174021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:29:24",459,436,0,9,14,280,257,0,9,14,263,17,510,230,29,178,34,8,4,2,8
40,VÂLCEA,"CÃMINUL CULTURAL MITROFANI",306,MITROFANI,174520,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:30:26",579,502,0,36,41,420,343,0,36,41,409,8,560,140,132,240,26,3,6,0,2
40,VÂLCEA,"CĂMINUL CULTURAL MLĂCENI",332,PERIŞANI,172153,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:22:41",420,406,0,10,4,282,268,0,10,4,269,13,450,168,124,116,8,12,1,2,6
40,VÂLCEA,"CĂMINUL CULTURAL OTEŞANI",322,OTEŞANI,171931,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:26",1008,957,1,13,37,717,666,1,13,37,685,32,1100,383,205,351,92,16,1,3,17
40,VÂLCEA,"CĂMINUL CULTURAL PĂSCOAIA",136,"ORAŞ BREZOI",167794,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:51",170,162,1,7,0,113,106,0,7,0,111,2,180,67,56,44,4,3,3,0,1
40,VÂLCEA,"CĂMINUL CULTURAL PĂUŞEŞTI",324,PĂUŞEŞTI,171995,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:20:26",707,691,0,4,12,494,478,0,4,12,467,27,794,300,32,379,29,5,5,3,14
40,VÂLCEA,"CĂMINUL CULTURAL PERIŞANI",331,PERIŞANI,172153,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:09:06",452,435,0,8,9,337,320,0,8,9,319,18,490,153,150,134,16,12,1,4,2
40,VÂLCEA,"CĂMINUL CULTURAL PISCU MARE",380,STOENEŞTI,173230,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:40",516,491,0,25,0,328,303,0,25,0,320,8,540,212,17,272,20,0,2,3,6
40,VÂLCEA,"CĂMINUL CULTURAL POJOGI - CERNA",390,STROEŞTI,173533,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:53:58",207,194,0,10,3,140,127,0,10,3,138,2,220,80,8,103,21,1,2,2,1
40,VÂLCEA,"CĂMINUL CULTURAL POPEŞTI",341,POPEŞTI,172377,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:40:15",386,346,0,18,22,279,239,0,18,22,269,10,410,131,54,183,14,3,10,0,5
40,VÂLCEA,"CĂMINUL CULTURAL POPEŞTI",247,GOLEŞTI,170220,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:31:46",790,752,0,23,15,522,484,0,23,15,501,21,830,308,229,209,39,7,4,2,11
40,VÂLCEA,"CĂMINUL CULTURAL RACOVIŢA",346,RACOVIŢA,172509,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:51",733,691,0,29,13,518,476,0,29,13,489,29,830,301,65,303,21,8,77,5,10
40,VÂLCEA,"CĂMINUL CULTURAL RĂDĂCINEŞTI",169,BERISLĂVEŞTI,168675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:28:02",518,500,1,5,12,338,320,1,5,12,316,22,560,222,56,204,34,11,0,2,9
40,VÂLCEA,"CĂMINUL CULTURAL RÂMEȘTI",150,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:04:53",360,349,0,10,1,211,200,0,10,1,193,18,360,149,18,130,15,25,2,0,3
40,VÂLCEA,"CĂMINUL CULTURAL ROBAIA",170,BERISLĂVEŞTI,168675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:28:13",180,176,0,4,0,131,127,0,4,0,124,7,199,68,6,107,6,1,2,1,1
40,VÂLCEA,"CĂMINUL CULTURAL ROBEȘTI",190,CÂINENI,169119,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:03:28",174,166,0,8,0,108,100,0,8,0,93,15,180,72,49,16,3,20,2,0,3
40,VÂLCEA,"CĂMINUL CULTURAL ROMANII DE SUS",152,"ORAŞ HOREZU",168041,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:54",265,255,0,6,4,166,156,0,6,4,151,15,280,114,11,104,16,13,1,5,1
40,VÂLCEA,"CĂMINUL CULTURAL SĂLĂTRUCEL",360,SĂLĂTRUCEL,172894,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:21",1235,1214,2,7,12,774,754,1,7,12,737,37,1330,556,206,420,67,22,8,3,11
40,VÂLCEA,"CĂMINUL CULTURAL ŞERBĂNEŞTI",327,PĂUŞEŞTI,171995,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:50",495,487,0,3,5,322,314,0,3,5,302,20,530,208,56,214,25,2,2,0,3
40,VÂLCEA,"CĂMINUL CULTURAL SPINU",335,PERIŞANI,172153,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:05:15",287,280,0,6,1,208,201,0,6,1,191,17,310,102,95,79,7,8,0,1,1
40,VÂLCEA,"CĂMINUL CULTURAL STOENESTI",377,STOENEŞTI,173230,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:50",881,850,1,30,0,602,572,0,30,0,587,15,940,338,46,491,32,9,3,4,2
40,VÂLCEA,"CĂMINUL CULTURAL STOENEŞTI",167,BERISLĂVEŞTI,168675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:59",776,760,1,8,7,513,498,0,8,7,472,41,850,337,49,370,29,6,3,4,11
40,VÂLCEA,"CĂMINUL CULTURAL TĂNĂSEȘTI",154,"ORAŞ HOREZU",168041,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:06:14",136,125,0,10,1,88,77,0,10,1,75,13,140,52,14,46,10,3,1,0,1
40,VÂLCEA,"CĂMINUL CULTURAL TETOIU",405,TETOIU,173855,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:34:18",552,490,0,36,26,357,295,0,36,26,341,16,540,183,85,182,32,20,15,2,5
40,VÂLCEA,"CĂMINUL CULTURAL TOMŞANI",412,TOMŞANI,173935,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:47:51",904,893,0,7,4,583,572,0,7,4,547,36,990,407,127,300,60,26,10,15,9
40,VÂLCEA,"CĂMINUL CULTURAL URȘANI",155,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:24:35",384,368,1,14,1,256,240,1,14,1,238,18,401,145,33,150,11,27,6,3,8
40,VÂLCEA,"CĂMINUL CULTURAL UŞUREI",404,ŞUŞANI,173793,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:28",434,404,0,21,9,261,231,0,21,9,249,12,460,199,124,96,19,7,1,1,1
40,VÂLCEA,"CĂMINUL CULTURAL VAIDEENI",417,VAIDEENI,174021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:32",1209,1172,0,2,35,780,743,0,2,35,718,62,1290,510,103,501,73,14,3,7,17
40,VÂLCEA,"CĂMINUL CULTURAL VAIDEENI",416,VAIDEENI,174021,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:36:18",893,852,0,9,32,549,509,0,9,31,524,25,990,441,66,363,54,23,6,4,8
40,VÂLCEA,"CĂMINUL CULTURAL VULPUEŞTI",301,MIHĂEŞTI,171325,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:24",607,604,0,3,0,407,404,0,3,0,387,20,660,253,95,238,43,2,4,2,3
40,VÂLCEA,"CĂMINUL CULTURAL ZMEURĂTU",381,STOENEŞTI,173230,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:08:01",150,136,0,14,0,105,91,0,14,0,99,6,150,45,4,80,9,2,2,0,2
40,VÂLCEA,"CARTIER PETRIŞOR - PT8",49,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 12:36:08",1415,1411,0,4,0,563,559,0,4,0,552,11,1600,1037,71,298,91,23,37,11,21
40,VÂLCEA,"CASA CĂSĂTORIILOR DIN CADRUL CLĂDIRII BIBLIOTECII COMUNALE",173,BUDEŞTI,168791,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:07:35",1399,1371,5,20,3,798,775,0,20,3,792,6,1510,712,338,306,63,38,13,5,29
40,VÂLCEA,"CASA DE CULTURĂ CONSTANTIN BRÂNCOVEANU",149,"ORAŞ HOREZU",168041,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:56:59",1061,1052,1,8,0,633,625,0,8,0,615,18,1163,530,124,354,46,64,10,6,11
40,VÂLCEA,"CASA DE CULTURĂ SLĂTIOARA",369,SLĂTIOARA,173061,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:59:57",780,765,0,10,5,561,546,0,10,5,537,24,900,339,120,331,57,11,4,1,13
40,VÂLCEA,"CENTRUL CULTURAL TEPŞENARI",305,MILCOIU,171469,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:20",364,313,0,47,4,276,225,0,47,4,269,7,340,64,50,161,35,7,4,4,8
40,VÂLCEA,"CENTRUL DE INFORMARE TURISTICA CACIULATA",143,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:19:07",648,643,0,4,1,359,354,0,4,1,342,17,720,361,109,173,23,16,3,6,12
40,VÂLCEA,"CENTRUL DE ÎNGRIJIRE ȘI ASISTENȚĂ PENTRU PERSOANE VARSTNICE",223,FÂRTĂŢEŞTI,169681,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:25:46",382,351,0,19,12,247,216,0,19,12,244,3,360,113,13,142,85,3,1,0,0
40,VÂLCEA,"CENTRUL NAȚIONAL DE INFORMARE ȘI PROMOVARE TURISTICĂ CĂLIMĂNEŞTI",142,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:20:29",511,499,0,11,1,277,265,0,11,1,265,12,550,273,75,149,16,16,4,1,4
40,VÂLCEA,"CENTRUL PENTRU SERVICII SOCIALE",160,ALUNU,168229,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:00:10",277,269,0,8,0,161,153,0,8,0,149,12,300,139,39,40,50,6,2,1,11
40,VÂLCEA,"CENTRUL SOCIAL OBROCEŞTI",389,STROEŞTI,173533,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:20",259,246,0,9,4,170,157,0,9,4,152,18,280,110,24,85,19,3,8,3,10
40,VÂLCEA,"CLĂDIRE GRĂDINIȚĂ PÎRÎIENII DE JOS",275,LIVEZI,170872,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:56:11",920,872,0,25,23,590,542,0,25,23,564,26,980,390,45,254,218,17,14,3,13
40,VÂLCEA,"CLĂDIRE ȘCOALĂ I-IV TINA",274,LIVEZI,170872,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 22:02:15",535,491,0,23,21,428,384,0,23,21,369,59,590,162,30,186,115,12,8,2,16
40,VÂLCEA,"CLUBUL COPIILOR HOREZU",148,"ORAŞ HOREZU",168041,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:04",1017,1001,4,12,0,581,568,1,12,0,554,27,1128,547,92,326,47,52,9,14,14
40,VÂLCEA,"COLEGIUL ECONOMIC",54,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:31:55",1050,1046,1,3,0,509,506,0,3,0,490,19,1160,651,89,273,58,38,17,7,8
40,VÂLCEA,"COLEGIUL ECONOMIC",55,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:10:35",1055,1038,1,11,5,437,421,0,11,5,424,13,1140,703,52,265,40,37,15,1,14
40,VÂLCEA,"COLEGIUL ECONOMIC",53,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:24:41",1049,1034,3,12,0,442,434,0,8,0,424,18,1140,698,88,205,45,37,20,14,15
40,VÂLCEA,"COLEGIUL ENERGETIC",1,"MUNICIPIUL RÂMNICU VÂLCEA",167473,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:21:36",1805,1796,4,5,0,762,757,0,5,0,731,31,1970,1208,156,344,92,69,34,7,29
40,VÂLCEA,"COLEGIUL ENERGETIC",2,"MUNICIPIUL RÂMNICU VÂLCEA",167473,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 12:49:16",864,855,3,6,0,401,394,1,6,0,393,8,1040,639,63,200,50,31,24,4,21
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",29,"MUNICIPIUL RÂMNICU VÂLCEA",167473,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 13:31:25",1001,991,0,10,0,479,469,0,10,0,456,23,1091,612,102,224,48,40,17,12,13
40,VÂLCEA,"COLEGIUL NAȚIONAL ALEXANDRU LAHOVARI",30,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:57:11",1331,1319,3,9,0,639,630,0,9,0,623,16,1490,851,124,305,60,69,34,13,18
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",15,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:54:23",769,752,2,15,0,363,348,0,15,0,348,15,830,467,69,182,40,21,20,4,12
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",17,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:48:45",1209,1200,0,9,0,541,532,0,9,0,523,18,1330,789,82,293,62,39,22,5,20
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",14,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:36:27",977,967,1,9,0,377,368,0,9,0,369,8,1070,693,48,196,63,20,14,7,21
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",16,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:16",977,974,0,3,0,416,413,0,3,0,404,12,1040,624,88,205,41,28,22,6,14
40,VÂLCEA,"COLEGIUL NAȚIONAL GIB MIHĂESCU",100,"MUNICIPIUL DRĂGĂŞANI",167981,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 09:37:16",1437,1425,1,11,0,717,706,0,11,0,693,24,1570,853,181,263,95,54,70,14,16
40,VÂLCEA,"DADP - SEDIU, BL A17",34,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:34",1995,1987,3,5,0,915,910,0,5,0,883,32,2200,1285,161,462,123,59,36,13,29
40,VÂLCEA,"DIRECȚIA ADMINISTRĂRII DOMENIULUI PUBLIC",70,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:18",1153,1085,2,9,57,648,581,1,9,57,626,22,1190,542,112,350,83,34,32,12,3
40,VÂLCEA,"FOSTA ŞCOALĂ CU CLASELE I-IV BODEŞTI",164,BĂRBĂTEŞTI,168559,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:51:29",726,723,0,3,0,429,426,0,3,0,388,41,800,371,128,194,46,6,3,2,9
40,VÂLCEA,"FOSTA ȘCOALA CU CLASELE I-IV GIULEȘTII DE SUS",226,FÂRTĂŢEŞTI,169681,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:52:30",272,247,0,14,11,183,158,0,14,11,177,6,250,67,40,89,39,4,0,0,5
40,VÂLCEA,"FOSTA ȘCOALA CU CLASELE I-VIII OCNIŢA",157,"ORAŞ OCNELE MARI",168130,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:13:27",1440,1368,0,54,18,1016,944,0,54,18,984,32,1510,494,314,513,74,16,31,5,31
40,VÂLCEA,"FOSTA ŞCOALĂ DEJOI",222,FÂRTĂŢEŞTI,169681,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:50:25",389,349,0,28,12,277,237,0,28,12,265,12,400,123,20,187,46,9,0,2,1
40,VÂLCEA,"FOSTA ŞCOALĂ NEMOIU",163,AMĂRĂŞTI,168309,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:46:32",696,621,0,28,47,452,377,0,28,47,434,18,690,238,206,173,16,26,4,1,8
40,VÂLCEA,"FOSTA ŞCOALÃ RACU",307,MITROFANI,174520,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:44:23",254,213,0,23,18,192,151,0,23,18,186,6,244,52,11,164,6,2,1,0,2
40,VÂLCEA,"FOSTA ŞCOALA VERDEA",392,SUTEŞTI,173597,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:24:17",430,412,0,7,11,314,296,0,7,11,295,19,470,156,164,99,21,5,1,2,3
40,VÂLCEA,"FOSTUL SEDIU AL ȘCOLII GIMNAZIALE, SAT ROMÂNI, ORAȘ BĂBENI",111,"ORAŞ BĂBENI",168372,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:14:54",173,163,0,8,2,121,111,0,8,2,118,3,180,59,54,43,15,5,0,0,1
